strike,call_oi,put_oi,total_oi
335.0,3,10578,10581
340.0,0,5450,5450
345.0,2,2514,2516
350.0,12,3687,3699
355.0,0,1030,1030
360.0,0,1485,1485
365.0,2,2035,2037
370.0,1,1167,1168
375.0,22,1967,1989
380.0,4,4469,4473
385.0,6,2538,2544
390.0,0,2982,2982
395.0,6,4707,4713
400.0,18,24894,24912
405.0,7,1511,1518
410.0,1,3013,3014
415.0,0,2073,2073
420.0,9,4895,4904
425.0,3,4745,4748
430.0,720,1441,2161
435.0,17,2426,2443
440.0,5,3327,3332
445.0,24,1067,1091
450.0,50,19816,19866
455.0,21,5541,5562
460.0,17,1728,1745
465.0,73,1758,1831
470.0,7,3057,3064
475.0,46,79345,79391
480.0,26,78163,78189
485.0,8,3217,3225
490.0,34,7026,7060
495.0,50,2294,2344
500.0,84,19297,19381
505.0,9,6641,6650
510.0,18,11232,11250
515.0,21,4184,4205
520.0,29,22073,22102
525.0,10,155867,155877
530.0,29,155081,155110
535.0,14,1935,1949
540.0,35,7404,7439
545.0,9,5860,5869
550.0,72,37332,37404
555.0,25,5994,6019
560.0,66,5099,5165
565.0,359,5995,6354
570.0,80,6725,6805
575.0,138,82074,82212
580.0,153,96354,96507
585.0,71,19319,19390
590.0,204,9505,9709
591.0,0,1089,1089
592.0,0,221,221
593.0,7,613,620
594.0,0,205,205
595.0,301,10383,10684
596.0,2,360,362
597.0,0,195,195
598.0,0,89,89
599.0,0,120,120
600.0,1276,30871,32147
601.0,0,276,276
602.0,0,12,12
603.0,0,1456,1456
604.0,0,302,302
605.0,338,34626,34964
606.0,2,419,421
607.0,0,91,91
608.0,0,45,45
609.0,0,473,473
610.0,465,44989,45454
611.0,0,304,304
612.0,0,740,740
613.0,0,232,232
614.0,0,218,218
615.0,227,20413,20640
616.0,0,584,584
617.0,0,216,216
618.0,0,200,200
619.0,0,1112,1112
620.0,677,36424,37101
621.0,0,208,208
622.0,0,2,2
623.0,1,421,422
624.0,0,562,562
625.0,613,33456,34069
626.0,0,385,385
627.0,1,574,575
628.0,0,223,223
629.0,0,1075,1075
630.0,1579,42117,43696
631.0,11,1683,1694
632.0,2,1108,1110
633.0,3,2531,2534
634.0,2,2286,2288
635.0,518,18635,19153
636.0,8,1362,1370
637.0,4,2161,2165
638.0,2,3308,3310
639.0,5,4310,4315
640.0,531,50354,50885
641.0,8,7728,7736
