timestamp,close,high,low,n,open,volume,vw
2024-01-02 05:00:00+00:00,28.88,29.72,28.88,65,29.195,2655,29.393667
2024-01-03 05:00:00+00:00,28.04,28.31,27.625,92,28.275,4707,28.003844
2024-01-04 05:00:00+00:00,27.945,27.945,27.83,4,27.83,209,27.8875
2024-01-05 05:00:00+00:00,27.29,27.47,27.25,139,27.43,4878,27.317543
2024-01-08 05:00:00+00:00,27.57,27.68,27.39,175,27.48,3457,27.542642
2024-01-09 05:00:00+00:00,27.17,27.2,27.145,11,27.19,591,27.179962
2024-01-10 05:00:00+00:00,26.35,26.68,26.31,143,26.595,24209,26.344768
2024-01-11 05:00:00+00:00,25.86,25.95,25.77,13,25.95,819,25.876154
2024-01-12 05:00:00+00:00,25.28,25.62,25.22,23,25.62,1875,25.409615
2024-01-16 05:00:00+00:00,24.19,25.075,24.13,41,25.075,2904,24.4302
2024-01-17 05:00:00+00:00,23.77,23.8,23.54,63,23.54,6175,23.683937
2024-01-18 05:00:00+00:00,23.52,23.75,23.32,15,23.75,967,23.50875
2024-01-19 05:00:00+00:00,23.49,23.49,22.84,34,22.94,5819,23.342905
2024-01-22 05:00:00+00:00,24.29,24.56,23.915,57,24.56,1849,24.137
2024-01-23 05:00:00+00:00,24.845,25.16,24.55,26,25.16,1834,24.804839
2024-01-24 05:00:00+00:00,24.135,24.71,24.135,7,24.71,381,24.417051
2024-01-25 05:00:00+00:00,24.18,24.18,23.92,23,24.08,2668,24.08877
2024-01-26 05:00:00+00:00,24.14,24.41,24.135,20,24.2,1988,24.252875
2024-01-29 05:00:00+00:00,24.95,24.95,23.85,16,23.85,1514,24.450603
2024-01-30 05:00:00+00:00,24.38,24.38,24.38,9,24.38,221,24.38
2024-01-31 05:00:00+00:00,23.92,24.79,23.92,40,24.04,3752,24.493792
2024-02-01 05:00:00+00:00,24.31,24.435,24.31,4,24.435,353,24.36
2024-02-02 05:00:00+00:00,23.58,23.865,23.52,21,23.865,1223,23.675625
2024-02-05 05:00:00+00:00,22.8,22.88,22.8,5,22.87,563,22.860695
2024-02-06 05:00:00+00:00,23.765,23.765,23.27,45,23.32,4034,23.520028
2024-02-07 05:00:00+00:00,23.89,24.025,23.69,55,23.79,3704,23.874777
2024-02-08 05:00:00+00:00,24.38,24.38,24.09,53,24.26,1084,24.269167
2024-02-09 05:00:00+00:00,24.88,24.91,24.44,135,24.44,2739,24.666293
2024-02-12 05:00:00+00:00,25.98,26.11,25.835,16,25.88,1336,25.9304
2024-02-13 05:00:00+00:00,24.19,24.63,24.105,33,24.615,1528,24.256134
2024-02-14 05:00:00+00:00,24.88,24.88,24.75,10,24.855,391,24.828333
2024-02-15 05:00:00+00:00,25.63,25.65,25.4,8,25.4,728,25.585
2024-02-16 05:00:00+00:00,25.305,25.45,25.0,20,25.25,3107,25.295333
2024-02-20 05:00:00+00:00,24.32,24.56,24.29,112,24.56,4101,24.336988
2024-02-21 05:00:00+00:00,23.86,23.97,23.86,18,23.89,1488,23.871429
2024-02-22 05:00:00+00:00,22.905,23.285,22.88,61,23.07,4210,23.037767
2024-02-23 05:00:00+00:00,22.605,22.93,22.59,41,22.74,3349,22.703036
2024-02-26 05:00:00+00:00,22.91,23.21,22.75,229,23.1,4092,22.950608
2024-02-27 05:00:00+00:00,23.54,23.595,23.315,63,23.38,4821,23.448333
2024-02-28 05:00:00+00:00,23.45,23.73,23.45,8,23.715,920,23.549599
2024-02-29 05:00:00+00:00,23.79,24.33,23.635,32,23.735,3658,23.893338
2024-03-01 05:00:00+00:00,23.97,24.23,23.885,84,23.885,6462,24.037941
2024-03-04 05:00:00+00:00,23.39,24.02,23.36,135,24.02,13036,23.576238
2024-03-05 05:00:00+00:00,22.72,23.27,22.7,52,23.085,4825,22.930427
2024-03-06 05:00:00+00:00,23.12,23.465,22.79,37,23.14,2783,23.232955
2024-03-07 05:00:00+00:00,23.39,23.54,23.22,20,23.22,2663,23.426346
2024-03-08 05:00:00+00:00,23.495,23.68,23.43,104,23.585,13718,23.577821
2024-03-11 04:00:00+00:00,23.23,23.935,23.23,19,23.85,2864,23.672058
2024-03-12 04:00:00+00:00,22.885,23.08,22.79,23,22.98,1129,22.945
2024-03-13 04:00:00+00:00,22.41,22.72,22.41,17,22.72,1556,22.497041
2024-03-14 04:00:00+00:00,21.77,21.92,21.61,79,21.89,8950,21.810149
2024-03-15 04:00:00+00:00,21.76,21.87,21.685,93,21.685,8678,21.785425
2024-03-18 04:00:00+00:00,21.34,21.795,21.245,55,21.795,5696,21.42242
2024-03-19 04:00:00+00:00,21.3,21.5,21.23,31,21.23,2576,21.325647
2024-03-20 04:00:00+00:00,22.18,22.445,21.13,116,21.23,13587,21.707159
2024-03-21 04:00:00+00:00,22.56,22.765,22.385,18,22.385,1756,22.574928
2024-03-22 04:00:00+00:00,21.98,22.08,21.925,28,22.01,2392,21.995789
2024-03-25 04:00:00+00:00,21.89,22.045,21.87,47,22.0,3185,21.908889
2024-03-26 04:00:00+00:00,21.74,22.13,21.73,49,22.13,4244,21.898933
2024-03-27 04:00:00+00:00,22.84,22.84,22.08,32,22.08,2808,22.701236
2024-03-28 04:00:00+00:00,23.04,23.17,22.76,187,23.13,23616,23.062971
2024-04-01 04:00:00+00:00,23.04,23.055,22.86,16,22.86,1190,22.995
2024-04-02 04:00:00+00:00,22.29,22.47,22.27,14,22.35,1602,22.366875
2024-04-03 04:00:00+00:00,22.49,22.49,21.985,8,22.03,1100,22.163182
2024-04-04 04:00:00+00:00,22.245,23.065,22.205,21,23.01,1392,22.72649
2024-04-05 04:00:00+00:00,22.21,22.21,21.85,42,21.85,4604,21.989778
2024-04-08 04:00:00+00:00,22.35,22.37,22.35,18,22.37,606,22.36
2024-04-09 04:00:00+00:00,22.55,22.64,22.55,3,22.64,250,22.595
2024-04-10 04:00:00+00:00,21.95,22.0,21.8,33,22.0,1312,21.895833
2024-04-11 04:00:00+00:00,21.9,22.245,21.61,91,22.245,8151,21.820012
2024-04-12 04:00:00+00:00,21.05,21.51,21.03,50,21.51,3925,21.213736
2024-04-15 04:00:00+00:00,20.415,21.245,20.35,89,21.245,4663,20.817048
2024-04-16 04:00:00+00:00,20.11,20.31,19.99,71,20.07,6732,20.123309
2024-04-17 04:00:00+00:00,19.98,20.23,19.98,18,20.23,1113,20.1355
2024-04-18 04:00:00+00:00,19.55,19.7,19.52,14,19.69,1271,19.577727
2024-04-19 04:00:00+00:00,19.2,19.525,19.18,156,19.5,19215,19.26278
2024-04-22 04:00:00+00:00,19.355,19.48,19.01,191,19.12,8381,19.388535
2024-04-23 04:00:00+00:00,19.74,20.14,19.42,33,19.42,3900,19.917554
2024-04-24 04:00:00+00:00,19.68,19.95,19.48,34,19.8,3187,19.653956
2024-04-25 04:00:00+00:00,19.47,19.49,19.07,89,19.24,7830,19.338008
2024-04-26 04:00:00+00:00,20.17,20.27,19.98,28,19.98,3002,20.16
2024-04-29 04:00:00+00:00,20.69,20.755,20.595,34,20.68,2481,20.688213
2024-04-30 04:00:00+00:00,20.33,20.33,20.325,14,20.325,547,20.326667
2024-05-01 04:00:00+00:00,20.48,21.0,20.33,72,20.37,7229,20.576543
2024-05-02 04:00:00+00:00,21.2,21.22,20.54,90,20.58,12289,20.805289
2024-05-03 04:00:00+00:00,21.7,21.89,21.365,297,21.69,37468,21.566858
2024-05-06 04:00:00+00:00,22.21,22.21,21.99,126,22.08,15231,22.090017
2024-05-07 04:00:00+00:00,21.71,22.12,21.675,146,22.0,26651,21.803855
2024-05-08 04:00:00+00:00,21.46,21.52,21.325,35,21.325,5785,21.439267
2024-05-09 04:00:00+00:00,21.84,21.84,21.34,20,21.545,2251,21.639125
2024-05-10 04:00:00+00:00,21.055,22.05,21.035,188,22.05,30582,21.090264
2024-05-13 04:00:00+00:00,21.6,22.01,21.335,56,21.335,7061,21.70028
2024-05-14 04:00:00+00:00,22.57,22.91,22.36,153,22.815,4235,22.593146
2024-05-15 04:00:00+00:00,22.19,22.995,22.02,81,22.995,6839,22.368611
2024-05-16 04:00:00+00:00,21.97,22.04,21.89,90,21.94,11543,21.970706
2024-05-17 04:00:00+00:00,21.76,22.01,21.72,33,21.72,4843,21.837813
2024-05-20 04:00:00+00:00,21.74,21.74,21.58,9,21.7,704,21.685
2024-05-21 04:00:00+00:00,21.91,21.91,21.745,53,21.88,6050,21.804173
2024-05-22 04:00:00+00:00,22.78,23.09,22.53,59,22.53,3507,22.838107
2024-05-23 04:00:00+00:00,21.84,22.34,21.77,71,22.34,6470,22.031485
2024-05-24 04:00:00+00:00,22.78,22.78,22.06,52,22.06,8978,22.647126
2024-05-28 04:00:00+00:00,22.74,23.24,22.74,86,23.09,7419,23.093485
2024-05-29 04:00:00+00:00,22.7,22.71,22.445,287,22.63,31902,22.644867
2024-05-30 04:00:00+00:00,23.14,23.14,22.79,28,22.79,2467,23.067183
2024-05-31 04:00:00+00:00,22.955,22.96,22.52,50,22.89,4954,22.809427
2024-06-03 04:00:00+00:00,22.91,23.28,22.88,7,23.09,836,23.078854
2024-06-04 04:00:00+00:00,22.38,22.705,22.365,47,22.685,2655,22.493913
2024-06-05 04:00:00+00:00,22.965,22.965,22.715,66,22.725,3431,22.854861
2024-06-06 04:00:00+00:00,22.52,22.61,22.52,38,22.59,3786,22.541034
2024-06-07 04:00:00+00:00,21.995,22.275,21.89,45,22.275,3188,22.070536
2024-06-10 04:00:00+00:00,22.35,22.435,22.07,34,22.07,4342,22.338852
2024-06-11 04:00:00+00:00,22.35,22.35,21.9,48,21.93,3329,22.072466
2024-06-12 04:00:00+00:00,22.63,23.57,22.63,20,23.57,2294,23.07075
2024-06-13 04:00:00+00:00,22.13,22.635,22.085,46,22.54,4055,22.243935
2024-06-14 04:00:00+00:00,21.42,21.78,21.365,48,21.74,4720,21.521763
2024-06-17 04:00:00+00:00,21.26,21.4,21.11,115,21.34,9561,21.288441
2024-06-18 04:00:00+00:00,21.125,21.33,21.11,65,21.2,4794,21.200124
2024-06-20 04:00:00+00:00,20.575,20.86,20.54,77,20.77,8176,20.636255
2024-06-21 04:00:00+00:00,20.62,20.64,20.41,67,20.575,8414,20.596237
2024-06-24 04:00:00+00:00,20.48,20.73,20.325,28,20.73,1253,20.574255
2024-06-25 04:00:00+00:00,20.33,20.445,20.22,68,20.27,6005,20.296695
2024-06-26 04:00:00+00:00,20.47,20.47,20.32,29,20.35,3017,20.400982
2024-06-27 04:00:00+00:00,20.8,20.8,20.33,11,20.39,523,20.55
2024-06-28 04:00:00+00:00,20.14,20.56,19.98,26,20.56,2092,20.288947
