timestamp,close,high,low,n,open,volume,vw
2024-01-02 05:00:00+00:00,2.38,2.52,2.38,441,2.47,45180,2.444194
2024-01-03 05:00:00+00:00,2.33,2.4,2.3,142,2.35,11810,2.352085
2024-01-04 05:00:00+00:00,2.32,2.365,2.295,282,2.33,32306,2.331587
2024-01-05 05:00:00+00:00,2.26,2.34,2.26,141,2.31,18215,2.27341
2024-01-08 05:00:00+00:00,2.34,2.36,2.245,320,2.245,23094,2.325415
2024-01-09 05:00:00+00:00,2.26,2.29,2.25,374,2.255,26613,2.267613
2024-01-10 05:00:00+00:00,2.23,2.33,2.21,245,2.28,20096,2.253043
2024-01-11 05:00:00+00:00,2.17,2.26,2.15,326,2.26,36000,2.178978
2024-01-12 05:00:00+00:00,2.2,2.255,2.18,299,2.24,27127,2.198512
2024-01-16 05:00:00+00:00,2.1,2.16,2.1,172,2.15,15904,2.120034
2024-01-17 05:00:00+00:00,2.075,2.08,2.03,198,2.05,15071,2.062889
2024-01-18 05:00:00+00:00,2.065,2.08,2.02,311,2.045,33444,2.061622
2024-01-19 05:00:00+00:00,2.105,2.11,2.0,277,2.035,25420,2.073581
2024-01-22 05:00:00+00:00,2.29,2.29,2.14,378,2.15,48693,2.224105
2024-01-23 05:00:00+00:00,2.3,2.31,2.275,540,2.285,62106,2.295669
2024-01-24 05:00:00+00:00,2.29,2.41,2.27,195,2.38,18961,2.330226
2024-01-25 05:00:00+00:00,2.3,2.315,2.25,473,2.315,26467,2.27827
2024-01-26 05:00:00+00:00,2.275,2.33,2.27,82,2.325,5767,2.302002
2024-01-29 05:00:00+00:00,2.44,2.455,2.275,481,2.295,53370,2.387211
2024-01-30 05:00:00+00:00,2.37,2.395,2.34,157,2.395,11883,2.36488
2024-01-31 05:00:00+00:00,2.26,2.4,2.26,164,2.335,14143,2.327414
2024-02-01 05:00:00+00:00,2.305,2.36,2.19,417,2.335,43759,2.293966
2024-02-02 05:00:00+00:00,2.26,2.28,2.225,186,2.245,19871,2.253967
2024-02-05 05:00:00+00:00,2.155,2.195,2.135,547,2.175,64150,2.163863
2024-02-06 05:00:00+00:00,2.195,2.2,2.105,272,2.125,23912,2.168997
2024-02-07 05:00:00+00:00,2.17,2.21,2.145,155,2.185,14747,2.171436
2024-02-08 05:00:00+00:00,2.21,2.23,2.15,220,2.18,14365,2.198913
2024-02-09 05:00:00+00:00,2.32,2.32,2.22,450,2.225,40873,2.295785
2024-02-12 05:00:00+00:00,2.4,2.42,2.335,342,2.335,32761,2.397458
2024-02-13 05:00:00+00:00,2.16,2.27,2.155,322,2.22,30091,2.206822
2024-02-14 05:00:00+00:00,2.255,2.26,2.18,146,2.22,11471,2.218213
2024-02-15 05:00:00+00:00,2.285,2.31,2.25,283,2.31,26976,2.283403
2024-02-16 05:00:00+00:00,2.26,2.28,2.215,379,2.24,22142,2.249976
2024-02-20 05:00:00+00:00,2.22,2.25,2.2,184,2.225,17455,2.220625
2024-02-21 05:00:00+00:00,2.165,2.2,2.14,334,2.165,33188,2.177688
2024-02-22 05:00:00+00:00,2.15,2.19,2.14,421,2.155,43779,2.159091
2024-02-23 05:00:00+00:00,2.15,2.18,2.13,480,2.17,47999,2.151212
2024-02-26 05:00:00+00:00,2.21,2.22,2.15,227,2.18,22324,2.197808
2024-02-27 05:00:00+00:00,2.23,2.265,2.19,203,2.23,21321,2.233812
2024-02-28 05:00:00+00:00,2.14,2.2,2.13,230,2.17,18763,2.159246
2024-02-29 05:00:00+00:00,2.19,2.22,2.15,156,2.18,15000,2.19058
2024-03-01 05:00:00+00:00,2.245,2.25,2.145,161,2.19,17805,2.201748
2024-03-04 05:00:00+00:00,2.155,2.265,2.155,319,2.26,19853,2.17857
2024-03-05 05:00:00+00:00,2.17,2.23,2.13,255,2.155,35897,2.168758
2024-03-06 05:00:00+00:00,2.17,2.21,2.15,219,2.15,14660,2.177063
2024-03-07 05:00:00+00:00,2.23,2.235,2.165,184,2.2,11378,2.206781
2024-03-08 05:00:00+00:00,2.245,2.35,2.24,312,2.27,24721,2.274946
2024-03-11 04:00:00+00:00,2.21,2.28,2.195,236,2.275,25594,2.230714
2024-03-12 04:00:00+00:00,2.15,2.195,2.14,311,2.19,29474,2.159623
2024-03-13 04:00:00+00:00,2.17,2.23,2.15,240,2.15,17717,2.198578
2024-03-14 04:00:00+00:00,2.165,2.18,2.13,281,2.155,26394,2.153199
2024-03-15 04:00:00+00:00,2.215,2.23,2.155,274,2.175,36261,2.196265
2024-03-18 04:00:00+00:00,2.22,2.235,2.17,245,2.195,17278,2.213244
2024-03-19 04:00:00+00:00,2.35,2.38,2.2,221,2.2,41511,2.3278
2024-03-20 04:00:00+00:00,2.4,2.435,2.35,555,2.38,110858,2.391924
2024-03-21 04:00:00+00:00,2.47,2.475,2.385,191,2.445,19009,2.436214
2024-03-22 04:00:00+00:00,2.39,2.44,2.39,399,2.44,15762,2.420237
2024-03-25 04:00:00+00:00,2.49,2.53,2.445,494,2.45,60829,2.485764
2024-03-26 04:00:00+00:00,2.51,2.595,2.505,394,2.55,42827,2.545098
2024-03-27 04:00:00+00:00,2.55,2.55,2.475,309,2.53,33890,2.515875
2024-03-28 04:00:00+00:00,2.54,2.66,2.53,276,2.6,32429,2.563341
2024-04-01 04:00:00+00:00,2.24,2.44,2.23,267,2.44,28992,2.298041
2024-04-02 04:00:00+00:00,2.155,2.225,2.125,291,2.205,35054,2.167493
2024-04-03 04:00:00+00:00,2.13,2.21,2.13,196,2.155,21174,2.163209
2024-04-04 04:00:00+00:00,2.075,2.13,2.055,249,2.13,18305,2.086138
2024-04-05 04:00:00+00:00,2.1,2.1,2.04,261,2.05,21168,2.067121
