timestamp,close,high,low,n,open,volume,vw
2024-01-02 14:30:00+00:00,90.4,90.4,89.91,16,90.3,1411,90.119286
2024-01-02 14:35:00+00:00,90.0,90.23,89.99,27,90.09,2699,90.080533
2024-01-02 14:40:00+00:00,89.9,90.19,89.89,41,90.19,2727,90.036136
2024-01-02 14:45:00+00:00,89.25,90.015,89.25,49,90.01,4409,89.79
2024-01-02 14:50:00+00:00,89.57,90.155,89.57,27,89.65,1976,89.887206
2024-01-02 14:55:00+00:00,90.15,90.15,88.94,36,89.35,2999,89.19996
2024-01-02 15:00:00+00:00,90.26,90.43,90.26,13,90.37,535,90.35
2024-01-02 15:05:00+00:00,90.52,90.52,90.27,36,90.36,1489,90.384583
2024-01-02 15:10:00+00:00,89.94,90.53,89.94,35,90.53,1760,90.136522
2024-01-02 15:15:00+00:00,89.975,89.975,89.89,7,89.89,378,89.943333
2024-01-02 15:20:00+00:00,90.34,90.39,90.09,16,90.09,641,90.226
2024-01-02 15:25:00+00:00,89.53,90.27,89.53,49,90.27,2384,89.740938
2024-01-02 15:30:00+00:00,89.24,89.49,89.22,41,89.49,1585,89.309805
2024-01-02 15:35:00+00:00,89.1,89.32,88.98,27,89.32,1274,89.1615
2024-01-02 15:40:00+00:00,89.25,89.25,89.0,33,89.04,1959,89.109333
2024-01-02 15:45:00+00:00,88.93,89.35,88.91,29,89.35,1332,89.107
2024-01-02 15:50:00+00:00,89.21,89.38,88.96,21,88.96,1421,89.113637
2024-01-02 15:55:00+00:00,89.21,89.21,89.05,12,89.16,952,89.1175
2024-01-02 16:00:00+00:00,89.64,89.64,89.33,9,89.33,517,89.449
2024-01-02 16:05:00+00:00,89.74,89.74,89.43,19,89.68,970,89.5925
2024-01-02 16:10:00+00:00,89.53,89.77,89.53,11,89.75,351,89.683333
2024-01-02 16:15:00+00:00,89.72,89.72,89.5,19,89.54,1033,89.583889
2024-01-02 16:20:00+00:00,89.41,89.6,89.41,22,89.46,942,89.468125
2024-01-02 16:25:00+00:00,89.45,89.48,89.45,13,89.48,361,89.465
2024-01-02 16:30:00+00:00,89.33,89.55,89.33,29,89.445,1525,89.454546
2024-01-02 16:35:00+00:00,89.355,89.355,89.2,20,89.22,762,89.255714
2024-01-02 16:40:00+00:00,89.235,89.355,89.195,27,89.355,1501,89.247692
2024-01-02 16:45:00+00:00,89.37,89.47,89.175,39,89.2,1699,89.287083
2024-01-02 16:50:00+00:00,89.32,89.34,89.19,25,89.265,1419,89.270417
2024-01-02 16:55:00+00:00,89.22,89.46,89.22,53,89.375,3119,89.392549
2024-01-02 17:00:00+00:00,89.275,89.28,89.23,26,89.28,1396,89.263846
2024-01-02 17:05:00+00:00,89.39,89.53,89.345,19,89.345,1244,89.42625
2024-01-02 17:10:00+00:00,89.47,89.47,89.395,7,89.395,452,89.41375
2024-01-02 17:15:00+00:00,89.23,89.3,89.23,33,89.26,938,89.263333
2024-01-02 17:20:00+00:00,89.27,89.27,89.17,15,89.22,760,89.216
2024-01-02 17:25:00+00:00,89.45,89.45,89.42,4,89.42,206,89.435
2024-01-02 17:30:00+00:00,90.06,90.06,89.63,23,89.63,1155,89.95625
2024-01-02 17:35:00+00:00,89.87,90.04,89.8,24,90.04,1565,89.896836
2024-01-02 17:40:00+00:00,90.02,90.02,89.95,18,89.95,843,89.988
2024-01-02 17:45:00+00:00,89.65,89.96,89.64,38,89.95,1277,89.761875
2024-01-02 17:50:00+00:00,89.7,89.7,89.47,7,89.48,320,89.55
2024-01-02 17:55:00+00:00,89.35,89.46,89.3,28,89.46,1307,89.390973
2024-01-02 18:00:00+00:00,89.2,89.37,89.14,28,89.37,1546,89.200044
2024-01-02 18:05:00+00:00,88.95,89.22,88.95,22,89.18,1272,89.090455
2024-01-02 18:10:00+00:00,89.3,89.36,88.975,22,88.975,1192,89.182727
2024-01-02 18:15:00+00:00,89.3,89.39,89.3,23,89.32,1738,89.368928
2024-01-02 18:20:00+00:00,89.435,89.45,89.385,13,89.41,1110,89.414091
2024-01-02 18:25:00+00:00,89.12,89.43,89.09,40,89.43,2506,89.223648
2024-01-02 18:30:00+00:00,89.45,89.46,89.16,26,89.16,1061,89.355
2024-01-02 18:35:00+00:00,89.4,89.53,89.38,11,89.52,575,89.47
2024-01-02 18:40:00+00:00,89.33,89.33,89.28,10,89.28,429,89.2975
2024-01-02 18:45:00+00:00,89.21,89.31,89.19,31,89.29,2241,89.277778
2024-01-02 18:50:00+00:00,89.0,89.12,89.0,27,89.09,1373,89.053636
2024-01-02 18:55:00+00:00,88.73,89.01,88.685,22,89.01,1274,88.872865
2024-01-02 19:00:00+00:00,88.56,88.77,88.54,46,88.75,4325,88.63425
2024-01-02 19:05:00+00:00,88.42,88.51,88.3,18,88.46,1228,88.394
2024-01-02 19:10:00+00:00,88.765,88.77,88.535,26,88.535,1322,88.675
2024-01-02 19:20:00+00:00,88.745,88.78,88.72,11,88.72,824,88.746429
2024-01-02 19:25:00+00:00,88.87,88.87,88.72,8,88.72,278,88.795
2024-01-02 19:30:00+00:00,88.795,88.795,88.795,3,88.795,106,88.795
2024-01-02 19:35:00+00:00,88.62,88.795,88.62,13,88.795,563,88.73625
2024-01-02 19:40:00+00:00,88.64,88.64,88.575,11,88.575,414,88.618333
2024-01-02 19:45:00+00:00,88.735,88.735,88.735,4,88.735,103,88.735
2024-01-02 19:50:00+00:00,88.53,88.72,88.53,18,88.72,931,88.62125
2024-01-02 19:55:00+00:00,88.485,88.51,88.44,9,88.44,387,88.478333
2024-01-02 20:00:00+00:00,88.22,88.385,88.22,35,88.37,1718,88.328571
2024-01-02 20:05:00+00:00,88.16,88.16,88.16,4,88.16,300,88.16
2024-01-02 20:10:00+00:00,88.63,88.64,88.61,13,88.64,727,88.62
2024-01-02 20:15:00+00:00,88.72,88.72,88.37,45,88.37,1411,88.612273
2024-01-02 20:20:00+00:00,88.575,88.58,88.54,9,88.58,409,88.55875
2024-01-02 20:25:00+00:00,88.655,88.71,88.57,26,88.57,1390,88.663927
2024-01-02 20:30:00+00:00,88.57,88.81,88.57,21,88.81,926,88.66875
2024-01-02 20:35:00+00:00,88.47,88.52,88.47,15,88.48,636,88.485
2024-01-02 20:40:00+00:00,88.6,88.74,88.5,59,88.5,2727,88.645385
2024-01-02 20:45:00+00:00,88.63,88.66,88.63,11,88.66,495,88.6425
2024-01-02 20:50:00+00:00,88.91,88.98,88.67,46,88.69,3237,88.893535
2024-01-02 20:55:00+00:00,88.95,89.01,88.825,71,88.83,4011,88.937543
2024-01-03 14:30:00+00:00,87.345,88.2,87.01,48,87.52,3000,87.365455
2024-01-03 14:35:00+00:00,88.2,88.2,87.18,26,87.31,1467,87.901154
2024-01-03 14:40:00+00:00,87.9,88.22,87.805,13,87.99,884,88.035625
2024-01-03 14:45:00+00:00,87.565,87.565,87.53,2,87.53,200,87.5475
2024-01-03 14:50:00+00:00,87.58,87.635,87.34,10,87.46,519,87.48
2024-01-03 14:55:00+00:00,87.14,87.74,87.06,32,87.72,2075,87.334444
2024-01-03 15:00:00+00:00,87.46,87.62,87.065,37,87.065,3352,87.404224
2024-01-03 15:05:00+00:00,87.26,87.55,87.22,39,87.32,3075,87.381636
2024-01-03 15:10:00+00:00,86.66,87.18,86.65,39,87.18,2929,86.819818
2024-01-03 15:15:00+00:00,86.63,86.74,86.42,55,86.67,5025,86.595051
2024-01-03 15:20:00+00:00,86.6,86.6,86.32,31,86.53,1581,86.399524
2024-01-03 15:25:00+00:00,86.76,86.76,86.49,20,86.55,1341,86.576281
2024-01-03 15:30:00+00:00,86.34,86.405,86.25,10,86.405,572,86.34125
2024-01-03 15:35:00+00:00,85.945,86.47,85.945,33,86.31,5291,86.345667
2024-01-03 15:40:00+00:00,86.08,86.085,85.95,57,86.0,3706,86.018585
2024-01-03 15:45:00+00:00,86.2,86.2,85.905,31,86.11,3132,85.9965
2024-01-03 15:50:00+00:00,86.25,86.46,86.25,24,86.26,1594,86.333462
2024-01-03 15:55:00+00:00,86.27,86.27,86.21,8,86.22,599,86.234444
2024-01-03 16:00:00+00:00,86.86,86.86,86.6,11,86.7,915,86.73875
