timestamp,close,high,low,n,open,volume,vw
2024-01-02 14:30:00+00:00,155.61,155.63,154.95,23,154.95,1362,155.41198
2024-01-02 14:35:00+00:00,156.665,156.665,155.7,68,155.7,3223,156.008031
2024-01-02 14:40:00+00:00,157.0,157.1,156.77,51,156.88,1894,156.966213
2024-01-02 14:45:00+00:00,157.42,157.42,157.24,10,157.28,720,157.316429
2024-01-02 14:50:00+00:00,157.43,157.43,157.285,22,157.29,816,157.34125
2024-01-02 14:55:00+00:00,157.86,157.95,157.86,18,157.86,1061,157.907143
2024-01-02 15:00:00+00:00,158.115,158.265,157.81,43,157.825,3230,158.000714
2024-01-02 15:05:00+00:00,158.48,158.48,158.23,29,158.24,1553,158.350625
2024-01-02 15:10:00+00:00,158.76,158.79,158.58,25,158.58,1396,158.722174
2024-01-02 15:15:00+00:00,158.69,158.92,158.58,29,158.79,2297,158.808
2024-01-02 15:20:00+00:00,159.03,159.03,158.81,67,158.85,5179,158.844848
2024-01-02 15:25:00+00:00,158.92,159.05,158.915,15,159.05,628,158.977
2024-01-02 15:30:00+00:00,158.89,158.95,158.745,23,158.95,939,158.867857
2024-01-02 15:35:00+00:00,159.165,159.245,159.04,45,159.04,3059,159.129629
2024-01-02 15:40:00+00:00,159.375,159.4,159.09,41,159.235,2360,159.242105
2024-01-02 15:45:00+00:00,159.31,159.42,159.145,49,159.36,2366,159.265526
2024-01-02 15:50:00+00:00,159.36,159.415,159.27,22,159.38,1705,159.364375
2024-01-02 15:55:00+00:00,159.31,159.42,159.16,24,159.18,1269,159.3085
2024-01-02 16:00:00+00:00,159.01,159.18,159.01,17,159.18,975,159.080625
2024-01-02 16:05:00+00:00,159.1,159.1,158.945,40,159.02,3358,159.000346
2024-01-02 16:10:00+00:00,158.81,159.12,158.765,30,159.12,1092,158.87375
2024-01-02 16:15:00+00:00,158.53,158.72,158.51,16,158.72,862,158.576429
2024-01-02 16:20:00+00:00,158.62,158.79,158.57,45,158.66,1780,158.693333
2024-01-02 16:25:00+00:00,158.69,158.69,158.38,39,158.38,2019,158.462041
2024-01-02 16:30:00+00:00,158.72,158.795,158.615,34,158.65,1509,158.708182
2024-01-02 16:35:00+00:00,158.41,158.84,158.41,17,158.79,1192,158.6285
2024-01-02 16:40:00+00:00,158.54,158.54,158.54,5,158.54,403,158.54
2024-01-02 16:45:00+00:00,158.91,158.95,158.79,8,158.79,608,158.8975
2024-01-02 16:50:00+00:00,158.89,158.89,158.84,6,158.84,236,158.865
2024-01-02 16:55:00+00:00,159.135,159.17,159.065,15,159.095,985,159.11
2024-01-02 17:00:00+00:00,159.02,159.22,159.01,24,159.13,1055,159.09125
2024-01-02 17:05:00+00:00,159.105,159.105,159.105,3,159.105,250,159.105
2024-01-02 17:10:00+00:00,158.86,159.0,158.86,5,159.0,321,158.93
2024-01-02 17:15:00+00:00,158.76,158.76,158.76,6,158.76,255,158.76
2024-01-02 17:20:00+00:00,159.04,159.05,159.04,5,159.05,219,159.045
2024-01-02 17:25:00+00:00,159.155,159.19,159.15,16,159.165,966,159.166875
2024-01-02 17:30:00+00:00,159.33,159.33,159.13,34,159.2,2022,159.214167
2024-01-02 17:35:00+00:00,159.4,159.49,159.4,9,159.49,567,159.4325
2024-01-02 17:40:00+00:00,159.59,159.68,159.435,21,159.435,1124,159.556983
2024-01-02 17:45:00+00:00,159.65,159.69,159.62,13,159.65,962,159.643333
2024-01-02 17:50:00+00:00,159.77,159.77,159.77,4,159.77,108,159.77
2024-01-02 18:00:00+00:00,159.73,159.78,159.71,27,159.78,1185,159.739286
2024-01-02 18:05:00+00:00,159.9,159.9,159.7,24,159.7,1006,159.840298
2024-01-02 18:10:00+00:00,159.785,159.785,159.75,8,159.75,283,159.7675
2024-01-02 18:15:00+00:00,159.905,159.905,159.795,7,159.795,429,159.8775
2024-01-02 18:20:00+00:00,159.78,159.78,159.67,15,159.77,1036,159.73
2024-01-02 18:25:00+00:00,159.77,159.77,159.71,10,159.74,525,159.73
2024-01-02 18:35:00+00:00,159.76,159.76,159.6,31,159.6,2283,159.69775
2024-01-02 18:40:00+00:00,159.81,159.9,159.79,64,159.865,6605,159.840619
2024-01-02 18:45:00+00:00,159.96,159.96,159.815,26,159.815,4856,159.914063
2024-01-02 18:50:00+00:00,159.94,160.12,159.94,33,159.99,1545,160.02125
2024-01-02 18:55:00+00:00,159.96,160.04,159.96,7,160.01,317,160.003333
2024-01-02 19:00:00+00:00,159.86,159.86,159.66,12,159.71,1006,159.732857
2024-01-02 19:05:00+00:00,159.74,160.04,159.74,16,160.02,1028,159.87375
2024-01-02 19:10:00+00:00,159.65,159.75,159.59,52,159.75,3058,159.679878
2024-01-02 19:15:00+00:00,159.61,159.64,159.56,11,159.64,694,159.616667
2024-01-02 19:20:00+00:00,159.72,159.76,159.515,39,159.52,3132,159.571296
2024-01-02 19:25:00+00:00,159.68,159.78,159.68,9,159.735,543,159.731667
2024-01-02 19:30:00+00:00,159.79,159.99,159.79,26,159.88,1502,159.884367
2024-01-02 19:35:00+00:00,159.86,159.86,159.7,20,159.7,1235,159.807857
2024-01-02 19:40:00+00:00,159.72,159.85,159.72,14,159.84,750,159.809
2024-01-02 19:55:00+00:00,159.18,159.34,159.18,17,159.23,855,159.253572
2024-01-02 20:00:00+00:00,159.26,159.26,159.115,19,159.115,726,159.213
2024-01-02 20:05:00+00:00,159.17,159.22,159.015,27,159.22,1360,159.095556
2024-01-02 20:10:00+00:00,159.14,159.14,159.06,16,159.06,825,159.11
2024-01-02 20:15:00+00:00,159.23,159.23,158.94,10,158.975,907,159.037222
2024-01-02 20:20:00+00:00,159.23,159.39,159.23,13,159.39,498,159.305
2024-01-02 20:25:00+00:00,159.44,159.44,159.255,17,159.255,1048,159.345
2024-01-02 20:30:00+00:00,159.28,159.415,159.28,33,159.36,1435,159.354444
2024-01-02 20:35:00+00:00,159.35,159.38,159.23,49,159.31,1915,159.305
2024-01-02 20:40:00+00:00,159.3,159.34,159.25,47,159.29,1967,159.298667
2024-01-02 20:45:00+00:00,159.555,159.56,159.22,75,159.315,3922,159.449924
2024-01-02 20:50:00+00:00,159.7,159.75,159.51,116,159.615,7856,159.67275
2024-01-02 20:55:00+00:00,159.85,159.91,159.605,252,159.71,17270,159.766414
2024-01-03 14:30:00+00:00,160.75,161.14,160.38,20,161.14,1204,160.686364
2024-01-03 14:35:00+00:00,160.48,160.48,160.0,29,160.165,1548,160.105714
2024-01-03 14:40:00+00:00,160.66,160.66,160.26,7,160.26,285,160.46
2024-01-03 14:45:00+00:00,160.13,160.895,160.13,10,160.895,434,160.465
2024-01-03 14:50:00+00:00,160.83,160.83,160.83,3,160.83,120,160.83
2024-01-03 14:55:00+00:00,160.61,160.775,160.57,26,160.61,955,160.672143
2024-01-03 15:00:00+00:00,160.81,160.865,160.47,39,160.7,2586,160.708883
2024-01-03 15:05:00+00:00,160.65,160.93,160.65,10,160.93,342,160.79
2024-01-03 15:10:00+00:00,160.98,160.98,160.67,13,160.67,956,160.83509
2024-01-03 15:15:00+00:00,161.19,161.325,161.19,11,161.325,522,161.235
2024-01-03 15:20:00+00:00,161.5,161.505,161.44,22,161.44,1018,161.47625
2024-01-03 15:25:00+00:00,161.5,161.655,161.41,23,161.52,3399,161.461129
2024-01-03 15:30:00+00:00,161.48,161.54,161.42,15,161.54,1474,161.487148
2024-01-03 15:35:00+00:00,161.73,161.73,161.73,2,161.73,102,161.73
2024-01-03 15:40:00+00:00,161.32,161.67,161.32,43,161.67,1826,161.411
2024-01-03 15:45:00+00:00,161.41,161.41,161.13,29,161.18,2307,161.309732
2024-01-03 15:50:00+00:00,161.315,161.355,161.12,33,161.28,954,161.27454
2024-01-03 15:55:00+00:00,161.19,161.26,161.19,9,161.26,523,161.227778
2024-01-03 16:00:00+00:00,160.79,161.13,160.79,25,161.13,589,160.925
2024-01-03 16:05:00+00:00,160.8,160.84,160.615,31,160.745,1459,160.731667
2024-01-03 16:10:00+00:00,160.88,160.945,160.795,16,160.86,769,160.855
2024-01-03 16:15:00+00:00,160.73,160.885,160.73,15,160.885,789,160.855
2024-01-03 16:20:00+00:00,160.66,160.72,160.625,33,160.625,1015,160.675625
2024-01-03 16:25:00+00:00,160.685,160.87,160.685,40,160.71,1645,160.750556
2024-01-03 16:30:00+00:00,160.36,160.67,160.31,32,160.67,1465,160.456667
2024-01-03 16:35:00+00:00,160.69,160.71,160.53,19,160.53,798,160.634
2024-01-03 16:40:00+00:00,160.57,160.665,160.55,23,160.665,979,160.603572
2024-01-03 16:45:00+00:00,160.48,160.52,160.44,15,160.48,773,160.474
2024-01-03 16:50:00+00:00,160.505,160.505,160.38,60,160.4,3023,160.461427
2024-01-03 16:55:00+00:00,160.41,160.46,160.4,17,160.46,1126,160.416702
2024-01-03 17:00:00+00:00,160.42,160.525,160.38,32,160.38,1808,160.435342
