timestamp,close,high,low,n,open,volume,vw
2024-01-02 05:00:00+00:00,28.74,29.72,28.18,1102,28.58,100315,28.89597
2024-01-03 05:00:00+00:00,27.61,28.29,27.595,834,27.745,74946,27.852935
2024-01-04 05:00:00+00:00,27.88,28.2,27.47,768,27.65,33405,27.879558
2024-01-05 05:00:00+00:00,27.25,28.03,27.215,785,27.41,42299,27.447071
2024-01-08 05:00:00+00:00,28.59,28.65,27.25,1651,27.47,108522,28.073724
2024-01-09 05:00:00+00:00,28.305,28.53,27.72,846,28.325,53900,28.252337
2024-01-10 05:00:00+00:00,28.55,29.075,27.68,1202,28.11,106894,28.637028
2024-01-11 05:00:00+00:00,27.37,28.26,26.23,1685,28.025,102515,26.99428
2024-01-12 05:00:00+00:00,26.215,27.58,26.12,948,27.22,64506,26.485541
2024-01-16 05:00:00+00:00,25.05,25.71,24.86,865,25.68,89262,25.109418
2024-01-17 05:00:00+00:00,24.335,24.67,23.955,1191,24.51,111583,24.25108
2024-01-18 05:00:00+00:00,24.09,25.15,23.59,1146,25.15,99829,23.969114
2024-01-19 05:00:00+00:00,24.8,24.825,23.73,625,24.1,39649,24.408029
2024-01-22 05:00:00+00:00,26.455,27.0,25.215,1334,25.41,103223,26.258703
2024-01-23 05:00:00+00:00,26.42,26.89,25.85,850,26.75,48131,26.261867
2024-01-24 05:00:00+00:00,25.44,27.18,25.38,1034,27.14,83502,25.808581
2024-01-25 05:00:00+00:00,25.18,26.03,25.01,1020,25.81,75792,25.442724
2024-01-26 05:00:00+00:00,25.13,25.71,25.015,621,25.32,34705,25.168768
2024-01-29 05:00:00+00:00,26.09,26.1,24.94,712,24.94,43690,25.751513
2024-01-30 05:00:00+00:00,25.545,25.95,25.34,763,25.74,48896,25.583805
2024-01-31 05:00:00+00:00,24.79,26.085,24.78,849,25.065,68368,25.245829
2024-02-01 05:00:00+00:00,24.94,25.05,23.9,1064,24.79,112594,24.578194
2024-02-02 05:00:00+00:00,25.01,25.095,24.35,875,24.4,66518,24.751489
2024-02-05 05:00:00+00:00,24.12,24.61,23.79,637,24.61,35917,24.160131
2024-02-06 05:00:00+00:00,26.02,26.2,24.55,1170,24.81,100330,25.730808
2024-02-07 05:00:00+00:00,25.83,26.28,25.22,900,25.61,83280,25.814887
2024-02-08 05:00:00+00:00,26.85,27.31,25.83,947,25.83,69638,26.897334
2024-02-09 05:00:00+00:00,28.46,29.63,27.38,1740,27.96,153727,28.689569
2024-02-12 05:00:00+00:00,31.17,31.525,28.85,1957,28.85,161605,30.667989
2024-02-13 05:00:00+00:00,28.735,30.23,28.31,1698,29.0,134633,29.093326
2024-02-14 05:00:00+00:00,29.21,29.78,28.685,926,29.24,52826,29.137724
2024-02-15 05:00:00+00:00,29.995,30.325,28.97,1307,29.61,79536,29.765587
2024-02-16 05:00:00+00:00,28.74,30.21,28.65,1436,29.84,87618,29.138428
2024-02-20 05:00:00+00:00,27.05,28.57,26.39,1197,28.57,77162,27.012876
2024-02-21 05:00:00+00:00,26.19,26.45,25.855,1145,26.17,59203,26.136736
2024-02-22 05:00:00+00:00,26.64,27.1,26.385,1234,27.1,70081,26.716845
2024-02-23 05:00:00+00:00,26.17,26.555,25.65,1010,26.18,51443,26.022577
2024-02-26 05:00:00+00:00,28.92,29.04,26.02,1591,26.17,168671,28.126499
2024-02-27 05:00:00+00:00,30.1,30.3,29.1,1300,29.44,236352,30.092088
2024-02-28 05:00:00+00:00,29.66,30.26,29.17,1167,29.36,97783,29.769228
2024-02-29 05:00:00+00:00,36.98,38.28,33.75,6344,35.38,659469,36.716683
2024-03-01 05:00:00+00:00,35.88,35.895,33.73,1844,35.765,169854,34.956422
2024-03-04 05:00:00+00:00,34.07,37.47,33.83,1824,36.51,136935,34.945419
2024-03-05 05:00:00+00:00,31.25,33.51,30.9,1194,32.92,103224,31.964692
2024-03-06 05:00:00+00:00,32.46,33.31,31.99,929,32.79,68185,32.681275
