timestamp,close,high,low,n,open,volume,vw
2024-01-02 14:35:00+00:00,15.26,15.27,15.26,2,15.27,1100,15.264545
2024-01-02 14:45:00+00:00,15.18,15.18,15.18,1,15.18,100,15.18
2024-01-02 20:40:00+00:00,14.99,14.99,14.99,1,14.99,200,14.99
2024-01-03 15:00:00+00:00,14.81,14.81,14.81,1,14.81,650,14.81
2024-01-04 14:45:00+00:00,14.64,14.64,14.64,1,14.64,782,14.64
2024-01-04 19:40:00+00:00,14.7,14.7,14.7,1,14.7,100,14.7
2024-01-05 20:45:00+00:00,14.59,14.59,14.59,1,14.59,400,14.59
2024-01-05 20:55:00+00:00,14.58,14.58,14.57,6,14.57,610,14.574607
2024-01-08 14:35:00+00:00,14.555,14.555,14.555,1,14.555,138,14.555
2024-01-08 15:40:00+00:00,14.64,14.64,14.64,2,14.64,200,14.64
2024-01-08 15:45:00+00:00,14.645,14.645,14.645,1,14.645,110,14.645
2024-01-08 15:50:00+00:00,14.64,14.64,14.64,1,14.64,140,14.64
2024-01-08 15:55:00+00:00,14.645,14.645,14.645,4,14.645,342,14.645
2024-01-08 19:10:00+00:00,14.75,14.75,14.75,1,14.75,105,14.75
2024-01-08 20:15:00+00:00,14.77,14.77,14.77,1,14.77,150,14.77
2024-01-09 20:30:00+00:00,14.59,14.59,14.59,1,14.59,100,14.59
2024-01-09 20:45:00+00:00,14.58,14.58,14.58,1,14.58,100,14.58
2024-01-11 16:55:00+00:00,14.485,14.485,14.485,1,14.485,100,14.485
2024-01-11 18:20:00+00:00,14.6,14.6,14.6,1,14.6,100,14.6
2024-01-17 14:30:00+00:00,14.23,14.23,14.23,2,14.23,500,14.23
2024-01-24 20:55:00+00:00,14.435,14.435,14.435,3,14.435,233,14.435
2024-01-25 20:45:00+00:00,14.44,14.44,14.44,1,14.44,100,14.44
2024-01-26 14:35:00+00:00,14.56,14.56,14.56,1,14.56,188,14.56
2024-01-29 16:45:00+00:00,14.48,14.48,14.48,1,14.48,115,14.48
2024-01-29 18:50:00+00:00,14.53,14.53,14.53,1,14.53,100,14.53
2024-01-29 20:45:00+00:00,14.62,14.62,14.62,1,14.62,151,14.62
2024-02-05 18:00:00+00:00,14.05,14.05,14.05,2,14.05,143,14.05
2024-02-07 20:05:00+00:00,14.36,14.36,14.36,1,14.36,100,14.36
2024-02-07 20:25:00+00:00,14.34,14.34,14.34,6,14.34,541,14.34
2024-02-08 15:10:00+00:00,14.4,14.4,14.4,1,14.4,195,14.4
2024-02-08 16:20:00+00:00,14.39,14.39,14.39,1,14.39,499,14.39
