timestamp,close,high,low,n,open,volume,vw
2024-01-02 14:30:00+00:00,71.975,73.44,71.9,145,73.44,13106,72.484801
2024-01-02 14:35:00+00:00,71.31,72.12,71.21,55,71.44,5816,71.409649
2024-01-02 14:40:00+00:00,71.48,71.53,70.84,77,71.175,6910,71.122692
2024-01-02 14:45:00+00:00,71.32,71.41,71.03,67,71.41,5740,71.227379
2024-01-02 14:50:00+00:00,70.9,71.28,70.825,43,71.265,3931,71.084474
2024-01-02 14:55:00+00:00,71.5,71.5,70.83,50,70.83,5103,71.092366
2024-01-02 15:00:00+00:00,71.13,71.48,71.08,36,71.48,2831,71.2782
2024-01-02 15:05:00+00:00,71.165,71.165,70.81,33,70.81,2962,70.993765
2024-01-02 15:10:00+00:00,70.86,71.17,70.82,31,71.17,2245,71.022703
2024-01-02 15:15:00+00:00,70.915,70.93,70.76,34,70.87,1907,70.865667
2024-01-02 15:20:00+00:00,70.95,71.13,70.83,26,70.83,1593,70.9996
2024-01-02 15:25:00+00:00,70.4,70.87,70.4,40,70.87,2321,70.66
2024-01-02 15:30:00+00:00,69.89,70.37,69.89,43,70.37,2579,70.058104
2024-01-02 15:35:00+00:00,69.85,69.85,69.56,48,69.82,2559,69.760625
2024-01-02 15:40:00+00:00,69.92,69.92,69.72,39,69.84,3111,69.837895
2024-01-02 15:45:00+00:00,69.98,70.08,69.715,45,69.74,3556,69.868615
2024-01-02 15:50:00+00:00,69.96,70.1,69.96,13,70.07,668,70.015556
2024-01-02 15:55:00+00:00,69.75,69.91,69.67,23,69.78,1399,69.776956
2024-01-02 16:00:00+00:00,69.755,69.925,69.73,49,69.82,2560,69.817857
2024-01-02 16:05:00+00:00,69.7,69.715,69.55,29,69.71,1607,69.620357
2024-01-02 16:10:00+00:00,69.79,69.87,69.675,27,69.7,1294,69.776818
2024-01-02 16:15:00+00:00,69.86,69.93,69.78,41,69.815,2741,69.832379
2024-01-02 16:20:00+00:00,70.0,70.02,69.78,16,69.78,564,69.8975
2024-01-02 16:25:00+00:00,69.96,69.99,69.9,27,69.99,1311,69.938409
2024-01-02 16:30:00+00:00,70.19,70.27,69.98,41,69.98,2193,70.201212
2024-01-02 16:35:00+00:00,70.37,70.37,70.27,10,70.27,505,70.306
2024-01-02 16:40:00+00:00,70.54,70.54,70.33,17,70.33,775,70.428
2024-01-02 16:45:00+00:00,70.48,70.57,70.47,32,70.56,2280,70.520555
2024-01-02 16:50:00+00:00,70.24,70.315,70.24,16,70.315,529,70.27875
2024-01-02 16:55:00+00:00,70.3,70.305,70.215,14,70.225,1298,70.260417
2024-01-02 17:00:00+00:00,70.7,70.7,70.475,7,70.475,300,70.5875
2024-01-02 17:05:00+00:00,70.89,70.89,70.84,10,70.845,1006,70.855
2024-01-02 17:10:00+00:00,70.63,70.84,70.63,17,70.84,1176,70.72025
2024-01-02 17:15:00+00:00,70.53,70.56,70.48,19,70.52,1461,70.513462
2024-01-02 17:20:00+00:00,70.29,70.62,70.29,11,70.54,763,70.534667
2024-01-02 17:25:00+00:00,70.32,70.33,70.26,13,70.26,560,70.302
2024-01-02 17:30:00+00:00,70.37,70.37,70.37,8,70.37,381,70.37
2024-01-02 17:35:00+00:00,70.34,70.34,70.34,3,70.34,120,70.34
2024-01-02 17:40:00+00:00,70.4,70.51,70.4,7,70.51,610,70.45
2024-01-02 17:45:00+00:00,70.42,70.42,70.42,1,70.42,100,70.42
2024-01-02 17:50:00+00:00,70.21,70.31,70.125,11,70.31,992,70.251667
2024-01-02 17:55:00+00:00,69.91,70.11,69.9,13,70.11,1322,70.012308
2024-01-02 18:00:00+00:00,69.78,69.78,69.73,3,69.73,201,69.755
2024-01-02 18:05:00+00:00,69.6,69.84,69.6,10,69.84,920,69.701667
2024-01-02 18:10:00+00:00,69.81,69.81,69.66,9,69.66,600,69.7125
2024-01-02 18:15:00+00:00,69.86,69.87,69.86,2,69.87,200,69.865
2024-01-02 18:20:00+00:00,69.9,69.9,69.89,5,69.89,375,69.896667
2024-01-02 18:25:00+00:00,69.87,69.94,69.84,9,69.87,722,69.873571
2024-01-02 18:30:00+00:00,69.9,69.9,69.9,6,69.9,250,69.9
2024-01-02 18:35:00+00:00,70.13,70.24,69.99,10,69.99,618,70.103
2024-01-02 18:40:00+00:00,69.925,70.08,69.925,2,70.08,200,70.0025
2024-01-02 18:45:00+00:00,69.94,70.01,69.91,14,69.97,1017,69.961579
2024-01-02 18:50:00+00:00,69.77,69.82,69.77,23,69.81,770,69.802
2024-01-02 18:55:00+00:00,69.72,69.76,69.72,12,69.72,642,69.7375
2024-01-02 19:00:00+00:00,69.59,69.67,69.59,11,69.62,825,69.628125
2024-01-02 19:05:00+00:00,69.45,69.55,69.41,9,69.55,422,69.47
2024-01-02 19:10:00+00:00,69.54,69.55,69.4,6,69.4,400,69.496667
2024-01-02 19:15:00+00:00,69.47,69.57,69.47,3,69.57,215,69.518077
2024-01-02 19:20:00+00:00,69.44,69.44,69.44,1,69.44,100,69.44
2024-01-02 19:25:00+00:00,69.64,69.64,69.64,2,69.64,101,69.64
2024-01-02 19:30:00+00:00,69.535,69.535,69.46,15,69.5,661,69.501
2024-01-02 19:35:00+00:00,69.295,69.39,69.295,10,69.39,603,69.32
2024-01-02 19:40:00+00:00,69.21,69.28,69.21,7,69.21,500,69.23
2024-01-02 19:45:00+00:00,69.33,69.33,69.29,6,69.31,415,69.3125
2024-01-02 19:50:00+00:00,69.21,69.31,69.21,6,69.29,508,69.258
2024-01-02 19:55:00+00:00,69.21,69.21,69.16,4,69.195,400,69.19375
