timestamp,close,high,low,n,open,volume,vw
2024-01-02 14:35:00+00:00,79.77,79.83,79.68,33,79.68,2424,79.772763
2024-01-02 14:40:00+00:00,79.855,79.945,79.835,12,79.86,882,79.87375
2024-01-02 14:45:00+00:00,80.055,80.185,79.99,56,79.99,5443,80.120482
2024-01-02 14:50:00+00:00,80.065,80.065,80.005,6,80.005,667,80.017
2024-01-02 14:55:00+00:00,80.09,80.09,80.09,3,80.09,301,80.09
2024-01-02 15:00:00+00:00,80.13,80.14,80.08,12,80.09,846,80.121875
2024-01-02 15:05:00+00:00,80.03,80.155,80.03,19,80.14,1261,80.120067
2024-01-02 15:10:00+00:00,80.16,80.16,80.09,38,80.09,3811,80.130542
2024-01-02 15:15:00+00:00,80.245,80.245,80.18,22,80.18,1750,80.219412
2024-01-02 15:20:00+00:00,80.335,80.335,80.265,22,80.27,1569,80.293343
2024-01-02 15:25:00+00:00,80.37,80.425,80.32,21,80.32,1973,80.38314
2024-01-02 15:30:00+00:00,80.33,80.445,80.33,18,80.41,1350,80.38125
2024-01-02 15:35:00+00:00,80.4,80.41,80.32,31,80.38,2754,80.365555
2024-01-02 15:40:00+00:00,80.45,80.45,80.415,12,80.42,760,80.435714
2024-01-02 15:45:00+00:00,80.555,80.555,80.48,8,80.48,783,80.522857
2024-01-02 15:50:00+00:00,80.565,80.6,80.535,24,80.585,2415,80.571197
2024-01-02 15:55:00+00:00,80.63,80.63,80.49,32,80.545,3980,80.535833
2024-01-02 16:00:00+00:00,80.43,80.57,80.43,35,80.57,4393,80.484123
2024-01-02 16:05:00+00:00,80.375,80.455,80.375,16,80.41,2889,80.411809
2024-01-02 16:10:00+00:00,80.2,80.41,80.2,36,80.41,2611,80.302381
2024-01-02 16:15:00+00:00,80.09,80.23,80.09,32,80.23,1823,80.121783
2024-01-02 16:20:00+00:00,80.05,80.08,80.05,24,80.07,1260,80.067284
2024-01-02 16:25:00+00:00,80.06,80.08,80.01,47,80.01,3847,80.037286
2024-01-02 16:30:00+00:00,80.16,80.16,80.05,21,80.05,1230,80.108182
2024-01-02 16:35:00+00:00,80.08,80.17,80.08,20,80.17,1313,80.110371
2024-01-02 16:40:00+00:00,80.05,80.085,80.05,21,80.085,1135,80.064167
2024-01-02 16:45:00+00:00,80.02,80.09,80.01,28,80.07,2152,80.0565
2024-01-02 16:50:00+00:00,80.03,80.06,80.0,99,80.03,7475,80.038031
2024-01-02 16:55:00+00:00,80.1,80.1,80.04,23,80.04,1180,80.085872
2024-01-02 17:00:00+00:00,80.07,80.12,80.07,33,80.075,2800,80.099773
2024-01-02 17:05:00+00:00,80.07,80.09,80.05,17,80.09,1009,80.064375
2024-01-02 17:10:00+00:00,80.14,80.14,80.06,14,80.06,846,80.09
2024-01-02 17:15:00+00:00,80.02,80.08,80.02,21,80.08,1591,80.046755
2024-01-02 17:20:00+00:00,80.06,80.06,80.04,13,80.04,537,80.05
2024-01-02 17:25:00+00:00,80.07,80.1,80.055,15,80.095,1089,80.086
2024-01-02 17:30:00+00:00,80.09,80.09,80.09,8,80.09,398,80.09
2024-01-02 17:35:00+00:00,80.15,80.17,80.1,5,80.1,313,80.14
2024-01-02 17:40:00+00:00,80.11,80.14,80.11,12,80.14,642,80.12375
2024-01-02 17:45:00+00:00,80.2,80.2,80.13,13,80.13,919,80.176429
2024-01-02 17:50:00+00:00,80.135,80.17,80.105,22,80.17,1670,80.134174
2024-01-02 17:55:00+00:00,80.17,80.17,80.115,6,80.115,372,80.148333
2024-01-02 18:00:00+00:00,80.21,80.21,80.16,13,80.16,833,80.18375
2024-01-02 18:05:00+00:00,80.22,80.22,80.22,3,80.22,107,80.22
2024-01-02 18:10:00+00:00,80.265,80.31,80.265,7,80.31,993,80.298333
2024-01-02 18:15:00+00:00,80.26,80.27,80.215,12,80.27,740,80.239167
2024-01-02 18:20:00+00:00,80.22,80.26,80.19,14,80.26,915,80.219444
2024-01-02 18:25:00+00:00,80.275,80.275,80.23,13,80.23,553,80.259135
2024-01-02 18:30:00+00:00,80.265,80.265,80.25,9,80.25,398,80.2575
2024-01-02 18:35:00+00:00,80.37,80.37,80.35,3,80.35,300,80.363333
2024-01-02 18:40:00+00:00,80.4,80.405,80.38,9,80.38,607,80.398191
2024-01-02 18:45:00+00:00,80.37,80.4,80.33,11,80.4,554,80.36
2024-01-02 18:50:00+00:00,80.33,80.4,80.33,12,80.4,733,80.355714
2024-01-02 18:55:00+00:00,80.35,80.385,80.34,11,80.385,459,80.35625
2024-01-02 19:00:00+00:00,80.45,80.45,80.35,8,80.35,908,80.428333
2024-01-02 19:05:00+00:00,80.46,80.47,80.44,11,80.47,1082,80.45921
2024-01-02 19:10:00+00:00,80.45,80.5,80.45,13,80.475,1025,80.478333
2024-01-02 19:15:00+00:00,80.56,80.56,80.48,11,80.48,1012,80.5125
2024-01-02 19:20:00+00:00,80.5,80.555,80.48,23,80.555,2160,80.511232
2024-01-02 19:25:00+00:00,80.505,80.505,80.465,14,80.48,1217,80.480833
2024-01-02 19:30:00+00:00,80.515,80.55,80.515,12,80.54,767,80.528877
2024-01-02 19:35:00+00:00,80.545,80.545,80.47,16,80.48,921,80.50375
2024-01-02 19:40:00+00:00,80.58,80.61,80.55,19,80.565,1442,80.586212
2024-01-02 19:45:00+00:00,80.58,80.58,80.56,19,80.57,1547,80.572667
2024-01-02 19:50:00+00:00,80.59,80.63,80.585,20,80.585,1583,80.605164
2024-01-02 19:55:00+00:00,80.62,80.62,80.585,28,80.585,1197,80.603571
2024-01-02 20:00:00+00:00,80.62,80.655,80.6,43,80.6,2748,80.633696
2024-01-02 20:05:00+00:00,80.54,80.57,80.49,29,80.57,1929,80.525588
2024-01-02 20:10:00+00:00,80.58,80.58,80.53,21,80.53,1176,80.558182
2024-01-02 20:15:00+00:00,80.59,80.61,80.54,29,80.57,2033,80.567105
2024-01-02 20:20:00+00:00,80.57,80.62,80.57,12,80.58,760,80.592478
2024-01-02 20:25:00+00:00,80.54,80.545,80.51,15,80.545,1119,80.530575
2024-01-02 20:30:00+00:00,80.475,80.61,80.445,34,80.5,2520,80.533203
2024-01-02 20:35:00+00:00,80.5,80.525,80.495,17,80.5,1109,80.514444
2024-01-02 20:40:00+00:00,80.49,80.49,80.46,21,80.49,1033,80.481429
2024-01-02 20:45:00+00:00,80.59,80.59,80.49,37,80.505,2611,80.545069
2024-01-02 20:50:00+00:00,80.59,80.595,80.49,88,80.57,6757,80.563575
2024-01-02 20:55:00+00:00,80.73,80.73,80.53,205,80.585,20355,80.626484
2024-01-03 14:30:00+00:00,80.78,81.23,80.78,17,81.23,1210,80.919
2024-01-03 14:35:00+00:00,80.66,80.78,80.66,39,80.78,2769,80.729524
2024-01-03 14:40:00+00:00,80.445,80.67,80.405,22,80.65,1953,80.525
2024-01-03 14:45:00+00:00,80.58,80.58,80.44,20,80.44,1276,80.508333
2024-01-03 14:50:00+00:00,80.76,80.76,80.59,23,80.605,1599,80.665714
2024-01-03 14:55:00+00:00,80.775,80.84,80.76,19,80.76,1195,80.8015
2024-01-03 15:00:00+00:00,80.73,80.75,80.58,31,80.75,1591,80.658636
2024-01-03 15:05:00+00:00,80.54,80.845,80.54,35,80.76,2506,80.69485
2024-01-03 15:10:00+00:00,80.59,80.59,80.58,10,80.58,421,80.583333
