timestamp,close,high,low,n,open,volume,vw
2024-01-02 16:30:00+00:00,34.15,34.15,34.15,2,34.15,200,34.15
2024-01-02 17:15:00+00:00,34.36,34.36,34.36,2,34.36,122,34.36
2024-01-02 20:05:00+00:00,33.54,33.54,33.54,1,33.54,100,33.54
2024-01-02 20:15:00+00:00,33.54,33.54,33.54,1,33.54,138,33.54
2024-01-04 19:50:00+00:00,31.03,31.03,31.03,1,31.03,100,31.03
2024-01-05 14:30:00+00:00,31.57,31.57,31.57,1,31.57,100,31.57
2024-01-09 15:30:00+00:00,31.88,31.88,31.88,2,31.88,156,31.88
2024-01-09 17:05:00+00:00,31.3,31.3,31.3,3,31.3,500,31.3
2024-01-09 17:20:00+00:00,31.38,31.38,31.38,1,31.38,100,31.38
2024-01-09 19:00:00+00:00,31.28,31.28,31.28,1,31.28,100,31.28
2024-01-10 19:50:00+00:00,31.01,31.01,31.01,5,31.01,600,31.01
2024-01-11 16:55:00+00:00,30.94,30.94,30.94,1,30.94,100,30.94
2024-01-12 16:00:00+00:00,32.84,32.84,32.84,1,32.84,151,32.84
2024-01-12 19:50:00+00:00,32.55,32.55,32.55,1,32.55,100,32.55
2024-01-17 20:55:00+00:00,28.27,28.27,28.27,2,28.27,247,28.27
2024-01-19 16:15:00+00:00,29.27,29.27,29.01,5,29.01,657,29.172177
2024-01-19 16:20:00+00:00,29.17,29.17,29.17,3,29.17,203,29.17
2024-01-19 16:45:00+00:00,29.52,29.52,29.52,1,29.52,100,29.52
2024-01-23 16:25:00+00:00,28.57,28.57,28.57,2,28.57,200,28.57
2024-01-23 17:00:00+00:00,28.79,28.79,28.79,1,28.79,102,28.79
2024-01-24 15:25:00+00:00,30.37,30.46,30.37,4,30.46,463,30.389438
2024-01-24 16:40:00+00:00,30.52,30.52,30.52,1,30.52,100,30.52
2024-01-24 19:20:00+00:00,29.545,29.545,29.545,3,29.545,300,29.545
2024-01-25 16:20:00+00:00,28.89,28.89,28.89,1,28.89,100,28.89
2024-01-25 19:55:00+00:00,31.1,31.1,30.95,5,30.95,500,31.014
2024-01-25 20:15:00+00:00,31.01,31.01,31.01,4,31.01,400,31.01
2024-01-26 16:10:00+00:00,31.53,31.53,31.53,1,31.53,158,31.53
2024-01-26 19:45:00+00:00,32.28,32.28,32.28,1,32.28,100,32.28
2024-01-26 20:00:00+00:00,32.53,32.53,32.53,1,32.53,100,32.53
2024-01-26 20:45:00+00:00,31.88,31.91,31.87,6,31.91,900,31.884444
2024-01-29 15:30:00+00:00,31.83,31.83,31.83,1,31.83,100,31.83
2024-01-29 15:40:00+00:00,31.83,31.83,31.83,1,31.83,100,31.83
2024-01-29 16:50:00+00:00,31.72,31.72,31.72,1,31.72,100,31.72
2024-01-30 14:40:00+00:00,31.96,31.96,31.96,2,31.96,200,31.96
2024-01-30 17:40:00+00:00,32.355,32.355,32.355,2,32.355,161,32.355
2024-01-30 20:10:00+00:00,33.23,33.23,33.23,1,33.23,100,33.23
2024-01-30 20:50:00+00:00,32.69,32.81,32.69,3,32.81,350,32.73
2024-01-31 19:55:00+00:00,33.55,33.55,33.55,1,33.55,100,33.55
2024-01-31 20:15:00+00:00,32.78,32.78,32.78,1,32.78,100,32.78
2024-02-01 18:35:00+00:00,33.6,33.6,33.6,1,33.6,100,33.6
2024-02-02 15:40:00+00:00,33.75,33.75,33.75,1,33.75,100,33.75
2024-02-05 15:20:00+00:00,33.05,33.05,33.05,1,33.05,100,33.05
2024-02-05 15:35:00+00:00,33.5,33.5,33.5,1,33.5,100,33.5
2024-02-05 17:40:00+00:00,33.83,33.83,33.83,1,33.83,100,33.83
2024-02-05 17:50:00+00:00,33.89,33.89,33.89,2,33.89,200,33.89
2024-02-05 18:55:00+00:00,33.93,33.93,33.93,1,33.93,100,33.93
2024-02-05 20:20:00+00:00,33.39,33.39,33.39,1,33.39,100,33.39
2024-02-06 19:25:00+00:00,36.045,36.045,36.045,1,36.045,100,36.045
2024-02-07 14:55:00+00:00,35.79,35.79,35.79,1,35.79,100,35.79
2024-02-07 16:15:00+00:00,35.6,35.6,35.6,1,35.6,100,35.6
2024-02-07 16:35:00+00:00,35.03,35.03,35.03,3,35.03,160,35.03
2024-02-08 14:50:00+00:00,34.68,34.68,34.68,1,34.68,100,34.68
2024-02-08 18:20:00+00:00,33.88,33.88,33.88,3,33.88,300,33.88
2024-02-08 18:45:00+00:00,33.75,33.75,33.75,1,33.75,153,33.75
2024-02-09 18:30:00+00:00,33.845,33.845,33.845,1,33.845,182,33.845
2024-02-12 14:50:00+00:00,33.6,33.6,33.6,1,33.6,100,33.6
2024-02-12 17:15:00+00:00,33.86,33.86,33.86,1,33.86,100,33.86
2024-02-12 18:30:00+00:00,33.38,33.38,33.38,1,33.38,100,33.38
2024-02-13 15:40:00+00:00,32.07,32.07,32.07,6,32.07,304,32.07
2024-02-13 20:00:00+00:00,32.13,32.13,32.13,1,32.13,100,32.13
2024-02-20 15:50:00+00:00,33.33,33.33,33.33,1,33.33,100,33.33
2024-02-20 19:20:00+00:00,32.84,32.84,32.84,1,32.84,100,32.84
2024-02-23 14:50:00+00:00,31.96,31.96,31.96,1,31.96,100,31.96
2024-02-26 15:05:00+00:00,31.15,31.15,31.15,2,31.15,160,31.15
2024-02-27 20:55:00+00:00,31.25,31.25,31.25,1,31.25,100,31.25
2024-02-28 14:40:00+00:00,30.57,30.57,30.57,1,30.57,100,30.57
2024-02-28 17:25:00+00:00,29.84,29.84,29.84,1,29.84,100,29.84
2024-02-28 20:50:00+00:00,29.53,29.53,29.53,1,29.53,100,29.53
2024-02-29 20:15:00+00:00,30.08,30.08,30.08,2,30.08,165,30.08
2024-03-01 20:50:00+00:00,30.47,30.47,30.47,2,30.47,200,30.47
2024-03-04 18:05:00+00:00,30.78,30.78,30.78,1,30.78,100,30.78
2024-03-06 14:35:00+00:00,31.62,31.62,31.62,2,31.62,200,31.62
2024-03-06 15:40:00+00:00,31.135,31.135,31.135,1,31.135,100,31.135
2024-03-06 16:10:00+00:00,31.16,31.16,31.16,2,31.16,101,31.16
2024-03-06 17:55:00+00:00,30.69,30.69,30.69,1,30.69,100,30.69
2024-03-06 18:55:00+00:00,30.57,30.57,30.57,1,30.57,140,30.57
2024-03-06 20:05:00+00:00,30.63,30.64,30.63,2,30.64,200,30.635
2024-03-06 20:50:00+00:00,30.65,30.65,30.65,1,30.65,100,30.65
2024-03-07 14:40:00+00:00,30.7,30.7,30.7,1,30.7,100,30.7
2024-03-08 14:30:00+00:00,30.95,30.95,30.95,1,30.95,100,30.95
2024-03-08 16:10:00+00:00,30.4,30.4,30.4,1,30.4,100,30.4
2024-03-11 19:20:00+00:00,30.67,30.67,30.67,3,30.67,300,30.67
2024-03-12 18:25:00+00:00,30.32,30.32,30.3,2,30.3,200,30.31
2024-03-13 17:50:00+00:00,32.45,32.45,32.44,3,32.44,212,32.445
2024-03-13 19:50:00+00:00,32.43,32.43,32.43,2,32.43,300,32.43
2024-03-18 14:30:00+00:00,31.655,31.655,31.655,1,31.655,100,31.655
2024-03-18 15:30:00+00:00,31.745,31.745,31.745,1,31.745,100,31.745
2024-03-18 16:10:00+00:00,31.72,31.72,31.72,1,31.72,157,31.72
2024-03-19 18:40:00+00:00,30.64,30.64,30.64,1,30.64,100,30.64
2024-03-20 19:35:00+00:00,32.9,32.9,32.9,1,32.9,100,32.9
2024-03-21 13:40:00+00:00,33.11,33.15,33.11,3,33.15,400,33.13
2024-03-21 13:50:00+00:00,32.98,32.98,32.98,1,32.98,100,32.98
2024-03-26 16:00:00+00:00,33.74,33.74,33.74,1,33.74,148,33.74
2024-03-26 19:50:00+00:00,34.04,34.04,34.04,1,34.04,100,34.04
2024-03-27 15:15:00+00:00,34.04,34.04,34.04,1,34.04,100,34.04
2024-03-27 17:15:00+00:00,34.98,34.98,34.98,1,34.98,100,34.98
2024-03-27 19:00:00+00:00,34.96,34.96,34.96,1,34.96,100,34.96
2024-04-01 14:40:00+00:00,34.58,34.58,34.58,2,34.58,144,34.58
2024-04-02 13:55:00+00:00,34.72,34.72,34.72,1,34.72,100,34.72
2024-04-03 17:45:00+00:00,35.76,35.76,35.76,1,35.76,100,35.76
2024-04-03 19:10:00+00:00,35.1,35.1,35.1,1,35.1,100,35.1
2024-04-04 15:50:00+00:00,36.03,36.03,36.03,1,36.03,138,36.03
2024-04-04 19:25:00+00:00,35.12,35.12,35.12,1,35.12,100,35.12
2024-04-09 16:20:00+00:00,36.56,36.56,36.56,1,36.56,100,36.56
2024-04-09 16:45:00+00:00,36.15,36.15,36.15,1,36.15,100,36.15
2024-04-11 15:25:00+00:00,33.31,33.31,33.31,1,33.31,100,33.31
2024-04-12 18:20:00+00:00,32.44,32.44,32.44,1,32.44,100,32.44
2024-04-12 19:30:00+00:00,32.11,32.11,32.11,1,32.11,100,32.11
2024-04-15 13:30:00+00:00,32.4,32.4,32.4,1,32.4,100,32.4
2024-04-15 15:25:00+00:00,31.65,31.65,31.65,1,31.65,100,31.65
2024-04-15 15:40:00+00:00,31.845,31.845,31.845,1,31.845,100,31.845
2024-04-19 15:25:00+00:00,27.82,27.82,27.82,1,27.82,100,27.82
2024-04-22 16:05:00+00:00,28.56,28.56,28.56,1,28.56,125,28.56
2024-04-22 17:00:00+00:00,28.96,28.96,28.96,1,28.96,102,28.96
2024-04-23 14:20:00+00:00,30.2,30.2,30.2,1,30.2,100,30.2
2024-04-23 16:20:00+00:00,30.28,30.28,30.28,1,30.28,100,30.28
2024-04-23 17:00:00+00:00,30.29,30.29,30.29,1,30.29,100,30.29
2024-04-23 17:30:00+00:00,30.31,30.31,30.31,1,30.31,100,30.31
2024-04-23 18:25:00+00:00,30.65,30.65,30.65,2,30.65,162,30.65
2024-04-24 18:20:00+00:00,29.84,29.84,29.84,1,29.84,163,29.84
2024-04-26 19:55:00+00:00,31.12,31.12,31.12,1,31.12,100,31.12
2024-04-29 16:45:00+00:00,31.34,31.34,31.34,1,31.34,100,31.34
2024-05-02 17:30:00+00:00,30.36,30.36,30.36,1,30.36,164,30.36
2024-05-10 15:50:00+00:00,33.06,33.06,33.06,1,33.06,100,33.06
2024-05-10 16:05:00+00:00,32.9,32.9,32.9,1,32.9,100,32.9
2024-05-14 14:35:00+00:00,32.02,32.02,32.02,1,32.02,100,32.02
2024-05-15 19:55:00+00:00,33.13,33.13,33.13,1,33.13,100,33.13
2024-05-23 19:50:00+00:00,30.13,30.13,30.13,1,30.13,100,30.13
2024-05-24 17:35:00+00:00,29.75,29.75,29.75,1,29.75,100,29.75
2024-05-28 14:10:00+00:00,28.95,28.95,28.95,1,28.95,130,28.95
2024-06-03 13:55:00+00:00,24.07,24.07,24.07,1,24.07,100,24.07
2024-06-03 14:05:00+00:00,23.28,23.28,22.97,4,22.97,600,23.130833
2024-06-03 14:30:00+00:00,23.575,23.575,23.565,3,23.565,1000,23.572
2024-06-03 16:25:00+00:00,20.755,20.78,20.755,3,20.78,300,20.763333
2024-06-03 17:55:00+00:00,18.9,18.9,18.89,2,18.89,200,18.895
2024-06-03 18:20:00+00:00,19.38,19.38,19.38,1,19.38,100,19.38
2024-06-03 18:25:00+00:00,19.77,19.77,19.77,1,19.77,100,19.77
2024-06-03 19:10:00+00:00,18.42,18.42,18.42,2,18.42,200,18.42
2024-06-03 19:30:00+00:00,18.85,18.85,18.85,1,18.85,100,18.85
2024-06-03 20:05:00+00:00,19.3,19.3,19.3,1,19.3,100,19.3
2024-06-04 13:30:00+00:00,19.28,19.28,19.28,1,19.28,200,19.28
2024-06-04 13:35:00+00:00,19.56,19.7,19.55,13,19.59,1630,19.623178
2024-06-04 14:05:00+00:00,19.95,19.95,19.93,4,19.93,700,19.941429
2024-06-04 14:10:00+00:00,20.43,20.43,20.2,5,20.2,2200,20.348636
2024-06-04 14:15:00+00:00,20.67,20.67,20.67,1,20.67,100,20.67
2024-06-04 14:20:00+00:00,20.46,20.46,20.42,7,20.45,1100,20.44317
2024-06-04 14:45:00+00:00,20.41,20.435,20.41,3,20.435,400,20.4225
2024-06-04 15:05:00+00:00,20.31,20.31,20.31,1,20.31,100,20.31
2024-06-04 15:15:00+00:00,20.76,20.76,20.76,1,20.76,100,20.76
2024-06-04 15:55:00+00:00,20.84,20.84,20.84,2,20.84,163,20.84
2024-06-04 16:35:00+00:00,19.85,19.85,19.85,2,19.85,200,19.85
2024-06-04 17:40:00+00:00,20.2,20.2,20.2,1,20.2,200,20.2
2024-06-04 19:25:00+00:00,20.28,20.28,20.28,1,20.28,100,20.28
2024-06-04 19:55:00+00:00,20.26,20.46,20.26,5,20.46,785,20.383567
2024-06-05 13:30:00+00:00,21.13,21.13,21.13,1,21.13,100,21.13
2024-06-05 13:35:00+00:00,21.26,21.26,21.26,4,21.26,400,21.26
2024-06-05 13:50:00+00:00,21.675,21.675,21.675,1,21.675,200,21.675
2024-06-05 14:00:00+00:00,21.7,21.705,21.7,2,21.705,1000,21.7025
2024-06-05 14:10:00+00:00,21.74,21.74,21.74,1,21.74,100,21.74
2024-06-05 16:00:00+00:00,22.81,22.81,22.76,6,22.76,2500,22.7972
2024-06-05 18:05:00+00:00,22.61,22.61,22.61,1,22.61,200,22.61
2024-06-05 19:55:00+00:00,22.95,22.95,22.95,3,22.95,400,22.95
2024-06-06 13:40:00+00:00,23.11,23.11,23.11,1,23.11,100,23.11
2024-06-06 13:55:00+00:00,23.37,23.37,23.37,1,23.37,100,23.37
2024-06-06 14:00:00+00:00,23.5,23.5,23.5,1,23.5,100,23.5
2024-06-06 14:10:00+00:00,23.51,23.51,23.51,1,23.51,100,23.51
2024-06-06 15:35:00+00:00,23.915,23.915,23.915,1,23.915,100,23.915
2024-06-06 15:40:00+00:00,23.925,23.925,23.925,1,23.925,100,23.925
2024-06-06 15:55:00+00:00,24.04,24.1,24.04,16,24.1,1800,24.057222
2024-06-06 16:00:00+00:00,24.05,24.05,24.01,5,24.04,500,24.036
2024-06-06 17:35:00+00:00,24.13,24.13,24.13,1,24.13,100,24.13
2024-06-06 18:30:00+00:00,23.46,23.46,23.46,2,23.46,500,23.46
2024-06-06 18:35:00+00:00,23.2,23.24,23.2,3,23.24,400,23.22
2024-06-06 18:40:00+00:00,23.18,23.19,23.18,4,23.19,400,23.185
2024-06-06 18:45:00+00:00,23.26,23.26,23.26,1,23.26,190,23.26
2024-06-06 19:20:00+00:00,22.85,22.91,22.85,2,22.91,200,22.88
2024-06-06 19:25:00+00:00,22.05,22.05,22.05,2,22.05,226,22.05
2024-06-06 19:30:00+00:00,21.53,21.53,21.53,3,21.53,225,21.53
