timestamp,close,high,low,n,open,volume,vw
2024-01-02 14:30:00+00:00,24.4,24.525,24.0,72,24.49,7156,24.307238
2024-01-02 14:35:00+00:00,24.41,24.6,24.41,41,24.44,3175,24.506607
2024-01-02 14:40:00+00:00,24.34,24.48,24.245,34,24.47,3440,24.319099
2024-01-02 14:45:00+00:00,24.075,24.14,24.045,12,24.14,1016,24.078
2024-01-02 14:50:00+00:00,24.075,24.26,24.075,26,24.1,2762,24.197783
2024-01-02 14:55:00+00:00,24.0,24.085,23.91,27,24.085,2765,23.994822
2024-01-02 15:00:00+00:00,24.235,24.34,24.23,14,24.29,3893,24.318866
2024-01-02 15:05:00+00:00,24.1,24.185,24.1,8,24.185,1817,24.16148
2024-01-02 15:10:00+00:00,24.02,24.155,24.02,20,24.155,2648,24.098077
2024-01-02 15:15:00+00:00,23.87,23.97,23.87,29,23.955,2081,23.931665
2024-01-02 15:20:00+00:00,24.03,24.03,23.82,40,23.82,2312,23.920625
2024-01-02 15:25:00+00:00,23.94,24.01,23.89,47,24.01,16995,23.911459
2024-01-02 15:30:00+00:00,23.92,23.92,23.84,11,23.875,665,23.885
2024-01-02 15:35:00+00:00,23.83,23.915,23.83,23,23.915,947,23.860192
2024-01-02 15:40:00+00:00,23.92,23.92,23.795,50,23.795,2423,23.855492
2024-01-02 15:45:00+00:00,23.835,23.93,23.835,6,23.93,322,23.871667
2024-01-02 15:50:00+00:00,23.9,23.9,23.79,15,23.79,670,23.826
2024-01-02 15:55:00+00:00,23.92,24.01,23.92,26,24.01,911,23.964
2024-01-02 16:00:00+00:00,23.97,24.0,23.955,15,23.97,858,23.972
2024-01-02 16:05:00+00:00,24.05,24.05,23.96,22,23.98,788,23.997
2024-01-02 16:10:00+00:00,24.04,24.095,24.0,20,24.095,1266,24.025
2024-01-02 16:15:00+00:00,24.13,24.13,24.04,14,24.08,798,24.089286
2024-01-02 16:20:00+00:00,24.015,24.115,24.005,33,24.115,3298,24.027154
2024-01-02 16:25:00+00:00,24.16,24.165,24.02,26,24.02,2065,24.077752
2024-01-02 16:30:00+00:00,24.215,24.215,24.15,27,24.15,3559,24.190217
2024-01-02 16:35:00+00:00,24.235,24.265,24.225,11,24.225,2113,24.247857
2024-01-02 16:40:00+00:00,24.235,24.255,24.235,5,24.24,322,24.243333
2024-01-02 16:45:00+00:00,24.29,24.295,24.23,27,24.23,1553,24.280012
2024-01-02 16:50:00+00:00,24.27,24.285,24.27,6,24.28,408,24.2775
2024-01-02 16:55:00+00:00,24.18,24.23,24.17,14,24.23,1331,24.208461
2024-01-02 17:00:00+00:00,24.185,24.185,24.135,8,24.145,1226,24.14
2024-01-02 17:05:00+00:00,24.26,24.27,24.21,19,24.225,1143,24.246875
2024-01-02 17:10:00+00:00,24.29,24.29,24.25,7,24.25,427,24.27625
2024-01-02 17:15:00+00:00,24.285,24.295,24.27,21,24.295,1358,24.282874
2024-01-02 17:20:00+00:00,24.26,24.3,24.25,12,24.3,711,24.275833
2024-01-02 17:25:00+00:00,24.265,24.28,24.265,10,24.27,496,24.272408
2024-01-02 17:30:00+00:00,24.295,24.295,24.225,18,24.225,604,24.241
2024-01-02 17:35:00+00:00,24.285,24.3,24.265,18,24.295,1202,24.291818
2024-01-02 17:40:00+00:00,24.25,24.28,24.245,7,24.28,413,24.26125
2024-01-02 17:45:00+00:00,24.19,24.2,24.185,6,24.2,408,24.1925
2024-01-02 17:50:00+00:00,24.185,24.195,24.16,9,24.195,457,24.17625
2024-01-02 17:55:00+00:00,24.1,24.16,24.09,8,24.16,713,24.11
2024-01-02 18:00:00+00:00,24.095,24.13,24.095,10,24.11,920,24.111667
2024-01-02 18:05:00+00:00,24.085,24.17,24.085,14,24.14,1127,24.1435
2024-01-02 18:10:00+00:00,24.08,24.11,24.08,18,24.11,547,24.095
2024-01-02 18:15:00+00:00,24.105,24.105,24.08,6,24.08,504,24.097
2024-01-02 18:20:00+00:00,24.18,24.195,24.125,18,24.125,790,24.169167
2024-01-02 18:25:00+00:00,24.125,24.165,24.11,6,24.165,502,24.1275
2024-01-02 18:30:00+00:00,24.175,24.175,24.165,6,24.165,221,24.17
2024-01-02 18:35:00+00:00,24.14,24.165,24.14,12,24.16,896,24.156429
2024-01-02 18:40:00+00:00,24.195,24.195,24.165,12,24.165,632,24.18125
2024-01-02 18:45:00+00:00,24.1,24.11,24.085,33,24.11,3756,24.097969
2024-01-02 18:50:00+00:00,24.085,24.085,24.05,8,24.05,476,24.0625
2024-01-02 18:55:00+00:00,23.975,24.05,23.975,18,24.05,1240,24.00375
2024-01-02 19:00:00+00:00,23.935,23.935,23.92,12,23.925,2030,23.928684
2024-01-02 19:05:00+00:00,23.91,23.91,23.91,3,23.91,118,23.91
2024-01-02 19:10:00+00:00,23.94,23.94,23.94,7,23.94,310,23.94
2024-01-02 19:15:00+00:00,23.94,23.96,23.91,14,23.94,919,23.934286
2024-01-02 19:20:00+00:00,23.95,23.95,23.95,4,23.95,181,23.95
2024-01-02 19:25:00+00:00,23.955,23.955,23.95,3,23.95,230,23.9525
2024-01-02 19:30:00+00:00,23.94,23.94,23.94,4,23.94,310,23.94
2024-01-02 19:35:00+00:00,23.865,23.91,23.865,7,23.91,541,23.893
2024-01-02 19:40:00+00:00,23.89,23.89,23.845,17,23.85,1857,23.87681
2024-01-02 19:45:00+00:00,23.875,23.9,23.87,17,23.9,1382,23.883077
2024-01-02 19:50:00+00:00,23.815,23.86,23.8,17,23.86,879,23.839375
2024-01-02 19:55:00+00:00,23.79,23.805,23.79,23,23.8,1704,23.797818
2024-01-02 20:00:00+00:00,23.635,23.76,23.635,46,23.75,3092,23.705569
2024-01-02 20:05:00+00:00,23.74,23.75,23.67,24,23.68,1319,23.703637
2024-01-02 20:10:00+00:00,23.73,23.76,23.71,23,23.76,924,23.7275
2024-01-02 20:20:00+00:00,23.81,23.81,23.78,27,23.81,1171,23.792717
2024-01-02 20:25:00+00:00,23.78,23.785,23.78,6,23.785,250,23.7825
2024-01-02 20:30:00+00:00,23.785,23.815,23.74,36,23.785,2630,23.780627
2024-01-02 20:35:00+00:00,23.725,23.785,23.725,18,23.785,1526,23.752251
2024-01-02 20:40:00+00:00,23.7,23.75,23.7,8,23.75,441,23.72625
2024-01-02 20:45:00+00:00,23.705,23.725,23.68,33,23.7,2308,23.702154
2024-01-02 20:50:00+00:00,23.81,23.83,23.755,45,23.755,3634,23.802308
2024-01-02 20:55:00+00:00,23.795,23.85,23.795,146,23.8,14718,23.828864
2024-01-03 14:30:00+00:00,23.225,23.34,22.95,40,23.13,8267,23.205185
2024-01-03 14:35:00+00:00,23.34,23.41,23.26,53,23.26,4003,23.328636
2024-01-03 14:40:00+00:00,23.41,23.41,23.31,62,23.4,3046,23.364212
2024-01-03 14:45:00+00:00,23.195,23.38,23.18,68,23.38,2957,23.286712
2024-01-03 14:50:00+00:00,23.18,23.28,23.16,52,23.195,2690,23.237101
2024-01-03 14:55:00+00:00,23.09,23.105,23.045,25,23.105,1481,23.073857
2024-01-03 15:00:00+00:00,23.155,23.22,23.08,45,23.205,3753,23.141901
2024-01-03 15:05:00+00:00,23.08,23.19,23.08,48,23.125,3650,23.143472
2024-01-03 15:10:00+00:00,22.95,23.035,22.9,36,23.02,2288,22.944134
2024-01-03 15:15:00+00:00,22.91,22.945,22.88,36,22.925,2328,22.916429
2024-01-03 15:20:00+00:00,22.84,22.89,22.785,37,22.89,2955,22.82983
2024-01-03 15:25:00+00:00,22.815,22.89,22.805,31,22.875,3102,22.835172
2024-01-03 15:30:00+00:00,22.775,22.84,22.74,35,22.8,3132,22.777483
2024-01-03 15:35:00+00:00,22.64,22.745,22.635,47,22.745,3502,22.6925
2024-01-03 15:40:00+00:00,22.71,22.71,22.63,24,22.65,1529,22.66125
2024-01-03 15:45:00+00:00,22.685,22.745,22.62,45,22.745,4516,22.655786
2024-01-03 15:50:00+00:00,22.725,22.78,22.69,20,22.69,1224,22.725555
2024-01-03 15:55:00+00:00,22.835,22.845,22.725,40,22.725,2718,22.804362
2024-01-03 16:00:00+00:00,22.92,22.93,22.84,25,22.87,1340,22.902161
2024-01-03 16:05:00+00:00,22.81,22.925,22.805,36,22.925,3506,22.867618
2024-01-03 16:10:00+00:00,22.88,22.88,22.78,43,22.785,10628,22.819314
2024-01-03 16:15:00+00:00,22.825,22.835,22.775,30,22.835,2366,22.801895
2024-01-03 16:20:00+00:00,22.78,22.845,22.76,35,22.825,3414,22.801563
2024-01-03 16:25:00+00:00,22.835,22.855,22.785,24,22.785,2513,22.8284
2024-01-03 16:30:00+00:00,22.825,22.865,22.78,42,22.805,3993,22.819474
2024-01-03 16:35:00+00:00,22.765,22.82,22.745,14,22.82,1400,22.765385
2024-01-03 16:40:00+00:00,22.77,22.78,22.73,17,22.735,1019,22.751424
2024-01-03 16:45:00+00:00,22.725,22.795,22.72,23,22.785,1886,22.763333
2024-01-03 16:50:00+00:00,22.705,22.715,22.705,10,22.705,1118,22.712273
2024-01-03 16:55:00+00:00,22.71,22.745,22.705,16,22.72,1135,22.724287
2024-01-03 17:00:00+00:00,22.755,22.755,22.67,33,22.68,2784,22.712055
2024-01-03 17:05:00+00:00,22.775,22.8,22.76,21,22.76,1897,22.782714
2024-01-03 17:10:00+00:00,22.79,22.8,22.785,16,22.785,879,22.79375
2024-01-03 17:15:00+00:00,22.795,22.825,22.775,15,22.775,962,22.792143
2024-01-03 17:20:00+00:00,22.8,22.8,22.78,20,22.8,1179,22.79375
2024-01-03 17:25:00+00:00,22.805,22.86,22.805,20,22.86,980,22.831154
2024-01-03 17:30:00+00:00,22.83,22.83,22.8,19,22.8,1145,22.811
2024-01-03 17:35:00+00:00,22.815,22.845,22.815,13,22.82,1079,22.827778
2024-01-03 17:40:00+00:00,22.84,22.84,22.84,3,22.84,104,22.84
2024-01-03 17:45:00+00:00,22.845,22.845,22.835,6,22.835,444,22.837941
2024-01-03 17:50:00+00:00,22.845,22.855,22.845,12,22.855,778,22.853333
2024-01-03 17:55:00+00:00,22.91,22.94,22.88,24,22.88,1381,22.912723
2024-01-03 18:00:00+00:00,22.96,22.96,22.935,8,22.935,513,22.951169
2024-01-03 18:05:00+00:00,22.965,23.0,22.96,15,22.97,1130,22.971
2024-01-03 18:10:00+00:00,22.96,22.96,22.925,14,22.955,1063,22.9485
2024-01-03 18:15:00+00:00,22.955,22.97,22.95,17,22.97,1585,22.965153
2024-01-03 18:20:00+00:00,22.955,22.955,22.915,17,22.935,732,22.94
2024-01-03 18:25:00+00:00,22.935,22.935,22.935,1,22.935,100,22.935
2024-01-03 18:30:00+00:00,22.905,22.93,22.905,16,22.92,851,22.917128
2024-01-03 18:35:00+00:00,22.94,22.94,22.895,19,22.895,1481,22.918073
2024-01-03 18:40:00+00:00,22.845,22.895,22.845,14,22.895,721,22.87
