timestamp,close,high,low,n,open,volume,vw
2024-01-02 14:30:00+00:00,144.06,145.06,143.79,146,143.865,8379,144.512212
2024-01-02 14:35:00+00:00,143.73,144.4,143.73,33,144.07,2751,143.977037
2024-01-02 14:40:00+00:00,143.82,144.2,143.57,52,144.15,3534,143.856724
2024-01-02 14:45:00+00:00,144.01,144.09,143.63,32,143.83,1819,143.7825
2024-01-02 14:50:00+00:00,144.52,144.755,144.3,26,144.4,1824,144.567666
2024-01-02 14:55:00+00:00,145.07,145.09,144.38,36,144.51,2804,144.605714
2024-01-02 15:00:00+00:00,144.77,145.37,144.67,31,145.23,1965,145.106552
2024-01-02 15:05:00+00:00,144.61,144.83,144.575,31,144.625,2490,144.69025
2024-01-02 15:10:00+00:00,144.5,144.77,144.36,16,144.77,1182,144.505455
2024-01-02 15:15:00+00:00,144.02,144.515,144.02,51,144.515,2824,144.244477
2024-01-02 15:20:00+00:00,143.84,143.93,143.37,72,143.79,4165,143.593942
2024-01-02 15:25:00+00:00,143.12,143.845,143.12,73,143.845,5785,143.460712
2024-01-02 15:30:00+00:00,143.035,143.07,142.4,62,143.07,7077,142.682349
2024-01-02 15:35:00+00:00,142.68,142.73,141.93,99,142.71,5686,142.357297
2024-01-02 15:40:00+00:00,142.86,142.86,142.53,54,142.53,3390,142.697917
2024-01-02 15:45:00+00:00,142.985,143.075,142.79,36,142.79,2140,142.937308
2024-01-02 15:50:00+00:00,143.305,143.305,142.79,15,142.79,880,143.111724
2024-01-02 15:55:00+00:00,143.385,143.48,143.31,14,143.31,896,143.394167
2024-01-02 16:00:00+00:00,144.01,144.01,143.45,16,143.45,834,143.766667
2024-01-02 16:05:00+00:00,144.42,144.42,144.15,11,144.15,663,144.326
2024-01-02 16:10:00+00:00,144.24,144.42,144.24,27,144.41,1716,144.371475
2024-01-02 16:15:00+00:00,144.45,144.45,144.45,5,144.45,149,144.45
2024-01-02 16:20:00+00:00,144.32,144.46,144.29,13,144.46,810,144.338571
2024-01-02 16:25:00+00:00,144.36,144.39,144.31,16,144.38,962,144.355714
2024-01-02 16:30:00+00:00,144.36,144.425,144.35,22,144.35,1652,144.381277
2024-01-02 16:35:00+00:00,144.08,144.11,144.05,6,144.05,502,144.077
2024-01-02 16:40:00+00:00,144.31,144.31,144.31,3,144.31,250,144.31
2024-01-02 16:45:00+00:00,144.41,144.41,144.4,12,144.4,563,144.403333
2024-01-02 16:50:00+00:00,144.26,144.375,144.26,13,144.37,671,144.34125
2024-01-02 16:55:00+00:00,144.39,144.4,144.375,16,144.375,853,144.390834
2024-01-02 17:00:00+00:00,144.425,144.43,144.31,15,144.35,1039,144.398571
2024-01-02 17:05:00+00:00,144.51,144.54,144.38,15,144.38,1480,144.466154
2024-01-02 17:10:00+00:00,144.53,144.55,144.44,8,144.48,701,144.48
2024-01-02 17:15:00+00:00,144.44,144.44,144.44,4,144.44,178,144.44
2024-01-02 17:30:00+00:00,144.55,144.55,144.55,3,144.55,104,144.55
2024-01-02 17:35:00+00:00,144.81,144.81,144.8,6,144.8,260,144.805
2024-01-02 17:40:00+00:00,144.93,144.93,144.93,4,144.93,106,144.93
2024-01-02 17:50:00+00:00,144.63,144.69,144.63,3,144.69,202,144.66
2024-01-02 17:55:00+00:00,144.67,144.68,144.6,7,144.6,304,144.65
2024-01-02 18:00:00+00:00,144.535,144.6,144.535,5,144.6,205,144.5675
2024-01-02 18:05:00+00:00,144.59,144.655,144.59,2,144.655,200,144.6225
2024-01-02 18:10:00+00:00,144.695,144.695,144.695,4,144.695,201,144.695
2024-01-02 18:15:00+00:00,144.59,144.66,144.59,7,144.66,289,144.625
2024-01-02 18:20:00+00:00,144.8,144.81,144.735,13,144.735,446,144.78875
2024-01-02 18:25:00+00:00,144.9,144.9,144.88,6,144.88,471,144.889279
2024-01-02 18:30:00+00:00,144.99,144.99,144.99,2,144.99,200,144.99
2024-01-02 18:35:00+00:00,144.97,145.01,144.97,7,145.01,281,144.99
2024-01-02 18:45:00+00:00,144.72,144.73,144.72,12,144.73,561,144.722
2024-01-02 18:50:00+00:00,144.625,144.625,144.625,4,144.625,114,144.625
2024-01-02 18:55:00+00:00,144.65,144.65,144.65,1,144.65,100,144.65
2024-01-02 19:00:00+00:00,144.58,144.7,144.58,4,144.7,203,144.64
2024-01-02 19:05:00+00:00,144.6,144.6,144.6,4,144.6,191,144.6
2024-01-02 19:10:00+00:00,145.02,145.02,144.745,10,144.745,891,144.88227
2024-01-02 19:15:00+00:00,144.925,144.97,144.925,4,144.97,352,144.94
2024-01-02 19:20:00+00:00,144.97,144.97,144.95,3,144.95,201,144.96
2024-01-02 19:25:00+00:00,145.13,145.13,145.05,4,145.05,400,145.08875
2024-01-02 19:30:00+00:00,145.005,145.005,144.84,22,144.91,928,144.914545
2024-01-02 19:35:00+00:00,145.18,145.18,145.125,11,145.13,339,145.143846
2024-01-02 19:40:00+00:00,145.32,145.32,145.11,27,145.11,1707,145.275312
2024-01-02 19:45:00+00:00,145.29,145.415,145.29,20,145.415,1072,145.329286
2024-01-02 19:50:00+00:00,145.105,145.4,145.105,20,145.4,1504,145.255385
2024-01-02 19:55:00+00:00,145.36,145.36,145.24,7,145.24,1365,145.333846
2024-01-02 20:00:00+00:00,144.985,145.255,144.985,12,145.255,3382,145.073251
2024-01-02 20:05:00+00:00,145.18,145.18,145.18,3,145.18,163,145.18
2024-01-02 20:10:00+00:00,145.44,145.44,145.29,23,145.34,1635,145.377718
2024-01-02 20:15:00+00:00,145.1,145.475,145.045,22,145.45,2684,145.308
2024-01-02 20:25:00+00:00,144.94,145.17,144.94,5,145.17,335,145.083333
2024-01-02 20:30:00+00:00,144.97,144.97,144.89,16,144.89,1013,144.934375
2024-01-02 20:35:00+00:00,144.81,144.83,144.81,11,144.83,609,144.82125
2024-01-02 20:40:00+00:00,144.99,144.99,144.73,27,144.84,1277,144.898333
2024-01-02 20:45:00+00:00,145.19,145.19,144.99,23,144.99,1012,145.081216
2024-01-02 20:50:00+00:00,145.46,145.48,145.34,64,145.36,6525,145.393116
2024-01-02 20:55:00+00:00,145.62,145.69,145.5,123,145.58,7417,145.588326
2024-01-03 14:30:00+00:00,144.67,145.15,143.75,87,143.77,3823,144.641415
2024-01-03 14:35:00+00:00,146.765,146.94,144.58,62,144.58,3226,145.753293
2024-01-03 14:40:00+00:00,147.16,147.46,146.62,89,146.84,6108,147.121246
2024-01-03 14:45:00+00:00,148.225,148.325,146.92,85,147.11,5864,147.663161
2024-01-03 14:50:00+00:00,149.62,149.725,148.21,188,148.295,14338,148.892871
2024-01-03 14:55:00+00:00,150.07,150.15,149.225,309,149.61,22418,149.752008
2024-01-03 15:00:00+00:00,149.98,150.28,149.12,188,149.94,12660,149.802134
2024-01-03 15:05:00+00:00,149.72,150.14,149.72,127,150.1,7759,149.980619
2024-01-03 15:10:00+00:00,149.155,149.67,148.915,122,149.6,8188,149.210421
2024-01-03 15:15:00+00:00,149.165,149.23,148.8,98,148.85,5065,149.017633
2024-01-03 15:20:00+00:00,148.82,149.2,148.44,51,149.2,3546,148.813524
2024-01-03 15:25:00+00:00,149.27,149.575,148.82,36,148.87,2372,149.276648
2024-01-03 15:30:00+00:00,149.25,149.285,148.94,47,149.285,2621,149.1
2024-01-03 15:35:00+00:00,148.94,149.445,148.94,63,149.25,3121,149.220769
2024-01-03 15:40:00+00:00,148.89,149.07,148.225,80,148.5,5186,148.466761
2024-01-03 15:45:00+00:00,148.31,148.825,148.26,50,148.825,3117,148.472966
2024-01-03 15:50:00+00:00,148.61,148.65,148.335,39,148.335,2696,148.468625
2024-01-03 15:55:00+00:00,149.04,149.07,149.01,20,149.06,1698,149.038201
2024-01-03 16:00:00+00:00,149.01,149.295,148.9,61,149.27,4129,149.072321
2024-01-03 16:05:00+00:00,148.98,149.12,148.78,36,149.09,2075,149.013065
2024-01-03 16:10:00+00:00,148.96,149.21,148.92,28,149.05,2225,149.100663
2024-01-03 16:15:00+00:00,148.51,148.8,148.49,15,148.79,1055,148.644
2024-01-03 16:20:00+00:00,148.53,148.935,148.53,44,148.65,3194,148.767298
2024-01-03 16:25:00+00:00,148.84,148.84,148.59,21,148.61,1036,148.684667
2024-01-03 16:30:00+00:00,148.68,148.85,148.615,25,148.84,1501,148.773636
2024-01-03 16:35:00+00:00,148.54,148.76,148.49,36,148.76,2465,148.570981
2024-01-03 16:40:00+00:00,148.35,148.49,148.35,43,148.46,1909,148.454762
2024-01-03 16:45:00+00:00,148.74,148.76,148.56,29,148.56,2633,148.716457
2024-01-03 16:50:00+00:00,148.88,148.88,148.77,31,148.79,1291,148.829375
2024-01-03 16:55:00+00:00,148.71,148.83,148.71,24,148.83,945,148.753
2024-01-03 17:00:00+00:00,148.62,148.71,148.61,14,148.62,626,148.646667
2024-01-03 17:05:00+00:00,148.59,148.68,148.59,24,148.63,1078,148.650132
2024-01-03 17:10:00+00:00,148.655,148.655,148.565,9,148.565,522,148.59125
2024-01-03 17:15:00+00:00,148.77,148.775,148.66,40,148.73,1708,148.721
2024-01-03 17:20:00+00:00,148.75,148.83,148.72,17,148.83,1027,148.775701
2024-01-03 17:25:00+00:00,148.89,148.89,148.76,31,148.77,1367,148.839444
2024-01-03 17:30:00+00:00,148.92,148.92,148.86,26,148.9,1033,148.895
2024-01-03 17:35:00+00:00,148.91,149.09,148.91,5,149.09,302,148.993333
2024-01-03 17:40:00+00:00,148.94,149.0,148.93,26,148.93,1291,148.9455
2024-01-03 17:45:00+00:00,148.94,149.065,148.94,17,149.065,816,148.997857
2024-01-03 17:50:00+00:00,148.7,148.85,148.7,8,148.85,427,148.75
2024-01-03 17:55:00+00:00,149.0,149.0,148.76,27,148.76,1369,148.94861
2024-01-03 18:00:00+00:00,148.67,148.93,148.67,15,148.88,746,148.849
2024-01-03 18:05:00+00:00,148.805,148.805,148.66,14,148.74,538,148.7375
2024-01-03 18:10:00+00:00,148.77,148.85,148.76,11,148.85,704,148.7904
2024-01-03 18:15:00+00:00,148.95,148.985,148.84,22,148.84,1246,148.9475
2024-01-03 18:20:00+00:00,148.845,148.86,148.82,14,148.82,1079,148.842613
2024-01-03 18:25:00+00:00,148.76,148.76,148.76,5,148.76,258,148.76
2024-01-03 18:30:00+00:00,148.79,148.83,148.73,40,148.73,2423,148.795263
2024-01-03 18:35:00+00:00,148.89,148.89,148.79,14,148.79,534,148.8425
2024-01-03 18:40:00+00:00,148.77,148.84,148.77,22,148.81,1627,148.804228
2024-01-03 18:45:00+00:00,148.845,148.845,148.825,13,148.825,463,148.831928
2024-01-03 18:50:00+00:00,148.75,148.8,148.75,5,148.785,398,148.778333
2024-01-03 19:00:00+00:00,148.32,148.89,148.32,37,148.73,1705,148.642043
2024-01-03 19:05:00+00:00,148.655,148.655,148.31,9,148.31,352,148.538333
2024-01-03 19:10:00+00:00,148.45,148.6,148.45,8,148.6,286,148.51
2024-01-03 19:15:00+00:00,148.56,148.56,148.34,14,148.34,562,148.408
2024-01-03 19:20:00+00:00,148.61,148.61,148.52,4,148.52,202,148.565
2024-01-03 19:25:00+00:00,148.93,148.96,148.65,20,148.65,1543,148.886667
2024-01-03 19:30:00+00:00,149.08,149.09,148.86,55,148.98,4673,148.999737
2024-01-03 19:35:00+00:00,148.99,148.99,148.88,13,148.96,832,148.92875
2024-01-03 19:40:00+00:00,149.035,149.035,148.925,22,148.98,995,148.982857
2024-01-03 19:45:00+00:00,148.97,149.24,148.97,22,149.24,1352,149.081667
2024-01-03 19:50:00+00:00,149.03,149.07,148.93,36,148.95,2250,149.005
2024-01-03 19:55:00+00:00,149.02,149.04,148.98,28,148.98,1164,149.018571
2024-01-03 20:00:00+00:00,149.01,149.02,148.91,17,149.0,1160,148.986364
2024-01-03 20:05:00+00:00,148.98,148.98,148.98,10,148.98,209,148.98
2024-01-03 20:10:00+00:00,148.92,148.92,148.895,16,148.895,668,148.904286
2024-01-03 20:15:00+00:00,148.73,148.89,148.73,11,148.89,335,148.81
2024-01-03 20:20:00+00:00,148.84,148.86,148.84,13,148.855,633,148.853
2024-01-03 20:25:00+00:00,148.95,148.95,148.76,52,148.79,973,148.826
2024-01-03 20:30:00+00:00,149.13,149.13,149.11,4,149.11,211,149.12
2024-01-03 20:35:00+00:00,149.09,149.14,149.03,35,149.08,2447,149.08669
2024-01-03 20:40:00+00:00,149.0,149.235,148.99,59,149.09,4602,149.160204
2024-01-03 20:45:00+00:00,149.04,149.08,149.04,59,149.08,4239,149.06
2024-01-03 20:50:00+00:00,148.93,149.08,148.83,118,149.03,7705,148.964974
2024-01-03 20:55:00+00:00,148.93,149.07,148.82,129,149.045,7733,148.974181
2024-01-04 14:30:00+00:00,148.09,148.27,147.49,73,147.84,5140,147.834011
