timestamp,close,high,low,n,open,volume,vw
2024-01-02 14:30:00+00:00,25.8,25.8,25.67,32,25.67,5400,25.70643
2024-01-02 14:35:00+00:00,25.67,25.88,25.665,44,25.79,2507,25.75875
2024-01-02 14:40:00+00:00,25.86,25.86,25.66,25,25.66,899,25.7525
2024-01-02 14:45:00+00:00,25.825,25.835,25.735,11,25.81,1440,25.808077
2024-01-02 14:50:00+00:00,25.85,26.0,25.83,21,25.83,1347,25.909167
2024-01-02 14:55:00+00:00,26.03,26.03,25.91,24,25.93,965,25.969167
2024-01-02 15:00:00+00:00,26.15,26.15,26.07,7,26.07,463,26.1125
2024-01-02 15:05:00+00:00,26.15,26.25,26.15,9,26.25,596,26.206
2024-01-02 15:10:00+00:00,26.01,26.11,26.01,7,26.11,337,26.05
2024-01-02 15:15:00+00:00,25.94,25.94,25.92,3,25.92,207,25.93
2024-01-02 15:20:00+00:00,25.99,26.02,25.98,14,25.98,1021,26.000625
2024-01-02 15:25:00+00:00,25.97,26.045,25.94,8,26.045,585,25.979
2024-01-02 15:30:00+00:00,25.97,25.97,25.97,2,25.97,101,25.97
2024-01-02 15:35:00+00:00,25.945,25.945,25.92,10,25.94,582,25.930158
2024-01-02 15:40:00+00:00,26.115,26.115,26.05,10,26.05,803,26.087857
2024-01-02 15:45:00+00:00,26.14,26.14,26.14,6,26.14,501,26.14
2024-01-02 15:50:00+00:00,26.21,26.21,26.13,12,26.13,1061,26.172
2024-01-02 15:55:00+00:00,26.09,26.115,26.09,6,26.11,501,26.101
2024-01-02 16:00:00+00:00,26.08,26.12,26.08,12,26.12,2206,26.110076
2024-01-02 16:05:00+00:00,25.965,26.065,25.965,12,26.065,1413,25.9875
2024-01-02 16:10:00+00:00,25.93,26.0,25.93,8,26.0,506,25.97
2024-01-02 16:15:00+00:00,26.045,26.045,26.01,8,26.01,752,26.029286
2024-01-02 16:20:00+00:00,25.97,26.0,25.96,12,26.0,679,25.983333
2024-01-02 16:25:00+00:00,25.975,25.975,25.975,2,25.975,101,25.975
2024-01-02 16:30:00+00:00,25.915,25.93,25.915,11,25.925,1228,25.927041
2024-01-02 16:35:00+00:00,25.98,25.98,25.96,7,25.96,427,25.975
2024-01-02 16:40:00+00:00,25.995,26.02,25.995,6,26.02,217,26.0075
2024-01-02 16:45:00+00:00,26.04,26.04,25.98,13,25.985,1038,26.01
2024-01-02 16:50:00+00:00,26.13,26.14,26.085,10,26.085,747,26.114286
2024-01-02 16:55:00+00:00,26.115,26.115,26.1,8,26.1,1400,26.103572
2024-01-02 17:00:00+00:00,26.11,26.11,26.11,1,26.11,100,26.11
2024-01-02 17:05:00+00:00,26.165,26.17,26.105,16,26.15,1118,26.149
2024-01-02 17:10:00+00:00,26.25,26.25,26.2,19,26.2,1407,26.226818
2024-01-02 17:15:00+00:00,26.32,26.33,26.255,15,26.255,959,26.297835
2024-01-02 17:20:00+00:00,26.47,26.52,26.395,16,26.395,958,26.423125
2024-01-02 17:25:00+00:00,26.39,26.41,26.36,17,26.41,1808,26.376893
2024-01-02 17:30:00+00:00,26.4,26.4,26.4,4,26.4,222,26.4
2024-01-02 17:35:00+00:00,26.3,26.4,26.3,11,26.39,809,26.360834
2024-01-02 17:40:00+00:00,26.255,26.295,26.255,4,26.295,871,26.29
2024-01-02 17:50:00+00:00,26.29,26.29,26.22,16,26.22,1034,26.275
2024-01-02 17:55:00+00:00,26.25,26.25,26.24,5,26.24,403,26.246337
2024-01-02 18:00:00+00:00,26.27,26.27,26.27,9,26.27,474,26.27
2024-01-02 18:05:00+00:00,26.31,26.315,26.29,7,26.29,352,26.305
2024-01-02 18:10:00+00:00,26.26,26.27,26.26,9,26.27,560,26.263
2024-01-02 18:15:00+00:00,26.275,26.275,26.255,14,26.255,482,26.269751
2024-01-02 18:20:00+00:00,26.23,26.28,26.23,13,26.28,1140,26.261772
2024-01-02 18:25:00+00:00,26.24,26.26,26.23,9,26.23,638,26.250833
2024-01-02 18:30:00+00:00,26.265,26.265,26.265,3,26.265,301,26.265
2024-01-02 18:35:00+00:00,26.23,26.23,26.22,4,26.22,301,26.223333
2024-01-02 18:40:00+00:00,26.22,26.22,26.22,4,26.22,387,26.22
2024-01-02 18:45:00+00:00,26.255,26.255,26.255,1,26.255,100,26.255
2024-01-02 18:50:00+00:00,26.17,26.21,26.17,22,26.21,1566,26.201976
2024-01-02 18:55:00+00:00,26.08,26.13,26.08,29,26.12,1428,26.098851
2024-01-02 19:00:00+00:00,26.075,26.08,26.075,3,26.08,201,26.0775
2024-01-02 19:05:00+00:00,25.93,25.985,25.93,7,25.98,397,25.965
2024-01-02 19:10:00+00:00,25.95,25.95,25.95,7,25.95,317,25.95
2024-01-02 19:15:00+00:00,25.86,25.89,25.86,8,25.89,851,25.866875
2024-01-02 19:20:00+00:00,25.89,25.89,25.865,6,25.865,563,25.881103
2024-01-02 19:25:00+00:00,25.82,25.845,25.82,13,25.84,920,25.831667
2024-01-02 19:30:00+00:00,25.795,25.82,25.78,15,25.82,918,25.801429
2024-01-02 19:35:00+00:00,25.765,25.795,25.765,10,25.795,619,25.773
2024-01-02 19:40:00+00:00,25.75,25.77,25.735,14,25.76,890,25.755714
2024-01-02 19:45:00+00:00,25.775,25.78,25.775,12,25.78,887,25.779167
2024-01-02 19:50:00+00:00,25.75,25.75,25.75,6,25.75,214,25.75
2024-01-02 19:55:00+00:00,25.765,25.77,25.765,2,25.77,200,25.7675
2024-01-02 20:00:00+00:00,25.64,25.695,25.64,16,25.695,893,25.672143
2024-01-02 20:05:00+00:00,25.655,25.655,25.63,8,25.63,305,25.645
2024-01-02 20:10:00+00:00,25.6,25.65,25.6,8,25.65,431,25.62125
2024-01-02 20:15:00+00:00,25.645,25.675,25.62,23,25.62,1524,25.640357
2024-01-02 20:20:00+00:00,25.625,25.635,25.625,8,25.635,402,25.628333
2024-01-02 20:25:00+00:00,25.7,25.7,25.67,13,25.67,510,25.69
2024-01-02 20:30:00+00:00,25.695,25.725,25.695,11,25.725,597,25.706061
2024-01-02 20:35:00+00:00,25.71,25.71,25.675,4,25.675,202,25.6925
2024-01-02 20:40:00+00:00,25.77,25.78,25.7,18,25.7,904,25.754167
2024-01-02 20:45:00+00:00,25.86,25.86,25.81,40,25.815,1990,25.833
2024-01-02 20:50:00+00:00,25.93,25.945,25.88,42,25.88,2291,25.923649
2024-01-02 20:55:00+00:00,25.955,25.97,25.935,115,25.94,7485,25.95706
2024-01-03 14:30:00+00:00,24.87,25.24,24.87,9,25.24,1007,25.123134
2024-01-03 14:35:00+00:00,24.96,24.99,24.79,11,24.79,997,24.884444
2024-01-03 14:40:00+00:00,24.99,25.1,24.975,24,24.98,1561,25.041333
2024-01-03 14:45:00+00:00,24.84,25.01,24.825,28,24.965,2778,24.924874
2024-01-03 14:50:00+00:00,24.81,24.95,24.79,24,24.86,1271,24.834546
2024-01-03 14:55:00+00:00,24.67,24.675,24.67,11,24.675,382,24.67289
2024-01-03 15:00:00+00:00,24.645,24.74,24.645,22,24.74,1348,24.692727
2024-01-03 15:05:00+00:00,24.69,24.81,24.64,28,24.64,1195,24.71
2024-01-03 15:10:00+00:00,24.48,24.62,24.48,17,24.62,1513,24.551538
2024-01-03 15:15:00+00:00,24.44,24.485,24.44,13,24.47,872,24.469364
2024-01-03 15:20:00+00:00,24.48,24.48,24.415,11,24.43,647,24.438547
2024-01-03 15:25:00+00:00,24.44,24.51,24.44,14,24.49,1249,24.480417
2024-01-03 15:30:00+00:00,24.44,24.47,24.42,14,24.47,952,24.447778
2024-01-03 15:35:00+00:00,24.385,24.4,24.385,7,24.4,319,24.3925
2024-01-03 15:40:00+00:00,24.29,24.32,24.26,41,24.32,3553,24.28125
2024-01-03 15:45:00+00:00,24.27,24.38,24.215,126,24.3,11796,24.301046
2024-01-03 15:50:00+00:00,24.36,24.36,24.24,25,24.26,2262,24.265476
2024-01-03 15:55:00+00:00,24.555,24.555,24.44,22,24.47,1469,24.483571
2024-01-03 16:00:00+00:00,24.65,24.745,24.64,36,24.64,2475,24.681435
2024-01-03 16:05:00+00:00,24.78,24.78,24.745,6,24.745,702,24.760714
2024-01-03 16:10:00+00:00,24.83,24.83,24.77,24,24.805,1886,24.801757
2024-01-03 16:15:00+00:00,24.83,24.89,24.82,18,24.82,1701,24.859428
2024-01-03 16:20:00+00:00,24.82,24.855,24.815,13,24.83,910,24.837604
2024-01-03 16:25:00+00:00,24.885,24.905,24.82,7,24.82,537,24.879758
2024-01-03 16:30:00+00:00,24.89,24.955,24.89,7,24.955,519,24.926
2024-01-03 16:35:00+00:00,24.87,24.9,24.86,13,24.9,582,24.87625
2024-01-03 16:40:00+00:00,24.8,24.845,24.8,14,24.845,1079,24.82258
2024-01-03 16:45:00+00:00,24.87,24.875,24.87,2,24.875,200,24.8725
2024-01-03 16:50:00+00:00,24.835,24.895,24.835,11,24.88,970,24.862778
2024-01-03 16:55:00+00:00,24.775,24.815,24.775,5,24.815,401,24.7975
2024-01-03 17:00:00+00:00,24.77,24.78,24.76,14,24.78,630,24.772
2024-01-03 17:05:00+00:00,24.78,24.78,24.78,1,24.78,100,24.78
2024-01-03 17:10:00+00:00,24.79,24.79,24.785,6,24.785,288,24.7875
2024-01-03 17:15:00+00:00,24.765,24.765,24.765,1,24.765,100,24.765
2024-01-03 17:20:00+00:00,24.82,24.82,24.71,10,24.73,409,24.7575
2024-01-03 17:25:00+00:00,24.88,24.88,24.85,9,24.85,780,24.863571
2024-01-03 17:30:00+00:00,24.87,24.885,24.87,8,24.885,492,24.875
2024-01-03 17:35:00+00:00,24.955,24.955,24.88,2,24.88,200,24.9175
2024-01-03 17:40:00+00:00,24.935,24.975,24.935,9,24.975,516,24.95375
2024-01-03 17:45:00+00:00,24.895,24.895,24.895,1,24.895,100,24.895
2024-01-03 17:50:00+00:00,24.96,24.96,24.93,14,24.935,820,24.95125
2024-01-03 17:55:00+00:00,25.055,25.055,24.98,14,24.98,816,25.021429
2024-01-03 18:00:00+00:00,25.05,25.09,25.045,14,25.055,979,25.067222
2024-01-03 18:05:00+00:00,25.085,25.085,25.055,19,25.06,1138,25.066667
2024-01-03 18:10:00+00:00,25.04,25.085,25.04,18,25.085,885,25.065833
2024-01-03 18:15:00+00:00,25.07,25.07,25.07,1,25.07,100,25.07
2024-01-03 18:20:00+00:00,25.05,25.05,25.05,2,25.05,122,25.05
2024-01-03 18:25:00+00:00,25.035,25.04,25.035,5,25.04,254,25.0375
2024-01-03 18:30:00+00:00,25.025,25.045,25.02,6,25.035,505,25.03
2024-01-03 18:35:00+00:00,25.02,25.02,25.015,2,25.015,200,25.0175
2024-01-03 18:40:00+00:00,24.98,25.04,24.98,14,25.015,1059,25.0285
2024-01-03 18:45:00+00:00,25.0,25.0,25.0,2,25.0,102,25.0
2024-01-03 18:50:00+00:00,24.96,24.965,24.96,8,24.965,341,24.961667
2024-01-03 18:55:00+00:00,24.93,24.93,24.93,1,24.93,100,24.93
2024-01-03 19:00:00+00:00,24.895,24.96,24.895,16,24.96,1047,24.9285
2024-01-03 19:05:00+00:00,24.88,24.88,24.79,29,24.82,2527,24.831681
2024-01-03 19:10:00+00:00,24.765,24.805,24.765,9,24.805,364,24.782167
2024-01-03 19:15:00+00:00,24.79,24.79,24.77,8,24.775,317,24.778333
2024-01-03 19:20:00+00:00,24.715,24.73,24.715,11,24.715,410,24.72
2024-01-03 19:25:00+00:00,24.91,24.91,24.76,16,24.76,1205,24.796
2024-01-03 19:30:00+00:00,24.905,24.96,24.905,19,24.94,1349,24.939545
2024-01-03 19:35:00+00:00,24.875,24.9,24.81,12,24.9,897,24.856875
2024-01-03 19:40:00+00:00,24.945,24.945,24.93,5,24.93,205,24.9375
2024-01-03 19:45:00+00:00,24.96,24.965,24.95,9,24.95,449,24.956281
2024-01-03 19:50:00+00:00,24.87,24.87,24.86,6,24.87,424,24.8675
2024-01-03 20:00:00+00:00,24.72,24.755,24.72,7,24.75,464,24.74
2024-01-03 20:05:00+00:00,24.635,24.705,24.635,5,24.705,500,24.68625
2024-01-03 20:10:00+00:00,24.575,24.62,24.57,20,24.62,1497,24.597857
2024-01-03 20:15:00+00:00,24.52,24.545,24.515,11,24.53,808,24.530625
2024-01-03 20:20:00+00:00,24.545,24.545,24.515,5,24.515,336,24.535
2024-01-03 20:25:00+00:00,24.575,24.575,24.52,12,24.525,814,24.54125
2024-01-03 20:30:00+00:00,24.68,24.68,24.585,18,24.585,1093,24.6315
2024-01-03 20:35:00+00:00,24.675,24.725,24.675,24,24.71,1972,24.703947
2024-01-03 20:40:00+00:00,24.665,24.705,24.665,32,24.685,2163,24.683
2024-01-03 20:45:00+00:00,24.605,24.655,24.6,27,24.635,1966,24.634445
2024-01-03 20:50:00+00:00,24.58,24.61,24.575,64,24.61,3892,24.594531
2024-01-03 20:55:00+00:00,24.62,24.64,24.575,162,24.595,14506,24.612175
2024-01-04 14:30:00+00:00,24.39,24.575,24.39,15,24.57,549,24.49875
2024-01-04 14:35:00+00:00,24.46,24.47,24.4,10,24.44,690,24.438333
2024-01-04 14:40:00+00:00,24.605,24.605,24.36,15,24.36,989,24.475972
2024-01-04 14:45:00+00:00,24.35,24.47,24.35,10,24.47,884,24.429375
2024-01-04 14:50:00+00:00,24.455,24.46,24.355,8,24.355,414,24.4125
2024-01-04 14:55:00+00:00,24.385,24.46,24.385,22,24.44,1253,24.424444
2024-01-04 15:00:00+00:00,24.405,24.42,24.38,12,24.38,844,24.4025
2024-01-04 15:05:00+00:00,24.565,24.565,24.445,29,24.465,2403,24.484092
2024-01-04 15:10:00+00:00,24.395,24.575,24.395,9,24.575,705,24.540434
2024-01-04 15:15:00+00:00,24.525,24.525,24.385,14,24.385,932,24.430556
2024-01-04 15:20:00+00:00,24.45,24.565,24.45,29,24.54,2384,24.539329
2024-01-04 15:25:00+00:00,24.43,24.455,24.425,13,24.455,812,24.43875
2024-01-04 15:30:00+00:00,24.47,24.47,24.39,15,24.39,659,24.433
2024-01-04 15:35:00+00:00,24.405,24.415,24.405,6,24.415,232,24.41
2024-01-04 15:40:00+00:00,24.32,24.32,24.32,5,24.32,139,24.32
2024-01-04 15:45:00+00:00,24.475,24.475,24.47,9,24.47,507,24.47125
2024-01-04 15:50:00+00:00,24.33,24.44,24.33,6,24.44,324,24.366667
2024-01-04 15:55:00+00:00,24.23,24.255,24.225,22,24.25,1269,24.242498
2024-01-04 16:00:00+00:00,24.29,24.295,24.24,19,24.24,705,24.26
2024-01-04 16:05:00+00:00,24.23,24.275,24.23,23,24.275,2002,24.258857
2024-01-04 16:10:00+00:00,24.28,24.28,24.22,23,24.22,1878,24.247647
2024-01-04 16:15:00+00:00,24.325,24.355,24.325,10,24.355,530,24.34
2024-01-04 16:20:00+00:00,24.3,24.31,24.285,17,24.285,889,24.2975
2024-01-04 16:25:00+00:00,24.365,24.37,24.305,26,24.305,1587,24.356678
2024-01-04 16:30:00+00:00,24.43,24.43,24.38,12,24.38,724,24.392143
2024-01-04 16:35:00+00:00,24.425,24.43,24.425,9,24.43,613,24.425833
2024-01-04 16:40:00+00:00,24.435,24.435,24.41,11,24.435,720,24.421667
2024-01-04 16:45:00+00:00,24.455,24.48,24.455,16,24.465,1586,24.470741
2024-01-04 16:50:00+00:00,24.435,24.44,24.41,14,24.435,995,24.430556
2024-01-04 16:55:00+00:00,24.45,24.45,24.395,16,24.435,1601,24.421667
2024-01-04 17:00:00+00:00,24.43,24.48,24.43,13,24.48,1229,24.450441
2024-01-04 17:05:00+00:00,24.37,24.45,24.35,13,24.45,1106,24.379545
2024-01-04 17:10:00+00:00,24.385,24.385,24.37,5,24.37,403,24.375
2024-01-04 17:15:00+00:00,24.35,24.395,24.35,5,24.395,389,24.365
2024-01-04 17:20:00+00:00,24.36,24.36,24.34,7,24.345,411,24.348333
2024-01-04 17:25:00+00:00,24.35,24.37,24.34,14,24.34,1076,24.3555
2024-01-04 17:30:00+00:00,24.31,24.345,24.31,7,24.345,501,24.3225
2024-01-04 17:35:00+00:00,24.285,24.31,24.285,7,24.295,810,24.29
2024-01-04 17:40:00+00:00,24.265,24.265,24.26,5,24.26,224,24.2625
2024-01-04 17:45:00+00:00,24.26,24.26,24.225,15,24.24,1013,24.242778
2024-01-04 17:50:00+00:00,24.285,24.295,24.275,10,24.275,750,24.285833
2024-01-04 17:55:00+00:00,24.28,24.28,24.25,14,24.25,1003,24.264444
2024-01-04 18:00:00+00:00,24.27,24.29,24.27,3,24.29,201,24.28
2024-01-04 18:05:00+00:00,24.295,24.295,24.28,8,24.28,602,24.2875
2024-01-04 18:10:00+00:00,24.28,24.28,24.245,15,24.265,876,24.261642
2024-01-04 18:15:00+00:00,24.27,24.285,24.27,7,24.27,487,24.27625
2024-01-04 18:20:00+00:00,24.28,24.28,24.27,7,24.27,508,24.278
2024-01-04 18:25:00+00:00,24.26,24.275,24.25,14,24.26,1281,24.262083
2024-01-04 18:30:00+00:00,24.3,24.3,24.29,4,24.29,230,24.295
2024-01-04 18:35:00+00:00,24.3,24.3,24.27,6,24.27,410,24.28375
