timestamp,close,high,low,n,open,volume,vw
2024-01-02 14:50:00+00:00,13.79,13.81,13.79,2,13.81,200,13.8
2024-01-02 15:05:00+00:00,13.79,13.79,13.79,1,13.79,100,13.79
2024-01-02 15:25:00+00:00,13.93,13.93,13.91,3,13.92,500,13.918
2024-01-02 15:30:00+00:00,14.02,14.02,14.0,2,14.0,300,14.006667
2024-01-02 15:45:00+00:00,14.02,14.02,14.02,1,14.02,200,14.02
2024-01-02 16:00:00+00:00,13.98,13.98,13.975,2,13.975,300,13.976667
2024-01-02 16:05:00+00:00,13.89,13.95,13.89,7,13.94,404,13.927138
2024-01-02 16:25:00+00:00,13.91,13.91,13.91,1,13.91,200,13.91
2024-01-02 16:35:00+00:00,13.93,13.93,13.93,3,13.93,400,13.93
2024-01-02 16:40:00+00:00,13.91,13.91,13.91,1,13.91,200,13.91
2024-01-02 16:55:00+00:00,13.84,13.84,13.84,1,13.84,100,13.84
2024-01-02 17:05:00+00:00,13.87,13.87,13.87,1,13.87,200,13.87
2024-01-02 17:45:00+00:00,13.89,13.89,13.89,1,13.89,200,13.89
2024-01-02 17:50:00+00:00,13.9,13.91,13.89,4,13.89,800,13.9025
2024-01-02 18:05:00+00:00,13.935,13.935,13.935,3,13.935,500,13.935
2024-01-02 18:10:00+00:00,13.94,13.94,13.94,2,13.94,150,13.94
2024-01-02 18:45:00+00:00,13.92,13.92,13.92,1,13.92,100,13.92
2024-01-02 19:05:00+00:00,14.04,14.04,14.04,1,14.04,200,14.04
2024-01-02 19:45:00+00:00,14.05,14.05,14.05,1,14.05,200,14.05
2024-01-02 20:20:00+00:00,14.085,14.085,14.085,1,14.085,100,14.085
2024-01-02 20:30:00+00:00,14.085,14.085,14.085,1,14.085,100,14.085
2024-01-02 20:35:00+00:00,14.105,14.105,14.105,1,14.105,100,14.105
2024-01-02 20:45:00+00:00,14.09,14.09,14.09,1,14.09,200,14.09
2024-01-02 20:50:00+00:00,14.09,14.09,14.09,2,14.09,202,14.09
2024-01-03 14:30:00+00:00,13.96,13.96,13.96,1,13.96,100,13.96
2024-01-03 14:35:00+00:00,13.8,13.945,13.8,2,13.945,300,13.848333
2024-01-03 14:40:00+00:00,13.85,13.86,13.85,3,13.86,600,13.856667
2024-01-03 14:45:00+00:00,13.76,13.81,13.76,5,13.81,692,13.785
2024-01-03 14:50:00+00:00,13.66,13.66,13.66,2,13.66,163,13.66
2024-01-03 15:00:00+00:00,13.55,13.64,13.55,2,13.64,550,13.615455
2024-01-03 15:05:00+00:00,13.58,13.58,13.51,3,13.51,1000,13.55
