t,Close,High,Low,n,Open,Volume,vw
2022-12-01,171.36,172.61,166.35,16209,170.0,1119835,170.722113
2022-12-02,168.84,169.31,164.54,11133,166.66,770277,167.087419
2022-12-05,166.05,169.935,164.79,9051,166.775,706519,167.103133
2022-12-06,159.87,165.56,158.23,7176,165.41,544792,160.6529
2022-12-07,161.16,161.83,156.76,8925,157.725,666649,160.136949
2022-12-08,171.66,171.79,159.61,11257,162.58,1037869,167.332197
2022-12-09,169.99,175.81,169.76,12068,171.755,1038087,172.932103
2022-12-12,175.35,175.35,168.03,9560,170.4,871682,172.14321
2022-12-13,180.71,187.83,177.12,13394,185.505,1041620,182.543979
2022-12-14,176.74,182.5,174.24,11465,179.98,932851,178.806544
2022-12-15,169.5,173.15,167.0,19441,171.655,1635780,169.354752
2022-12-16,165.73,170.35,164.12,7725,168.61,611097,166.300765
2022-12-19,162.59,166.02,161.48,7672,165.805,681896,162.789517
2022-12-20,160.88,163.08,158.53,7015,160.57,496545,161.153995
2022-12-21,164.96,166.24,161.03,6239,161.08,510564,164.706438
2022-12-22,153.42,160.99,148.83,11901,160.58,999462,153.246224
2022-12-23,152.07,153.35,148.85,7480,151.9,571491,151.260894
2022-12-27,141.22,150.815,140.57,10136,150.76,916099,143.974985
2022-12-28,140.385,142.55,138.85,9323,139.275,838009,140.566986
2022-12-29,146.01,146.82,142.27,8684,144.165,677107,145.2885
2022-12-30,146.15,146.27,142.42,7177,143.12,437836,144.574214
2023-01-03,143.16,149.96,141.0,9571,148.655,781290,143.505942
2023-01-04,147.49,148.49,142.49,9115,145.68,849020,146.16872
2023-01-05,142.7,145.6,141.5,7508,144.87,567008,143.058872
2023-01-06,148.6,150.09,140.34,9788,144.7,735783,145.95949
2023-01-09,156.38,160.46,151.52,12068,153.17,900099,157.937959
2023-01-10,159.13,159.61,154.83,7744,154.86,579534,157.434938
2023-01-11,160.07,160.16,155.71,7907,158.405,649407,158.188048
2023-01-12,165.14,166.34,154.93,12749,161.11,1055887,162.190722
2023-01-13,168.96,169.22,161.67,9982,162.42,732697,166.784854
2023-01-17,176.99,177.23,169.0,12491,169.0,918410,174.806295
