ticker,date,direction,gap_pct,abs_gap_pct,gap_bucket,atr,open_price,prev_close,cs_score,candle_tier,session_high,session_low,eod_close,hod_pct,lod_pct,hod_atr,lod_atr,hod_minutes,lod_minutes,hod_timing_bucket,lod_timing_bucket,eod_return,win,std_ft_fired,std_ft_minutes,reverse_ft_fired,reverse_ft_minutes
AA,2024-01-24 05:00:00+00:00,GAP_UP,0.0243902439024389,0.0243902439024389,2-5%,1.3971428571428566,30.24,29.52,-40.95,BEARISH,30.34,29.335,29.775,0.003307,0.029927,0.0716,0.6478,130.0,25.0,MID_SESSION,FIRST_30MIN,0.015377,1,True,15.0,False,
AA,2024-05-03 04:00:00+00:00,GAP_UP,0.0243562978427279,0.0243562978427279,2-5%,1.619642857142858,36.8,35.925,89.54,MAX_BULLISH,37.08,36.25,36.76,0.007609,0.014946,0.1729,0.3396,0.0,65.0,AT_OPEN,FIRST_2HR,0.001087,1,False,,False,
AA,2024-05-06 04:00:00+00:00,GAP_UP,0.0224428726877041,0.0224428726877041,2-5%,1.5942857142857154,37.585,36.76,65.99,BEARISH,37.89,37.03,37.3,0.008115,0.014767,0.1913,0.3481,45.0,135.0,FIRST_HOUR,MID_SESSION,0.007583,1,False,,False,
AA,2024-05-28 04:00:00+00:00,GAP_UP,0.0266506602641056,0.0266506602641056,2-5%,1.5824999999999991,42.76,41.65,100.0,MAX_BULLISH,43.56,42.5,43.24,0.018709,0.00608,0.5055,0.1643,130.0,5.0,MID_SESSION,AT_OPEN,-0.011225,0,True,115.0,False,
AA,2024-06-12 04:00:00+00:00,GAP_UP,0.0427754289977617,0.0427754289977617,2-5%,1.6560714285714293,41.93,40.21,67.86,BEARISH,42.21,39.72,39.72,0.006678,0.052707,0.1691,1.3345,0.0,385.0,AT_OPEN,LAST_HOUR,0.052707,1,True,10.0,False,
AA,2024-06-21 04:00:00+00:00,GAP_UP,0.0222079589216943,0.0222079589216943,2-5%,1.4724999999999997,39.815,38.95,57.69,BEARISH,40.54,39.175,40.4,0.018209,0.016074,0.4924,0.4346,385.0,5.0,LAST_HOUR,AT_OPEN,-0.014693,0,False,,True,380.0
AA,2024-08-26 04:00:00+00:00,GAP_UP,0.0340607490415806,0.0340607490415806,2-5%,1.1817857142857149,35.065,33.91,100.0,BEARISH,35.17,34.495,34.555,0.002994,0.016256,0.0888,0.4823,0.0,320.0,AT_OPEN,LAST_HOUR,0.014544,1,True,95.0,False,
AA,2024-09-04 04:00:00+00:00,GAP_UP,0.02464846980976,0.02464846980976,2-5%,1.3007142857142864,30.97,30.225,73.68,NEUTRAL,31.21,30.47,30.49,0.007749,0.016145,0.1845,0.3844,220.0,385.0,MID_SESSION,LAST_HOUR,0.015499,1,False,,False,
AA,2024-09-11 04:00:00+00:00,GAP_UP,0.0307500888730893,0.0307500888730893,2-5%,1.3375000000000004,28.995,28.13,80.83,BEARISH,29.905,28.3,29.85,0.031385,0.02397,0.6804,0.5196,385.0,75.0,LAST_HOUR,FIRST_2HR,-0.029488,0,True,70.0,True,305.0
AA,2024-09-12 04:00:00+00:00,GAP_UP,0.041038525963149,0.041038525963149,2-5%,1.399285714285715,31.075,29.85,69.21,BEARISH,31.75,30.6,31.36,0.021722,0.015286,0.4824,0.3395,100.0,20.0,FIRST_2HR,FIRST_30MIN,-0.009171,0,False,,True,95.0
AA,2024-09-13 04:00:00+00:00,GAP_UP,0.022002551020408,0.022002551020408,2-5%,1.4035714285714291,32.05,31.36,-30.51,BULLISH,32.96,32.025,32.52,0.028393,0.00078,0.6483,0.0178,70.0,10.0,FIRST_2HR,FIRST_30MIN,-0.014665,0,True,40.0,False,
AA,2024-09-16 04:00:00+00:00,GAP_UP,0.0561193111931117,0.0561193111931117,5-8%,1.5328571428571431,34.345,32.52,-49.68,NEUTRAL,35.59,33.69,34.5,0.03625,0.019071,0.8122,0.4273,35.0,0.0,FIRST_HOUR,AT_OPEN,-0.004513,0,False,,False,
AA,2024-09-19 04:00:00+00:00,GAP_UP,0.0384167636786961,0.0384167636786961,2-5%,1.5439285714285724,35.68,34.36,-24.82,BEARISH,35.76,34.81,34.93,0.002242,0.024383,0.0518,0.5635,0.0,0.0,AT_OPEN,AT_OPEN,0.02102,1,True,0.0,False,
