gap_bucket,candle_tier,n,flag,win_rate,avg_eod_return,avg_hod_atr,avg_lod_atr,avg_hod_pct,avg_lod_pct,med_hod_minutes,med_lod_minutes,ft_fire_rate
2-5%,MAX_BULLISH,68,,64.7,1.597,0.654,0.258,5.114,2.262,98.0,35.0,58.8
2-5%,BULLISH,1209,,67.7,1.324,0.654,0.234,3.808,1.456,80.0,20.0,62.9
2-5%,NEUTRAL,1617,,53.4,0.318,0.458,0.386,2.635,2.241,85.0,50.0,0.0
2-5%,BEARISH,679,,36.7,-1.157,0.308,0.583,1.774,3.661,50.0,45.0,58.0
2-5%,MAX_BEARISH,597,,38.5,-0.81,0.312,0.633,1.853,3.626,65.0,40.0,61.5
5-8%,MAX_BULLISH,8, ❌INSUFF,100.0,5.29,0.796,0.084,10.497,1.004,80.0,5.0,75.0
5-8%,BULLISH,202,,70.3,2.441,0.752,0.236,5.945,2.006,105.0,8.0,67.8
5-8%,NEUTRAL,250,,50.8,0.088,0.492,0.442,3.514,3.28,72.0,55.0,0.0
5-8%,BEARISH,83,,38.6,-1.215,0.397,0.646,3.106,5.153,45.0,40.0,61.4
5-8%,MAX_BEARISH,112,,34.8,-1.74,0.364,0.766,3.191,5.607,35.0,40.0,68.8
8-12%,MAX_BULLISH,1, ❌INSUFF,0.0,-2.637,0.232,0.54,4.11,9.538,0.0,25.0,0.0
8-12%,BULLISH,69,,56.5,1.759,0.813,0.314,7.79,3.699,65.0,25.0,69.6
8-12%,NEUTRAL,92,,56.5,0.132,0.604,0.497,4.479,4.032,80.0,28.0,0.0
8-12%,BEARISH,20,,15.0,-4.229,0.275,0.964,2.958,8.52,8.0,158.0,80.0
8-12%,MAX_BEARISH,40,,25.0,-3.588,0.307,0.925,2.33,7.808,0.0,92.0,70.0
12%+,MAX_BULLISH,1, ❌INSUFF,0.0,-2.764,0.13,0.471,1.39,5.016,0.0,305.0,0.0
12%+,BULLISH,67,,67.2,2.513,0.858,0.315,8.97,3.722,75.0,40.0,68.7
12%+,NEUTRAL,54,,51.9,-0.295,0.581,0.643,6.494,6.746,65.0,52.0,0.0
12%+,BEARISH,13, ⚠️LOW,61.5,-5.476,0.74,0.968,6.381,13.828,200.0,90.0,76.9
12%+,MAX_BEARISH,34,,20.6,-6.334,0.258,1.064,2.844,12.536,2.0,125.0,82.4
