direction,gap_bucket,candle_tier,n,flag,win_rate,avg_eod_return,avg_hod_pct,avg_lod_pct,avg_hod_atr,avg_lod_atr,med_hod_minutes,med_lod_minutes,ft_fire_rate,rev_ft_fire_rate
GAP_DN,2-5%,MAX_BULLISH,68,,64.7,1.597,5.114,2.262,0.654,0.258,98.0,35.0,58.8,20.6
GAP_DN,2-5%,BULLISH,1209,,67.7,1.324,3.808,1.456,0.654,0.234,80.0,20.0,62.9,19.5
GAP_DN,2-5%,NEUTRAL,1617,,53.4,0.318,2.635,2.241,0.458,0.386,85.0,50.0,0.0,0.0
GAP_DN,2-5%,BEARISH,679,,36.7,-1.157,1.774,3.661,0.308,0.583,50.0,45.0,58.0,26.4
GAP_DN,2-5%,MAX_BEARISH,597,,38.5,-0.81,1.853,3.626,0.312,0.633,65.0,40.0,61.5,28.0
GAP_DN,5-8%,MAX_BULLISH,8, ❌INSUFF,100.0,5.29,10.497,1.004,0.796,0.084,80.0,5.0,75.0,0.0
GAP_DN,5-8%,BULLISH,202,,70.3,2.441,5.945,2.006,0.752,0.236,105.0,8.0,67.8,15.8
GAP_DN,5-8%,NEUTRAL,250,,50.8,0.088,3.514,3.28,0.492,0.442,72.0,55.0,0.0,0.0
GAP_DN,5-8%,BEARISH,83,,38.6,-1.215,3.106,5.153,0.397,0.646,45.0,40.0,61.4,33.7
GAP_DN,5-8%,MAX_BEARISH,112,,34.8,-1.74,3.191,5.607,0.364,0.766,35.0,40.0,68.8,27.7
GAP_DN,8-12%,MAX_BULLISH,1, ❌INSUFF,0.0,-2.637,4.11,9.538,0.232,0.54,0.0,25.0,0.0,100.0
GAP_DN,8-12%,BULLISH,69,,56.5,1.759,7.79,3.699,0.813,0.314,65.0,25.0,69.6,29.0
GAP_DN,8-12%,NEUTRAL,92,,56.5,0.132,4.479,4.032,0.604,0.497,80.0,28.0,0.0,0.0
GAP_DN,8-12%,BEARISH,20,,15.0,-4.229,2.958,8.52,0.275,0.964,8.0,158.0,80.0,15.0
GAP_DN,8-12%,MAX_BEARISH,40,,25.0,-3.588,2.33,7.808,0.307,0.925,0.0,92.0,70.0,17.5
GAP_DN,12%+,MAX_BULLISH,1, ❌INSUFF,0.0,-2.764,1.39,5.016,0.13,0.471,0.0,305.0,0.0,100.0
GAP_DN,12%+,BULLISH,67,,67.2,2.513,8.97,3.722,0.858,0.315,75.0,40.0,68.7,25.4
GAP_DN,12%+,NEUTRAL,54,,51.9,-0.295,6.494,6.746,0.581,0.643,65.0,52.0,0.0,0.0
GAP_DN,12%+,BEARISH,13, ⚠️LOW,61.5,-5.476,6.381,13.828,0.74,0.968,200.0,90.0,76.9,46.2
GAP_DN,12%+,MAX_BEARISH,34,,20.6,-6.334,2.844,12.536,0.258,1.064,2.0,125.0,82.4,20.6
GAP_UP,2-5%,MAX_BULLISH,615,,33.7,-1.963,4.889,1.569,0.784,0.277,60.0,30.0,69.6,25.4
GAP_UP,2-5%,BULLISH,771,,35.5,-1.822,4.869,1.865,0.783,0.305,65.0,35.0,67.4,27.1
GAP_UP,2-5%,NEUTRAL,1991,,50.3,0.039,2.619,2.455,0.471,0.464,55.0,75.0,0.0,0.0
GAP_UP,2-5%,BEARISH,1560,,65.6,1.153,1.81,3.72,0.291,0.655,30.0,60.0,61.2,24.6
GAP_UP,2-5%,MAX_BEARISH,109,,67.9,2.422,1.965,5.512,0.282,0.866,5.0,90.0,72.5,21.1
GAP_UP,5-8%,MAX_BULLISH,137,,30.7,-3.179,7.169,1.817,0.938,0.248,65.0,20.0,71.5,19.0
GAP_UP,5-8%,BULLISH,121,,34.7,-3.029,7.517,2.461,1.045,0.345,60.0,25.0,75.2,28.1
GAP_UP,5-8%,NEUTRAL,374,,56.7,0.318,3.646,3.791,0.489,0.581,35.0,72.0,0.0,0.0
GAP_UP,5-8%,BEARISH,301,,72.8,2.065,2.448,5.769,0.299,0.805,15.0,80.0,70.4,21.6
GAP_UP,5-8%,MAX_BEARISH,15, ⚠️LOW,53.3,0.737,3.178,6.116,0.414,0.721,100.0,30.0,40.0,26.7
GAP_UP,8-12%,MAX_BULLISH,49,,38.8,-3.888,10.167,3.188,1.027,0.444,35.0,75.0,79.6,32.7
GAP_UP,8-12%,BULLISH,38,,31.6,-4.943,9.959,2.603,1.27,0.337,68.0,25.0,78.9,31.6
GAP_UP,8-12%,NEUTRAL,116,,44.0,-0.568,5.998,5.227,0.765,0.658,88.0,55.0,0.0,0.0
GAP_UP,8-12%,BEARISH,102,,71.6,2.473,2.734,6.663,0.319,0.924,5.0,65.0,73.5,25.5
GAP_UP,8-12%,MAX_BEARISH,6, ❌INSUFF,66.7,-0.201,9.501,9.689,0.782,1.122,10.0,12.0,83.3,50.0
GAP_UP,12%+,MAX_BULLISH,43,,30.2,-6.167,14.348,4.765,1.731,0.513,40.0,10.0,90.7,34.9
GAP_UP,12%+,BULLISH,13, ⚠️LOW,15.4,-18.53,30.908,2.231,2.248,0.244,140.0,5.0,100.0,23.1
GAP_UP,12%+,NEUTRAL,88,,39.8,-1.568,11.103,7.866,1.168,0.899,62.0,35.0,0.0,0.0
GAP_UP,12%+,BEARISH,67,,76.1,4.374,5.339,12.31,0.555,1.577,0.0,45.0,94.0,31.3
GAP_UP,12%+,MAX_BEARISH,1, ❌INSUFF,100.0,22.559,3.704,23.906,0.258,1.665,25.0,380.0,100.0,0.0
