ticker,date,direction,gap_pct,abs_gap_pct,gap_bucket,atr,open_price,prev_close,cs_score,candle_tier,session_high,session_low,eod_close,hod_pct,lod_pct,hod_atr,lod_atr,hod_minutes,lod_minutes,hod_timing_bucket,lod_timing_bucket,eod_return,win,std_ft_fired,std_ft_minutes,reverse_ft_fired,reverse_ft_minutes,trade_date,path_type,setup_direction,path_ft_fired,path_ft_minutes,path_reverse_ft_fired,path_reverse_ft_minutes,ft_trigger_ref_price,close_from_open_abs,close_from_open_pct,close_from_open_atr,achieved_0p70_atr,achieved_1p00_atr,destination_minutes,adverse_peak_minutes,destination_timing_bucket,adverse_timing_bucket,open_5m_high,open_5m_low,open_5m_close,open_5m_range,open_5m_range_atr,relevant_or_level,or_violated,first_or_violation_minutes,max_violation_depth_abs,max_violation_depth_pct,max_violation_depth_atr,violation_depth_bucket,violation_timing_abs_bucket,violation_timing_rel_bucket,mfe_after_violation_abs,mfe_after_violation_pct,mfe_after_violation_atr,mae_after_violation_abs,mae_after_violation_pct,mae_after_violation_atr
AA,2024-01-24 05:00:00+00:00,GAP_UP,0.0243902439024389,0.0243902439024389,2-5%,1.3971428571428566,30.24,29.52,-40.95,BEARISH,30.34,29.335,29.775,0.003307,0.029927,0.0716,0.6478,130.0,25.0,MID_SESSION,FIRST_30MIN,0.015377,1,True,15.0,False,,2024-01-24,gapup_fade_short,SHORT,False,,True,15.0,29.681142857142856,0.46499999999999986,0.015376984126984123,0.3328220858895706,False,False,25.0,130.0,first_30min,2hr_to_4hr,30.325,30.01,30.03,0.3149999999999977,0.22546012269938498,30.325,True,130.0,0.015000000000000568,0.0004960317460317649,0.010736196319018817,0-0.10 ATR,2hr_to_4hr,pre_ft_late,0.75,0.024801587301587304,0.5368098159509205,0.10000000000000142,0.003306878306878354,0.0715746421267904
AA,2024-05-28 04:00:00+00:00,GAP_UP,0.0266506602641056,0.0266506602641056,2-5%,1.5824999999999991,42.76,41.65,100.0,MAX_BULLISH,43.56,42.5,43.24,0.018709,0.00608,0.5055,0.1643,130.0,5.0,MID_SESSION,AT_OPEN,-0.011225,0,True,115.0,False,,2024-05-28,gapup_continuation_long,LONG,True,115.0,False,,43.393,0.480000000000004,0.011225444340505238,0.3033175355450264,False,False,130.0,5.0,2hr_to_4hr,at_open,43.08,42.74,43.08,0.3399999999999963,0.21484992101105624,42.74,True,5.0,0.240000000000002,0.005612722170252619,0.1516587677725132,0.10-0.25 ATR,at_open,pre_ft,0.8000000000000043,0.01870907390084201,0.5055292259083758,0.259999999999998,0.006080449017773574,0.16429699842022
AA,2024-06-12 04:00:00+00:00,GAP_UP,0.0427754289977617,0.0427754289977617,2-5%,1.6560714285714293,41.93,40.21,67.86,BEARISH,42.21,39.72,39.72,0.006678,0.052707,0.1691,1.3345,0.0,385.0,AT_OPEN,LAST_HOUR,0.052707,1,True,10.0,False,,2024-06-12,gapup_fade_short,SHORT,False,,True,10.0,41.26757142857143,2.210000000000001,0.052706892439780606,1.334483502264395,True,True,385.0,0.0,last_30min,at_open,42.21,41.62,41.62,0.5900000000000034,0.35626482639637885,42.21,False,,0.0,0.0,0.0,no_violation,no_violation,no_violation,,,,,,
AA,2024-06-21 04:00:00+00:00,GAP_UP,0.0222079589216943,0.0222079589216943,2-5%,1.4724999999999997,39.815,38.95,57.69,BEARISH,40.54,39.175,40.4,0.018209,0.016074,0.4924,0.4346,385.0,5.0,LAST_HOUR,AT_OPEN,-0.014693,0,False,,True,380.0,2024-06-21,gapup_fade_short,SHORT,True,380.0,False,,39.226,-0.5850000000000009,-0.014692954916488784,-0.3972835314091687,False,False,5.0,385.0,at_open,last_30min,39.815,39.25,39.325,0.5649999999999977,0.383701188455007,39.815,True,315.0,0.7250000000000014,0.018209217631545937,0.4923599320882863,0.25-0.50 ATR,after_4hr,pre_ft,0.00999999999999801,0.0002511616225040314,0.0067911714770784466,0.7250000000000014,0.018209217631545937,0.4923599320882863
AA,2024-09-24 04:00:00+00:00,GAP_UP,0.0691217302352767,0.0691217302352767,5-8%,1.649642857142857,36.58,34.215,100.0,MAX_BULLISH,37.35,36.25,36.77,0.02105,0.009021,0.4668,0.2,330.0,70.0,LAST_HOUR,FIRST_2HR,-0.005194,0,True,305.0,False,,2024-09-24,gapup_continuation_long,LONG,True,305.0,False,,37.23985714285714,0.19000000000000483,0.005194095133953112,0.11517644511799385,False,False,330.0,70.0,after_4hr,1hr_to_2hr,36.9,36.535,36.835,0.365000000000002,0.22126001298982587,36.535,True,45.0,0.2849999999999966,0.007791142700929377,0.1727646676769843,0.10-0.25 ATR,30min_to_1hr,pre_ft,0.7700000000000031,0.021049753963914793,0.46676769863607037,0.3299999999999983,0.009021323127391971,0.20004329941545687
AA,2024-09-26 04:00:00+00:00,GAP_UP,0.0633157456262149,0.0633157456262149,5-8%,1.786071428571429,38.29,36.01,22.04,BULLISH,39.61,38.08,39.27,0.034474,0.005484,0.7391,0.1176,220.0,0.0,MID_SESSION,AT_OPEN,-0.025594,0,True,5.0,False,,2024-09-26,gapup_continuation_long,LONG,True,5.0,False,,39.00442857142857,0.980000000000004,0.025594149908592427,0.5486902619476126,False,False,220.0,0.0,2hr_to_4hr,at_open,38.77,38.08,38.74,0.6900000000000048,0.386322735452912,38.08,False,,0.0,0.0,0.0,no_violation,no_violation,no_violation,,,,,,
AA,2024-10-01 04:00:00+00:00,GAP_UP,0.0233402489626555,0.0233402489626555,2-5%,1.7635714285714283,39.46,38.56,83.53,MAX_BULLISH,39.82,38.79,39.195,0.009123,0.016979,0.2041,0.3799,0.0,100.0,AT_OPEN,FIRST_2HR,0.006716,1,False,,False,,2024-10-01,gapup_continuation_long,LONG,False,,False,,40.16542857142857,-0.26500000000000057,-0.006715661429295503,-0.15026326447954672,False,False,0.0,100.0,at_open,1hr_to_2hr,39.82,39.4,39.665,0.4200000000000017,0.23815309842041413,39.4,True,5.0,0.6099999999999994,0.015458692346680169,0.34588902389631404,0.25-0.50 ATR,at_open,pre_ft_early,0.21000000000000085,0.005321844906234182,0.11907654921020706,0.6700000000000017,0.01697921946274713,0.3799108950992315
AA,2024-10-04 04:00:00+00:00,GAP_UP,0.0259365994236309,0.0259365994236309,2-5%,1.5767857142857136,39.16,38.17,100.0,NEUTRAL,39.62,38.64,39.09,0.011747,0.013279,0.2917,0.3298,15.0,270.0,FIRST_30MIN,MID_SESSION,0.001788,1,False,,False,,2024-10-04,gapup_continuation_long,LONG,False,,False,,39.79071428571428,-0.06999999999999318,-0.001787538304392063,-0.044394110985273155,False,False,15.0,270.0,first_30min,after_4hr,39.53,39.1,39.12,0.4299999999999997,0.2727066817667044,39.1,True,25.0,0.46000000000000085,0.011746680286006152,0.291732729331824,0.25-0.50 ATR,first_30min,pre_ft_early,0.22000000000000597,0.00561797752809004,0.1395243488108759,0.519999999999996,0.013278855975485088,0.32978482446205876
AA,2025-01-22 05:00:00+00:00,GAP_UP,0.0247217188713434,0.0247217188713434,2-5%,1.3364285714285704,39.585,38.63,-90.07,MAX_BEARISH,39.83,38.71,38.81,0.006189,0.022104,0.1833,0.6547,0.0,370.0,AT_OPEN,LAST_HOUR,0.019578,1,True,0.0,False,,2025-01-22,gapup_fade_short,SHORT,False,,True,0.0,39.050428571428576,0.7749999999999986,0.01957812302639885,0.5799037947621587,False,False,370.0,0.0,last_30min,at_open,39.83,38.79,38.79,1.0399999999999991,0.7781934794227685,39.83,False,,0.0,0.0,0.0,no_violation,no_violation,no_violation,,,,,,
AA,2025-02-06 05:00:00+00:00,GAP_UP,0.0205327413984462,0.0205327413984462,2-5%,1.504285714285715,36.78,36.04,64.48,BEARISH,36.86,35.33,35.92,0.002175,0.039424,0.0532,0.9639,0.0,330.0,AT_OPEN,LAST_HOUR,0.023382,1,True,75.0,False,,2025-02-06,gapup_fade_short,SHORT,False,,True,75.0,36.178285714285714,0.8599999999999994,0.023382272974442616,0.5716999050332378,False,False,330.0,0.0,after_4hr,at_open,36.86,36.64,36.64,0.21999999999999886,0.14624881291547875,36.86,False,,0.0,0.0,0.0,no_violation,no_violation,no_violation,,,,,,
