path,timing_bucket,n,ft_0p70_rate,ft_1p00_rate,reverse_ft_rate,conf
Gap-Up Continuation (Long),no_violation,749,0.48998664886515353,0.30040053404539385,0.0,✅
Gap-Up Continuation (Long),at_open,765,0.08366013071895424,0.0457516339869281,0.11633986928104575,✅
Gap-Up Continuation (Long),first_30min,781,0.08066581306017925,0.05121638924455826,0.18309859154929578,✅
Gap-Up Continuation (Long),30min_to_1hr,245,0.0653061224489796,0.0326530612244898,0.17551020408163265,✅
Gap-Up Continuation (Long),1hr_to_2hr,198,0.04040404040404041,0.015151515151515152,0.13636363636363635,✅
Gap-Up Continuation (Long),2hr_to_4hr,143,0.03496503496503497,0.013986013986013986,0.09090909090909091,✅
Gap-Up Continuation (Long),after_4hr,60,0.0,0.0,0.08333333333333333,✅
Gap-Up Continuation (Long),last_30min,13,0.0,0.0,0.0,⚠️ LOW CONF
Gap-Down Continuation (Short),no_violation,492,0.11585365853658537,0.056910569105691054,0.12601626016260162,✅
Gap-Down Continuation (Short),at_open,524,0.1450381679389313,0.08396946564885496,0.1316793893129771,✅
Gap-Down Continuation (Short),first_30min,479,0.11899791231732777,0.054279749478079335,0.11899791231732777,✅
Gap-Down Continuation (Short),30min_to_1hr,129,0.13953488372093023,0.08527131782945736,0.07751937984496124,✅
Gap-Down Continuation (Short),1hr_to_2hr,106,0.12264150943396226,0.0660377358490566,0.05660377358490566,✅
Gap-Down Continuation (Short),2hr_to_4hr,88,0.09090909090909091,0.045454545454545456,0.13636363636363635,✅
Gap-Down Continuation (Short),after_4hr,52,0.1346153846153846,0.11538461538461539,0.07692307692307693,✅
Gap-Down Continuation (Short),last_30min,12,0.0,0.0,0.0,⚠️ LOW CONF
Gap-Up Fade (Short),no_violation,516,0.4321705426356589,0.25387596899224807,0.9205426356589147,✅
Gap-Up Fade (Short),at_open,189,0.1111111111111111,0.06878306878306878,0.35978835978835977,✅
Gap-Up Fade (Short),first_30min,339,0.12684365781710916,0.07374631268436578,0.3952802359882006,✅
Gap-Up Fade (Short),30min_to_1hr,103,0.07766990291262135,0.05825242718446602,0.42718446601941745,✅
Gap-Up Fade (Short),1hr_to_2hr,70,0.04285714285714286,0.0,0.5285714285714286,✅
Gap-Up Fade (Short),2hr_to_4hr,58,0.034482758620689655,0.0,0.6724137931034483,✅
Gap-Up Fade (Short),after_4hr,43,0.023255813953488372,0.0,0.6744186046511628,✅
Gap-Up Fade (Short),last_30min,8,0.0,0.0,0.875,❌ INSUFF
Gap-Down Bounce (Long),no_violation,159,0.16981132075471697,0.11320754716981132,0.5849056603773585,✅
Gap-Down Bounce (Long),at_open,245,0.14285714285714285,0.061224489795918366,0.5673469387755102,✅
Gap-Down Bounce (Long),first_30min,225,0.1288888888888889,0.07555555555555556,0.49777777777777776,✅
Gap-Down Bounce (Long),30min_to_1hr,37,0.24324324324324326,0.13513513513513514,0.6756756756756757,✅
Gap-Down Bounce (Long),1hr_to_2hr,43,0.20930232558139536,0.13953488372093023,0.6046511627906976,✅
Gap-Down Bounce (Long),2hr_to_4hr,18,0.2222222222222222,0.1111111111111111,0.4444444444444444,⚠️ LOW CONF
Gap-Down Bounce (Long),after_4hr,23,0.21739130434782608,0.08695652173913043,0.6956521739130435,✅
Gap-Down Bounce (Long),last_30min,3,0.0,0.0,0.6666666666666666,❌ INSUFF
