timestamp,close,high,low,n,open,volume,vw
2024-01-02 05:00:00+00:00,4.115,4.74,4.11,522,4.695,58733,4.386844
2024-01-03 05:00:00+00:00,3.92,4.275,3.69,1015,3.69,133847,4.082448
2024-01-04 05:00:00+00:00,4.185,4.31,3.96,526,4.05,89437,4.15449
2024-01-05 05:00:00+00:00,3.925,4.08,3.78,369,4.0,50198,3.900384
2024-01-08 05:00:00+00:00,4.04,4.06,3.53,726,3.99,113781,3.890436
2024-01-09 05:00:00+00:00,3.81,4.005,3.8,317,3.955,51612,3.906721
2024-01-10 05:00:00+00:00,3.78,3.945,3.6,821,3.735,111276,3.793282
2024-01-11 05:00:00+00:00,3.5,4.105,3.315,727,4.01,98823,3.526281
2024-01-12 05:00:00+00:00,3.255,3.465,3.23,655,3.355,112809,3.326241
2024-01-16 05:00:00+00:00,2.895,3.09,2.84,1030,3.03,262835,2.96774
2024-01-17 05:00:00+00:00,2.805,2.87,2.76,380,2.8,45000,2.80431
2024-01-18 05:00:00+00:00,2.63,2.87,2.61,493,2.87,64859,2.710922
2024-01-19 05:00:00+00:00,2.69,2.69,2.465,410,2.57,91996,2.558056
2024-01-22 05:00:00+00:00,2.815,2.865,2.58,461,2.63,70746,2.779032
2024-01-23 05:00:00+00:00,2.73,2.82,2.7,281,2.82,33852,2.746941
2024-01-24 05:00:00+00:00,2.28,2.86,2.22,938,2.8,148474,2.477423
2024-01-25 05:00:00+00:00,2.355,2.385,2.16,700,2.26,105576,2.285473
2024-01-26 05:00:00+00:00,2.76,2.855,2.48,1074,2.48,171747,2.737863
2024-01-29 05:00:00+00:00,3.11,3.21,2.71,808,2.76,111850,3.026285
2024-01-30 05:00:00+00:00,3.09,3.205,3.01,648,3.15,108895,3.086821
2024-01-31 05:00:00+00:00,3.04,3.25,2.895,346,2.895,48853,3.062531
2024-02-01 05:00:00+00:00,2.87,3.08,2.8,517,3.05,71679,2.879649
2024-02-02 05:00:00+00:00,2.67,2.85,2.635,417,2.8,63635,2.726653
2024-02-05 05:00:00+00:00,2.44,2.605,2.44,544,2.6,84086,2.499919
2024-02-06 05:00:00+00:00,2.59,2.59,2.405,286,2.415,41361,2.538792
2024-02-07 05:00:00+00:00,2.51,2.61,2.445,197,2.61,26204,2.504137
2024-02-08 05:00:00+00:00,2.905,2.905,2.63,400,2.64,48175,2.803452
2024-02-09 05:00:00+00:00,3.34,3.44,3.085,701,3.32,92521,3.298221
2024-02-12 05:00:00+00:00,3.9,3.96,3.38,610,3.38,94332,3.782311
2024-02-13 05:00:00+00:00,3.5,3.65,3.2,917,3.38,95588,3.4442
2024-02-14 05:00:00+00:00,4.015,4.04,3.685,486,3.95,59572,3.869921
2024-02-15 05:00:00+00:00,4.195,4.45,4.0,751,4.1,86877,4.234212
2024-02-16 05:00:00+00:00,3.77,4.225,3.76,966,4.225,179840,3.969752
