timestamp,close,high,low,n,open,volume,vw
2024-01-02 05:00:00+00:00,0.8226,0.88,0.8225,42,0.8649,7668,0.859686
2024-01-03 05:00:00+00:00,0.8225,0.8225,0.7975,33,0.8081,6486,0.809496
2024-01-04 05:00:00+00:00,0.8625,0.8625,0.8288,55,0.8435,6588,0.850068
2024-01-05 05:00:00+00:00,0.8226,0.8761,0.8179,38,0.8761,7281,0.835684
2024-01-08 05:00:00+00:00,0.8697,0.8701,0.7908,70,0.83,20073,0.835651
2024-01-09 05:00:00+00:00,0.8449,0.8547,0.84,32,0.845,3723,0.844394
2024-01-10 05:00:00+00:00,0.8453,0.8597,0.84,154,0.8597,19031,0.855022
2024-01-11 05:00:00+00:00,0.7899,0.8161,0.7816,222,0.8161,30626,0.788899
2024-01-12 05:00:00+00:00,0.7467,0.8107,0.7441,110,0.8,11319,0.766978
2024-01-16 05:00:00+00:00,0.7104,0.7657,0.6877,85,0.7657,7890,0.715148
2024-01-17 05:00:00+00:00,0.7034,0.7057,0.6917,31,0.7051,9178,0.697687
2024-01-18 05:00:00+00:00,0.6944,0.738,0.6943,74,0.738,5289,0.701426
2024-01-19 05:00:00+00:00,0.7356,0.7356,0.6856,37,0.705,5732,0.717898
2024-01-22 05:00:00+00:00,0.7899,0.7951,0.7301,303,0.7301,35174,0.761358
2024-01-23 05:00:00+00:00,0.8145,0.82,0.792,60,0.82,6366,0.805367
2024-01-24 05:00:00+00:00,0.755,0.83,0.7502,110,0.83,15281,0.779594
2024-01-25 05:00:00+00:00,0.7241,0.755,0.71,38,0.7525,5008,0.737683
2024-01-26 05:00:00+00:00,0.81,0.82,0.7582,26,0.763,3590,0.792173
2024-01-29 05:00:00+00:00,0.8241,0.836,0.7801,68,0.7801,7910,0.806932
2024-01-30 05:00:00+00:00,0.8794,0.9349,0.83,107,0.83,13074,0.887389
2024-01-31 05:00:00+00:00,0.87,0.9228,0.825,44,0.8799,8886,0.885447
2024-02-01 05:00:00+00:00,0.9049,0.9101,0.849,42,0.9,6633,0.893237
2024-02-02 05:00:00+00:00,0.96,0.96,0.89,99,0.89,9357,0.924801
2024-02-05 05:00:00+00:00,0.8827,0.9365,0.88,45,0.9365,5404,0.896007
