ticker,daily_status,intraday_status,daily_rows,intraday_rows
AA,reused,reused,565,43248
AAL,reused,reused,565,44325
AAPL,reused,reused,565,44385
ABBV,reused,reused,565,42774
ABNB,reused,reused,565,42967
ACHR,reused,reused,565,44774
AEO,reused,reused,565,43176
AFRM,reused,reused,565,42993
AI,reused,reused,565,41564
AIQ,reused,reused,565,21062
AIS,reused,error: 't',329,0
ALAB,reused,error: 't',511,0
AMD,reused,reused,565,44520
AMZN,reused,reused,565,44185
ANF,reused,reused,565,38275
APLD,reused,reused,565,42699
APP,reused,reused,565,42844
ARKK,reused,reused,565,42860
ARKQ,reused,reused,565,6563
ARKX,reused,reused,565,7930
ARM,reused,reused,565,42531
ASML,reused,reused,565,32342
ASTS,reused,reused,565,41159
AVGO,reused,reused,565,42914
BA,reused,reused,565,43082
BABA,reused,reused,565,44111
BAC,reused,reused,565,43735
BE,reused,reused,565,43166
BIDU,reused,reused,565,40631
BLSH,reused,error: 't',161,0
BROS,reused,reused,565,40931
BRZU,reused,reused,565,1725
BULL,reused,error: 't',565,0
CASY,reused,reused,565,17793
CAT,reused,reused,565,40331
CCL,reused,reused,565,43776
CDE,reused,reused,565,42349
CELH,reused,reused,565,43248
CIFR,reused,reused,565,42732
CL,reused,reused,565,43098
CLF,reused,reused,565,43505
CLOU,reused,reused,565,9495
CLSK,reused,reused,565,45207
COIN,reused,reused,565,43412
COP,reused,reused,565,43283
COST,reused,reused,565,33383
CPNG,reused,reused,565,43401
CRCL,reused,error: 't',208,0
CRDO,reused,reused,565,41280
CRWD,reused,reused,565,40227
CRWV,reused,error: 't',255,0
CSCO,reused,reused,565,43788
CVNA,reused,reused,565,42115
CVS,reused,reused,565,43613
CVX,reused,reused,565,43350
DAL,reused,reused,565,43517
DASH,reused,reused,565,42658
DELL,reused,reused,565,43274
DHI,reused,reused,565,41384
DIA,reused,reused,565,33025
DIS,reused,reused,565,43599
DJT,reused,reused,565,38786
DKNG,reused,reused,565,43658
DLTR,reused,reused,565,41862
DOCU,reused,reused,565,39784
DTCR,reused,reused,565,8134
DVN,reused,reused,565,43493
EBAY,reused,reused,565,43354
EDC,reused,reused,565,2539
ENPH,reused,reused,565,42721
EOG,reused,reused,565,42111
EOSE,reused,reused,565,39848
ETHU,reused,error: 't',459,0
ETOR,reused,error: 't',223,0
ETSY,reused,reused,565,42775
EURL,reused,reused,565,1244
EZJ,reused,error: 't',565,0
EZU,reused,reused,565,30594
FAZ,reused,reused,565,27055
FCG,reused,reused,565,16118
FIG,reused,error: 't',170,0
FSLY,reused,reused,565,39643
FTXH,reused,reused,565,190
FUBO,reused,reused,565,39903
GE,reused,reused,565,43071
GEMI,reused,error: 't',140,0
GILD,reused,reused,565,43399
GLD,reused,reused,565,42099
GM,reused,reused,565,43717
GME,reused,reused,565,42125
GOLD,reused,reused,565,15529
GOOGL,reused,reused,565,44392
GS,reused,reused,565,36978
HAL,reused,reused,565,43678
HD,reused,reused,565,41641
HIMS,reused,reused,565,43544
HON,reused,reused,565,40948
HOOD,reused,reused,565,44264
IBB,reused,reused,565,34665
IBKR,reused,reused,565,38012
IBOT,reused,error: 't',565,0
ICLN,reused,reused,565,34177
IGV,reused,reused,565,40895
IHE,reused,reused,565,2890
INDL,reused,reused,565,1370
INTC,reused,reused,565,46375
IONQ,reused,reused,565,42407
IPO,reused,reused,565,1811
IREN,reused,reused,565,42516
ITA,reused,reused,565,17282
ITB,reused,reused,565,34809
IWC,reused,reused,565,2662
IWM,reused,reused,565,46363
JD,reused,reused,565,43845
JETS,reused,reused,565,36374
JNJ,reused,reused,565,43308
JPM,reused,reused,565,43244
KORU,reused,reused,565,5864
KRE,reused,reused,565,43719
KTOS,reused,reused,565,36003
KWEB,reused,reused,565,43696
LEN,reused,reused,565,40732
LI,reused,reused,565,42856
LLY,reused,reused,565,40112
LULU,reused,reused,565,40039
LUNR,reused,reused,565,38198
LYFT,reused,reused,565,43708
M,reused,reused,565,42940
MAGS,reused,reused,565,21238
MARA,reused,reused,565,47448
MEME,reused,error: 't',122,0
META,reused,reused,565,43823
MEXX,reused,reused,565,3489
MMM,reused,reused,565,41401
MP,reused,reused,565,41818
MRK,reused,reused,565,43559
MRNA,reused,reused,565,42776
MRVL,reused,reused,565,43850
MS,reused,reused,565,43358
MSFT,reused,reused,565,44131
MU,reused,reused,565,44160
NCLH,reused,reused,565,43689
NET,reused,reused,565,41058
NFLX,reused,reused,565,40282
NIO,reused,reused,565,46907
NKE,reused,reused,565,43761
NLR,reused,reused,565,13159
NNE,reused,error: 't',477,0
NRG,reused,reused,565,41307
NVDA,reused,reused,565,47024
NVO,reused,reused,565,42766
OIH,reused,reused,565,24101
OKLO,reused,reused,565,37454
OPEN,reused,reused,565,45075
ORCL,reused,reused,565,44070
OSCR,reused,reused,565,42452
OXY,reused,reused,565,43497
PALL,reused,reused,565,7755
PANW,reused,reused,565,42015
PATH,reused,reused,565,43520
PBW,reused,reused,565,18125
PDD,reused,reused,565,43450
PENN,reused,reused,565,42811
PEP,reused,reused,565,43206
PG,reused,reused,565,43209
PL,reused,reused,565,36074
PLTR,reused,reused,565,45005
PLUG,reused,reused,565,46465
PPH,reused,reused,565,11193
PSX,reused,reused,565,41895
QBTS,reused,reused,565,37891
QCOM,reused,reused,565,43580
QQQ,reused,reused,565,50528
QTUM,reused,reused,565,9391
QUBT,reused,reused,565,31981
RBLX,reused,reused,565,43518
RCAT,reused,reused,565,30918
RDDT,reused,error: 't',510,0
RGTI,reused,reused,565,40903
RILY,reused,reused,565,26043
RIOT,reused,reused,565,45219
RIVN,reused,reused,565,44091
RKLB,reused,reused,565,42654
RKT,reused,reused,565,41476
ROKU,reused,reused,565,41230
RR,reused,reused,565,28084
RTX,reused,reused,565,42787
RUM,reused,reused,565,34667
RUN,reused,reused,565,43614
SCHW,reused,reused,565,43602
SERV,reused,error: 't',491,0
SHOP,reused,reused,565,43495
SLB,reused,reused,565,43711
SLV,reused,reused,565,43125
SMCI,reused,reused,565,42572
SMH,reused,reused,565,42515
SMR,reused,reused,565,41974
SNAP,reused,reused,565,45185
SNDK,reused,error: 't',285,0
SNOW,reused,reused,565,42954
SOFI,reused,reused,565,44649
SOUN,reused,reused,565,44673
SOXS,reused,reused,565,48729
SOXX,reused,reused,565,39764
SPX,error: 't',missing,0,0
SPY,reused,reused,565,46344
SQQQ,reused,reused,565,53005
TAN,reused,reused,565,29922
TEM,reused,error: 't',451,0
TGT,reused,reused,565,43019
TIGR,reused,reused,565,33513
TSLA,reused,reused,565,45424
TSM,reused,reused,565,44290
U,reused,reused,565,43620
UAL,reused,reused,565,43237
UBER,reused,reused,565,43790
UFO,reused,reused,565,3977
UNH,reused,reused,565,42897
UPST,reused,reused,565,41036
VLO,reused,reused,565,41511
VRT,reused,reused,565,43447
VST,reused,reused,565,43196
WMT,reused,reused,565,43710
XBI,reused,reused,565,44088
XHB,reused,reused,565,38460
XLE,reused,reused,565,43817
XLF,reused,reused,565,43956
XLI,reused,reused,565,43424
XLK,reused,reused,565,41160
XLP,reused,reused,565,43507
XLV,reused,reused,565,43234
XOM,reused,reused,565,43729
XOP,reused,reused,565,39424
XPEV,reused,reused,565,43312
YANG,reused,reused,565,22542
Z,reused,reused,565,41219
ZETA,reused,reused,565,41540
ZM,reused,reused,565,41377
ZS,reused,reused,565,38781
