date,composite_score,regime,xly_xlp_ratio,roc_20d,SPY_fwd_5d,SPY_fwd_10d,SPY_fwd_20d,QQQ_fwd_5d,QQQ_fwd_10d,QQQ_fwd_20d,IWM_fwd_5d,IWM_fwd_10d,IWM_fwd_20d,outcome_20d
2018-10-24,-1.387,RISK-OFF,1.0777,-0.1274,0.02001,0.05914,-0.00113,0.0271,0.06193,-0.03006,0.02795,0.07852,0.01425,CONTINUED LOWER
2020-03-12,-4.032,EXTREME RISK-OFF / CTA MAX SHORT ZONE,1.0321,-0.1018,-0.03063,0.05895,0.12787,0.00192,0.08453,0.13517,-0.07234,0.04726,0.10921,BOUNCED
2021-12-16,-0.496,MILD RISK-OFF,1.3937,-0.104,0.01244,0.02182,-0.00021,0.02737,0.02977,-0.0164,0.04156,0.04348,0.0053,CONTINUED LOWER
2022-01-21,-1.629,RISK-OFF,1.2812,-0.1102,0.00906,0.02448,-0.00856,0.00031,0.01797,-0.02895,-0.00883,0.00706,0.01259,CONTINUED LOWER
2022-04-22,-1.748,RISK-OFF,1.1933,-0.101,-0.03295,-0.0345,-0.08546,-0.03734,-0.04963,-0.11285,-0.04012,-0.05242,-0.08615,CONTINUED LOWER
2022-05-20,-2.403,EXTREME RISK-OFF / CTA MAX SHORT ZONE,1.0681,-0.1049,0.06578,0.05687,-0.03321,0.07074,0.06422,-0.02446,0.06565,0.06696,-0.04258,CONTINUED LOWER
2022-11-02,-0.896,MILD RISK-OFF,1.0256,-0.1009,-0.00197,0.0549,0.08672,-0.00888,0.07437,0.10554,-0.01611,0.03809,0.05336,BOUNCED
2022-12-27,-0.624,MILD RISK-OFF,0.894,-0.1007,0.00619,0.03702,0.06122,0.00819,0.053,0.11291,0.01351,0.05507,0.08856,BOUNCED
2024-08-05,-2.682,EXTREME RISK-OFF / CTA MAX SHORT ZONE,1.1361,-0.1013,0.03071,0.08162,0.06707,0.03677,0.10543,0.06073,0.01187,0.06429,0.05514,BOUNCED
2025-02-21,0.543,MILD RISK-ON,1.3582,-0.11,-0.0096,-0.04004,-0.05711,-0.03404,-0.06518,-0.08599,-0.01446,-0.05441,-0.06223,CONTINUED LOWER
2025-04-21,-1.162,RISK-OFF,1.1345,-0.1082,0.07194,0.09658,0.15757,0.09074,0.12196,0.20526,0.06676,0.08865,0.14354,BOUNCED
2026-02-04,0.497,MILD RISK-ON,1.3856,-0.1166,0.00841,-0.00249,-0.00711,0.01215,-0.00376,0.00522,0.017,0.01566,-0.01443,CONTINUED LOWER
