timestamp,close,high,low,n,open,volume,vw
2024-01-02 05:00:00+00:00,100.68,100.68,100.19,6,100.19,332,100.435
2024-01-03 05:00:00+00:00,100.68,100.68,100.68,0,100.68,0,0.0
2024-01-04 05:00:00+00:00,98.775,98.775,97.605,6,97.605,333,98.19
2024-01-05 05:00:00+00:00,100.07,100.355,100.07,3,100.24,300,100.221667
2024-01-08 05:00:00+00:00,100.04,100.04,100.04,2,100.04,117,100.04
2024-01-09 05:00:00+00:00,100.04,100.04,100.04,0,100.04,0,0.0
2024-01-10 05:00:00+00:00,97.4,97.4,97.4,4,97.4,192,97.4
2024-01-11 05:00:00+00:00,97.4,97.4,97.4,0,97.4,0,0.0
2024-01-12 05:00:00+00:00,99.09,99.29,99.09,4,99.29,350,99.213333
2024-01-16 05:00:00+00:00,93.87,93.87,93.87,4,93.87,114,93.87
2024-01-17 05:00:00+00:00,92.75,92.75,92.575,27,92.64,636,92.642
2024-01-18 05:00:00+00:00,91.05,91.05,90.29,5,90.29,483,90.7325
2024-01-19 05:00:00+00:00,90.51,90.78,89.64,20,89.78,1771,90.002667
2024-01-22 05:00:00+00:00,87.115,88.205,86.95,11,87.67,762,87.664167
2024-01-23 05:00:00+00:00,90.26,90.26,88.43,13,88.67,759,89.040833
2024-01-24 05:00:00+00:00,90.75,90.75,90.75,5,90.75,106,90.75
2024-01-25 05:00:00+00:00,92.04,92.04,92.04,12,92.04,177,92.04
2024-01-26 05:00:00+00:00,93.32,93.32,93.32,10,93.32,120,93.32
2024-01-29 05:00:00+00:00,90.83,91.25,90.83,6,91.25,328,91.04
2024-01-30 05:00:00+00:00,90.28,90.28,90.28,2,90.28,189,90.28
2024-01-31 05:00:00+00:00,91.13,92.205,91.13,11,91.87,483,91.61375
2024-02-01 05:00:00+00:00,91.78,91.78,91.65,3,91.65,239,91.715
2024-02-02 05:00:00+00:00,88.88,88.88,88.67,3,88.67,245,88.775
2024-02-05 05:00:00+00:00,88.88,88.88,88.88,0,88.88,0,0.0
2024-02-06 05:00:00+00:00,93.5,93.5,93.29,3,93.29,258,93.395
2024-02-07 05:00:00+00:00,93.5,93.5,93.5,0,93.5,0,0.0
2024-02-08 05:00:00+00:00,93.5,93.5,93.5,0,93.5,0,0.0
2024-02-09 05:00:00+00:00,90.45,90.45,89.45,4,89.45,389,89.816667
2024-02-12 05:00:00+00:00,92.45,92.45,92.45,3,92.45,155,92.45
2024-02-13 05:00:00+00:00,85.75,89.085,85.75,4,89.085,400,86.74625
2024-02-14 05:00:00+00:00,88.33,88.44,88.27,4,88.44,400,88.345
2024-02-15 05:00:00+00:00,88.33,88.33,88.33,0,88.33,0,0.0
2024-02-16 05:00:00+00:00,91.58,91.58,91.58,3,91.58,274,91.58
2024-02-20 05:00:00+00:00,93.87,93.87,93.59,8,93.59,581,93.7175
2024-02-21 05:00:00+00:00,93.87,93.87,93.87,0,93.87,0,0.0
2024-02-22 05:00:00+00:00,94.39,94.39,93.52,10,93.94,618,93.934
