timestamp,close,high,low,n,open,volume,vw
2025-03-28 04:00:00+00:00,40.05,41.82,37.5,10047,39.25,1153669,39.641226
2025-03-31 04:00:00+00:00,37.0,38.42,36.005,8186,38.25,693124,36.74822
2025-04-01 04:00:00+00:00,52.685,53.25,37.21,13941,38.235,1326320,44.96958
2025-04-02 04:00:00+00:00,61.49,64.61,51.58,10329,55.81,921424,58.213031
2025-04-03 04:00:00+00:00,53.74,57.605,48.27,6333,54.63,657930,53.170457
2025-04-04 04:00:00+00:00,47.94,50.85,43.785,4758,49.6,702900,47.009325
2025-04-07 04:00:00+00:00,49.63,51.4,42.225,3118,43.44,263414,48.027931
2025-04-08 04:00:00+00:00,43.59,54.8,42.36,3748,54.145,351757,47.02544
2025-04-09 04:00:00+00:00,48.725,49.88,39.125,4061,43.725,433389,44.595151
2025-04-10 04:00:00+00:00,42.225,46.98,41.955,2087,46.895,225465,43.783747
2025-04-11 04:00:00+00:00,43.75,44.835,41.03,999,42.625,98928,43.110004
2025-04-14 04:00:00+00:00,43.56,46.795,42.55,899,46.795,74290,44.05893
2025-04-15 04:00:00+00:00,40.67,44.47,40.13,1316,43.87,130963,41.185781
2025-04-16 04:00:00+00:00,40.8,40.8,38.3,1957,40.185,183013,39.346847
2025-04-17 04:00:00+00:00,39.04,41.62,38.49,1290,41.125,102387,39.770569
2025-04-21 04:00:00+00:00,35.23,38.215,33.515,1389,38.215,144085,35.30622
2025-04-22 04:00:00+00:00,38.59,39.59,36.0,2111,36.98,228252,38.143346
2025-04-23 04:00:00+00:00,41.48,43.91,40.17,1683,42.0,263759,42.344484
2025-04-24 04:00:00+00:00,41.83,43.49,38.8,1864,42.42,199954,41.676544
2025-04-25 04:00:00+00:00,41.575,44.35,40.975,1229,41.99,150892,42.658697
2025-04-28 04:00:00+00:00,42.135,42.99,39.83,1093,41.99,149015,40.971579
2025-04-29 04:00:00+00:00,42.93,46.4,41.57,2053,41.81,220438,44.343707
2025-04-30 04:00:00+00:00,41.365,41.5,39.575,1075,40.85,92802,40.955681
2025-05-01 04:00:00+00:00,44.265,48.31,44.115,3259,46.58,342935,46.207359
2025-05-02 04:00:00+00:00,51.59,51.8,46.0,1340,46.0,100913,49.959381
2025-05-05 04:00:00+00:00,50.97,52.715,49.99,966,49.99,63932,51.366902
2025-05-06 04:00:00+00:00,54.36,54.8,49.39,1490,49.39,136405,53.120669
2025-05-07 04:00:00+00:00,53.51,54.91,51.54,1141,54.91,90672,52.908843
2025-05-08 04:00:00+00:00,54.96,55.7,52.91,1108,53.62,91937,54.494918
2025-05-09 04:00:00+00:00,51.29,56.74,50.195,1752,56.16,115778,51.732719
2025-05-12 04:00:00+00:00,58.44,59.42,53.11,1851,54.21,144673,57.587777
2025-05-13 04:00:00+00:00,63.21,64.81,57.82,3036,58.24,296041,62.776626
2025-05-14 04:00:00+00:00,67.59,68.355,64.005,3865,66.005,372725,66.412341
2025-05-15 04:00:00+00:00,65.83,72.89,61.44,5413,68.85,512973,66.947303
2025-05-16 04:00:00+00:00,80.34,83.975,67.71,8002,68.18,785882,78.284452
2025-05-19 04:00:00+00:00,86.58,88.835,76.595,5006,77.3,458449,83.942676
2025-05-20 04:00:00+00:00,90.24,96.3,83.44,4962,89.67,333100,89.843694
2025-05-21 04:00:00+00:00,107.19,109.415,89.55,8632,89.55,631125,103.191794
2025-05-22 04:00:00+00:00,100.1,116.46,99.64,7275,112.065,550488,108.424915
2025-05-23 04:00:00+00:00,102.67,106.46,97.44,2812,97.635,217050,102.778201
2025-05-27 04:00:00+00:00,123.55,125.0,108.0,5806,109.595,396964,118.114841
2025-05-28 04:00:00+00:00,116.15,123.0,113.125,3052,123.0,251994,116.931335
2025-05-29 04:00:00+00:00,105.61,130.52,105.56,4580,123.61,345038,116.321645
2025-05-30 04:00:00+00:00,111.305,111.79,104.95,3657,109.125,272614,108.545682
2025-06-02 04:00:00+00:00,120.175,123.54,114.07,3808,116.34,368687,118.363005
2025-06-03 04:00:00+00:00,150.44,150.765,124.84,6976,125.25,596929,141.199415
2025-06-04 04:00:00+00:00,163.5,166.51,144.33,6640,155.875,550589,156.211873
2025-06-05 04:00:00+00:00,135.19,157.45,132.82,7376,155.3,663522,142.753425
2025-06-06 04:00:00+00:00,140.22,148.47,138.68,2625,144.905,177455,143.667004
2025-06-09 04:00:00+00:00,161.96,163.06,144.29,4522,147.745,329778,156.890299
2025-06-10 04:00:00+00:00,154.88,158.21,149.045,3116,156.105,253943,153.52483
2025-06-11 04:00:00+00:00,149.83,165.43,145.51,3606,160.0,314505,150.699207
2025-06-12 04:00:00+00:00,148.925,154.5,142.52,2046,153.615,134275,147.597474
2025-06-13 04:00:00+00:00,147.02,154.42,142.51,3056,143.11,235453,149.236292
2025-06-16 04:00:00+00:00,158.41,158.44,143.51,3725,147.48,253143,153.948525
2025-06-17 04:00:00+00:00,171.83,175.2,155.855,4381,156.99,372597,168.023764
2025-06-18 04:00:00+00:00,169.86,176.53,165.81,2407,173.42,216439,170.92585
2025-06-20 04:00:00+00:00,183.86,186.78,168.91,3506,171.02,304570,181.385727
2025-06-23 04:00:00+00:00,173.68,183.32,159.08,4680,183.32,371140,172.09849
2025-06-24 04:00:00+00:00,172.55,183.46,171.89,2285,176.425,163885,177.079537
