timestamp,close,high,low,n,open,volume,vw
2024-01-02 05:00:00+00:00,2.35,2.59,2.35,238,2.59,29686,2.43671
2024-01-03 05:00:00+00:00,2.245,2.335,2.235,183,2.3,21009,2.271851
2024-01-04 05:00:00+00:00,2.11,2.345,2.09,83,2.27,7295,2.207437
2024-01-05 05:00:00+00:00,2.29,2.445,2.1,123,2.1,11034,2.291368
2024-01-08 05:00:00+00:00,2.26,2.42,2.24,93,2.36,9114,2.292148
2024-01-09 05:00:00+00:00,2.29,2.34,2.2,60,2.25,7731,2.25918
2024-01-10 05:00:00+00:00,2.835,3.11,2.38,170,2.38,18442,2.756996
2024-01-11 05:00:00+00:00,2.39,2.735,2.3,183,2.735,20444,2.407912
2024-01-12 05:00:00+00:00,2.56,2.77,2.44,128,2.45,11470,2.579335
2024-01-16 05:00:00+00:00,2.58,2.63,2.56,45,2.58,3876,2.584524
2024-01-17 05:00:00+00:00,2.575,2.64,2.53,293,2.53,56916,2.579506
2024-01-18 05:00:00+00:00,2.575,2.6,2.49,129,2.56,9875,2.565563
2024-01-19 05:00:00+00:00,2.61,2.63,2.49,68,2.52,13394,2.548635
2024-01-22 05:00:00+00:00,2.81,3.15,2.81,198,3.0,17905,2.973581
2024-01-23 05:00:00+00:00,2.77,2.93,2.69,105,2.845,31114,2.765978
2024-01-24 05:00:00+00:00,2.625,2.78,2.62,486,2.75,86275,2.67192
2024-01-25 05:00:00+00:00,2.555,2.65,2.52,87,2.65,5685,2.573624
2024-01-26 05:00:00+00:00,2.56,2.6,2.56,46,2.58,3193,2.570385
2024-01-29 05:00:00+00:00,3.06,3.21,2.65,188,2.68,21161,3.048881
2024-01-30 05:00:00+00:00,3.36,3.49,3.0,158,3.03,17465,3.34691
2024-01-31 05:00:00+00:00,3.755,3.92,3.4,116,3.45,14140,3.754828
2024-02-01 05:00:00+00:00,3.69,4.03,3.65,99,3.92,7951,3.80505
2024-02-02 05:00:00+00:00,3.73,3.82,3.5,63,3.67,5117,3.701091
2024-02-05 05:00:00+00:00,3.645,3.9,3.61,103,3.75,8250,3.713648
2024-02-06 05:00:00+00:00,3.6,3.99,3.51,163,3.9,9839,3.68127
2024-02-07 05:00:00+00:00,3.48,3.52,3.36,134,3.52,4586,3.457167
2024-02-08 05:00:00+00:00,3.755,3.96,3.45,121,3.45,5744,3.752299
2024-02-09 05:00:00+00:00,4.96,5.45,4.06,441,4.06,61297,4.840617
2024-02-12 05:00:00+00:00,5.31,6.79,5.08,847,6.14,98057,5.871475
2024-02-13 05:00:00+00:00,5.18,5.98,4.925,366,5.145,54503,5.451619
2024-02-14 05:00:00+00:00,4.98,5.32,4.66,174,4.8,29114,4.998874
2024-02-15 05:00:00+00:00,6.68,6.94,5.16,704,5.25,92098,6.420553
2024-02-16 05:00:00+00:00,7.32,8.69,7.19,808,7.79,92440,7.89724
2024-02-20 05:00:00+00:00,10.97,12.02,8.81,3734,9.44,411144,10.855596
2024-02-21 05:00:00+00:00,9.35,13.25,8.0,3811,12.86,299032,10.343876
2024-02-22 05:00:00+00:00,8.295,10.26,8.2,2225,8.84,222864,9.257856
2024-02-23 05:00:00+00:00,9.53,11.85,9.36,4579,11.63,504678,10.458165
2024-02-26 05:00:00+00:00,6.25,7.62,5.94,1745,7.62,245867,6.55072
2024-02-27 05:00:00+00:00,6.71,6.72,4.9,1696,5.07,202827,5.650195
2024-02-28 05:00:00+00:00,5.85,7.2,5.85,1599,6.54,190265,6.507631
2024-02-29 05:00:00+00:00,6.025,6.27,5.62,616,5.67,65501,5.956524
2024-03-01 05:00:00+00:00,5.84,5.98,5.55,379,5.77,37979,5.825989
2024-03-04 05:00:00+00:00,5.31,5.795,5.16,455,5.795,35210,5.41149
2024-03-05 05:00:00+00:00,5.3,5.45,5.05,476,5.18,30011,5.248369
2024-03-06 05:00:00+00:00,4.9,5.37,4.835,279,5.29,22634,5.019949
2024-03-07 05:00:00+00:00,5.13,5.13,4.48,388,4.67,34580,4.876051
2024-03-08 05:00:00+00:00,5.46,5.545,4.95,361,5.07,17651,5.232237
2024-03-11 04:00:00+00:00,5.95,6.08,5.28,415,5.3,20117,5.766895
2024-03-12 04:00:00+00:00,5.84,5.91,5.72,127,5.8,9314,5.82036
2024-03-13 04:00:00+00:00,5.3,5.8,5.29,182,5.8,16430,5.527004
2024-03-14 04:00:00+00:00,5.08,5.35,5.05,293,5.28,14705,5.144407
2024-03-15 04:00:00+00:00,5.49,5.97,5.18,378,5.18,19141,5.563258
2024-03-18 04:00:00+00:00,5.32,5.56,5.3,159,5.3,7874,5.398655
2024-03-19 04:00:00+00:00,5.48,5.575,5.08,254,5.16,16785,5.327751
2024-03-20 04:00:00+00:00,5.615,5.86,5.41,180,5.55,15385,5.630476
2024-03-21 04:00:00+00:00,6.24,6.25,5.25,686,5.73,66215,6.010028
