timestamp,close,high,low,n,open,volume,vw
2024-01-02 14:30:00+00:00,60.11,60.27,60.11,38,60.24,1903,60.207736
2024-01-02 14:35:00+00:00,60.06,60.18,60.02,69,60.13,3672,60.09371
2024-01-02 14:40:00+00:00,60.02,60.11,59.94,51,60.11,3682,60.025224
2024-01-02 14:45:00+00:00,60.02,60.08,59.965,22,60.08,1209,60.004334
2024-01-02 14:50:00+00:00,60.1,60.18,60.005,27,60.01,1789,60.094412
2024-01-02 14:55:00+00:00,60.21,60.24,60.115,40,60.115,2106,60.185733
2024-01-02 15:00:00+00:00,60.335,60.335,60.27,12,60.27,540,60.315
2024-01-02 15:05:00+00:00,60.27,60.33,60.27,18,60.33,1289,60.303182
2024-01-02 15:10:00+00:00,60.27,60.27,60.19,32,60.25,3174,60.253388
2024-01-02 15:15:00+00:00,60.395,60.395,60.29,46,60.315,4485,60.358798
2024-01-02 15:20:00+00:00,60.475,60.54,60.395,38,60.395,2119,60.497222
2024-01-02 15:25:00+00:00,60.475,60.475,60.38,13,60.44,543,60.443
2024-01-02 15:30:00+00:00,60.67,60.67,60.45,38,60.47,8663,60.607186
2024-01-02 15:35:00+00:00,60.69,60.72,60.64,39,60.67,3465,60.68912
2024-01-02 15:40:00+00:00,60.885,60.935,60.78,33,60.78,4531,60.868257
2024-01-02 15:45:00+00:00,60.835,60.865,60.72,40,60.865,3154,60.784345
2024-01-02 15:50:00+00:00,60.735,60.87,60.735,18,60.805,1094,60.819
2024-01-02 15:55:00+00:00,60.775,60.8,60.72,12,60.73,544,60.76
2024-01-02 16:00:00+00:00,60.715,60.81,60.7,21,60.73,2124,60.75694
2024-01-02 16:05:00+00:00,60.705,60.705,60.65,5,60.65,253,60.6775
2024-01-02 16:10:00+00:00,60.585,60.72,60.58,20,60.72,1278,60.615
2024-01-02 16:15:00+00:00,60.61,60.625,60.605,15,60.62,967,60.61542
2024-01-02 16:20:00+00:00,60.63,60.63,60.56,12,60.6,871,60.585625
2024-01-02 16:25:00+00:00,60.65,60.65,60.625,10,60.645,641,60.640833
2024-01-02 16:30:00+00:00,60.66,60.66,60.6,13,60.64,825,60.627143
2024-01-02 16:40:00+00:00,60.655,60.655,60.625,24,60.63,1610,60.639643
2024-01-02 16:45:00+00:00,60.735,60.74,60.665,20,60.665,1519,60.716786
2024-01-02 16:50:00+00:00,60.65,60.75,60.65,30,60.75,1963,60.683343
2024-01-02 16:55:00+00:00,60.675,60.675,60.665,10,60.67,772,60.672143
2024-01-02 17:00:00+00:00,60.745,60.745,60.725,6,60.725,441,60.733406
2024-01-02 17:05:00+00:00,60.68,60.68,60.62,20,60.64,1666,60.65359
2024-01-02 17:10:00+00:00,60.705,60.72,60.685,17,60.685,1381,60.701154
2024-01-02 17:15:00+00:00,60.755,60.76,60.71,18,60.71,1123,60.7325
2024-01-02 17:20:00+00:00,60.68,60.76,60.67,27,60.69,1987,60.703724
2024-01-02 17:25:00+00:00,60.73,60.73,60.695,8,60.7,513,60.711
2024-01-02 17:30:00+00:00,60.73,60.73,60.73,1,60.73,100,60.73
2024-01-02 17:35:00+00:00,60.705,60.71,60.68,34,60.695,2646,60.696974
2024-01-02 17:40:00+00:00,60.72,60.73,60.705,24,60.705,1472,60.710901
2024-01-02 17:45:00+00:00,60.775,60.775,60.71,21,60.71,1263,60.742911
2024-01-02 17:50:00+00:00,60.76,60.765,60.71,12,60.73,904,60.747222
2024-01-02 17:55:00+00:00,60.74,60.74,60.735,10,60.74,530,60.739
2024-01-02 18:00:00+00:00,60.75,60.75,60.7,11,60.71,902,60.718333
2024-01-02 18:05:00+00:00,60.68,60.735,60.68,6,60.735,403,60.7075
2024-01-02 18:10:00+00:00,60.73,60.73,60.69,18,60.69,1000,60.706304
2024-01-02 18:15:00+00:00,60.71,60.735,60.69,27,60.72,1519,60.713462
2024-01-02 18:20:00+00:00,60.625,60.67,60.62,23,60.655,1460,60.64375
2024-01-02 18:25:00+00:00,60.59,60.615,60.575,18,60.605,1368,60.594167
2024-01-02 18:30:00+00:00,60.67,60.67,60.595,21,60.595,927,60.629375
2024-01-02 18:35:00+00:00,60.565,60.64,60.565,12,60.64,613,60.603333
2024-01-02 18:40:00+00:00,60.56,60.57,60.55,21,60.56,1415,60.560356
2024-01-02 18:45:00+00:00,60.53,60.58,60.53,19,60.54,916,60.545674
2024-01-02 18:50:00+00:00,60.48,60.48,60.48,2,60.48,101,60.48
2024-01-02 18:55:00+00:00,60.44,60.49,60.44,15,60.48,605,60.469
2024-01-02 19:00:00+00:00,60.45,60.45,60.41,31,60.45,2845,60.439054
2024-01-02 19:05:00+00:00,60.335,60.405,60.335,15,60.405,883,60.36625
2024-01-02 19:10:00+00:00,60.44,60.44,60.36,15,60.36,913,60.393363
2024-01-02 19:15:00+00:00,60.33,60.42,60.33,17,60.42,847,60.353333
2024-01-02 19:20:00+00:00,60.35,60.355,60.345,17,60.355,720,60.352857
2024-01-02 19:25:00+00:00,60.32,60.37,60.32,12,60.345,775,60.339062
2024-01-02 19:30:00+00:00,60.29,60.38,60.29,14,60.37,747,60.361843
2024-01-02 19:35:00+00:00,60.245,60.29,60.24,15,60.29,1071,60.26393
2024-01-02 19:40:00+00:00,60.22,60.255,60.19,25,60.25,1570,60.21538
2024-01-02 19:45:00+00:00,60.24,60.28,60.24,14,60.24,964,60.253818
2024-01-02 19:50:00+00:00,60.215,60.25,60.21,21,60.25,1257,60.231206
