timestamp,close,high,low,n,open,volume,vw
2024-01-02 05:00:00+00:00,5.305,5.56,5.27,857,5.405,81203,5.382448
2024-01-03 05:00:00+00:00,5.095,5.21,5.05,779,5.12,75306,5.121775
2024-01-04 05:00:00+00:00,5.47,5.55,5.12,716,5.125,66603,5.435244
2024-01-05 05:00:00+00:00,5.405,5.61,5.36,705,5.46,71664,5.454919
2024-01-08 05:00:00+00:00,5.535,5.64,5.33,486,5.37,45131,5.515271
2024-01-09 05:00:00+00:00,5.45,5.605,5.4,931,5.605,99065,5.490108
2024-01-10 05:00:00+00:00,5.33,5.47,5.27,794,5.41,55285,5.374493
2024-01-11 05:00:00+00:00,5.175,5.3,5.06,908,5.3,75583,5.150036
2024-01-12 05:00:00+00:00,5.165,5.34,5.11,792,5.24,63382,5.194147
2024-01-16 05:00:00+00:00,4.95,5.14,4.88,794,5.14,71129,4.959443
2024-01-17 05:00:00+00:00,4.925,5.0,4.87,541,4.9,44273,4.920754
2024-01-18 05:00:00+00:00,4.86,4.99,4.77,619,4.99,48599,4.875389
2024-01-19 05:00:00+00:00,4.86,4.865,4.695,430,4.865,34696,4.797517
2024-01-22 05:00:00+00:00,5.05,5.06,4.85,830,4.96,73642,4.982824
2024-01-23 05:00:00+00:00,5.095,5.21,5.04,493,5.14,46060,5.105295
2024-01-24 05:00:00+00:00,5.03,5.21,4.98,745,5.195,72170,5.038602
2024-01-25 05:00:00+00:00,4.92,5.04,4.83,989,5.04,96278,4.901638
2024-01-26 05:00:00+00:00,4.89,5.02,4.85,450,4.96,33389,4.901031
2024-01-29 05:00:00+00:00,5.14,5.14,4.92,564,4.95,38988,5.065948
2024-01-30 05:00:00+00:00,4.98,5.085,4.92,515,5.07,36619,4.990663
2024-01-31 05:00:00+00:00,4.87,5.16,4.865,504,4.945,47776,4.987684
2024-02-01 05:00:00+00:00,4.01,4.285,3.89,5818,4.195,1350649,4.037573
2024-02-02 05:00:00+00:00,3.975,4.02,3.925,2509,4.005,539621,3.975442
2024-02-05 05:00:00+00:00,4.07,4.105,3.955,2345,3.985,276016,4.058939
2024-02-06 05:00:00+00:00,4.245,4.255,4.06,1500,4.06,196242,4.173653
2024-02-07 05:00:00+00:00,4.27,4.44,4.19,1001,4.29,110909,4.28708
2024-02-08 05:00:00+00:00,4.29,4.35,4.235,646,4.29,61939,4.294879
