timestamp,close,high,low,n,open,volume,vw
2024-01-02 05:00:00+00:00,5.74,5.98,5.74,21,5.98,801,5.874286
2024-01-03 05:00:00+00:00,6.01,6.14,6.01,17,6.08,748,6.078
2024-01-04 05:00:00+00:00,6.01,6.01,6.01,9,6.01,326,6.01
2024-01-05 05:00:00+00:00,6.395,6.49,6.05,17,6.05,1319,6.277872
2024-01-08 05:00:00+00:00,6.19,6.59,6.14,26,6.59,784,6.32
2024-01-09 05:00:00+00:00,6.49,6.49,6.13,9,6.13,515,6.387143
2024-01-10 05:00:00+00:00,7.805,7.805,7.29,16,7.29,625,7.452812
2024-01-11 05:00:00+00:00,7.875,8.14,7.63,15,7.89,1302,7.8205
2024-01-12 05:00:00+00:00,7.96,8.19,7.96,26,8.03,1256,8.078005
2024-01-16 05:00:00+00:00,7.32,7.62,7.32,19,7.62,1248,7.553333
2024-01-17 05:00:00+00:00,6.84,7.11,6.84,16,7.11,628,6.93
2024-01-18 05:00:00+00:00,7.82,7.99,7.69,8,7.8,542,7.825
2024-01-19 05:00:00+00:00,7.88,7.885,7.88,16,7.885,426,7.8825
2024-01-22 05:00:00+00:00,9.53,9.53,8.32,11,8.55,952,8.884375
2024-01-23 05:00:00+00:00,10.95,10.95,10.02,53,10.39,4149,10.475243
2024-01-24 05:00:00+00:00,7.4,12.29,5.53,95,11.87,7353,8.049923
2024-01-25 05:00:00+00:00,10.12,10.44,7.67,40,7.67,1025,9.673333
2024-01-26 05:00:00+00:00,3.39,7.24,2.95,620,7.24,53303,4.335986
2024-01-29 05:00:00+00:00,2.84,3.08,2.785,114,2.91,12862,2.934365
2024-01-30 05:00:00+00:00,2.28,2.6,2.26,70,2.6,6006,2.351429
2024-01-31 05:00:00+00:00,2.32,2.32,2.08,25,2.11,1711,2.177116
2024-02-01 05:00:00+00:00,2.02,2.31,2.02,13,2.27,1264,2.181316
2024-02-02 05:00:00+00:00,2.02,2.02,2.02,0,2.02,0,0.0
2024-02-05 05:00:00+00:00,1.91,1.91,1.91,2,1.91,200,1.91
2024-02-06 05:00:00+00:00,2.04,2.04,2.0,57,2.0,5512,2.014674
2024-02-07 05:00:00+00:00,1.85,1.85,1.85,1,1.85,100,1.85
2024-02-08 05:00:00+00:00,1.84,1.84,1.84,4,1.84,119,1.84
2024-02-09 05:00:00+00:00,1.84,1.84,1.84,0,1.84,0,0.0
2024-02-12 05:00:00+00:00,1.99,2.02,1.93,46,1.96,2972,1.959728
2024-02-13 05:00:00+00:00,1.89,1.98,1.89,20,1.98,1043,1.929333
2024-02-14 05:00:00+00:00,1.89,1.89,1.89,0,1.89,0,0.0
2024-02-15 05:00:00+00:00,1.82,1.92,1.81,59,1.92,2719,1.864412
2024-02-16 05:00:00+00:00,1.81,1.81,1.81,6,1.81,346,1.81
2024-02-20 05:00:00+00:00,1.73,1.77,1.73,38,1.75,1086,1.748613
2024-02-21 05:00:00+00:00,1.63,1.63,1.63,18,1.63,409,1.63
2024-02-22 05:00:00+00:00,1.48,1.57,1.48,8,1.57,639,1.53
2024-02-23 05:00:00+00:00,1.38,1.38,1.38,3,1.38,226,1.38
2024-02-26 05:00:00+00:00,1.6,1.6,1.4,16,1.4,614,1.471667
2024-02-27 05:00:00+00:00,1.79,1.83,1.64,20,1.68,2312,1.715455
2024-02-28 05:00:00+00:00,1.65,1.77,1.65,32,1.74,3223,1.695022
2024-02-29 05:00:00+00:00,1.66,1.79,1.66,34,1.66,1825,1.723938
2024-03-01 05:00:00+00:00,1.56,1.7,1.56,16,1.7,1755,1.648387
2024-03-04 05:00:00+00:00,1.5,1.51,1.48,42,1.51,2038,1.502308
2024-03-05 05:00:00+00:00,1.58,1.58,1.49,89,1.52,3347,1.538462
2024-03-06 05:00:00+00:00,1.53,1.63,1.53,24,1.58,3118,1.58118
2024-03-07 05:00:00+00:00,1.47,1.57,1.47,35,1.54,1324,1.531429
2024-03-08 05:00:00+00:00,1.52,1.52,1.52,10,1.52,240,1.52
2024-03-11 04:00:00+00:00,1.47,1.53,1.47,55,1.47,1197,1.51
2024-03-12 04:00:00+00:00,1.48,1.48,1.48,2,1.48,232,1.48
2024-03-13 04:00:00+00:00,1.47,1.47,1.47,9,1.47,473,1.47
2024-03-14 04:00:00+00:00,1.47,1.47,1.47,0,1.47,0,0.0
2024-03-15 04:00:00+00:00,1.35,1.37,1.35,58,1.37,1510,1.360602
2024-03-18 04:00:00+00:00,1.32,1.36,1.31,20,1.36,754,1.332516
2024-03-19 04:00:00+00:00,1.53,1.53,1.46,4,1.46,900,1.516667
2024-03-20 04:00:00+00:00,1.68,1.68,1.55,17,1.56,2123,1.581452
2024-03-21 04:00:00+00:00,1.74,1.77,1.63,9,1.63,442,1.7275
2024-03-22 04:00:00+00:00,1.62,1.62,1.62,1,1.62,100,1.62
2024-03-25 04:00:00+00:00,1.62,1.62,1.62,0,1.62,0,0.0
2024-03-26 04:00:00+00:00,1.62,1.62,1.62,0,1.62,0,0.0
2024-03-27 04:00:00+00:00,1.62,1.62,1.62,0,1.62,0,0.0
2024-03-28 04:00:00+00:00,1.42,1.42,1.42,3,1.42,548,1.42
2024-04-01 04:00:00+00:00,1.42,1.42,1.42,4,1.42,156,1.42
2024-04-02 04:00:00+00:00,1.41,1.45,1.41,13,1.41,779,1.426432
2024-04-03 04:00:00+00:00,1.7,1.71,1.58,6,1.61,805,1.6725
2024-04-04 04:00:00+00:00,1.91,2.04,1.89,15,1.9,1605,1.947
2024-04-05 04:00:00+00:00,1.75,1.75,1.65,6,1.74,908,1.725556
2024-04-08 04:00:00+00:00,1.95,1.95,1.89,10,1.95,1605,1.915333
2024-04-09 04:00:00+00:00,1.79,1.97,1.78,48,1.97,2587,1.819175
2024-04-10 04:00:00+00:00,1.97,1.97,1.8,21,1.8,1446,1.860417
2024-04-11 04:00:00+00:00,1.77,1.81,1.77,13,1.77,992,1.788333
2024-04-12 04:00:00+00:00,1.72,1.83,1.69,51,1.83,3461,1.740526
2024-04-15 04:00:00+00:00,1.72,1.73,1.72,4,1.73,224,1.725
