timestamp,close,high,low,n,open,volume,vw
2024-01-02 14:30:00+00:00,52.14,52.18,52.03,11,52.06,3000,52.149
2024-01-02 14:35:00+00:00,52.3,52.335,52.16,24,52.26,3025,52.249752
2024-01-02 14:40:00+00:00,52.42,52.42,52.175,24,52.2,2950,52.284915
2024-01-02 14:45:00+00:00,52.4,52.4,52.39,7,52.39,560,52.394
2024-01-02 14:50:00+00:00,52.71,52.82,52.485,24,52.485,2873,52.673378
2024-01-02 14:55:00+00:00,52.78,52.78,52.55,26,52.69,3884,52.689351
2024-01-02 15:00:00+00:00,53.05,53.075,52.795,31,52.82,7797,52.890177
2024-01-02 15:05:00+00:00,53.13,53.13,53.13,6,53.13,300,53.13
2024-01-02 15:10:00+00:00,53.005,53.175,53.005,2,53.175,200,53.09
2024-01-02 15:15:00+00:00,53.11,53.11,52.9,6,52.91,600,53.028333
2024-01-02 15:20:00+00:00,53.38,53.38,53.16,5,53.16,600,53.23
2024-01-02 15:25:00+00:00,53.25,53.25,53.22,4,53.22,550,53.232
2024-01-02 15:30:00+00:00,53.05,53.2,52.955,28,53.185,4089,53.044625
2024-01-02 15:35:00+00:00,52.88,53.025,52.88,3,53.025,666,52.905271
2024-01-02 15:40:00+00:00,53.17,53.17,52.905,17,52.94,1612,52.998566
2024-01-02 15:45:00+00:00,53.27,53.27,53.27,1,53.27,100,53.27
2024-01-02 15:50:00+00:00,53.26,53.26,53.22,13,53.22,1200,53.231818
2024-01-02 15:55:00+00:00,53.24,53.365,53.24,8,53.365,703,53.289286
2024-01-02 16:00:00+00:00,53.11,53.21,53.1,12,53.21,1031,53.153
2024-01-02 16:05:00+00:00,53.25,53.26,52.99,40,53.055,5200,53.091346
2024-01-02 16:10:00+00:00,53.02,53.32,52.98,63,53.26,14100,53.107092
2024-01-02 16:15:00+00:00,52.99,53.09,52.965,15,53.02,3248,53.066562
2024-01-02 16:20:00+00:00,52.94,52.94,52.885,4,52.9,400,52.9075
2024-01-02 16:25:00+00:00,52.74,52.85,52.74,18,52.825,5100,52.839804
2024-01-02 16:30:00+00:00,52.72,52.72,52.71,2,52.71,200,52.715
2024-01-02 16:35:00+00:00,52.79,52.79,52.675,14,52.68,2900,52.736846
2024-01-02 16:40:00+00:00,52.73,52.78,52.73,3,52.78,450,52.768889
2024-01-02 16:45:00+00:00,52.83,52.83,52.77,27,52.77,2071,52.806667
2024-01-02 16:50:00+00:00,52.87,52.87,52.855,4,52.855,400,52.85875
2024-01-02 16:55:00+00:00,52.94,52.97,52.94,19,52.955,2632,52.953495
2024-01-02 17:00:00+00:00,52.86,52.98,52.86,17,52.955,2701,52.878269
2024-01-02 17:05:00+00:00,52.81,52.865,52.8,5,52.865,307,52.825
2024-01-02 17:10:00+00:00,52.9,52.9,52.8,9,52.8,1200,52.85375
2024-01-02 17:15:00+00:00,52.84,52.86,52.795,6,52.86,600,52.8175
2024-01-02 17:20:00+00:00,52.87,52.87,52.84,12,52.87,1200,52.859167
2024-01-02 17:25:00+00:00,52.88,52.88,52.83,5,52.83,600,52.846667
2024-01-02 17:30:00+00:00,52.99,52.99,52.92,17,52.92,2000,52.93675
2024-01-02 17:35:00+00:00,53.01,53.01,52.96,12,52.96,1050,52.98
2024-01-02 17:40:00+00:00,53.04,53.05,53.015,14,53.015,1400,53.035
2024-01-02 17:45:00+00:00,53.08,53.08,53.08,1,53.08,136,53.08
2024-01-02 17:50:00+00:00,53.02,53.03,52.99,9,53.0,708,53.007143
2024-01-02 17:55:00+00:00,52.95,52.985,52.91,15,52.985,1600,52.937188
2024-01-02 18:00:00+00:00,52.93,52.95,52.915,8,52.92,800,52.926875
2024-01-02 18:05:00+00:00,52.9,52.925,52.9,10,52.92,800,52.912857
2024-01-02 18:10:00+00:00,52.93,52.93,52.79,8,52.79,938,52.81
2024-01-02 18:15:00+00:00,52.94,52.97,52.9,8,52.9,1100,52.957
2024-01-02 18:20:00+00:00,52.92,52.94,52.9,16,52.94,1600,52.915938
2024-01-02 18:25:00+00:00,52.89,52.89,52.88,4,52.88,400,52.8875
2024-01-02 18:30:00+00:00,52.855,52.87,52.85,5,52.87,500,52.858
2024-01-02 18:40:00+00:00,52.92,52.92,52.87,2,52.87,200,52.895
2024-01-02 18:45:00+00:00,52.89,52.94,52.89,11,52.94,828,52.909286
2024-01-02 18:50:00+00:00,52.74,52.87,52.74,15,52.87,1400,52.780385
2024-01-02 18:55:00+00:00,52.59,52.74,52.59,14,52.74,1200,52.688182
2024-01-02 19:00:00+00:00,52.53,52.6,52.53,6,52.56,600,52.565
2024-01-02 19:05:00+00:00,52.42,52.51,52.4,24,52.51,1941,52.451389
2024-01-02 19:10:00+00:00,52.45,52.51,52.42,11,52.42,1100,52.460454
2024-01-02 19:20:00+00:00,52.39,52.42,52.39,5,52.42,500,52.414
2024-01-02 19:25:00+00:00,52.41,52.42,52.36,16,52.36,1600,52.380313
2024-01-02 19:30:00+00:00,52.315,52.4,52.315,3,52.4,300,52.368333
2024-01-02 19:35:00+00:00,52.2,52.25,52.15,28,52.24,4356,52.169535
2024-01-02 19:40:00+00:00,52.23,52.23,52.18,7,52.18,700,52.208571
2024-01-02 19:45:00+00:00,52.255,52.29,52.23,21,52.245,1903,52.261945
2024-01-02 19:50:00+00:00,52.22,52.27,52.215,13,52.27,1203,52.242083
2024-01-02 19:55:00+00:00,52.18,52.21,52.18,15,52.18,1403,52.195714
2024-01-02 20:00:00+00:00,51.99,52.1,51.99,21,52.1,2002,52.031842
2024-01-02 20:05:00+00:00,51.97,51.97,51.92,8,51.93,703,51.94
2024-01-02 20:10:00+00:00,51.85,51.99,51.84,22,51.975,2017,51.907632
2024-01-02 20:15:00+00:00,51.95,51.95,51.775,7,51.78,600,51.849
2024-01-02 20:20:00+00:00,51.94,51.94,51.89,5,51.93,533,51.917342
2024-01-02 20:25:00+00:00,51.89,51.89,51.85,5,51.85,500,51.874
2024-01-02 20:30:00+00:00,51.845,51.845,51.845,1,51.845,300,51.845
2024-01-02 20:35:00+00:00,51.78,51.83,51.78,8,51.82,900,51.809444
2024-01-02 20:40:00+00:00,51.78,51.815,51.76,12,51.77,1500,51.777
2024-01-02 20:45:00+00:00,51.79,51.805,51.76,32,51.805,3442,51.774925
2024-01-02 20:50:00+00:00,51.92,51.93,51.83,51,51.83,4653,51.895171
2024-01-02 20:55:00+00:00,52.05,52.08,51.88,71,51.88,14589,52.02279
2024-01-03 14:30:00+00:00,50.11,50.28,50.1,3,50.28,300,50.163333
2024-01-03 14:35:00+00:00,50.39,50.39,50.01,11,50.01,1100,50.253636
2024-01-03 14:40:00+00:00,50.455,50.455,50.3,4,50.3,355,50.3775
2024-01-03 14:45:00+00:00,50.05,50.16,50.05,6,50.16,729,50.1
2024-01-03 14:50:00+00:00,50.165,50.365,50.025,28,50.025,1591,50.213663
2024-01-03 14:55:00+00:00,49.92,50.08,49.9,36,50.08,5615,49.992976
2024-01-03 15:05:00+00:00,50.165,50.165,50.165,1,50.165,100,50.165
2024-01-03 15:10:00+00:00,49.61,49.61,49.61,2,49.61,200,49.61
2024-01-03 15:15:00+00:00,49.57,49.57,49.57,2,49.57,118,49.57
2024-01-03 15:25:00+00:00,49.45,49.45,49.45,1,49.45,100,49.45
2024-01-03 15:35:00+00:00,49.15,49.17,49.11,6,49.11,600,49.148333
2024-01-03 15:45:00+00:00,49.01,49.01,49.01,1,49.01,100,49.01
2024-01-03 15:50:00+00:00,49.285,49.285,49.17,2,49.17,200,49.2275
2024-01-03 15:55:00+00:00,49.515,49.55,49.26,9,49.26,1200,49.409167
2024-01-03 16:00:00+00:00,49.635,49.635,49.555,4,49.555,205,49.595
2024-01-03 16:05:00+00:00,49.67,49.68,49.645,8,49.645,656,49.6675
2024-01-03 16:10:00+00:00,49.575,49.64,49.575,6,49.64,333,49.606667
2024-01-03 16:15:00+00:00,49.79,49.87,49.79,5,49.87,400,49.843333
2024-01-03 16:20:00+00:00,49.72,49.72,49.685,10,49.72,667,49.7075
2024-01-03 16:25:00+00:00,49.78,49.82,49.73,4,49.73,400,49.7825
2024-01-03 16:30:00+00:00,49.89,49.9,49.84,6,49.84,533,49.884
2024-01-03 16:35:00+00:00,49.95,49.95,49.935,3,49.935,233,49.9425
2024-01-03 16:40:00+00:00,49.68,49.73,49.68,3,49.73,233,49.705
2024-01-03 16:45:00+00:00,49.81,49.93,49.81,5,49.93,433,49.87
2024-01-03 16:50:00+00:00,49.68,49.82,49.67,13,49.82,1135,49.693
2024-01-03 16:55:00+00:00,49.65,49.665,49.65,3,49.665,333,49.655991
2024-01-03 17:00:00+00:00,49.66,49.71,49.66,4,49.71,240,49.685
2024-01-03 17:15:00+00:00,49.58,49.68,49.58,5,49.68,433,49.64125
2024-01-03 17:20:00+00:00,49.68,49.68,49.54,9,49.565,542,49.581
2024-01-03 17:25:00+00:00,49.72,49.72,49.69,5,49.71,433,49.7025
2024-01-03 17:30:00+00:00,49.71,49.71,49.685,4,49.71,733,49.692143
2024-01-03 17:35:00+00:00,49.68,49.68,49.64,6,49.64,239,49.66
2024-01-03 17:40:00+00:00,49.82,49.82,49.81,2,49.81,200,49.815
2024-01-03 17:45:00+00:00,49.87,49.88,49.87,3,49.87,300,49.873333
2024-01-03 17:50:00+00:00,49.93,49.93,49.93,2,49.93,200,49.93
2024-01-03 17:55:00+00:00,50.04,50.05,49.96,4,49.96,304,50.016667
2024-01-03 18:05:00+00:00,50.27,50.31,50.19,3,50.19,300,50.256667
2024-01-03 18:10:00+00:00,50.24,50.24,50.18,9,50.19,357,50.203333
2024-01-03 18:15:00+00:00,50.16,50.16,50.16,2,50.16,133,50.16
2024-01-03 18:20:00+00:00,50.28,50.28,50.26,4,50.26,333,50.266667
2024-01-03 18:25:00+00:00,50.23,50.23,50.23,2,50.23,133,50.23
2024-01-03 18:30:00+00:00,50.22,50.22,50.22,2,50.22,133,50.22
2024-01-03 18:35:00+00:00,50.105,50.105,50.105,4,50.105,130,50.105
2024-01-03 18:40:00+00:00,50.18,50.18,50.11,4,50.11,333,50.136667
2024-01-03 18:45:00+00:00,50.21,50.215,50.19,5,50.19,500,50.203
2024-01-03 18:50:00+00:00,50.2,50.21,50.2,8,50.21,429,50.2075
2024-01-03 18:55:00+00:00,50.19,50.19,50.19,5,50.19,337,50.19
2024-01-03 19:00:00+00:00,49.95,50.18,49.95,7,50.18,546,50.122
2024-01-03 19:05:00+00:00,49.91,49.93,49.91,5,49.93,333,49.92
2024-01-03 19:10:00+00:00,50.01,50.08,50.01,11,50.065,578,50.063
2024-01-03 19:20:00+00:00,50.13,50.13,50.13,3,50.13,133,50.13
2024-01-03 19:25:00+00:00,50.475,50.49,50.37,3,50.37,300,50.445
2024-01-03 19:30:00+00:00,50.395,50.53,50.395,7,50.53,406,50.4625
2024-01-03 19:35:00+00:00,50.38,50.44,50.38,5,50.44,242,50.41
2024-01-03 19:40:00+00:00,50.49,50.49,50.415,3,50.415,233,50.4525
2024-01-03 19:45:00+00:00,50.5,50.5,50.5,2,50.5,133,50.5
2024-01-03 19:50:00+00:00,50.355,50.395,50.355,3,50.395,300,50.377833
2024-01-03 19:55:00+00:00,50.3,50.3,50.3,1,50.3,100,50.3
2024-01-03 20:00:00+00:00,50.18,50.305,50.18,6,50.305,216,50.2425
2024-01-03 20:05:00+00:00,50.16,50.18,50.16,4,50.18,333,50.17
2024-01-03 20:10:00+00:00,50.05,50.09,50.05,5,50.09,253,50.07
2024-01-03 20:15:00+00:00,50.03,50.03,50.03,1,50.03,100,50.03
