timestamp,close,high,low,n,open,volume,vw
2024-01-02 14:30:00+00:00,38.915,39.21,38.915,6,38.96,504,39.075
2024-01-02 14:35:00+00:00,39.005,39.18,39.005,4,39.18,600,39.048333
2024-01-02 14:40:00+00:00,39.225,39.225,39.155,2,39.155,600,39.213333
2024-01-02 14:50:00+00:00,38.885,39.03,38.885,5,39.03,1515,38.914627
2024-01-02 14:55:00+00:00,38.705,38.8,38.705,7,38.795,410,38.76125
2024-01-02 15:05:00+00:00,38.98,38.98,38.88,22,38.89,1575,38.917143
2024-01-02 15:10:00+00:00,38.92,38.93,38.92,7,38.93,332,38.925
2024-01-02 15:20:00+00:00,38.77,38.845,38.77,6,38.82,501,38.816
2024-01-02 15:25:00+00:00,38.65,38.735,38.595,19,38.66,1098,38.652766
2024-01-02 15:30:00+00:00,38.63,38.685,38.61,10,38.67,480,38.64875
2024-01-02 15:35:00+00:00,38.44,38.59,38.39,20,38.59,1731,38.459532
2024-01-02 15:40:00+00:00,38.43,38.43,38.43,4,38.43,141,38.43
2024-01-02 15:45:00+00:00,38.4,38.69,38.4,3,38.67,300,38.586667
2024-01-02 15:50:00+00:00,38.56,38.56,38.46,14,38.46,699,38.508889
2024-01-02 15:55:00+00:00,38.54,38.61,38.54,11,38.59,619,38.589091
2024-01-02 16:00:00+00:00,38.56,38.58,38.56,3,38.58,300,38.566667
2024-01-02 16:05:00+00:00,38.66,38.66,38.62,8,38.62,423,38.636667
2024-01-02 16:15:00+00:00,38.83,38.83,38.755,10,38.755,570,38.781667
2024-01-02 16:20:00+00:00,38.72,38.8,38.72,15,38.8,850,38.78
2024-01-02 16:25:00+00:00,38.76,38.76,38.75,3,38.75,201,38.755
2024-01-02 16:30:00+00:00,38.83,38.86,38.79,14,38.79,1096,38.835556
2024-01-02 16:35:00+00:00,38.81,38.81,38.81,3,38.81,122,38.81
2024-01-02 16:40:00+00:00,38.85,38.89,38.85,6,38.89,543,38.87107
2024-01-02 16:45:00+00:00,38.93,38.93,38.86,4,38.86,262,38.895
2024-01-02 16:50:00+00:00,38.91,38.91,38.91,8,38.91,285,38.91
2024-01-02 16:55:00+00:00,38.94,38.94,38.94,4,38.94,207,38.94
2024-01-02 17:00:00+00:00,38.98,38.98,38.98,1,38.98,100,38.98
2024-01-02 17:05:00+00:00,39.01,39.03,39.0,8,39.0,523,39.0125
2024-01-02 17:10:00+00:00,39.04,39.04,39.04,3,39.04,153,39.04
2024-01-02 17:15:00+00:00,39.03,39.03,39.03,2,39.03,107,39.03
2024-01-02 17:20:00+00:00,39.1,39.1,39.1,5,39.1,109,39.1
2024-01-02 17:30:00+00:00,39.12,39.12,39.12,1,39.12,100,39.12
2024-01-02 17:35:00+00:00,39.135,39.135,39.135,4,39.135,218,39.135
2024-01-02 17:40:00+00:00,39.16,39.16,39.16,3,39.16,104,39.16
2024-01-02 17:45:00+00:00,39.05,39.05,39.05,3,39.05,103,39.05
2024-01-02 17:50:00+00:00,38.99,38.99,38.97,6,38.98,304,38.98
2024-01-02 17:55:00+00:00,38.91,38.94,38.91,5,38.94,215,38.925
2024-01-02 18:05:00+00:00,38.76,38.86,38.76,14,38.86,919,38.790833
2024-01-02 18:10:00+00:00,38.83,38.83,38.83,4,38.83,229,38.83
2024-01-02 18:15:00+00:00,38.85,38.88,38.85,2,38.88,250,38.862
2024-01-02 18:20:00+00:00,38.94,38.94,38.86,3,38.86,205,38.9
2024-01-02 18:30:00+00:00,38.95,38.95,38.94,3,38.94,207,38.945
2024-01-02 18:35:00+00:00,38.965,38.965,38.95,4,38.95,205,38.9575
2024-01-02 18:40:00+00:00,38.97,38.97,38.96,4,38.96,305,38.965
2024-01-02 18:45:00+00:00,38.97,38.97,38.96,4,38.96,301,38.963333
2024-01-02 18:50:00+00:00,38.88,38.88,38.85,3,38.85,239,38.865
2024-01-02 18:55:00+00:00,38.665,38.7,38.665,5,38.7,411,38.680976
2024-01-02 19:00:00+00:00,38.67,38.74,38.67,7,38.74,436,38.707143
2024-01-02 19:05:00+00:00,38.66,38.665,38.66,7,38.66,447,38.662252
2024-01-02 19:10:00+00:00,38.685,38.735,38.68,8,38.68,615,38.7
2024-01-02 19:15:00+00:00,38.67,38.67,38.67,5,38.67,205,38.67
2024-01-02 19:20:00+00:00,38.71,38.71,38.71,3,38.71,300,38.71
2024-01-02 19:25:00+00:00,38.73,38.73,38.73,1,38.73,100,38.73
2024-01-02 19:30:00+00:00,38.68,38.76,38.68,20,38.76,1039,38.703333
2024-01-02 19:35:00+00:00,38.68,38.68,38.675,6,38.675,320,38.6775
2024-01-02 19:40:00+00:00,38.67,38.68,38.67,8,38.68,317,38.676721
2024-01-02 19:45:00+00:00,38.7,38.74,38.7,10,38.74,496,38.710899
2024-01-02 19:50:00+00:00,38.68,38.71,38.665,15,38.71,462,38.685
2024-01-02 19:55:00+00:00,38.7,38.7,38.66,11,38.66,573,38.683254
2024-01-02 20:00:00+00:00,38.5,38.6,38.5,18,38.6,859,38.537143
2024-01-02 20:05:00+00:00,38.6,38.6,38.51,12,38.51,649,38.579381
2024-01-02 20:10:00+00:00,38.54,38.61,38.54,13,38.61,687,38.58
2024-01-02 20:15:00+00:00,38.555,38.61,38.54,18,38.54,1225,38.572
2024-01-02 20:20:00+00:00,38.57,38.57,38.57,18,38.57,676,38.57
2024-01-02 20:25:00+00:00,38.56,38.58,38.54,22,38.58,810,38.558
2024-01-02 20:30:00+00:00,38.49,38.56,38.49,60,38.55,2445,38.52968
2024-01-02 20:35:00+00:00,38.305,38.48,38.305,35,38.48,2284,38.379167
2024-01-02 20:40:00+00:00,38.5,38.5,38.38,46,38.38,2088,38.427931
2024-01-02 20:45:00+00:00,38.57,38.58,38.475,42,38.5,2336,38.523824
2024-01-02 20:50:00+00:00,38.75,38.77,38.63,72,38.65,4692,38.705417
2024-01-02 20:55:00+00:00,38.78,38.845,38.76,144,38.76,7944,38.805526
2024-01-03 14:30:00+00:00,37.89,38.11,37.705,26,37.965,3522,37.865949
2024-01-03 14:35:00+00:00,38.2,38.2,38.12,4,38.12,401,38.14
2024-01-03 14:40:00+00:00,38.05,38.05,38.05,3,38.05,131,38.05
2024-01-03 14:45:00+00:00,38.05,38.05,38.03,6,38.05,557,38.046
2024-01-03 14:55:00+00:00,37.81,37.93,37.81,9,37.93,286,37.87
2024-01-03 15:00:00+00:00,37.98,37.98,37.94,5,37.94,349,37.96
2024-01-03 15:05:00+00:00,38.01,38.01,38.01,2,38.01,110,38.01
2024-01-03 15:10:00+00:00,37.97,37.97,37.97,5,37.97,320,37.97
2024-01-03 15:15:00+00:00,37.74,37.74,37.74,2,37.74,105,37.74
2024-01-03 15:25:00+00:00,37.75,37.82,37.74,11,37.81,836,37.7725
2024-01-03 15:30:00+00:00,37.76,37.76,37.75,6,37.75,385,37.753333
2024-01-03 15:35:00+00:00,37.73,37.73,37.7,25,37.72,968,37.711667
2024-01-03 15:40:00+00:00,37.7,37.7,37.68,4,37.68,501,37.692
2024-01-03 15:45:00+00:00,37.75,37.75,37.71,5,37.72,550,37.724545
2024-01-03 15:55:00+00:00,37.75,37.75,37.75,4,37.75,136,37.75
2024-01-03 16:00:00+00:00,37.9,37.9,37.9,3,37.9,125,37.9
2024-01-03 16:05:00+00:00,37.78,37.84,37.78,7,37.84,242,37.81
2024-01-03 16:10:00+00:00,38.0,38.0,37.76,12,37.76,1177,37.909524
2024-01-03 16:20:00+00:00,37.97,37.97,37.94,3,37.94,250,37.955
2024-01-03 16:25:00+00:00,37.93,37.93,37.91,6,37.91,450,37.916667
2024-01-03 16:35:00+00:00,37.84,37.84,37.835,4,37.835,233,37.8375
2024-01-03 16:40:00+00:00,37.74,37.74,37.74,3,37.74,169,37.74
2024-01-03 16:45:00+00:00,37.81,37.81,37.81,1,37.81,100,37.81
2024-01-03 16:55:00+00:00,37.74,37.75,37.71,12,37.71,606,37.72875
2024-01-03 17:00:00+00:00,37.74,37.74,37.74,3,37.74,102,37.74
2024-01-03 17:05:00+00:00,37.8,37.8,37.76,4,37.76,211,37.78
2024-01-03 17:10:00+00:00,37.82,37.83,37.82,7,37.83,331,37.823333
2024-01-03 17:15:00+00:00,37.81,37.81,37.81,2,37.81,130,37.81
2024-01-03 17:20:00+00:00,37.82,37.82,37.8,18,37.8,484,37.81
2024-01-03 17:30:00+00:00,37.82,37.82,37.81,3,37.81,202,37.815
2024-01-03 17:40:00+00:00,37.84,37.84,37.84,3,37.84,102,37.84
2024-01-03 17:45:00+00:00,37.81,37.81,37.8,7,37.8,465,37.805
2024-01-03 17:50:00+00:00,37.84,37.84,37.84,1,37.84,100,37.84
2024-01-03 17:55:00+00:00,37.915,37.915,37.845,7,37.845,329,37.886667
2024-01-03 18:00:00+00:00,38.01,38.01,37.9,11,37.9,513,37.95
2024-01-03 18:05:00+00:00,37.99,37.99,37.99,3,37.99,132,37.99
2024-01-03 18:10:00+00:00,38.06,38.06,38.01,7,38.01,255,38.035
2024-01-03 18:15:00+00:00,38.215,38.215,38.09,10,38.09,602,38.153
2024-01-03 18:20:00+00:00,38.32,38.33,38.295,14,38.295,502,38.31625
2024-01-03 18:25:00+00:00,38.38,38.38,38.36,10,38.36,435,38.366667
2024-01-03 18:35:00+00:00,38.285,38.3,38.28,13,38.28,808,38.288514
2024-01-03 18:45:00+00:00,38.11,38.11,38.11,7,38.11,146,38.11
2024-01-03 18:50:00+00:00,38.07,38.08,38.07,7,38.08,406,38.075
2024-01-03 18:55:00+00:00,38.08,38.08,38.08,3,38.08,202,38.08
2024-01-03 19:05:00+00:00,38.15,38.15,37.87,14,37.87,623,38.056817
2024-01-03 19:10:00+00:00,38.13,38.13,38.13,1,38.13,100,38.13
2024-01-03 19:15:00+00:00,38.15,38.15,38.04,7,38.04,370,38.093333
2024-01-03 19:20:00+00:00,38.17,38.18,38.17,7,38.18,438,38.173333
2024-01-03 19:25:00+00:00,38.35,38.35,38.23,5,38.23,306,38.296667
2024-01-03 19:30:00+00:00,38.3,38.3,38.3,4,38.3,106,38.3
2024-01-03 19:35:00+00:00,38.27,38.28,38.27,5,38.28,273,38.274
2024-01-03 19:40:00+00:00,38.29,38.29,38.27,6,38.29,504,38.286
2024-01-03 19:45:00+00:00,38.21,38.21,38.21,2,38.21,199,38.21
2024-01-03 19:50:00+00:00,38.21,38.21,38.21,2,38.21,150,38.21
2024-01-03 19:55:00+00:00,38.22,38.22,38.22,2,38.22,128,38.22
2024-01-03 20:00:00+00:00,38.2,38.24,38.16,13,38.24,441,38.2025
2024-01-03 20:05:00+00:00,38.17,38.2,38.17,9,38.2,382,38.19
