timestamp,close,high,low,n,open,volume,vw
2024-01-02 05:00:00+00:00,33.91,34.065,33.275,5425,33.45,883149,33.788582
2024-01-03 05:00:00+00:00,33.52,33.77,33.245,5968,33.62,1098406,33.449795
2024-01-04 05:00:00+00:00,33.82,34.3,33.56,5451,33.57,742330,34.002919
2024-01-05 05:00:00+00:00,34.43,34.685,33.73,5541,33.795,882881,34.433783
2024-01-08 05:00:00+00:00,34.15,34.25,33.645,5938,34.165,847784,33.896183
2024-01-09 05:00:00+00:00,33.64,33.815,33.51,5933,33.795,940311,33.63059
2024-01-10 05:00:00+00:00,33.59,33.625,33.24,6266,33.51,1031817,33.421565
2024-01-11 05:00:00+00:00,33.145,33.5,32.78,7944,33.5,1300298,33.0239
2024-01-12 05:00:00+00:00,32.79,33.175,31.98,10418,32.24,1885461,32.654475
2024-01-16 05:00:00+00:00,32.12,32.495,31.825,10311,32.41,2039512,32.06696
2024-01-17 05:00:00+00:00,31.81,31.98,31.27,5958,31.68,1146157,31.735073
2024-01-18 05:00:00+00:00,31.73,31.755,31.405,6439,31.73,891327,31.592428
2024-01-19 05:00:00+00:00,32.21,32.23,31.57,5807,31.68,939684,32.015531
2024-01-22 05:00:00+00:00,32.555,32.985,32.335,5403,32.365,850232,32.653178
2024-01-23 05:00:00+00:00,32.78,32.815,32.395,4403,32.53,690978,32.645955
2024-01-24 05:00:00+00:00,32.99,33.34,32.91,5572,33.02,834464,33.093256
2024-01-25 05:00:00+00:00,33.395,33.45,32.83,6279,33.235,978908,33.162797
2024-01-26 05:00:00+00:00,33.43,33.665,33.33,3922,33.37,622121,33.475791
2024-01-29 05:00:00+00:00,33.615,33.645,33.24,4202,33.395,612134,33.402164
2024-01-30 05:00:00+00:00,34.795,34.89,33.845,10556,33.89,1878487,34.631282
2024-01-31 05:00:00+00:00,34.0,35.09,34.0,8341,34.57,1310274,34.552987
2024-02-01 05:00:00+00:00,33.55,34.25,32.94,10239,34.1,1956837,33.398469
2024-02-02 05:00:00+00:00,33.46,33.705,33.175,6564,33.39,1065416,33.447516
2024-02-05 05:00:00+00:00,32.985,33.29,32.865,6648,33.13,1133108,33.029675
2024-02-06 05:00:00+00:00,33.03,33.36,32.895,4187,32.975,680413,33.032878
2024-02-07 05:00:00+00:00,33.185,33.26,32.63,4663,33.15,526664,33.031013
2024-02-08 05:00:00+00:00,33.125,33.27,32.805,4565,33.095,575923,33.041765
2024-02-09 05:00:00+00:00,33.055,33.245,32.84,3518,33.01,475558,33.035873
2024-02-12 05:00:00+00:00,33.63,33.965,32.995,5962,33.03,983627,33.637995
2024-02-13 05:00:00+00:00,32.76,33.29,32.355,6250,33.15,1127515,32.751816
2024-02-14 05:00:00+00:00,33.13,33.18,32.88,3819,33.03,499440,33.044088
2024-02-15 05:00:00+00:00,34.06,34.24,33.365,7706,33.365,1317440,33.958076
2024-02-16 05:00:00+00:00,34.09,34.145,32.83,4469,33.91,550782,33.979737
