timestamp,close,high,low,n,open,volume,vw
2024-01-02 14:30:00+00:00,4.58,4.695,4.51,24,4.695,3001,4.580695
2024-01-02 14:35:00+00:00,4.72,4.74,4.57,34,4.57,4530,4.679961
2024-01-02 14:40:00+00:00,4.695,4.73,4.65,18,4.73,1951,4.694278
2024-01-02 14:45:00+00:00,4.42,4.59,4.42,27,4.59,3382,4.506519
2024-01-02 14:50:00+00:00,4.42,4.425,4.39,5,4.39,710,4.416428
2024-01-02 14:55:00+00:00,4.36,4.36,4.36,1,4.36,400,4.36
2024-01-02 15:00:00+00:00,4.5,4.5,4.5,1,4.5,100,4.5
2024-01-02 15:05:00+00:00,4.555,4.555,4.495,24,4.5,2609,4.519791
2024-01-02 15:10:00+00:00,4.625,4.625,4.58,4,4.58,400,4.595
2024-01-02 15:15:00+00:00,4.53,4.575,4.53,6,4.57,636,4.564167
2024-01-02 15:20:00+00:00,4.57,4.57,4.57,1,4.57,100,4.57
2024-01-02 15:25:00+00:00,4.48,4.515,4.48,6,4.5,582,4.498
2024-01-02 15:30:00+00:00,4.4,4.405,4.385,11,4.385,1283,4.397083
2024-01-02 15:35:00+00:00,4.39,4.39,4.375,14,4.38,1733,4.382964
2024-01-02 15:40:00+00:00,4.45,4.45,4.42,13,4.42,2306,4.444422
2024-01-02 15:45:00+00:00,4.42,4.46,4.41,5,4.46,565,4.430811
2024-01-02 15:50:00+00:00,4.47,4.47,4.46,8,4.46,1337,4.464615
2024-01-02 15:55:00+00:00,4.455,4.5,4.455,6,4.5,630,4.480397
2024-01-02 16:00:00+00:00,4.49,4.49,4.47,2,4.47,700,4.472857
2024-01-02 16:05:00+00:00,4.445,4.445,4.445,3,4.445,260,4.445
2024-01-02 16:10:00+00:00,4.405,4.435,4.405,2,4.435,200,4.42
2024-01-02 16:20:00+00:00,4.345,4.39,4.345,11,4.385,1845,4.368081
2024-01-02 16:25:00+00:00,4.43,4.43,4.43,3,4.43,200,4.43
2024-01-02 16:35:00+00:00,4.43,4.43,4.43,2,4.43,137,4.43
2024-01-02 16:40:00+00:00,4.445,4.46,4.425,4,4.425,400,4.4475
2024-01-02 16:45:00+00:00,4.46,4.46,4.46,2,4.46,650,4.46
2024-01-02 16:50:00+00:00,4.445,4.445,4.445,1,4.445,100,4.445
2024-01-02 16:55:00+00:00,4.49,4.5,4.455,6,4.455,1200,4.473333
2024-01-02 17:00:00+00:00,4.485,4.495,4.485,4,4.495,844,4.492747
2024-01-02 17:10:00+00:00,4.4,4.425,4.4,6,4.425,460,4.417857
2024-01-02 17:20:00+00:00,4.31,4.315,4.31,11,4.315,1060,4.310732
2024-01-02 17:25:00+00:00,4.35,4.35,4.35,1,4.35,100,4.35
2024-01-02 17:40:00+00:00,4.32,4.32,4.32,2,4.32,144,4.32
2024-01-02 17:50:00+00:00,4.305,4.305,4.305,4,4.305,424,4.305
2024-01-02 17:55:00+00:00,4.27,4.27,4.27,1,4.27,100,4.27
2024-01-02 18:05:00+00:00,4.25,4.25,4.25,1,4.25,100,4.25
