timestamp,close,high,low,n,open,volume,vw
2025-05-14 04:00:00+00:00,67.0,74.25,65.1,6758,69.835,449175,69.277232
2025-05-15 04:00:00+00:00,66.75,67.16,60.83,1462,65.31,125636,64.2603
2025-05-16 04:00:00+00:00,64.065,69.365,62.5,735,65.95,46738,64.82435
2025-05-19 04:00:00+00:00,63.215,64.76,61.735,611,62.41,50277,63.373659
2025-05-20 04:00:00+00:00,66.125,67.095,62.61,773,63.12,53714,65.804647
2025-05-21 04:00:00+00:00,65.585,71.0,64.95,602,66.33,74033,67.451125
2025-05-22 04:00:00+00:00,66.42,68.25,64.27,408,64.57,39322,66.34148
2025-05-23 04:00:00+00:00,65.35,66.39,62.8,338,63.075,29745,65.235216
2025-05-27 04:00:00+00:00,64.85,66.05,63.31,397,66.05,27027,64.502844
2025-05-28 04:00:00+00:00,64.595,65.13,63.69,315,65.13,28581,64.258621
2025-05-29 04:00:00+00:00,62.0,63.85,60.945,270,62.77,22323,62.09224
2025-05-30 04:00:00+00:00,59.23,61.075,58.21,420,60.375,44913,59.87836
2025-06-02 04:00:00+00:00,61.28,61.28,57.775,440,58.33,38856,59.914943
2025-06-03 04:00:00+00:00,64.86,66.165,60.05,398,61.115,30661,63.726105
2025-06-04 04:00:00+00:00,65.29,66.305,62.94,249,64.16,20181,64.822407
2025-06-05 04:00:00+00:00,62.61,71.275,60.78,811,65.34,67219,66.407227
2025-06-06 04:00:00+00:00,68.9,73.23,64.5,919,64.5,105789,69.612618
2025-06-09 04:00:00+00:00,75.825,76.575,66.735,1554,71.015,165744,73.332819
2025-06-10 04:00:00+00:00,66.985,79.58,64.52,1171,76.775,79577,68.56005
2025-06-11 04:00:00+00:00,62.84,66.19,62.805,889,66.19,57444,63.967722
2025-06-12 04:00:00+00:00,64.14,64.78,60.61,607,60.625,45181,63.688789
2025-06-13 04:00:00+00:00,61.45,63.13,60.695,360,61.995,25439,61.746326
2025-06-16 04:00:00+00:00,61.575,62.54,60.25,393,62.515,26080,61.526748
2025-06-17 04:00:00+00:00,59.39,61.79,58.55,354,60.885,22196,59.911739
2025-06-18 04:00:00+00:00,63.425,64.38,59.275,898,60.115,70051,62.900352
2025-06-20 04:00:00+00:00,59.54,64.57,58.845,930,64.57,76314,60.121303
2025-06-23 04:00:00+00:00,60.35,60.84,57.59,470,59.3,35266,59.500729
2025-06-24 04:00:00+00:00,63.845,65.185,60.78,470,61.76,33971,63.80416
2025-06-25 04:00:00+00:00,65.07,66.655,62.8,889,64.605,70212,64.550731
2025-06-26 04:00:00+00:00,67.34,67.5,64.21,922,65.375,78546,66.599749
2025-06-27 04:00:00+00:00,64.56,68.015,64.05,688,68.015,63514,65.403125
2025-06-30 04:00:00+00:00,66.535,67.045,64.64,993,65.545,82007,65.899881
2025-07-01 04:00:00+00:00,64.38,64.38,61.72,1586,63.735,140453,63.127226
2025-07-02 04:00:00+00:00,63.33,64.385,62.4,652,63.63,38087,63.47148
2025-07-03 04:00:00+00:00,62.63,63.455,61.34,435,63.455,19996,62.126134
2025-07-07 04:00:00+00:00,61.2,61.885,60.355,484,60.915,24913,61.018403
2025-07-08 04:00:00+00:00,61.23,62.82,61.16,397,61.57,9510,61.988527
2025-07-09 04:00:00+00:00,60.93,61.75,60.07,414,61.75,23499,60.594018
2025-07-10 04:00:00+00:00,59.25,59.89,58.7,374,59.55,22690,59.098303
2025-07-11 04:00:00+00:00,57.61,59.065,57.37,670,58.64,60228,57.952122
2025-07-14 04:00:00+00:00,56.08,57.27,55.58,587,56.545,53468,56.245918
2025-07-15 04:00:00+00:00,53.79,56.075,53.49,764,56.075,43981,54.321103
2025-07-16 04:00:00+00:00,57.005,57.005,52.99,1172,54.15,53170,54.611867
2025-07-17 04:00:00+00:00,58.155,58.605,56.23,518,56.23,36129,57.80399
2025-07-18 04:00:00+00:00,56.74,62.03,56.47,664,59.37,43102,59.130295
2025-07-21 04:00:00+00:00,56.22,58.11,56.08,408,57.745,25608,56.766252
2025-07-22 04:00:00+00:00,57.5,58.03,55.59,513,56.06,28293,57.304248
2025-07-23 04:00:00+00:00,62.4,62.4,58.12,884,58.645,47872,60.840191
2025-07-24 04:00:00+00:00,63.835,65.15,61.85,396,62.0,29984,63.956231
2025-07-25 04:00:00+00:00,65.09,65.715,62.64,772,64.51,48586,64.62958
2025-07-28 04:00:00+00:00,63.45,65.635,61.74,493,65.52,38767,62.848401
2025-07-29 04:00:00+00:00,60.55,63.95,59.92,361,63.95,26645,60.968031
2025-07-30 04:00:00+00:00,62.05,62.25,60.02,249,60.885,16697,61.288263
2025-07-31 04:00:00+00:00,59.9,63.57,59.805,203,61.6,8583,60.740382
2025-08-01 04:00:00+00:00,58.09,58.57,56.965,276,58.255,16118,57.849372
2025-08-04 04:00:00+00:00,59.265,59.45,57.81,360,58.32,18197,58.844917
2025-08-05 04:00:00+00:00,57.97,59.66,57.73,267,59.605,13685,58.609195
2025-08-06 04:00:00+00:00,56.265,57.425,55.6,605,57.425,20711,56.265268
2025-08-07 04:00:00+00:00,56.355,57.745,55.69,342,57.705,13678,56.878788
2025-08-08 04:00:00+00:00,57.995,58.145,56.555,476,56.78,20946,57.304793
2025-08-11 04:00:00+00:00,55.2,58.22,53.99,442,58.22,21609,55.209726
2025-08-12 04:00:00+00:00,50.71,55.39,50.0,874,55.39,58003,51.47142
2025-08-13 04:00:00+00:00,47.97,51.05,47.075,1275,51.05,104283,48.2611
2025-08-14 04:00:00+00:00,47.6,47.6,46.425,620,46.43,32883,47.094677
2025-08-15 04:00:00+00:00,48.03,48.87,47.12,1208,47.12,65334,48.076745
2025-08-18 04:00:00+00:00,47.68,48.14,47.31,329,47.595,12882,47.744746
2025-08-19 04:00:00+00:00,44.74,47.74,44.54,1261,47.74,51818,45.585486
2025-08-20 04:00:00+00:00,44.32,45.2,43.63,1287,44.65,33791,44.294658
2025-08-21 04:00:00+00:00,44.71,45.28,44.21,428,44.21,17924,44.686852
2025-08-22 04:00:00+00:00,46.63,47.65,45.01,328,45.01,16139,46.780862
2025-08-25 04:00:00+00:00,44.72,45.81,44.7,340,45.6,17902,45.325517
2025-08-26 04:00:00+00:00,45.4,45.9,44.74,360,44.9,13917,45.462896
2025-08-27 04:00:00+00:00,44.45,45.83,44.45,411,45.085,24482,44.789506
2025-08-28 04:00:00+00:00,44.47,44.96,44.215,341,44.72,13387,44.513502
2025-08-29 04:00:00+00:00,44.42,44.57,43.72,429,44.17,14644,44.135838
2025-09-02 04:00:00+00:00,46.71,47.13,43.83,722,43.83,48505,46.476987
2025-09-03 04:00:00+00:00,46.91,47.56,46.25,489,46.58,28204,46.805858
2025-09-04 04:00:00+00:00,46.185,46.755,44.83,490,46.755,31657,45.661015
2025-09-05 04:00:00+00:00,46.43,46.765,44.96,415,46.765,16837,46.012173
2025-09-08 04:00:00+00:00,45.905,46.66,45.78,527,46.3,29818,46.051735
2025-09-09 04:00:00+00:00,45.38,47.0,44.89,610,46.085,24267,45.353434
2025-09-10 04:00:00+00:00,42.63,45.595,42.46,520,45.03,24836,43.571921
2025-09-11 04:00:00+00:00,44.38,44.46,42.975,421,42.975,26021,44.025276
2025-09-12 04:00:00+00:00,44.1,44.78,44.07,272,44.545,11979,44.330752
2025-09-15 04:00:00+00:00,43.325,44.22,42.73,401,43.95,14838,43.215856
2025-09-16 04:00:00+00:00,43.45,43.455,42.715,386,43.42,12997,43.229817
2025-09-17 04:00:00+00:00,42.89,44.07,42.89,288,43.525,15458,43.445654
2025-09-18 04:00:00+00:00,43.92,44.6,43.855,422,44.215,15798,44.220982
2025-09-19 04:00:00+00:00,44.115,44.35,43.62,252,43.77,11513,44.054092
2025-09-22 04:00:00+00:00,44.98,45.135,43.4,187,43.4,10480,44.515579
2025-09-23 04:00:00+00:00,43.81,45.99,43.76,520,45.63,24578,44.622948
2025-09-24 04:00:00+00:00,42.395,44.89,42.37,372,44.77,12126,43.433763
2025-09-25 04:00:00+00:00,40.985,42.07,40.845,299,41.79,14802,41.351013
2025-09-26 04:00:00+00:00,41.07,41.135,40.15,587,40.95,24215,40.743405
2025-09-29 04:00:00+00:00,42.04,42.52,41.7,371,41.72,19766,42.058671
2025-09-30 04:00:00+00:00,41.19,42.35,40.905,1083,41.785,57349,41.363078
2025-10-01 04:00:00+00:00,39.06,41.745,39.05,1289,41.745,38961,39.782122
2025-10-02 04:00:00+00:00,41.415,41.48,40.0,620,40.25,33818,41.176469
2025-10-03 04:00:00+00:00,41.01,41.9,40.77,1636,41.82,73610,41.518162
2025-10-06 04:00:00+00:00,41.2,41.95,40.9,1544,41.47,67036,41.365113
2025-10-07 04:00:00+00:00,40.52,42.82,40.48,394,41.65,26324,41.015537
2025-10-08 04:00:00+00:00,40.87,40.96,39.76,637,40.71,38568,40.385269
2025-10-09 04:00:00+00:00,39.48,41.79,39.4,859,41.495,64189,39.802302
2025-10-10 04:00:00+00:00,38.7,40.33,38.32,844,39.6,37706,38.989886
2025-10-13 04:00:00+00:00,39.34,39.615,38.865,563,39.355,33234,39.210745
2025-10-14 04:00:00+00:00,39.07,39.725,37.95,471,38.12,24824,39.241878
2025-10-15 04:00:00+00:00,38.565,39.245,38.175,553,38.91,34506,38.717116
