timestamp,close,high,low,n,open,volume,vw
2025-07-31 04:00:00+00:00,116.36,124.56,85.5,8260,85.54,702850,108.138547
2025-08-01 04:00:00+00:00,121.73,142.73,110.205,7306,134.02,705190,121.416118
2025-08-04 04:00:00+00:00,88.68,113.49,88.675,6745,113.355,577216,97.565459
2025-08-05 04:00:00+00:00,79.13,93.69,79.005,4192,90.23,305020,85.767513
2025-08-06 04:00:00+00:00,90.29,91.445,76.75,4024,76.95,338951,85.766735
2025-08-07 04:00:00+00:00,78.24,87.78,77.835,2652,87.45,248823,80.417629
2025-08-08 04:00:00+00:00,78.08,81.81,78.0,1226,81.81,102797,79.380607
2025-08-11 04:00:00+00:00,82.44,83.72,78.11,1154,78.255,101948,81.925863
2025-08-12 04:00:00+00:00,87.42,90.61,83.95,1541,83.95,144300,87.756866
2025-08-13 04:00:00+00:00,81.78,90.67,81.145,1153,90.565,78946,83.220319
2025-08-14 04:00:00+00:00,76.23,82.685,76.0,1538,80.49,104995,78.15497
2025-08-15 04:00:00+00:00,79.46,80.91,76.75,803,79.14,57311,79.457795
2025-08-18 04:00:00+00:00,76.0,80.74,76.0,728,79.66,45482,77.475554
2025-08-19 04:00:00+00:00,69.605,74.545,68.64,1685,74.545,125625,70.257959
2025-08-20 04:00:00+00:00,74.05,74.97,67.16,941,70.25,88652,71.221902
2025-08-21 04:00:00+00:00,72.475,73.825,71.84,430,72.31,27117,72.655577
2025-08-22 04:00:00+00:00,77.345,77.95,72.59,612,73.41,54254,76.247506
2025-08-25 04:00:00+00:00,70.37,75.215,69.83,1358,74.54,119771,71.622829
2025-08-26 04:00:00+00:00,70.075,71.97,69.4,559,69.4,56260,70.274004
2025-08-27 04:00:00+00:00,69.705,71.53,68.565,543,70.66,41580,69.869737
2025-08-28 04:00:00+00:00,71.21,72.085,69.415,736,71.545,52182,70.927208
2025-08-29 04:00:00+00:00,70.12,71.22,69.08,595,71.22,42504,69.658113
2025-09-02 04:00:00+00:00,65.59,68.73,64.65,1525,68.73,124288,65.845251
2025-09-03 04:00:00+00:00,68.12,68.535,65.81,1544,66.585,125983,67.523765
2025-09-04 04:00:00+00:00,54.605,57.33,53.205,4206,55.71,301930,55.087742
2025-09-05 04:00:00+00:00,54.855,54.92,50.53,3618,52.38,353243,53.118703
2025-09-08 04:00:00+00:00,52.45,55.26,52.415,1543,54.05,108550,53.333308
2025-09-09 04:00:00+00:00,53.35,53.56,51.48,1075,52.55,50636,52.424517
2025-09-10 04:00:00+00:00,51.055,55.18,50.82,1436,53.31,110539,52.212347
2025-09-11 04:00:00+00:00,56.0,56.315,51.12,2333,51.12,203959,54.436379
2025-09-12 04:00:00+00:00,53.07,56.29,53.0,1251,56.0,91905,53.849695
2025-09-15 04:00:00+00:00,53.95,55.37,52.32,1048,55.12,64545,53.624313
2025-09-16 04:00:00+00:00,53.57,54.935,52.23,1004,54.37,59261,53.191069
2025-09-17 04:00:00+00:00,54.65,57.48,53.365,1341,53.56,101434,54.619347
2025-09-18 04:00:00+00:00,58.47,58.85,54.705,1613,55.175,106728,57.754433
2025-09-19 04:00:00+00:00,56.83,59.43,55.28,2013,59.43,158596,56.626877
2025-09-22 04:00:00+00:00,58.76,59.64,55.42,1535,56.675,125437,57.681346
2025-09-23 04:00:00+00:00,58.09,59.395,56.905,2012,59.395,198950,57.827467
2025-09-24 04:00:00+00:00,55.19,57.5,54.82,2017,57.49,196395,55.402369
2025-09-25 04:00:00+00:00,54.375,55.085,52.63,1755,53.93,113018,54.054283
2025-09-26 04:00:00+00:00,52.945,54.31,52.145,1515,53.88,115583,52.811101
2025-09-29 04:00:00+00:00,53.025,54.06,52.66,1406,53.165,109225,53.15396
2025-09-30 04:00:00+00:00,51.82,54.4,51.34,1825,54.04,107160,52.017718
2025-10-01 04:00:00+00:00,50.3,52.18,49.585,2565,51.32,205200,50.583726
2025-10-02 04:00:00+00:00,51.9,52.39,51.12,1436,51.32,137791,51.802529
2025-10-03 04:00:00+00:00,53.1,56.03,52.48,2389,52.8,215931,53.899883
2025-10-06 04:00:00+00:00,57.08,61.68,51.13,4365,53.7,483216,57.629458
2025-10-07 04:00:00+00:00,61.025,64.17,58.8,3439,61.81,358468,61.135227
2025-10-08 04:00:00+00:00,71.215,71.47,62.75,5317,63.155,462510,68.89337
2025-10-09 04:00:00+00:00,67.86,70.525,67.2,3378,70.5,167502,68.1932
2025-10-10 04:00:00+00:00,61.05,70.1,60.76,3047,69.83,241364,63.169948
2025-10-13 04:00:00+00:00,64.29,65.445,61.5,1841,62.955,142215,63.688721
2025-10-14 04:00:00+00:00,60.79,62.65,60.5,1363,62.1,86502,61.603448
2025-10-15 04:00:00+00:00,63.93,65.46,60.93,2188,62.27,169386,63.517177
2025-10-16 04:00:00+00:00,57.83,67.5,57.44,4301,65.93,283931,59.768583
2025-10-17 04:00:00+00:00,56.8,57.98,55.24,2171,55.605,160914,56.865561
2025-10-20 04:00:00+00:00,55.78,58.33,54.045,2462,57.99,185169,55.448646
2025-10-21 04:00:00+00:00,55.66,57.22,54.99,1861,55.94,126266,56.10325
2025-10-22 04:00:00+00:00,52.78,54.77,51.17,1851,54.465,130175,52.811522
2025-10-23 04:00:00+00:00,53.27,53.67,52.53,931,53.29,54848,53.117697
2025-10-24 04:00:00+00:00,53.38,55.47,53.01,1054,54.525,71121,54.259471
2025-10-27 04:00:00+00:00,53.12,55.13,52.75,1391,54.445,88409,53.44173
2025-10-28 04:00:00+00:00,51.92,54.025,51.84,1395,53.86,79201,52.903941
2025-10-29 04:00:00+00:00,50.815,52.57,50.245,2154,51.79,141246,51.292868
2025-10-30 04:00:00+00:00,48.85,50.38,48.68,3227,50.01,226518,49.594928
2025-10-31 04:00:00+00:00,49.93,50.265,46.94,2790,48.33,249733,48.6854
2025-11-03 05:00:00+00:00,48.22,50.005,47.44,3414,49.955,302086,48.220767
2025-11-04 05:00:00+00:00,45.79,48.66,45.445,3002,46.15,371530,46.351164
2025-11-05 05:00:00+00:00,44.12,46.52,43.805,6100,46.24,465757,44.790129
2025-11-06 05:00:00+00:00,46.09,46.745,43.02,8272,45.74,872497,44.662595
2025-11-07 05:00:00+00:00,44.13,45.0,43.095,9407,43.82,1226205,44.141879
2025-11-10 05:00:00+00:00,44.39,44.59,42.28,4786,44.45,401794,43.438985
2025-11-11 05:00:00+00:00,44.52,44.97,42.92,4979,43.745,558870,43.903428
2025-11-12 05:00:00+00:00,43.99,45.37,43.455,2588,44.25,150414,44.123512
2025-11-13 05:00:00+00:00,40.545,43.0,40.035,3843,42.985,273946,41.17695
2025-11-14 05:00:00+00:00,38.61,41.23,38.56,3438,40.12,199815,39.784164
2025-11-17 05:00:00+00:00,37.34,38.52,36.58,5805,37.9,487983,37.34323
2025-11-18 05:00:00+00:00,36.76,37.27,35.725,5191,36.48,337370,36.674168
2025-11-19 05:00:00+00:00,35.755,36.62,35.53,3445,36.53,229327,35.96161
2025-11-20 05:00:00+00:00,33.55,36.87,33.43,3106,36.15,241092,34.570369
2025-11-21 05:00:00+00:00,34.3,34.54,32.855,3989,33.52,249867,33.862788
2025-11-24 05:00:00+00:00,35.5,35.715,33.36,2823,34.32,218546,34.866111
2025-11-25 05:00:00+00:00,35.5,35.62,33.535,2595,35.04,185020,34.801766
2025-11-26 05:00:00+00:00,36.13,36.435,34.84,2302,35.115,135232,35.79542
