timestamp,close,high,low,n,open,volume,vw
2024-01-02 14:35:00+00:00,71.94,71.94,71.94,1,71.94,100,71.94
2024-01-02 17:25:00+00:00,71.59,71.59,71.59,1,71.59,100,71.59
2024-01-02 17:30:00+00:00,71.59,71.59,71.59,1,71.59,100,71.59
2024-01-02 17:40:00+00:00,71.64,71.64,71.64,1,71.64,100,71.64
2024-01-02 17:50:00+00:00,71.48,71.5,71.48,2,71.5,200,71.49
2024-01-02 18:15:00+00:00,71.4,71.4,71.4,1,71.4,100,71.4
2024-01-02 19:25:00+00:00,71.255,71.255,71.17,3,71.21,300,71.211667
2024-01-02 19:30:00+00:00,71.17,71.255,71.17,2,71.255,200,71.2125
2024-01-02 20:25:00+00:00,71.12,71.12,71.12,1,71.12,100,71.12
2024-01-02 20:35:00+00:00,71.04,71.04,71.04,1,71.04,100,71.04
2024-01-02 20:40:00+00:00,71.02,71.02,71.02,1,71.02,100,71.02
2024-01-02 20:45:00+00:00,70.76,70.76,70.76,2,70.76,170,70.76
2024-01-03 18:00:00+00:00,71.1,71.15,71.08,14,71.08,1937,71.115462
2024-01-03 18:20:00+00:00,71.1,71.1,71.1,2,71.1,200,71.1
2024-01-03 18:25:00+00:00,71.1,71.1,71.1,2,71.1,200,71.1
2024-01-03 18:30:00+00:00,71.1,71.1,71.1,1,71.1,100,71.1
2024-01-03 18:40:00+00:00,71.08,71.08,71.08,1,71.08,100,71.08
2024-01-03 18:55:00+00:00,71.03,71.03,71.03,1,71.03,100,71.03
2024-01-03 19:10:00+00:00,70.86,70.87,70.86,3,70.87,300,70.866667
2024-01-03 19:45:00+00:00,71.05,71.19,71.05,2,71.19,200,71.12
2024-01-03 19:50:00+00:00,71.02,71.02,71.02,2,71.02,108,71.02
2024-01-03 20:05:00+00:00,70.89,70.94,70.89,2,70.94,200,70.915
2024-01-03 20:20:00+00:00,70.96,70.96,70.96,1,70.96,100,70.96
2024-01-04 18:15:00+00:00,71.68,71.68,71.68,1,71.68,100,71.68
2024-01-04 18:20:00+00:00,71.66,71.66,71.66,1,71.66,100,71.66
2024-01-04 18:25:00+00:00,71.68,71.68,71.68,1,71.68,100,71.68
2024-01-04 18:45:00+00:00,71.45,71.45,71.45,1,71.45,100,71.45
2024-01-04 19:00:00+00:00,71.6,71.6,71.6,1,71.6,100,71.6
2024-01-04 19:05:00+00:00,71.57,71.57,71.57,1,71.57,100,71.57
2024-01-04 19:15:00+00:00,71.39,71.58,71.39,2,71.58,200,71.485
2024-01-04 19:20:00+00:00,71.46,71.46,71.46,3,71.46,300,71.46
2024-01-05 18:10:00+00:00,71.21,71.21,71.21,1,71.21,100,71.21
2024-01-05 18:25:00+00:00,71.24,71.24,71.24,1,71.24,100,71.24
2024-01-05 18:30:00+00:00,71.34,71.34,71.34,1,71.34,100,71.34
2024-01-05 18:35:00+00:00,71.39,71.39,71.38,2,71.38,200,71.385
2024-01-05 18:40:00+00:00,71.39,71.39,71.39,1,71.39,100,71.39
2024-01-05 18:45:00+00:00,71.45,71.45,71.45,1,71.45,100,71.45
2024-01-05 18:50:00+00:00,71.45,71.45,71.45,1,71.45,100,71.45
2024-01-05 18:55:00+00:00,71.45,71.45,71.45,1,71.45,100,71.45
2024-01-05 19:00:00+00:00,71.22,71.45,71.22,3,71.45,300,71.335
2024-01-05 19:15:00+00:00,71.495,71.495,71.495,1,71.495,100,71.495
2024-01-05 19:25:00+00:00,71.5,71.5,71.5,1,71.5,100,71.5
2024-01-05 20:20:00+00:00,71.37,71.37,71.37,1,71.37,100,71.37
2024-01-05 20:25:00+00:00,71.37,71.37,71.37,2,71.37,200,71.37
2024-01-08 17:00:00+00:00,71.56,71.56,71.56,1,71.56,100,71.56
2024-01-08 17:40:00+00:00,71.72,71.72,71.72,1,71.72,100,71.72
2024-01-08 17:45:00+00:00,71.73,71.73,71.73,1,71.73,100,71.73
2024-01-08 17:50:00+00:00,71.78,71.78,71.78,1,71.78,100,71.78
2024-01-08 18:05:00+00:00,71.66,71.8,71.66,2,71.8,200,71.73
2024-01-08 18:25:00+00:00,71.74,71.74,71.74,1,71.74,100,71.74
2024-01-08 18:35:00+00:00,71.785,71.785,71.785,1,71.785,100,71.785
2024-01-08 18:50:00+00:00,71.94,71.94,71.94,1,71.94,100,71.94
2024-01-08 18:55:00+00:00,71.89,71.89,71.89,1,71.89,100,71.89
2024-01-08 19:25:00+00:00,71.87,71.87,71.83,2,71.83,200,71.85
2024-01-08 20:05:00+00:00,71.98,71.98,71.98,1,71.98,100,71.98
2024-01-08 20:10:00+00:00,71.99,71.99,71.99,1,71.99,100,71.99
2024-01-08 20:15:00+00:00,71.95,71.95,71.95,1,71.95,100,71.95
2024-01-08 20:25:00+00:00,71.97,71.97,71.94,3,71.94,210,71.955
