timestamp,close,high,low,n,open,volume,vw
2024-01-02 05:00:00+00:00,4.58,4.835,4.4,1431,4.445,366502,4.697092
2024-01-03 05:00:00+00:00,4.39,4.45,4.165,2221,4.45,653477,4.289065
2024-01-04 05:00:00+00:00,4.295,4.47,4.27,2107,4.36,392087,4.347521
2024-01-05 05:00:00+00:00,4.24,4.555,4.2,2156,4.22,489625,4.318984
2024-01-08 05:00:00+00:00,4.35,4.415,4.175,1763,4.285,366292,4.321111
2024-01-09 05:00:00+00:00,4.2,4.305,4.185,1560,4.245,325473,4.232929
2024-01-10 05:00:00+00:00,4.04,4.18,3.905,2377,4.155,422007,4.016081
2024-01-11 05:00:00+00:00,3.715,3.93,3.63,2606,3.895,533571,3.73253
2024-01-12 05:00:00+00:00,3.43,3.79,3.43,2683,3.77,701529,3.548606
2024-01-16 05:00:00+00:00,3.04,3.37,3.0,2782,3.37,516377,3.109385
2024-01-17 05:00:00+00:00,2.735,2.99,2.635,3465,2.92,1184246,2.807572
2024-01-18 05:00:00+00:00,2.41,2.54,2.265,9336,2.29,3240114,2.361698
2024-01-19 05:00:00+00:00,2.665,2.67,2.395,4233,2.505,1096489,2.551994
2024-01-22 05:00:00+00:00,2.845,3.07,2.705,4351,2.85,1280515,2.839175
2024-01-23 05:00:00+00:00,3.725,3.82,3.12,10523,3.37,2496593,3.427549
2024-01-24 05:00:00+00:00,3.48,4.03,3.4,6909,3.77,2753037,3.686808
2024-01-25 05:00:00+00:00,3.395,3.52,3.225,3073,3.52,665183,3.352168
2024-01-26 05:00:00+00:00,3.405,3.6,3.35,2327,3.43,667668,3.443265
2024-01-29 05:00:00+00:00,3.795,3.805,3.335,2010,3.36,841572,3.680468
2024-01-30 05:00:00+00:00,3.735,3.855,3.65,1780,3.74,644273,3.762345
2024-01-31 05:00:00+00:00,4.445,4.83,3.98,6534,4.11,1806857,4.458752
2024-02-01 05:00:00+00:00,4.705,5.14,4.42,8079,4.97,2000167,4.74397
2024-02-02 05:00:00+00:00,4.66,4.83,4.5,4309,4.68,943695,4.67494
2024-02-05 05:00:00+00:00,4.345,4.445,4.16,3180,4.44,823436,4.303789
2024-02-06 05:00:00+00:00,4.505,4.54,4.13,2443,4.15,618088,4.389037
2024-02-07 05:00:00+00:00,4.23,4.58,4.19,2223,4.58,511175,4.300748
2024-02-08 05:00:00+00:00,4.2,4.29,4.1,2324,4.19,639301,4.187828
2024-02-09 05:00:00+00:00,4.335,4.425,4.17,3074,4.24,802597,4.280027
2024-02-12 05:00:00+00:00,4.575,4.69,4.315,3099,4.34,834048,4.554313
2024-02-13 05:00:00+00:00,4.17,4.315,4.09,2561,4.23,578882,4.147477
2024-02-14 05:00:00+00:00,4.235,4.345,4.09,2093,4.33,552842,4.199228
2024-02-15 05:00:00+00:00,4.025,4.28,3.95,2450,4.17,685874,4.046986
2024-02-16 05:00:00+00:00,3.95,4.005,3.755,1732,3.835,453683,3.874744
2024-02-20 05:00:00+00:00,3.73,3.87,3.7,1521,3.82,358418,3.747958
2024-02-21 05:00:00+00:00,3.41,3.725,3.35,3035,3.725,536347,3.503609
2024-02-22 05:00:00+00:00,3.12,3.525,3.11,3103,3.525,709302,3.279465
2024-02-23 05:00:00+00:00,3.015,3.27,2.985,3671,3.25,1140218,3.056845
2024-02-26 05:00:00+00:00,3.04,3.07,2.83,2497,2.92,578009,2.974659
2024-02-27 05:00:00+00:00,3.55,3.625,3.15,3261,3.18,940963,3.461388
2024-02-28 05:00:00+00:00,3.435,3.63,3.37,2472,3.46,669826,3.474753
2024-02-29 05:00:00+00:00,3.54,3.89,3.46,3991,3.59,1375391,3.64232
2024-03-01 05:00:00+00:00,3.885,3.89,3.16,3713,3.2,1243069,3.477014
2024-03-04 05:00:00+00:00,3.855,4.02,3.68,2393,3.915,462282,3.83386
2024-03-05 05:00:00+00:00,3.63,3.795,3.605,2030,3.725,421449,3.669306
2024-03-06 05:00:00+00:00,4.03,4.1,3.635,2154,3.71,574196,3.943352
2024-03-07 05:00:00+00:00,3.91,4.15,3.83,2603,4.06,545357,3.948333
2024-03-08 05:00:00+00:00,4.02,4.33,4.0,1838,4.06,382407,4.119444
2024-03-11 04:00:00+00:00,3.65,4.1,3.615,2563,4.02,647674,3.786891
2024-03-12 04:00:00+00:00,3.535,3.71,3.485,1996,3.71,578646,3.526848
2024-03-13 04:00:00+00:00,3.36,3.52,3.325,3267,3.45,776879,3.399366
2024-03-14 04:00:00+00:00,3.345,3.44,3.25,1774,3.425,310969,3.340638
2024-03-15 04:00:00+00:00,3.335,3.46,3.26,2145,3.32,445893,3.348256
2024-03-18 04:00:00+00:00,3.24,3.355,3.165,1729,3.32,432249,3.236933
2024-03-19 04:00:00+00:00,3.25,3.27,3.055,1672,3.165,336540,3.16003
2024-03-20 04:00:00+00:00,3.52,3.59,3.125,2265,3.245,410682,3.416075
2024-03-21 04:00:00+00:00,3.59,3.71,3.48,1526,3.53,358634,3.623891
2024-03-22 04:00:00+00:00,3.395,3.54,3.37,1357,3.51,246714,3.422396
2024-03-25 04:00:00+00:00,3.33,3.53,3.31,1499,3.41,243840,3.37279
2024-03-26 04:00:00+00:00,3.225,3.405,3.22,1338,3.375,340966,3.298304
2024-03-27 04:00:00+00:00,3.435,3.525,3.2,2223,3.24,621251,3.41467
2024-03-28 04:00:00+00:00,3.44,3.505,3.35,1795,3.465,443589,3.440075
2024-04-01 04:00:00+00:00,3.43,3.48,3.295,1218,3.415,245398,3.41004
2024-04-02 04:00:00+00:00,3.145,3.305,3.12,1933,3.285,597774,3.189044
2024-04-03 04:00:00+00:00,3.225,3.24,3.055,2287,3.15,523835,3.153584
2024-04-04 04:00:00+00:00,3.155,3.39,3.14,846,3.29,209610,3.253872
