timestamp,close,high,low,n,open,volume,vw
2024-04-18 04:00:00+00:00,3.125,4.3,2.775,1213,4.3,125382,3.191757
2024-04-19 04:00:00+00:00,3.09,3.16,2.365,354,2.94,39671,2.706862
2024-04-22 04:00:00+00:00,3.24,3.76,3.01,153,3.19,23448,3.550981
2024-04-23 04:00:00+00:00,3.13,3.385,3.13,217,3.31,9680,3.266999
2024-04-24 04:00:00+00:00,2.825,3.24,2.755,114,3.14,10976,2.946093
2024-04-25 04:00:00+00:00,3.005,3.015,2.815,88,2.815,10935,2.964322
2024-04-26 04:00:00+00:00,3.0,3.115,2.83,34,2.98,3734,2.985371
2024-04-29 04:00:00+00:00,2.67,2.89,2.67,51,2.89,6165,2.797703
2024-04-30 04:00:00+00:00,2.64,2.805,2.63,44,2.79,5467,2.716183
2024-05-01 04:00:00+00:00,2.715,2.81,2.6,119,2.72,13831,2.674202
2024-05-02 04:00:00+00:00,2.395,2.75,2.33,57,2.72,8259,2.539803
2024-05-03 04:00:00+00:00,2.44,2.565,2.44,72,2.48,9368,2.507167
2024-05-06 04:00:00+00:00,2.685,2.685,2.545,78,2.58,7064,2.595355
2024-05-07 04:00:00+00:00,2.655,2.76,2.655,40,2.76,5407,2.716891
2024-05-08 04:00:00+00:00,2.72,2.72,2.52,72,2.64,9025,2.562495
2024-05-09 04:00:00+00:00,2.88,3.195,2.66,374,2.685,52121,2.970224
2024-05-10 04:00:00+00:00,3.025,3.225,2.92,58,3.225,8225,3.041278
2024-05-13 04:00:00+00:00,3.27,3.345,3.15,156,3.15,15750,3.288942
2024-05-14 04:00:00+00:00,3.8,3.845,3.05,136,3.26,24485,3.695335
2024-05-15 04:00:00+00:00,3.46,4.095,3.415,105,4.045,14140,3.736679
2024-05-16 04:00:00+00:00,3.11,3.19,3.025,119,3.025,41539,3.102951
2024-05-17 04:00:00+00:00,3.28,3.34,3.175,43,3.175,11796,3.263298
2024-05-20 04:00:00+00:00,3.2,3.32,3.17,51,3.26,4066,3.224722
2024-05-21 04:00:00+00:00,3.075,3.145,3.03,46,3.145,9045,3.07492
2024-05-22 04:00:00+00:00,2.88,3.03,2.82,102,3.01,11731,2.876446
2024-05-23 04:00:00+00:00,2.26,2.91,1.8,126,2.91,18452,2.160112
2024-05-24 04:00:00+00:00,2.57,2.57,2.32,28,2.375,2907,2.410533
2024-05-28 04:00:00+00:00,2.58,2.66,2.58,19,2.66,2281,2.616133
2024-05-29 04:00:00+00:00,3.07,3.495,2.86,82,2.86,8531,3.220348
2024-05-30 04:00:00+00:00,3.02,3.915,2.91,177,3.155,15410,3.282275
2024-05-31 04:00:00+00:00,2.87,3.11,2.8,43,3.11,4954,2.888676
2024-06-03 04:00:00+00:00,2.79,2.87,2.775,63,2.86,4294,2.81629
2024-06-04 04:00:00+00:00,2.69,2.84,2.54,77,2.84,11347,2.64563
2024-06-05 04:00:00+00:00,2.94,2.985,2.735,84,2.735,7132,2.862241
2024-06-06 04:00:00+00:00,2.87,2.99,2.8,67,2.99,4703,2.843971
2024-06-07 04:00:00+00:00,2.795,2.795,2.715,44,2.745,3236,2.752188
2024-06-10 04:00:00+00:00,2.815,2.87,2.72,101,2.75,10593,2.797881
