timestamp,close,high,low,n,open,volume,vw
2024-01-02 05:00:00+00:00,21.645,21.97,21.645,340,21.88,83738,21.77748
2024-01-03 05:00:00+00:00,21.065,21.215,20.915,1075,21.065,568878,21.03697
2024-01-04 05:00:00+00:00,21.08,21.095,20.78,396,20.9,107952,21.020994
2024-01-05 05:00:00+00:00,21.215,21.5,21.075,398,21.145,121765,21.27371
2024-01-08 05:00:00+00:00,21.135,21.23,21.0,282,21.05,69238,21.103136
2024-01-09 05:00:00+00:00,21.0,21.21,20.96,324,21.21,76816,21.032748
2024-01-10 05:00:00+00:00,20.935,21.01,20.85,260,20.94,81493,20.941864
2024-01-11 05:00:00+00:00,20.825,21.035,20.57,459,20.97,146134,20.733714
2024-01-12 05:00:00+00:00,21.205,21.535,21.13,494,21.395,189203,21.286111
2024-01-16 05:00:00+00:00,20.97,21.12,20.92,541,21.12,101575,20.995364
2024-01-17 05:00:00+00:00,20.65,20.79,20.61,657,20.76,186878,20.668511
2024-01-18 05:00:00+00:00,20.82,20.835,20.55,239,20.55,83040,20.731947
2024-01-19 05:00:00+00:00,20.665,20.765,20.565,241,20.75,79983,20.669824
2024-01-22 05:00:00+00:00,20.21,20.4,20.07,1282,20.11,229015,20.247348
2024-01-23 05:00:00+00:00,20.535,20.555,20.4,371,20.45,119065,20.515401
2024-01-24 05:00:00+00:00,20.72,20.99,20.715,560,20.99,240529,20.783512
2024-01-25 05:00:00+00:00,20.94,21.06,20.795,401,20.94,148450,20.936774
2024-01-26 05:00:00+00:00,20.865,20.92,20.79,375,20.8,66083,20.842885
2024-01-29 05:00:00+00:00,21.215,21.24,20.84,606,20.99,251734,21.115123
2024-01-30 05:00:00+00:00,21.2,21.32,21.0,294,21.275,118623,21.140234
2024-01-31 05:00:00+00:00,20.9,21.35,20.85,470,21.205,185459,21.123568
2024-02-01 05:00:00+00:00,21.205,21.28,20.895,481,20.99,393146,21.070308
2024-02-02 05:00:00+00:00,20.74,20.79,20.5,1100,20.59,603939,20.693035
2024-02-05 05:00:00+00:00,20.465,20.54,20.385,813,20.425,183515,20.451366
2024-02-06 05:00:00+00:00,20.515,20.57,20.41,353,20.41,119277,20.516228
2024-02-07 05:00:00+00:00,20.335,20.53,20.33,384,20.395,100963,20.40957
2024-02-08 05:00:00+00:00,20.655,20.7,20.4,431,20.56,365117,20.612459
2024-02-09 05:00:00+00:00,20.685,20.69,20.465,539,20.54,160943,20.595469
2024-02-12 05:00:00+00:00,20.765,20.82,20.6,277,20.62,85987,20.73967
2024-02-13 05:00:00+00:00,20.2,20.4,20.115,602,20.4,246911,20.215728
2024-02-14 05:00:00+00:00,20.445,20.54,20.22,484,20.25,102249,20.437067
2024-02-15 05:00:00+00:00,20.95,21.075,20.84,989,20.84,403455,20.953439
2024-02-16 05:00:00+00:00,21.39,21.495,20.93,799,20.99,352846,21.335873
2024-02-20 05:00:00+00:00,21.07,21.185,21.03,521,21.16,150626,21.101856
2024-02-21 05:00:00+00:00,20.96,21.075,20.82,441,21.06,166211,20.916697
2024-02-22 05:00:00+00:00,20.81,20.95,20.81,323,20.9,85151,20.861903
2024-02-23 05:00:00+00:00,20.995,21.04,20.7,397,20.77,275409,20.834772
2024-02-26 05:00:00+00:00,20.62,20.685,20.54,610,20.6,189188,20.603726
2024-02-27 05:00:00+00:00,20.57,20.73,20.52,266,20.73,99008,20.594048
2024-02-28 05:00:00+00:00,20.55,20.55,20.46,238,20.5,79165,20.491461
2024-02-29 05:00:00+00:00,20.745,20.79,20.62,418,20.745,125960,20.726394
2024-03-01 05:00:00+00:00,21.17,21.28,20.65,940,20.77,401741,21.111953
2024-03-04 05:00:00+00:00,21.86,21.9,21.395,1223,21.4,640242,21.707331
2024-03-05 05:00:00+00:00,21.66,22.05,21.65,935,21.955,358992,21.813879
2024-03-06 05:00:00+00:00,22.1,22.22,21.87,1069,21.88,417339,22.06105
2024-03-07 05:00:00+00:00,22.24,22.405,22.125,806,22.175,265579,22.285283
2024-03-08 05:00:00+00:00,22.23,22.445,22.12,1072,22.29,498959,22.248224
2024-03-11 04:00:00+00:00,22.355,22.43,22.24,874,22.335,274385,22.370958
2024-03-12 04:00:00+00:00,22.085,22.22,21.98,683,22.22,258352,22.084928
2024-03-13 04:00:00+00:00,22.79,22.875,22.27,1181,22.32,522665,22.683433
2024-03-14 04:00:00+00:00,22.725,22.9,22.635,682,22.89,194422,22.74245
2024-03-15 04:00:00+00:00,23.03,23.27,22.99,599,23.04,199590,23.132185
2024-03-18 04:00:00+00:00,22.905,23.125,22.865,742,23.125,259164,22.966902
2024-03-19 04:00:00+00:00,22.785,22.835,22.62,606,22.795,152617,22.757378
2024-03-20 04:00:00+00:00,23.3,23.44,22.72,992,22.72,314551,23.167572
2024-03-21 04:00:00+00:00,22.65,23.155,22.535,2495,23.145,977440,22.722626
2024-03-22 04:00:00+00:00,22.565,22.8,22.53,643,22.63,319210,22.695861
2024-03-25 04:00:00+00:00,22.575,22.72,22.555,515,22.61,305392,22.624714
2024-03-26 04:00:00+00:00,22.345,22.59,22.29,585,22.57,375263,22.38221
2024-03-27 04:00:00+00:00,22.52,22.55,22.35,378,22.35,143924,22.483481
2024-03-28 04:00:00+00:00,22.755,22.79,22.42,933,22.47,402483,22.693657
2024-04-01 04:00:00+00:00,22.86,23.19,22.67,468,23.185,188146,22.888095
2024-04-02 04:00:00+00:00,23.855,23.895,23.24,1657,23.325,870261,23.602359
2024-04-03 04:00:00+00:00,24.73,24.755,24.175,2051,24.27,878817,24.526058
2024-04-04 04:00:00+00:00,24.505,24.94,24.39,2103,24.565,1196612,24.654522
2024-04-05 04:00:00+00:00,25.035,25.135,24.41,1844,24.475,709238,24.971958
2024-04-08 04:00:00+00:00,25.405,25.48,24.905,988,25.34,415953,25.280608
2024-04-09 04:00:00+00:00,25.72,25.885,25.265,1234,25.755,556945,25.64877
2024-04-10 04:00:00+00:00,25.445,26.08,25.17,1295,25.3,589198,25.597814
2024-04-11 04:00:00+00:00,26.01,26.04,25.39,1443,25.725,401300,25.710655
2024-04-12 04:00:00+00:00,25.63,27.235,25.525,3851,26.82,1400106,26.344206
2024-04-15 04:00:00+00:00,26.4,26.415,25.69,2543,26.215,657652,26.120366
2024-04-16 04:00:00+00:00,25.79,26.05,25.55,1317,26.035,468439,25.798232
2024-04-17 04:00:00+00:00,25.85,26.335,25.71,1091,26.21,431285,26.03687
2024-04-18 04:00:00+00:00,25.86,26.13,25.75,518,26.08,183865,25.888029
2024-04-19 04:00:00+00:00,26.215,26.32,25.93,874,25.94,325104,26.145636
2024-04-22 04:00:00+00:00,24.915,25.185,24.8,982,24.94,363337,24.940227
2024-04-23 04:00:00+00:00,24.98,25.025,24.63,815,24.63,325719,24.936185
2024-04-24 04:00:00+00:00,24.9,25.03,24.8,366,24.91,144724,24.899706
2024-04-25 04:00:00+00:00,25.055,25.195,24.83,1581,24.845,608057,25.010584
2024-04-26 04:00:00+00:00,24.88,25.205,24.75,2003,25.195,675336,24.936244
2024-04-29 04:00:00+00:00,24.825,25.075,24.69,2152,24.9,681298,24.887157
2024-04-30 04:00:00+00:00,24.035,24.37,24.03,776,24.24,335387,24.156496
2024-05-01 04:00:00+00:00,24.25,24.64,24.11,824,24.16,391038,24.322043
2024-05-02 04:00:00+00:00,24.37,24.46,23.93,510,23.94,213431,24.239802
2024-05-03 04:00:00+00:00,24.225,24.265,23.875,508,24.235,224894,24.112425
2024-05-06 04:00:00+00:00,25.07,25.125,24.84,736,25.0,399518,24.978167
2024-05-07 04:00:00+00:00,24.925,25.085,24.88,351,25.02,145373,24.984306
2024-05-08 04:00:00+00:00,24.965,25.11,24.83,475,24.9,170229,25.007911
2024-05-09 04:00:00+00:00,25.87,25.875,25.32,1394,25.32,658639,25.716371
2024-05-10 04:00:00+00:00,25.775,26.04,25.63,832,25.925,435303,25.852996
2024-05-13 04:00:00+00:00,25.805,25.91,25.655,555,25.835,240609,25.798474
2024-05-14 04:00:00+00:00,26.145,26.26,25.86,612,26.025,249265,26.04806
2024-05-15 04:00:00+00:00,27.13,27.18,26.07,1000,26.535,559208,26.827281
2024-05-16 04:00:00+00:00,27.055,27.16,26.795,1116,26.945,255339,27.015797
2024-05-17 04:00:00+00:00,28.805,28.835,27.56,2392,27.895,981272,28.362414
2024-05-20 04:00:00+00:00,29.0,29.555,28.42,2307,28.925,700807,29.139807
2024-05-21 04:00:00+00:00,29.275,29.51,28.83,891,29.085,345056,29.223297
2024-05-22 04:00:00+00:00,28.205,29.04,28.12,3574,29.03,1229008,28.494396
2024-05-23 04:00:00+00:00,27.54,28.23,27.47,1283,28.11,469669,27.665872
2024-05-24 04:00:00+00:00,27.725,27.955,27.615,1380,27.955,373356,27.752445
2024-05-28 04:00:00+00:00,29.24,29.33,28.695,838,29.295,298898,29.136504
2024-05-29 04:00:00+00:00,29.17,29.465,28.985,917,29.075,298191,29.25881
2024-05-30 04:00:00+00:00,28.415,29.025,28.315,790,28.855,239046,28.547261
2024-05-31 04:00:00+00:00,27.755,28.845,27.595,2358,28.745,526094,27.8561
2024-06-03 04:00:00+00:00,27.91,28.12,27.57,648,27.82,110195,27.854688
2024-06-04 04:00:00+00:00,27.0,27.29,26.845,1062,27.285,300023,26.990757
2024-06-05 04:00:00+00:00,27.405,27.45,26.9,497,27.145,165854,27.307743
2024-06-06 04:00:00+00:00,28.54,28.62,27.69,1260,27.84,525122,28.361401
2024-06-07 04:00:00+00:00,26.655,27.29,26.61,1593,27.275,743184,26.858296
2024-06-10 04:00:00+00:00,27.135,27.23,26.88,523,27.055,189681,27.121833
2024-06-11 04:00:00+00:00,26.7,26.8,26.56,421,26.71,113407,26.677204
2024-06-12 04:00:00+00:00,27.045,27.55,26.95,542,27.42,191291,27.274121
2024-06-13 04:00:00+00:00,26.425,26.915,26.17,968,26.82,303680,26.414071
2024-06-14 04:00:00+00:00,27.02,27.025,26.5,876,26.59,510201,26.919458
2024-06-17 04:00:00+00:00,26.91,26.92,26.58,316,26.91,160465,26.769539
2024-06-18 04:00:00+00:00,26.965,27.005,26.685,751,26.79,208741,26.921159
2024-06-20 04:00:00+00:00,28.015,28.115,27.42,1096,27.51,344964,27.929226
2024-06-21 04:00:00+00:00,26.97,27.555,26.91,1131,27.525,543509,27.109057
2024-06-24 04:00:00+00:00,26.985,27.12,26.89,542,27.1,217327,27.008373
2024-06-25 04:00:00+00:00,26.395,26.765,26.345,690,26.76,229868,26.490058
2024-06-26 04:00:00+00:00,26.3,26.43,26.1,416,26.18,165266,26.294156
2024-06-27 04:00:00+00:00,26.44,26.62,26.37,404,26.555,229111,26.47563
2024-06-28 04:00:00+00:00,26.59,26.875,26.55,605,26.875,156128,26.690622
2024-07-01 04:00:00+00:00,26.86,26.89,26.615,270,26.71,98548,26.770722
2024-07-02 04:00:00+00:00,26.975,27.21,26.79,322,26.82,113179,27.051586
2024-07-03 04:00:00+00:00,27.84,28.0,27.695,835,27.695,464887,27.862342
2024-07-05 04:00:00+00:00,28.495,28.74,28.09,1096,28.155,541771,28.478657
2024-07-08 04:00:00+00:00,28.135,28.505,27.8,672,28.36,384478,28.146293
2024-07-09 04:00:00+00:00,28.115,28.4,27.87,314,28.32,144684,28.158623
2024-07-10 04:00:00+00:00,28.16,28.45,28.0,917,28.3,287793,28.224505
2024-07-11 04:00:00+00:00,28.69,28.9,28.48,822,28.77,331934,28.713911
2024-07-12 04:00:00+00:00,28.115,28.3,27.96,661,27.985,311365,28.16922
2024-07-15 04:00:00+00:00,28.02,28.38,27.875,656,28.06,221908,28.172026
2024-07-16 04:00:00+00:00,28.6,28.66,27.98,503,28.055,331083,28.444999
2024-07-17 04:00:00+00:00,27.685,28.345,27.44,1288,28.255,765451,27.789807
2024-07-18 04:00:00+00:00,27.2,27.75,27.145,636,27.74,342034,27.405637
2024-07-19 04:00:00+00:00,26.68,26.72,26.375,1177,26.39,503117,26.590997
2024-07-22 04:00:00+00:00,26.64,26.655,26.31,587,26.45,287541,26.491862
2024-07-23 04:00:00+00:00,26.67,26.68,26.44,314,26.485,63659,26.587614
2024-07-24 04:00:00+00:00,26.425,26.87,26.42,481,26.77,201394,26.60442
2024-07-25 04:00:00+00:00,25.4,25.535,25.18,1451,25.2,853754,25.350507
2024-07-26 04:00:00+00:00,25.475,25.52,25.23,469,25.34,179877,25.367181
2024-07-29 04:00:00+00:00,25.44,25.56,24.93,622,25.56,348264,25.247196
2024-07-30 04:00:00+00:00,25.83,25.91,25.37,559,25.55,253908,25.643056
2024-07-31 04:00:00+00:00,26.4,26.5,26.11,1060,26.24,530059,26.3076
2024-08-01 04:00:00+00:00,26.04,26.55,25.75,1070,26.52,643373,26.009152
2024-08-02 04:00:00+00:00,26.05,26.49,25.5,1525,26.45,971247,25.943345
2024-08-05 04:00:00+00:00,24.85,25.03,24.54,3211,24.61,1543153,24.795334
2024-08-06 04:00:00+00:00,24.64,24.87,24.48,1253,24.5,632666,24.689333
