timestamp,close,high,low,n,open,volume,vw
2024-01-02 05:00:00+00:00,9.64,9.8,9.52,2224,9.66,375280,9.621218
2024-01-03 05:00:00+00:00,8.31,9.02,8.28,4339,8.81,968255,8.474199
2024-01-04 05:00:00+00:00,8.415,8.58,8.175,2769,8.36,438948,8.450194
2024-01-05 05:00:00+00:00,8.225,8.495,8.16,3851,8.24,2883962,8.319785
2024-01-08 05:00:00+00:00,8.535,8.61,8.235,2773,8.26,549797,8.447282
2024-01-09 05:00:00+00:00,8.33,8.52,8.28,1703,8.39,343618,8.400901
2024-01-10 05:00:00+00:00,8.475,8.6,8.145,2096,8.315,394661,8.385535
2024-01-11 05:00:00+00:00,8.16,8.415,8.06,4590,8.37,1191184,8.198418
2024-01-12 05:00:00+00:00,7.885,8.3,7.81,3684,8.225,1403670,8.012516
2024-01-16 05:00:00+00:00,7.715,7.85,7.615,6031,7.76,1586848,7.741928
2024-01-17 05:00:00+00:00,7.525,7.58,7.37,2989,7.51,720496,7.445073
2024-01-18 05:00:00+00:00,7.405,7.625,7.23,5019,7.625,1182111,7.382481
2024-01-19 05:00:00+00:00,7.495,7.5,7.21,3352,7.46,639265,7.352889
2024-01-22 05:00:00+00:00,7.93,8.33,7.73,3900,7.835,1306717,8.061151
2024-01-23 05:00:00+00:00,7.755,8.11,7.73,3580,8.11,624809,7.827038
2024-01-24 05:00:00+00:00,7.56,7.935,7.535,3052,7.86,605808,7.637941
2024-01-25 05:00:00+00:00,7.66,7.75,7.555,7003,7.645,1383122,7.627405
2024-01-26 05:00:00+00:00,7.61,7.83,7.52,5268,7.69,1416931,7.624905
2024-01-29 05:00:00+00:00,9.15,9.45,8.62,15059,8.8,4698340,9.112726
2024-01-30 05:00:00+00:00,8.4,9.4,8.38,8640,8.98,2308943,8.823314
2024-01-31 05:00:00+00:00,7.835,8.335,7.81,7279,8.11,2651538,8.147206
2024-02-01 05:00:00+00:00,7.735,7.95,7.575,5228,7.92,1300522,7.736286
2024-02-02 05:00:00+00:00,7.875,7.95,7.475,3241,7.57,749622,7.766789
2024-02-05 05:00:00+00:00,7.575,7.71,7.45,2768,7.7,450217,7.555281
2024-02-06 05:00:00+00:00,7.8,7.88,7.54,2770,7.58,676498,7.771074
2024-02-07 05:00:00+00:00,7.67,7.8,7.57,2053,7.795,390257,7.660047
2024-02-08 05:00:00+00:00,8.07,8.14,7.675,2575,7.745,539437,7.970905
2024-02-09 05:00:00+00:00,8.115,8.335,8.085,2342,8.185,812074,8.198746
2024-02-12 05:00:00+00:00,8.33,8.5,8.15,2418,8.15,692610,8.360064
2024-02-13 05:00:00+00:00,8.02,8.2,7.785,4856,7.81,2033009,7.889102
2024-02-14 05:00:00+00:00,8.43,8.43,8.1,3518,8.14,691144,8.278324
2024-02-15 05:00:00+00:00,8.525,8.54,8.35,3048,8.495,488522,8.467888
2024-02-16 05:00:00+00:00,8.36,8.57,8.275,2808,8.47,485350,8.416874
2024-02-20 05:00:00+00:00,8.52,8.52,8.21,2294,8.25,371818,8.354496
2024-02-21 05:00:00+00:00,8.11,8.335,8.1,2177,8.31,326964,8.196127
2024-02-22 05:00:00+00:00,8.15,8.34,8.145,2101,8.195,243786,8.223122
2024-02-23 05:00:00+00:00,8.17,8.36,8.12,1987,8.17,338341,8.224692
2024-02-26 05:00:00+00:00,8.54,8.69,8.19,2402,8.21,682597,8.484369
2024-02-27 05:00:00+00:00,9.145,9.17,8.71,4001,8.75,1077546,9.003391
2024-02-28 05:00:00+00:00,8.85,9.175,8.835,1937,9.04,283438,8.969428
2024-02-29 05:00:00+00:00,9.005,9.13,8.82,1667,9.085,213982,8.981396
2024-03-01 05:00:00+00:00,8.98,9.035,8.77,1110,8.98,177271,8.969235
2024-03-04 05:00:00+00:00,8.575,9.125,8.57,2910,9.05,429185,8.735424
2024-03-05 05:00:00+00:00,7.26,8.155,7.26,9721,8.06,2963628,7.511695
2024-03-06 05:00:00+00:00,7.395,7.615,7.05,10666,7.365,2628746,7.356238
2024-03-07 05:00:00+00:00,7.48,7.57,7.18,6775,7.48,1597007,7.385862
2024-03-08 05:00:00+00:00,7.72,7.825,7.47,7762,7.505,1339348,7.692768
2024-03-11 04:00:00+00:00,7.68,7.945,7.61,4977,7.805,974049,7.712841
2024-03-12 04:00:00+00:00,7.475,7.68,7.38,4422,7.68,799088,7.487955
2024-03-13 04:00:00+00:00,7.39,7.555,7.36,4656,7.4,951103,7.435657
2024-03-14 04:00:00+00:00,7.05,7.33,6.99,5606,7.33,1245141,7.091621
2024-03-15 04:00:00+00:00,7.02,7.04,6.91,4833,7.0,1540197,6.988635
2024-03-18 04:00:00+00:00,7.09,7.11,6.86,3278,7.065,711256,6.987434
2024-03-19 04:00:00+00:00,6.915,7.025,6.815,5071,6.9,1001135,6.920024
2024-03-20 04:00:00+00:00,7.36,7.37,6.87,3445,6.9,916774,7.139559
2024-03-21 04:00:00+00:00,7.43,7.57,7.365,3396,7.535,735429,7.447284
2024-03-22 04:00:00+00:00,7.29,7.395,7.25,1225,7.3,217755,7.323271
2024-03-25 04:00:00+00:00,7.455,7.585,7.3,1293,7.3,225185,7.464875
2024-03-26 04:00:00+00:00,7.2,7.46,7.165,1957,7.35,481118,7.292545
2024-03-27 04:00:00+00:00,7.37,7.37,7.17,1679,7.295,264227,7.303406
2024-03-28 04:00:00+00:00,7.29,7.46,7.29,1307,7.34,174795,7.353486
2024-04-01 04:00:00+00:00,7.215,7.33,7.12,2166,7.31,400416,7.205015
2024-04-02 04:00:00+00:00,7.195,7.22,6.97,3312,7.04,461090,7.129759
2024-04-03 04:00:00+00:00,7.535,7.58,7.245,2672,7.305,476687,7.461394
2024-04-04 04:00:00+00:00,7.315,7.705,7.275,2055,7.665,411995,7.544795
2024-04-05 04:00:00+00:00,7.4,7.46,7.26,1579,7.3,192941,7.396802
2024-04-08 04:00:00+00:00,7.76,7.77,7.505,5158,7.51,1415205,7.64646
2024-04-09 04:00:00+00:00,7.9,7.94,7.735,2337,7.82,483510,7.863352
2024-04-10 04:00:00+00:00,7.55,7.8,7.485,1854,7.62,417123,7.637678
2024-04-11 04:00:00+00:00,7.64,7.64,7.43,1820,7.565,337164,7.517932
2024-04-12 04:00:00+00:00,7.325,7.59,7.305,1679,7.57,539386,7.395824
2024-04-15 04:00:00+00:00,7.13,7.405,7.085,2021,7.325,502482,7.220734
2024-04-16 04:00:00+00:00,7.21,7.275,6.97,2464,7.0,552249,7.156589
2024-04-17 04:00:00+00:00,7.155,7.34,7.12,1846,7.235,375470,7.200882
2024-04-18 04:00:00+00:00,7.135,7.38,7.08,1509,7.17,328518,7.213498
2024-04-19 04:00:00+00:00,7.12,7.28,7.055,2769,7.085,494701,7.161196
2024-04-22 04:00:00+00:00,7.26,7.285,7.105,1730,7.185,272642,7.215023
2024-04-23 04:00:00+00:00,7.585,7.59,7.27,1782,7.27,399024,7.498194
2024-04-24 04:00:00+00:00,7.6,7.67,7.465,1647,7.6,540093,7.519844
2024-04-25 04:00:00+00:00,7.595,7.6,7.26,3128,7.425,593012,7.455655
2024-04-26 04:00:00+00:00,7.89,7.9,7.585,4562,7.63,2776876,7.800148
2024-04-29 04:00:00+00:00,7.045,7.445,7.0,6610,7.33,1345144,7.089433
2024-04-30 04:00:00+00:00,6.77,6.87,6.61,5571,6.87,1126408,6.727063
2024-05-01 04:00:00+00:00,6.91,7.18,6.665,3299,6.67,636850,6.95284
2024-05-02 04:00:00+00:00,6.99,7.1,6.87,1905,7.055,401217,6.960263
2024-05-03 04:00:00+00:00,6.955,7.23,6.88,2541,7.125,447832,6.995245
2024-05-06 04:00:00+00:00,7.155,7.265,7.065,2013,7.09,319442,7.166758
2024-05-07 04:00:00+00:00,7.055,7.185,7.03,1377,7.125,278574,7.092434
2024-05-08 04:00:00+00:00,7.045,7.08,6.945,1803,6.96,502302,7.030922
2024-05-09 04:00:00+00:00,7.055,7.105,6.99,763,7.1,121518,7.046301
2024-05-10 04:00:00+00:00,6.935,7.075,6.93,1333,7.075,243726,6.965178
2024-05-13 04:00:00+00:00,7.105,7.315,7.005,3546,7.015,1081576,7.214422
2024-05-14 04:00:00+00:00,7.47,7.635,7.22,3954,7.22,1310844,7.506373
2024-05-15 04:00:00+00:00,7.275,7.61,7.22,1656,7.6,260929,7.33048
2024-05-16 04:00:00+00:00,7.125,7.295,7.11,1541,7.25,307316,7.159669
2024-05-17 04:00:00+00:00,7.275,7.41,7.12,1560,7.145,302805,7.311597
2024-05-20 04:00:00+00:00,7.195,7.28,7.17,1199,7.28,144674,7.205572
2024-05-21 04:00:00+00:00,7.075,7.18,7.055,1115,7.18,195336,7.09055
2024-05-22 04:00:00+00:00,7.01,7.135,6.97,1275,7.04,200394,7.054415
2024-05-23 04:00:00+00:00,6.82,7.015,6.78,2544,7.015,579392,6.887009
2024-05-24 04:00:00+00:00,6.91,6.995,6.89,980,6.89,169677,6.929942
2024-05-28 04:00:00+00:00,6.885,7.05,6.875,1425,7.005,247966,6.919198
2024-05-29 04:00:00+00:00,6.85,6.85,6.7,1649,6.775,336141,6.815458
2024-05-30 04:00:00+00:00,6.905,6.925,6.81,992,6.835,170032,6.876917
2024-05-31 04:00:00+00:00,6.895,6.98,6.765,1199,6.94,137329,6.858866
2024-06-03 04:00:00+00:00,6.755,6.99,6.755,1441,6.965,229053,6.823404
2024-06-04 04:00:00+00:00,6.71,6.855,6.71,1440,6.745,190571,6.760316
2024-06-05 04:00:00+00:00,6.91,6.93,6.73,1915,6.76,234712,6.84671
2024-06-06 04:00:00+00:00,7.09,7.09,6.845,1159,6.905,142560,6.976634
2024-06-07 04:00:00+00:00,6.985,7.045,6.87,1515,6.94,326787,6.967832
2024-06-10 04:00:00+00:00,7.03,7.07,6.89,1103,6.895,131995,6.988073
2024-06-11 04:00:00+00:00,6.99,7.02,6.905,1027,6.99,97434,6.969729
2024-06-12 04:00:00+00:00,7.075,7.42,7.05,2255,7.19,432899,7.248581
2024-06-13 04:00:00+00:00,6.795,7.115,6.775,1880,7.11,675780,6.86925
2024-06-14 04:00:00+00:00,6.46,6.765,6.43,5567,6.71,1396750,6.508715
2024-06-17 04:00:00+00:00,6.455,6.48,6.305,1783,6.455,532374,6.400727
2024-06-18 04:00:00+00:00,6.41,6.6,6.39,1838,6.46,427386,6.470275
2024-06-20 04:00:00+00:00,6.325,6.44,6.265,1332,6.41,307775,6.356358
2024-06-21 04:00:00+00:00,6.315,6.345,6.2,1506,6.3,394428,6.288922
2024-06-24 04:00:00+00:00,6.55,6.57,6.31,2696,6.31,873540,6.468009
2024-06-25 04:00:00+00:00,6.46,6.53,6.415,1218,6.53,190031,6.449636
2024-06-26 04:00:00+00:00,6.465,6.475,6.36,1253,6.415,166762,6.417251
2024-06-27 04:00:00+00:00,6.535,6.54,6.365,1465,6.405,185813,6.501415
2024-06-28 04:00:00+00:00,6.62,6.65,6.535,2024,6.59,355160,6.591489
2024-07-01 04:00:00+00:00,6.42,6.66,6.42,1590,6.66,465201,6.503346
2024-07-02 04:00:00+00:00,6.46,6.48,6.295,2293,6.41,393863,6.412077
2024-07-03 04:00:00+00:00,6.515,6.545,6.425,1146,6.475,213889,6.505601
2024-07-05 04:00:00+00:00,6.47,6.505,6.385,1212,6.47,198721,6.458377
2024-07-08 04:00:00+00:00,6.36,6.525,6.35,984,6.495,184318,6.433597
2024-07-09 04:00:00+00:00,6.375,6.38,6.15,2708,6.345,565205,6.273136
2024-07-10 04:00:00+00:00,6.565,6.62,6.32,3100,6.425,535207,6.486816
2024-07-11 04:00:00+00:00,6.765,6.925,6.69,2929,6.83,558718,6.799299
2024-07-12 04:00:00+00:00,6.965,7.0,6.82,1874,6.895,472125,6.914762
2024-07-15 04:00:00+00:00,7.34,7.425,7.015,3242,7.065,768990,7.285852
2024-07-16 04:00:00+00:00,7.75,7.82,7.345,2769,7.44,518930,7.632074
2024-07-17 04:00:00+00:00,7.845,7.91,7.58,3353,7.58,1073848,7.778485
2024-07-18 04:00:00+00:00,7.53,8.06,7.49,3513,7.87,821252,7.746561
2024-07-19 04:00:00+00:00,7.47,7.61,7.325,2024,7.495,609320,7.50988
2024-07-22 04:00:00+00:00,7.545,7.605,7.34,2318,7.58,484189,7.459064
2024-07-23 04:00:00+00:00,7.44,7.66,7.425,1325,7.5,211863,7.522656
2024-07-24 04:00:00+00:00,7.105,7.495,7.09,1989,7.355,315936,7.225946
2024-07-25 04:00:00+00:00,7.275,7.405,7.01,1805,7.01,291214,7.260169
2024-07-26 04:00:00+00:00,7.41,7.49,7.29,6006,7.475,639247,7.386622
2024-07-29 04:00:00+00:00,7.325,7.51,7.23,3629,7.46,1063809,7.32283
2024-07-30 04:00:00+00:00,7.43,7.92,7.1,4987,7.585,1116926,7.411301
2024-07-31 04:00:00+00:00,7.56,7.83,7.28,4200,7.48,896695,7.641806
2024-08-01 04:00:00+00:00,7.165,7.655,7.07,9905,7.59,1023816,7.240134
2024-08-02 04:00:00+00:00,6.66,6.945,6.6,4603,6.915,2363827,6.7281
2024-08-05 04:00:00+00:00,6.54,6.79,6.01,4931,6.025,1245771,6.541887
2024-08-06 04:00:00+00:00,6.43,6.6,6.395,2822,6.555,710855,6.485061
2024-08-07 04:00:00+00:00,6.32,6.745,6.31,2572,6.6,554676,6.530834
2024-08-08 04:00:00+00:00,6.64,6.71,6.42,3177,6.465,718831,6.595108
2024-08-09 04:00:00+00:00,6.64,6.72,6.56,1699,6.66,380132,6.644097
2024-08-12 04:00:00+00:00,6.48,6.665,6.47,2053,6.615,502858,6.542235
2024-08-13 04:00:00+00:00,6.65,6.65,6.5,2023,6.52,470657,6.593919
2024-08-14 04:00:00+00:00,6.6,6.78,6.565,1846,6.755,425315,6.629212
