timestamp,close,high,low,n,open,volume,vw
2024-01-02 14:30:00+00:00,142.73,142.73,141.835,12,141.835,1012,142.449697
2024-01-02 14:35:00+00:00,143.62,143.62,143.05,10,143.1,667,143.384456
2024-01-02 14:40:00+00:00,143.11,143.65,142.955,24,142.955,1772,143.278868
2024-01-02 14:45:00+00:00,142.605,142.99,142.35,8,142.99,602,142.605
2024-01-02 14:50:00+00:00,143.45,143.45,142.865,8,142.87,602,142.9675
2024-01-02 14:55:00+00:00,143.07,143.07,143.05,3,143.05,201,143.06
2024-01-02 15:00:00+00:00,143.56,143.685,143.455,8,143.455,793,143.553923
2024-01-02 15:05:00+00:00,143.79,143.79,143.65,8,143.65,215,143.72
2024-01-02 15:10:00+00:00,143.73,143.82,143.73,8,143.82,603,143.785
2024-01-02 15:15:00+00:00,144.07,144.11,143.93,20,143.93,1818,144.045304
2024-01-02 15:20:00+00:00,143.89,143.94,143.83,10,143.94,630,143.9075
2024-01-02 15:25:00+00:00,143.91,143.91,143.91,3,143.91,200,143.91
2024-01-02 15:30:00+00:00,143.54,143.54,143.54,2,143.54,101,143.54
2024-01-02 15:35:00+00:00,143.38,143.38,143.38,3,143.38,179,143.38
2024-01-02 15:40:00+00:00,143.635,143.71,143.42,11,143.46,633,143.575833
2024-01-02 15:45:00+00:00,143.62,143.62,143.49,11,143.49,501,143.566667
2024-01-02 15:50:00+00:00,143.59,143.84,143.59,16,143.73,913,143.71625
2024-01-02 15:55:00+00:00,143.3,143.39,143.3,11,143.35,543,143.35
2024-01-02 16:00:00+00:00,143.305,143.305,143.12,13,143.16,621,143.199
2024-01-02 16:05:00+00:00,143.325,143.325,143.265,4,143.265,277,143.295
2024-01-02 16:10:00+00:00,143.17,143.35,143.17,6,143.33,401,143.283333
2024-01-02 16:15:00+00:00,143.255,143.255,143.255,5,143.255,124,143.255
2024-01-02 16:25:00+00:00,143.115,143.12,142.975,6,142.975,901,143.098125
2024-01-02 16:30:00+00:00,143.49,143.49,143.475,3,143.475,201,143.4825
2024-01-02 16:35:00+00:00,143.665,143.665,143.665,3,143.665,142,143.665
2024-01-02 16:40:00+00:00,143.59,143.645,143.59,6,143.645,320,143.615
2024-01-02 16:45:00+00:00,143.66,143.77,143.59,21,143.595,1058,143.676667
2024-01-02 16:50:00+00:00,143.71,143.71,143.59,18,143.68,1087,143.65375
2024-01-02 16:55:00+00:00,143.895,143.895,143.76,9,143.76,487,143.835
2024-01-02 17:00:00+00:00,144.13,144.13,144.0,9,144.0,676,144.0825
2024-01-02 17:05:00+00:00,144.055,144.14,143.995,19,144.14,875,144.055625
2024-01-02 17:10:00+00:00,144.1,144.13,143.97,22,144.13,1326,144.041111
2024-01-02 17:15:00+00:00,144.01,144.09,144.01,11,144.08,734,144.048
2024-01-02 17:20:00+00:00,143.805,144.04,143.78,12,144.04,832,143.830714
2024-01-02 17:25:00+00:00,143.9,143.92,143.9,6,143.91,425,143.91
2024-01-02 17:30:00+00:00,143.95,143.99,143.92,8,143.99,619,143.954
2024-01-02 17:35:00+00:00,143.81,143.81,143.75,11,143.755,822,143.774167
2024-01-02 17:40:00+00:00,143.78,143.79,143.715,26,143.79,1075,143.765
2024-01-02 17:45:00+00:00,143.84,143.925,143.745,21,143.81,1221,143.84375
2024-01-02 17:50:00+00:00,143.94,143.94,143.82,15,143.82,718,143.903488
