timestamp,close,high,low,n,open,volume,vw
2024-01-02 05:00:00+00:00,4.125,4.34,4.085,136,4.34,11055,4.163749
2024-01-03 05:00:00+00:00,4.235,4.235,4.08,215,4.08,25909,4.213587
2024-01-04 05:00:00+00:00,4.25,4.275,4.19,238,4.19,10364,4.254934
2024-01-05 05:00:00+00:00,4.22,4.245,4.2,94,4.21,8340,4.223562
2024-01-08 05:00:00+00:00,4.17,4.21,4.145,66,4.15,3073,4.174375
2024-01-09 05:00:00+00:00,4.07,4.1,4.06,447,4.1,12506,4.079903
2024-01-10 05:00:00+00:00,4.02,4.03,4.0,237,4.03,24061,4.019389
2024-01-11 05:00:00+00:00,4.0,4.09,3.945,156,4.09,9277,3.994226
2024-01-12 05:00:00+00:00,3.855,3.99,3.83,236,3.99,17197,3.864191
2024-01-16 05:00:00+00:00,3.595,3.83,3.56,207,3.83,20716,3.651239
2024-01-17 05:00:00+00:00,3.645,3.645,3.47,191,3.47,13315,3.596616
2024-01-18 05:00:00+00:00,3.635,3.695,3.595,562,3.65,26774,3.637682
2024-01-19 05:00:00+00:00,3.59,3.64,3.55,316,3.555,28092,3.603276
2024-01-22 05:00:00+00:00,3.67,3.685,3.465,295,3.48,27095,3.643545
2024-01-23 05:00:00+00:00,3.795,3.94,3.77,239,3.94,16079,3.835249
2024-01-24 05:00:00+00:00,3.985,4.0,3.865,292,3.94,21919,3.971831
2024-01-25 05:00:00+00:00,3.905,4.3,3.82,189,4.3,15585,3.915777
2024-01-26 05:00:00+00:00,3.91,3.95,3.855,83,3.93,5476,3.910379
2024-01-29 05:00:00+00:00,3.88,3.88,3.755,180,3.8,16028,3.849693
2024-01-30 05:00:00+00:00,3.775,3.79,3.745,125,3.78,8594,3.771657
2024-01-31 05:00:00+00:00,3.75,3.84,3.74,124,3.74,10951,3.775663
2024-02-01 05:00:00+00:00,3.76,3.83,3.71,127,3.83,13125,3.768412
2024-02-02 05:00:00+00:00,3.71,3.715,3.67,80,3.675,6509,3.697587
2024-02-05 05:00:00+00:00,3.595,3.69,3.565,169,3.69,12904,3.600046
2024-02-06 05:00:00+00:00,3.825,3.85,3.73,125,3.73,12460,3.793121
2024-02-07 05:00:00+00:00,3.795,3.825,3.67,213,3.71,13228,3.749733
2024-02-08 05:00:00+00:00,3.795,3.83,3.73,130,3.73,11169,3.805214
2024-02-09 05:00:00+00:00,3.82,3.85,3.77,83,3.77,3874,3.827241
2024-02-12 05:00:00+00:00,3.88,3.95,3.86,124,3.87,7205,3.893409
2024-02-13 05:00:00+00:00,3.76,3.84,3.72,91,3.76,8430,3.7675
2024-02-14 05:00:00+00:00,4.02,4.055,3.925,146,3.925,8633,3.987913
2024-02-15 05:00:00+00:00,3.94,4.02,3.91,155,4.0,11468,3.960478
2024-02-16 05:00:00+00:00,4.04,4.07,4.0,144,4.07,6299,4.036286
2024-02-20 05:00:00+00:00,3.88,3.91,3.86,143,3.89,9107,3.885419
2024-02-21 05:00:00+00:00,3.905,4.01,3.89,71,4.01,5051,3.925266
2024-02-22 05:00:00+00:00,3.985,3.99,3.91,71,3.96,4480,3.964784
2024-02-23 05:00:00+00:00,3.925,4.0,3.91,118,3.94,8059,3.963122
2024-02-26 05:00:00+00:00,3.96,3.98,3.92,106,3.93,6823,3.960176
2024-02-27 05:00:00+00:00,4.085,4.12,3.91,163,3.91,12194,4.052864
2024-02-28 05:00:00+00:00,3.96,4.02,3.915,211,4.01,11240,3.964652
2024-02-29 05:00:00+00:00,4.03,4.08,4.01,59,4.01,4716,4.042859
2024-03-01 05:00:00+00:00,4.32,4.395,4.09,171,4.15,13155,4.286924
2024-03-04 05:00:00+00:00,4.16,4.185,4.03,184,4.155,19040,4.118113
2024-03-05 05:00:00+00:00,4.1,4.1,4.02,348,4.08,15703,4.070413
2024-03-06 05:00:00+00:00,4.21,4.29,4.18,341,4.24,30156,4.219223
2024-03-07 05:00:00+00:00,4.13,4.16,4.07,200,4.16,14342,4.127004
2024-03-08 05:00:00+00:00,4.13,4.19,4.11,87,4.17,6528,4.150488
2024-03-11 04:00:00+00:00,4.42,4.48,4.3,164,4.44,11328,4.415265
2024-03-12 04:00:00+00:00,4.7,4.715,4.41,208,4.425,14709,4.628036
2024-03-13 04:00:00+00:00,4.96,5.05,4.62,370,4.62,35250,4.933858
2024-03-14 04:00:00+00:00,4.43,4.695,4.395,941,4.695,49950,4.492807
2024-03-15 04:00:00+00:00,4.33,4.475,4.31,227,4.46,19988,4.372021
2024-03-18 04:00:00+00:00,4.49,4.565,4.365,223,4.365,20067,4.457232
2024-03-19 04:00:00+00:00,4.46,4.49,4.305,159,4.31,18672,4.372689
2024-03-20 04:00:00+00:00,4.065,4.45,3.9,414,4.45,41453,4.027155
2024-03-21 04:00:00+00:00,3.815,3.96,3.81,240,3.955,26742,3.858716
2024-03-22 04:00:00+00:00,3.61,3.755,3.61,285,3.73,27101,3.668154
2024-03-25 04:00:00+00:00,3.51,3.66,3.5,227,3.66,22002,3.551916
2024-03-26 04:00:00+00:00,3.415,3.605,3.405,176,3.605,14275,3.500082
2024-03-27 04:00:00+00:00,3.43,3.48,3.41,433,3.44,40097,3.444534
2024-03-28 04:00:00+00:00,3.45,3.52,3.42,211,3.48,24425,3.467637
2024-04-01 04:00:00+00:00,3.45,3.58,3.43,276,3.56,32933,3.469541
2024-04-02 04:00:00+00:00,3.365,3.42,3.35,166,3.39,21274,3.37603
2024-04-03 04:00:00+00:00,3.315,3.355,3.3,420,3.34,60001,3.317757
2024-04-04 04:00:00+00:00,3.33,3.44,3.33,97,3.415,15628,3.381394
2024-04-05 04:00:00+00:00,3.36,3.405,3.3,203,3.335,28898,3.346421
2024-04-08 04:00:00+00:00,3.475,3.53,3.4,119,3.445,12210,3.468973
2024-04-09 04:00:00+00:00,3.54,3.55,3.5,71,3.55,5811,3.52375
2024-04-10 04:00:00+00:00,3.395,3.535,3.38,254,3.51,28853,3.401541
2024-04-11 04:00:00+00:00,3.38,3.44,3.35,68,3.43,7035,3.370938
2024-04-12 04:00:00+00:00,3.28,3.34,3.28,139,3.315,12919,3.302894
2024-04-15 04:00:00+00:00,3.18,3.295,3.18,98,3.26,11864,3.219903
2024-04-16 04:00:00+00:00,3.14,3.175,3.11,116,3.15,11389,3.15048
2024-04-17 04:00:00+00:00,3.15,3.19,3.145,137,3.19,16223,3.156286
2024-04-18 04:00:00+00:00,3.16,3.22,3.15,138,3.195,17838,3.174154
2024-04-19 04:00:00+00:00,3.145,3.16,3.11,85,3.12,11631,3.134618
2024-04-22 04:00:00+00:00,3.2,3.22,3.15,67,3.15,6487,3.198015
2024-04-23 04:00:00+00:00,3.38,3.4,3.28,165,3.28,11635,3.362101
2024-04-24 04:00:00+00:00,3.35,3.515,3.325,143,3.515,15406,3.382118
2024-04-25 04:00:00+00:00,3.27,3.29,3.26,143,3.28,9778,3.272604
2024-04-26 04:00:00+00:00,3.545,3.55,3.43,147,3.5,18775,3.516652
2024-04-29 04:00:00+00:00,3.59,3.66,3.505,122,3.51,18057,3.576038
2024-04-30 04:00:00+00:00,3.52,3.545,3.49,267,3.545,28004,3.517289
2024-05-01 04:00:00+00:00,3.66,3.75,3.56,98,3.56,9591,3.679095
2024-05-02 04:00:00+00:00,4.015,4.12,3.77,410,3.83,51933,3.95202
2024-05-03 04:00:00+00:00,3.91,4.07,3.88,200,4.07,14860,3.922235
2024-05-06 04:00:00+00:00,3.975,4.09,3.97,195,4.08,14346,4.016088
2024-05-07 04:00:00+00:00,3.91,3.985,3.87,169,3.89,28017,3.901534
2024-05-08 04:00:00+00:00,3.795,3.87,3.76,243,3.765,41523,3.804549
2024-05-09 04:00:00+00:00,3.845,4.0,3.83,129,3.99,13528,3.852295
2024-05-10 04:00:00+00:00,3.79,3.98,3.78,229,3.96,29505,3.842826
2024-05-13 04:00:00+00:00,4.175,4.27,3.91,282,3.91,21868,4.196074
2024-05-14 04:00:00+00:00,4.285,4.315,4.11,227,4.11,21116,4.245492
2024-05-15 04:00:00+00:00,4.285,4.325,4.185,125,4.325,12137,4.245024
2024-05-16 04:00:00+00:00,4.43,4.465,4.285,230,4.315,20425,4.407016
2024-05-17 04:00:00+00:00,4.5,4.71,4.41,257,4.48,25491,4.510275
2024-05-20 04:00:00+00:00,4.46,4.59,4.46,69,4.48,6495,4.523168
2024-05-21 04:00:00+00:00,4.175,4.315,4.145,246,4.315,13758,4.210474
2024-05-22 04:00:00+00:00,4.195,4.195,4.09,75,4.16,5302,4.130478
2024-05-23 04:00:00+00:00,4.06,4.175,4.04,85,4.07,8002,4.083704
2024-05-24 04:00:00+00:00,4.135,4.175,4.115,51,4.115,2421,4.134423
2024-05-28 04:00:00+00:00,4.26,4.43,4.155,106,4.155,14371,4.272839
2024-05-29 04:00:00+00:00,4.25,4.31,4.15,145,4.19,8407,4.251307
2024-05-30 04:00:00+00:00,4.135,4.275,4.11,77,4.275,5063,4.170476
2024-05-31 04:00:00+00:00,4.26,4.29,4.18,470,4.23,29142,4.233781
2024-06-03 04:00:00+00:00,4.115,4.265,4.075,153,4.265,14691,4.122358
2024-06-04 04:00:00+00:00,4.05,4.43,4.05,332,4.085,40892,4.216295
2024-06-05 04:00:00+00:00,4.235,4.415,4.06,215,4.35,9031,4.220419
2024-06-06 04:00:00+00:00,4.48,4.63,4.11,332,4.2,35635,4.476634
2024-06-07 04:00:00+00:00,4.745,4.78,4.51,229,4.51,25675,4.675019
2024-06-10 04:00:00+00:00,4.755,4.76,4.7,116,4.7,6608,4.727797
2024-06-11 04:00:00+00:00,4.715,4.715,4.68,85,4.705,3835,4.701572
2024-06-12 04:00:00+00:00,4.76,4.97,4.74,154,4.82,13591,4.85367
2024-06-13 04:00:00+00:00,4.57,4.91,4.535,124,4.78,10791,4.630373
2024-06-14 04:00:00+00:00,4.48,4.585,4.4,124,4.49,9838,4.47324
2024-06-17 04:00:00+00:00,4.3,4.49,4.265,97,4.49,7852,4.31472
2024-06-18 04:00:00+00:00,4.66,4.765,4.39,204,4.39,30088,4.589562
2024-06-20 04:00:00+00:00,4.46,4.595,4.41,180,4.595,16618,4.45962
2024-06-21 04:00:00+00:00,4.42,4.435,4.37,94,4.385,9123,4.39422
2024-06-24 04:00:00+00:00,4.49,4.59,4.47,121,4.515,13271,4.508004
2024-06-25 04:00:00+00:00,4.46,4.48,4.435,61,4.435,2843,4.454667
2024-06-26 04:00:00+00:00,4.35,4.435,4.32,80,4.435,6038,4.350943
2024-06-27 04:00:00+00:00,4.305,4.32,4.24,143,4.27,11951,4.292075
2024-06-28 04:00:00+00:00,4.205,4.265,4.17,35,4.265,1666,4.203846
2024-07-01 04:00:00+00:00,4.21,4.25,4.19,68,4.19,2074,4.212949
2024-07-02 04:00:00+00:00,4.2,4.275,4.18,44,4.24,2667,4.20275
2024-07-03 04:00:00+00:00,4.43,4.455,4.355,61,4.39,3774,4.414393
2024-07-05 04:00:00+00:00,4.595,4.595,4.29,111,4.31,8287,4.54201
2024-07-08 04:00:00+00:00,4.32,4.59,4.315,107,4.555,7739,4.401664
2024-07-09 04:00:00+00:00,4.4,4.425,4.285,151,4.285,7361,4.381054
2024-07-10 04:00:00+00:00,4.665,4.72,4.44,107,4.44,6519,4.624787
2024-07-11 04:00:00+00:00,4.61,4.77,4.49,103,4.74,7538,4.61766
2024-07-12 04:00:00+00:00,4.53,4.58,4.525,71,4.54,2321,4.543697
2024-07-15 04:00:00+00:00,4.65,4.68,4.47,74,4.47,7238,4.570437
2024-07-16 04:00:00+00:00,4.61,4.635,4.57,68,4.625,4583,4.591081
2024-07-17 04:00:00+00:00,4.415,4.6,4.35,72,4.6,21168,4.463888
2024-07-18 04:00:00+00:00,4.25,4.44,4.215,173,4.395,11494,4.283831
2024-07-19 04:00:00+00:00,4.215,4.26,4.205,116,4.25,8005,4.222314
2024-07-22 04:00:00+00:00,4.315,4.325,4.235,45,4.275,3585,4.292144
2024-07-23 04:00:00+00:00,4.25,4.285,4.25,76,4.27,4455,4.262039
2024-07-24 04:00:00+00:00,4.09,4.21,4.07,165,4.21,9938,4.114723
2024-07-25 04:00:00+00:00,4.04,4.1,4.03,66,4.03,5382,4.05023
2024-07-26 04:00:00+00:00,4.12,4.13,4.045,73,4.06,4435,4.098817
2024-07-29 04:00:00+00:00,4.05,4.105,4.05,56,4.095,6577,4.066636
2024-07-30 04:00:00+00:00,4.045,4.08,3.97,133,4.035,31028,4.02182
2024-07-31 04:00:00+00:00,4.08,4.225,4.08,84,4.225,6010,4.143231
2024-08-01 04:00:00+00:00,3.89,4.06,3.84,93,4.06,17019,3.934547
2024-08-02 04:00:00+00:00,3.735,3.815,3.725,81,3.75,3587,3.755596
2024-08-05 04:00:00+00:00,3.615,3.645,3.425,273,3.425,26164,3.615372
2024-08-06 04:00:00+00:00,3.675,3.75,3.59,160,3.66,24356,3.677134
