ticker,daily_status,intraday_status,daily_rows,intraday_rows
AA,reused,reused,568,43430
AAL,reused,reused,568,44515
AAPL,reused,reused,568,44576
ABBV,reused,reused,568,42953
ABNB,reused,reused,568,43143
ACHR,reused,reused,568,44956
AEO,reused,reused,568,43362
AFRM,reused,reused,568,43173
AI,reused,reused,568,41746
AIQ,reused,reused,568,21241
AIS,reused,fetched,332,1062
ALAB,reused,fetched,514,18926
AMD,reused,reused,568,44709
AMZN,reused,reused,568,44372
ANF,reused,reused,568,38418
APLD,reused,reused,568,42886
APP,reused,reused,568,43029
ARKK,reused,reused,568,43045
ARKQ,reused,reused,568,6589
ARKX,reused,reused,568,8023
ARM,reused,reused,568,42717
ASML,reused,reused,568,32519
ASTS,reused,reused,568,41342
AVGO,reused,reused,568,43115
BA,reused,reused,568,43265
BABA,reused,reused,568,44297
BAC,reused,reused,568,43920
BE,reused,reused,568,43348
BIDU,reused,reused,568,40726
BLSH,reused,error: 't',164,0
BROS,reused,reused,568,41099
BRZU,reused,reused,568,1733
BULL,reused,fetched,568,18687
CASY,reused,reused,568,17944
CAT,reused,reused,568,40511
CCL,reused,reused,568,43967
CDE,reused,reused,568,42536
CELH,reused,reused,568,43433
CIFR,reused,reused,568,42917
CL,reused,reused,568,43279
CLF,reused,reused,568,43688
CLOU,reused,reused,568,9543
CLSK,reused,reused,568,45393
COIN,reused,reused,568,43599
COP,reused,reused,568,43468
COST,reused,reused,568,33551
CPNG,reused,reused,568,43587
CRCL,reused,error: 't',211,0
CRDO,reused,reused,568,41464
CRWD,reused,reused,568,40409
CRWV,reused,fetched,258,19816
CSCO,reused,reused,568,43974
CVNA,reused,reused,568,42295
CVS,reused,reused,568,43799
CVX,reused,reused,568,43536
DAL,reused,reused,568,43703
DASH,reused,reused,568,42844
DELL,reused,reused,568,43458
DHI,reused,reused,568,41557
DIA,reused,reused,568,33199
DIS,reused,reused,568,43785
DJT,reused,reused,568,38963
DKNG,reused,reused,568,43844
DLTR,reused,reused,568,42035
DOCU,reused,reused,568,39964
DTCR,reused,reused,568,8203
DVN,reused,reused,568,43680
EBAY,reused,reused,568,43539
EDC,reused,reused,568,2548
ENPH,reused,reused,568,42905
EOG,reused,reused,568,42294
EOSE,reused,reused,568,40025
ETHU,reused,fetched,462,14954
ETOR,reused,error: 't',226,0
ETSY,reused,reused,568,42958
EURL,reused,reused,568,1247
EZJ,reused,error: 't',567,0
EZU,reused,reused,568,30761
FAZ,reused,reused,568,27170
FCG,reused,reused,568,16284
FIG,reused,error: 't',173,0
FSLY,reused,reused,568,39829
FTXH,reused,reused,567,193
FUBO,reused,reused,568,40080
GE,reused,reused,568,43257
GEMI,reused,error: 't',143,0
GILD,reused,reused,568,43575
GLD,reused,reused,568,42296
GM,reused,reused,568,43903
GME,reused,reused,568,42309
GOLD,reused,reused,568,15618
GOOGL,reused,reused,568,44585
GS,reused,reused,568,37154
HAL,reused,reused,568,43864
HD,reused,reused,568,41821
HIMS,reused,reused,568,43733
HON,reused,reused,568,41122
HOOD,reused,reused,568,44456
IBB,reused,reused,568,34823
IBKR,reused,reused,568,38192
IBOT,reused,fetched,568,245
ICLN,reused,reused,568,34345
IGV,reused,reused,568,41082
IHE,reused,reused,568,2895
INDL,reused,reused,568,1378
INTC,reused,reused,568,46575
IONQ,reused,reused,568,42608
IPO,reused,reused,568,1816
IREN,reused,reused,568,42704
ITA,reused,reused,568,17385
ITB,reused,reused,568,34988
IWC,reused,reused,567,2667
IWM,reused,reused,568,46565
JD,reused,reused,568,44030
JETS,reused,reused,568,36558
JNJ,reused,reused,568,43493
JPM,reused,reused,568,43431
KORU,reused,reused,568,5922
KRE,reused,reused,568,43905
KTOS,reused,reused,568,36179
KWEB,reused,reused,568,43883
LEN,reused,reused,568,40915
LI,reused,reused,568,43038
LLY,reused,reused,568,40286
LULU,reused,reused,568,40199
LUNR,reused,reused,568,38384
LYFT,reused,reused,568,43894
M,reused,reused,568,43126
MAGS,reused,reused,568,21399
MARA,reused,reused,568,47679
MEME,reused,error: 't',125,0
META,reused,reused,568,44017
MEXX,reused,reused,568,3500
MMM,reused,reused,568,41563
MP,reused,reused,568,41998
MRK,reused,reused,568,43746
MRNA,reused,reused,568,42957
MRVL,reused,reused,568,44042
MS,reused,reused,568,43541
MSFT,reused,reused,568,44322
MU,reused,reused,568,44354
NCLH,reused,reused,568,43875
NET,reused,reused,568,41235
NFLX,reused,reused,568,40486
NIO,reused,reused,568,47110
NKE,reused,reused,568,43948
NLR,reused,reused,568,13233
NNE,reused,fetched,480,14426
NRG,reused,reused,568,41462
NVDA,reused,reused,568,47225
NVO,reused,reused,568,42953
OIH,reused,reused,568,24201
OKLO,reused,reused,568,37636
OPEN,reused,reused,568,45283
ORCL,reused,reused,568,44262
OSCR,reused,reused,568,42640
OXY,reused,reused,568,43686
PALL,reused,reused,568,7798
PANW,reused,reused,568,42189
PATH,reused,reused,568,43709
PBW,reused,reused,568,18227
PDD,reused,reused,568,43635
PENN,reused,reused,568,42995
PEP,reused,reused,568,43384
PG,reused,reused,568,43396
PL,reused,reused,568,36261
PLTR,reused,reused,568,45195
PLUG,reused,reused,568,46691
PPH,reused,reused,568,11249
PSX,reused,reused,568,42061
QBTS,reused,reused,568,38081
QCOM,reused,reused,568,43766
QQQ,reused,reused,568,50747
QTUM,reused,reused,568,9430
QUBT,reused,reused,568,32167
RBLX,reused,reused,568,43705
RCAT,reused,reused,568,31105
RDDT,reused,fetched,513,19005
RGTI,reused,reused,568,41130
RILY,reused,reused,568,26167
RIOT,reused,reused,568,45406
RIVN,reused,reused,568,44278
RKLB,reused,reused,568,42846
RKT,reused,reused,568,41663
ROKU,reused,reused,568,41388
RR,reused,reused,568,28238
RTX,reused,reused,568,42950
RUM,reused,reused,568,34832
RUN,reused,reused,568,43802
SCHW,reused,reused,568,43789
SERV,reused,fetched,494,18748
SHOP,reused,reused,568,43682
SLB,reused,reused,568,43898
SLV,reused,reused,568,43339
SMCI,reused,reused,568,42760
SMH,reused,reused,568,42705
SMR,reused,reused,568,42191
SNAP,reused,reused,568,45379
SNDK,reused,fetched,288,18855
SNOW,reused,reused,568,43141
SOFI,reused,reused,568,44839
SOUN,reused,reused,568,44871
SOXS,reused,reused,568,48967
SOXX,reused,reused,568,39974
SPX,error: 't',missing,0,0
SPY,reused,reused,568,46563
SQQQ,reused,reused,568,53240
TAN,reused,reused,568,30075
TEM,reused,fetched,454,18924
TGT,reused,reused,568,43204
TIGR,reused,reused,568,33667
TSLA,reused,reused,568,45630
TSM,reused,reused,568,44489
U,reused,reused,568,43811
UAL,reused,reused,568,43427
UBER,reused,reused,568,43977
UFO,reused,reused,568,4077
UNH,reused,reused,568,43093
UPST,reused,reused,568,41213
VLO,reused,reused,568,41682
VRT,reused,reused,568,43632
VST,reused,reused,568,43370
WMT,reused,reused,568,43897
XBI,reused,reused,568,44278
XHB,reused,reused,568,38641
XLE,reused,reused,568,44011
XLF,reused,reused,568,44143
XLI,reused,reused,568,43611
XLK,reused,reused,568,41347
XLP,reused,reused,568,43694
XLV,reused,reused,568,43422
XOM,reused,reused,568,43917
XOP,reused,reused,568,39609
XPEV,reused,reused,568,43495
YANG,reused,reused,568,22650
Z,reused,reused,568,41404
ZETA,reused,reused,568,41728
ZM,reused,reused,568,41561
ZS,reused,reused,568,38964
