ticker,date,gap_pct,atr,candle_color,follow_through_level,ft_bar_idx,ft_minutes_from_open,entry_price,eod_close,eod_return,mae_pct,mfe_pct,mae_price,mfe_price,price_above_entry_after_ft,bounce_above_entry_before_lod,bounce_depth_before_lod,session_low_price,session_high_price,lod_minutes_from_open,hod_minutes_from_open,gap_abs
AA,2024-02-05,-0.033395,1.4011,BEARISH,27.9496,2,10.0,27.81,26.85,0.03452,0.005753,0.038296,27.97,26.745,True,True,0.005753,26.745,28.51,375.0,0.0,0.033395
AA,2024-06-04,-0.034985,1.7439,NEUTRAL,42.3324,2,10.0,42.21,42.05,0.003791,0.008766,0.021085,42.58,41.32,True,True,0.008766,41.32,43.26,185.0,0.0,0.034985
AA,2024-11-12,-0.021834,1.665,BEARISH,41.894,3,15.0,41.805,40.92,0.02117,0.003588,0.040306,41.955,40.12,False,False,-0.002033,40.12,42.67,210.0,0.0,0.021834
AA,2025-07-07,-0.022742,1.1261,NEUTRAL,30.0596,19,95.0,30.025,29.83,0.006495,0.002498,0.013156,30.1,29.63,True,True,0.000167,29.63,30.69,290.0,25.0,0.022742
AAL,2024-04-02,-0.022078,0.3593,BEARISH,14.9163,0,0.0,14.84,14.41,0.028976,0.01752,0.032008,15.1,14.365,True,True,0.001011,14.365,15.1,355.0,0.0,0.022078
AAL,2024-08-02,-0.026121,0.4854,BEARISH,9.6859,45,225.0,9.67,9.64,0.003102,0.006722,0.007756,9.735,9.595,True,True,0.006722,9.595,9.88,380.0,0.0,0.026121
AAL,2025-04-03,-0.061792,0.5182,BEARISH,9.7377,8,40.0,9.68,9.5,0.018595,0.012397,0.018595,9.8,9.5,True,True,0.012397,9.5,9.945,370.0,0.0,0.061792
AAL,2025-04-10,-0.04946,0.8814,BEARISH,10.2174,1,5.0,10.215,9.5,0.069995,0.01909,0.075869,10.41,9.44,True,True,0.002447,9.44,10.66,385.0,0.0,0.04946
AAL,2025-08-01,-0.025217,0.4289,BEARISH,11.0384,0,0.0,11.03,11.02,0.000907,0.016319,0.011786,11.21,10.9,True,True,0.00408,10.9,11.21,30.0,0.0,0.025217
ABBV,2024-11-11,-0.107118,5.4971,BEARISH,175.9311,0,0.0,175.715,174.4,0.007484,0.015622,0.017102,178.46,172.71,True,True,0.011297,172.71,178.46,40.0,0.0,0.107118
ABNB,2025-03-06,-0.022093,6.4279,BEARISH,136.8589,35,175.0,136.51,134.77,0.012746,0.00304,0.013918,136.925,134.61,True,True,0.002564,134.61,139.78,385.0,0.0,0.022093
ACHR,2024-05-29,-0.032761,0.2111,BEARISH,3.0156,54,290.0,3.01,3.0,0.003322,0.008306,0.003322,3.035,3.0,True,True,0.008306,3.0,3.11,385.0,5.0,0.032761
ACHR,2025-07-01,-0.028571,0.8071,BEARISH,10.2171,1,5.0,10.18,9.88,0.02947,0.016699,0.033399,10.35,9.84,True,True,0.016699,9.84,10.545,105.0,0.0,0.028571
ACHR,2025-10-07,-0.044754,0.8196,NEUTRAL,12.6921,1,5.0,12.66,12.465,0.015403,0.081754,0.025276,13.695,12.34,True,True,0.081754,12.34,13.695,365.0,90.0,0.044754
ACHR,2026-02-05,-0.029475,0.4854,BEARISH,6.5559,6,30.0,6.52,6.48,0.006135,0.021472,0.02454,6.66,6.36,True,False,0.0,6.36,6.78,105.0,0.0,0.029475
ACHR,2026-03-03,-0.026631,0.4486,BEARISH,7.1306,0,0.0,6.885,6.72,0.023965,0.064633,0.053014,7.33,6.52,True,True,0.013072,6.52,7.33,35.0,0.0,0.026631
AEO,2026-02-23,-0.024356,1.2904,BEARISH,24.1189,3,15.0,23.775,23.66,0.004837,0.009884,0.038696,24.01,22.855,True,True,0.002944,22.855,24.66,160.0,0.0,0.024356
AEO,2026-03-02,-0.029933,1.3075,BEARISH,23.297,2,10.0,23.19,22.51,0.029323,0.018974,0.034498,23.63,22.39,True,True,0.00539,22.39,23.82,375.0,0.0,0.029933
AEO,2026-03-05,-0.080178,1.4264,NEUTRAL,20.0794,2,10.0,19.66,19.34,0.016277,0.025178,0.042218,20.155,18.83,True,True,0.015005,18.83,20.865,330.0,0.0,0.080178
AFRM,2024-02-13,-0.080667,3.4386,NEUTRAL,39.9946,18,90.0,39.99,39.73,0.006502,0.029757,0.019005,41.18,39.23,True,True,0.029757,39.23,41.85,325.0,0.0,0.080667
AFRM,2024-02-16,-0.020212,3.3871,BEARISH,39.3651,4,20.0,39.33,38.15,0.030003,0.02924,0.030638,40.48,38.125,True,True,0.02924,38.125,40.725,385.0,10.0,0.020212
AFRM,2024-06-14,-0.024059,2.0143,BEARISH,31.8493,6,30.0,31.78,30.92,0.027061,0.026117,0.03949,32.61,30.525,True,True,0.026117,30.525,32.86,290.0,0.0,0.024059
AFRM,2025-03-06,-0.026594,4.8375,NEUTRAL,55.165,37,185.0,55.06,52.63,0.044134,0.002361,0.047403,55.19,52.45,True,True,0.002361,52.45,58.525,380.0,45.0,0.026594
AFRM,2025-06-12,-0.020474,2.5621,NEUTRAL,61.1701,52,290.0,61.07,61.065,8.2e-05,0.010152,0.003439,61.69,60.86,True,True,0.002047,60.86,62.95,340.0,90.0,0.020474
AI,2024-03-05,-0.033754,2.4018,NEUTRAL,31.9593,12,60.0,31.84,31.25,0.01853,0.009108,0.029523,32.13,30.9,True,True,0.009108,30.9,33.51,325.0,30.0,0.033754
AI,2025-02-27,-0.054779,1.7832,NEUTRAL,24.3067,4,20.0,24.05,23.875,0.007277,0.066944,0.022869,25.66,23.5,True,True,0.066944,23.5,25.66,375.0,105.0,0.054779
AI,2025-11-04,-0.035318,0.8182,NEUTRAL,16.1977,27,135.0,16.15,15.77,0.023529,0.003096,0.023529,16.2,15.77,True,True,0.001858,15.77,16.77,385.0,20.0,0.035318
AI,2026-01-29,-0.025133,0.6618,BEARISH,12.5353,1,5.0,12.485,12.26,0.018022,0.014017,0.034441,12.66,12.055,True,True,0.013616,12.055,12.8,360.0,0.0,0.025133
AI,2026-01-30,-0.025285,0.7146,NEUTRAL,11.6641,2,10.0,11.415,11.01,0.03548,0.018835,0.045116,11.63,10.9,True,True,0.001314,10.9,11.95,355.0,0.0,0.025285
AI,2026-02-23,-0.020212,0.795,BEARISH,9.862,16,80.0,9.82,9.79,0.003055,0.006619,0.029532,9.885,9.53,True,True,0.001018,9.53,10.18,180.0,0.0,0.020212
AIQ,2025-04-04,-0.040626,0.9736,NEUTRAL,33.0256,6,40.0,33.02,32.44,0.017565,0.006663,0.023319,33.24,32.25,True,False,-0.002726,32.25,33.43,80.0,5.0,0.040626
AIQ,2025-11-04,-0.028582,0.8786,BEARISH,51.6486,62,315.0,51.64,51.56,0.001549,0.001549,0.00213,51.72,51.53,True,True,0.001549,51.53,52.5,385.0,30.0,0.028582
