gap_bucket,entry_type,n,win_rate,avg_eod_return,median_mae,median_mfe,rr_ratio
ALL,E1_Breakout,1865,51.0,0.43,-2.29,1.88,0.82
ALL,E2_FirstPB,1836,50.1,0.32,-1.67,1.66,1.0
ALL,E3_DeepPB,1488,69.2,2.22,-0.49,3.19,6.47
2-5%,E1_Breakout,1391,49.3,0.26,-1.99,1.56,0.78
2-5%,E2_FirstPB,1365,48.8,0.22,-1.46,1.43,0.98
2-5%,E3_DeepPB,1109,68.1,1.65,-0.42,2.65,6.36
5-8%,E1_Breakout,261,58.2,1.1,-2.85,2.8,0.98
5-8%,E2_FirstPB,260,57.3,1.07,-2.1,2.65,1.26
5-8%,E3_DeepPB,211,73.9,3.65,-0.57,4.77,8.36
8-12%,E1_Breakout,104,53.8,0.2,-4.09,4.01,0.98
8-12%,E2_FirstPB,102,51.0,-0.13,-3.35,2.94,0.88
8-12%,E3_DeepPB,79,74.7,3.59,-0.62,6.02,9.71
12%+,E1_Breakout,108,51.9,0.31,-5.44,5.38,0.99
12%+,E2_FirstPB,108,48.1,-0.87,-4.6,4.12,0.89
12%+,E3_DeepPB,88,65.9,3.29,-1.92,7.88,4.09
