ticker,date,prior_close,open_price,gap_pct,day_close,day_high,day_low
AA,2024-01-23 05:00:00+00:00,27.615,29.15,0.05558573239181605,29.52,30.42,29.08
AA,2024-09-16 04:00:00+00:00,32.52,34.345,0.056119311193111795,34.5,35.59,33.69
AA,2024-09-24 04:00:00+00:00,34.215,36.58,0.06912173023527676,36.77,37.35,36.25
AA,2024-09-26 04:00:00+00:00,36.01,38.29,0.06331574562621498,39.27,39.61,38.08
AA,2024-11-15 05:00:00+00:00,41.23,44.05,0.06839679844773225,44.03,45.15,43.39
AA,2025-05-12 04:00:00+00:00,25.91,27.5,0.061366267850250865,28.11,28.505,27.5
AA,2025-10-23 04:00:00+00:00,35.66,37.685,0.0567863151991028,40.12,41.55,37.685
AAL,2024-11-06 05:00:00+00:00,13.205,14.0,0.06020446800454373,13.99,14.165,13.8
AAL,2024-12-05 05:00:00+00:00,14.88,15.99,0.07459677419354835,17.39,17.795,15.98
AAL,2025-04-23 04:00:00+00:00,9.3,9.83,0.05698924731182788,9.32,10.03,9.315
AAL,2025-05-12 04:00:00+00:00,11.1,11.95,0.07657657657657654,11.675,12.095,11.495
AAL,2025-07-10 04:00:00+00:00,11.46,12.295,0.07286212914485157,12.95,13.18,12.14
AAL,2025-10-09 04:00:00+00:00,11.8,12.435,0.053813559322033876,11.615,12.49,11.515
AAL,2025-10-23 04:00:00+00:00,12.07,12.745,0.05592377796188889,12.765,13.04,12.35
AAPL,2024-05-03 04:00:00+00:00,173.13,186.65,0.07809160746260042,183.36,186.97,182.68
AAPL,2025-04-14 04:00:00+00:00,198.15,211.44,0.0670704012112036,202.61,212.87,201.215
AAPL,2025-05-12 04:00:00+00:00,198.49,210.985,0.06295027457302636,210.8,211.23,206.75
ABBV,2025-01-31 05:00:00+00:00,175.56,187.22,0.06641604010025061,183.92,191.495,183.7
ABNB,2025-02-14 05:00:00+00:00,141.05,158.0,0.12017015242821685,161.57,163.92,157.175
ABNB,2026-02-13 05:00:00+00:00,116.01,125.21,0.07930350831824833,121.36,126.76,119.74
ACHR,2024-01-22 05:00:00+00:00,5.065,5.445,0.07502467917077983,5.3,5.84,5.15
ACHR,2024-05-10 04:00:00+00:00,3.76,3.98,0.0585106382978724,3.65,4.13,3.58
ACHR,2024-06-06 04:00:00+00:00,3.445,3.63,0.05370101596516692,3.42,3.71,3.42
ACHR,2024-07-05 04:00:00+00:00,4.21,4.76,0.13064133016627075,4.4,4.76,4.24
ACHR,2024-11-07 05:00:00+00:00,3.195,3.39,0.06103286384976535,3.49,3.65,3.35
ACHR,2024-11-11 05:00:00+00:00,3.89,4.28,0.10025706940874039,4.51,4.59,4.07
ACHR,2024-11-25 05:00:00+00:00,6.04,6.645,0.10016556291390721,7.5,7.89,6.43
ACHR,2024-11-29 05:00:00+00:00,8.09,8.72,0.07787391841779985,9.55,9.81,8.33
ACHR,2025-01-14 05:00:00+00:00,8.225,8.68,0.05531914893617022,8.21,8.88,8.0
ACHR,2025-01-15 05:00:00+00:00,8.21,8.66,0.05481120584652853,8.79,9.05,8.62
ACHR,2025-02-18 05:00:00+00:00,10.35,11.0,0.0628019323671498,10.69,11.83,10.51
ACHR,2025-03-12 04:00:00+00:00,6.805,7.22,0.0609845701689934,7.47,7.515,6.95
ACHR,2025-04-08 04:00:00+00:00,6.665,7.19,0.07876969242310583,6.39,7.27,6.225
ACHR,2025-04-14 04:00:00+00:00,7.02,7.405,0.05484330484330494,7.26,7.435,6.995
ACHR,2025-04-23 04:00:00+00:00,7.34,7.81,0.0640326975476839,8.05,8.18,7.69
ACHR,2025-05-13 04:00:00+00:00,9.09,9.605,0.05665566556655672,11.16,11.51,9.605
