timestamp,close,high,low,n,open,volume,vw
2024-01-02 05:00:00+00:00,30.32,30.565,30.32,47,30.39,1619,30.421767
2024-01-03 05:00:00+00:00,30.08,30.14,30.04,24,30.06,2516,30.083932
2024-01-04 05:00:00+00:00,29.95,29.95,29.88,17,29.91,1822,29.937941
2024-01-05 05:00:00+00:00,29.88,30.05,29.85,32,30.05,2662,29.897102
2024-01-08 05:00:00+00:00,30.53,30.53,30.055,82,30.055,10157,30.368946
2024-01-09 05:00:00+00:00,30.44,30.5,30.22,65,30.22,5286,30.372491
2024-01-10 05:00:00+00:00,30.65,30.69,30.535,34,30.56,2095,30.583798
2024-01-11 05:00:00+00:00,30.79,30.93,30.48,41,30.85,4597,30.767693
2024-01-12 05:00:00+00:00,30.875,30.89,30.83,15,30.89,1329,30.866433
2024-01-16 05:00:00+00:00,30.65,30.75,30.58,33,30.73,3259,30.637333
2024-01-17 05:00:00+00:00,30.335,30.425,30.155,73,30.425,5105,30.282497
2024-01-18 05:00:00+00:00,30.79,30.79,30.53,136,30.74,11310,30.698657
2024-01-19 05:00:00+00:00,31.33,31.34,30.86,95,30.86,5873,31.166857
2024-01-22 05:00:00+00:00,31.45,31.66,31.43,71,31.47,2494,31.53271
2024-01-23 05:00:00+00:00,31.65,31.65,31.48,49,31.56,2231,31.580056
2024-01-24 05:00:00+00:00,32.005,32.195,31.96,81,32.01,4507,32.054139
2024-01-25 05:00:00+00:00,31.985,32.2,31.83,68,32.05,13289,31.984667
2024-01-26 05:00:00+00:00,31.8,31.985,31.79,72,31.925,5238,31.861101
2024-01-29 05:00:00+00:00,31.97,31.97,31.9,34,31.92,1429,31.913171
2024-01-30 05:00:00+00:00,31.93,32.075,31.86,57,32.075,2598,31.94819
2024-01-31 05:00:00+00:00,31.31,31.74,31.29,76,31.485,4358,31.470039
2024-02-01 05:00:00+00:00,31.59,31.66,31.36,50,31.495,5041,31.515988
2024-02-02 05:00:00+00:00,32.14,32.15,31.83,204,31.95,15136,31.991245
2024-02-05 05:00:00+00:00,32.14,32.17,31.935,80,32.05,25922,32.052683
2024-02-06 05:00:00+00:00,32.155,32.26,31.995,86,32.24,7778,32.103877
2024-02-07 05:00:00+00:00,32.395,32.395,32.18,38,32.18,1837,32.34613
2024-02-08 05:00:00+00:00,32.49,32.51,32.42,24,32.42,1098,32.464677
2024-02-09 05:00:00+00:00,33.0,33.0,32.75,53,32.75,7565,32.827876
2024-02-12 05:00:00+00:00,32.875,33.14,32.875,13,33.055,914,33.058125
2024-02-13 05:00:00+00:00,31.96,32.36,31.93,103,31.93,10643,32.112406
2024-02-14 05:00:00+00:00,32.84,32.84,32.55,69,32.58,3913,32.6575
2024-02-15 05:00:00+00:00,33.03,33.045,32.89,32,32.89,3428,32.949561
2024-02-16 05:00:00+00:00,32.6,33.09,32.6,53,33.09,6120,32.81614
2024-02-20 05:00:00+00:00,32.25,32.48,32.0,173,32.48,17232,32.168799
2024-02-21 05:00:00+00:00,31.9,32.08,31.88,280,32.035,6942,31.961765
2024-02-22 05:00:00+00:00,33.085,33.125,32.875,122,32.985,17785,32.975988
2024-02-23 05:00:00+00:00,33.07,33.185,33.05,67,33.07,4619,33.114852
2024-02-26 05:00:00+00:00,33.205,33.33,33.115,72,33.14,7047,33.235883
2024-02-27 05:00:00+00:00,33.23,33.26,33.13,80,33.26,10512,33.22415
2024-02-28 05:00:00+00:00,32.98,33.09,32.95,178,33.04,10759,33.001512
2024-02-29 05:00:00+00:00,33.29,33.37,33.05,108,33.34,8376,33.230811
2024-03-01 05:00:00+00:00,33.91,33.96,33.465,161,33.52,14833,33.743762
2024-03-04 05:00:00+00:00,33.905,34.07,33.88,136,34.01,18056,33.992342
2024-03-05 05:00:00+00:00,33.15,33.54,33.015,116,33.54,25812,33.316598
2024-03-06 05:00:00+00:00,33.53,33.76,33.44,91,33.56,8305,33.616661
2024-03-07 05:00:00+00:00,34.045,34.11,33.63,567,33.78,25597,33.934925
2024-03-08 05:00:00+00:00,33.66,34.31,33.56,123,34.27,4837,33.751389
2024-03-11 04:00:00+00:00,33.53,33.625,33.43,130,33.43,11537,33.566616
2024-03-12 04:00:00+00:00,34.22,34.22,33.71,251,33.88,9386,34.106558
2024-03-13 04:00:00+00:00,33.97,34.12,33.95,183,34.08,9379,34.057704
2024-03-14 04:00:00+00:00,33.68,33.99,33.475,69,33.99,7285,33.729062
2024-03-15 04:00:00+00:00,33.14,33.36,33.1,207,33.34,27615,33.205116
2024-03-18 04:00:00+00:00,33.5,33.56,33.42,31,33.465,3629,33.537411
2024-03-19 04:00:00+00:00,33.46,33.465,32.98,49,33.0,5475,33.247061
2024-03-20 04:00:00+00:00,33.955,33.975,33.51,64,33.61,8239,33.834638
2024-03-21 04:00:00+00:00,34.08,34.345,34.08,104,34.32,7711,34.233351
2024-03-22 04:00:00+00:00,33.965,34.08,33.965,46,33.98,1798,34.012447
2024-03-25 04:00:00+00:00,33.98,34.09,33.965,110,33.97,4914,34.013571
2024-03-26 04:00:00+00:00,33.96,34.22,33.96,35,34.22,2071,34.15125
2024-03-27 04:00:00+00:00,33.985,33.985,33.79,65,33.86,7884,33.872825
2024-03-28 04:00:00+00:00,33.99,34.13,33.955,70,33.96,14177,34.024487
2024-04-01 04:00:00+00:00,34.15,34.28,33.99,161,34.24,20154,34.09356
2024-04-02 04:00:00+00:00,33.96,33.96,33.665,194,33.75,8494,33.780501
2024-04-03 04:00:00+00:00,34.06,34.18,33.71,72,33.715,6552,33.992993
2024-04-04 04:00:00+00:00,33.6,34.48,33.6,58,34.48,5916,33.912417
2024-04-05 04:00:00+00:00,33.94,34.02,33.71,49,33.71,13962,33.908669
2024-04-08 04:00:00+00:00,33.94,33.94,33.925,13,33.925,421,33.93
2024-04-09 04:00:00+00:00,33.83,34.07,33.705,52,34.07,4275,33.860263
2024-04-10 04:00:00+00:00,33.555,33.67,33.495,70,33.62,11977,33.593444
2024-04-11 04:00:00+00:00,34.16,34.165,33.67,55,33.865,4580,33.910169
2024-04-12 04:00:00+00:00,33.37,33.69,33.31,63,33.66,10643,33.348097
2024-04-15 04:00:00+00:00,32.83,33.69,32.75,913,33.69,69687,33.157989
2024-04-16 04:00:00+00:00,32.79,32.855,32.625,228,32.72,19589,32.743501
2024-04-17 04:00:00+00:00,32.6,32.97,32.36,75,32.97,8757,32.536985
2024-04-18 04:00:00+00:00,32.25,32.66,32.2,150,32.39,8197,32.384527
2024-04-19 04:00:00+00:00,31.44,32.06,31.4,565,32.06,5198,31.65678
2024-04-22 04:00:00+00:00,31.75,31.93,31.43,43,31.6,3718,31.672699
2024-04-23 04:00:00+00:00,32.36,32.37,31.97,158,31.97,3474,32.255
2024-04-24 04:00:00+00:00,32.46,32.48,32.23,99,32.23,1582,32.414516
2024-04-25 04:00:00+00:00,32.19,32.21,31.71,57,31.71,8555,32.029671
2024-04-26 04:00:00+00:00,32.69,32.69,32.595,17,32.595,843,32.672356
2024-04-29 04:00:00+00:00,32.67,32.73,32.63,40,32.705,1716,32.676
2024-04-30 04:00:00+00:00,32.085,32.645,32.085,64,32.63,5774,32.320769
2024-05-01 04:00:00+00:00,32.05,32.55,31.93,17,31.97,1613,32.103016
2024-05-02 04:00:00+00:00,32.645,32.69,32.18,52,32.26,16123,32.342614
2024-05-03 04:00:00+00:00,33.135,33.17,32.98,54,33.1,8678,33.128642
2024-05-06 04:00:00+00:00,33.575,33.575,33.45,57,33.45,5193,33.492099
2024-05-07 04:00:00+00:00,33.54,33.82,33.475,71,33.82,3148,33.580812
2024-05-08 04:00:00+00:00,33.34,33.345,33.22,419,33.26,8420,33.291551
2024-05-09 04:00:00+00:00,33.335,33.36,33.22,14,33.22,1067,33.330556
2024-05-10 04:00:00+00:00,33.36,33.36,33.32,24,33.32,954,33.350215
2024-05-13 04:00:00+00:00,33.58,33.62,33.52,19,33.62,1265,33.570769
2024-05-14 04:00:00+00:00,33.79,33.79,33.56,34,33.65,2384,33.680455
2024-05-15 04:00:00+00:00,34.455,34.455,34.05,62,34.05,6791,34.3132
2024-05-16 04:00:00+00:00,34.32,34.485,34.32,136,34.485,5315,34.445661
2024-05-17 04:00:00+00:00,34.265,34.385,34.195,58,34.25,4710,34.295266
2024-05-20 04:00:00+00:00,34.51,34.53,34.44,109,34.44,2266,34.489231
2024-05-21 04:00:00+00:00,34.42,34.45,34.32,30,34.32,1697,34.384726
2024-05-22 04:00:00+00:00,34.35,34.5,34.205,86,34.48,5798,34.348337
2024-05-23 04:00:00+00:00,34.15,34.72,34.04,197,34.72,9786,34.41268
2024-05-24 04:00:00+00:00,34.35,34.455,34.35,39,34.38,1894,34.396154
2024-05-28 04:00:00+00:00,34.525,34.59,34.37,44,34.56,2836,34.511042
2024-05-29 04:00:00+00:00,34.195,34.305,34.08,55,34.08,4797,34.246377
2024-05-30 04:00:00+00:00,33.44,33.77,33.44,1514,33.77,33076,33.609129
2024-05-31 04:00:00+00:00,33.09,33.39,32.73,240,33.3,5218,33.024144
2024-06-03 04:00:00+00:00,33.38,33.69,33.285,36,33.68,2306,33.481857
2024-06-04 04:00:00+00:00,33.645,33.69,33.4,121,33.54,10707,33.524739
2024-06-05 04:00:00+00:00,34.43,34.43,33.95,72,33.97,8611,34.134212
2024-06-06 04:00:00+00:00,34.445,34.51,34.34,90,34.51,14449,34.450202
2024-06-07 04:00:00+00:00,34.295,34.42,34.21,36,34.21,10653,34.390315
2024-06-10 04:00:00+00:00,34.47,34.525,34.395,87,34.455,8424,34.446273
2024-06-11 04:00:00+00:00,34.545,34.565,34.31,38,34.34,4127,34.456741
2024-06-12 04:00:00+00:00,35.18,35.33,35.11,119,35.17,13473,35.23475
2024-06-13 04:00:00+00:00,35.275,35.425,35.16,69,35.425,15061,35.260714
2024-06-14 04:00:00+00:00,35.35,35.36,35.185,87,35.29,9563,35.30387
2024-06-17 04:00:00+00:00,35.77,35.845,35.37,57,35.41,4701,35.721855
2024-06-18 04:00:00+00:00,35.91,35.97,35.8,77,35.8,6251,35.905249
2024-06-20 04:00:00+00:00,35.69,36.13,35.62,117,36.13,11973,35.889363
2024-06-21 04:00:00+00:00,35.53,35.64,35.47,32,35.54,1482,35.545634
2024-06-24 04:00:00+00:00,35.115,35.595,35.1,132,35.46,14246,35.321234
2024-06-25 04:00:00+00:00,35.4,35.4,35.26,36,35.29,5339,35.388241
2024-06-26 04:00:00+00:00,35.505,35.51,35.37,97,35.435,5136,35.453565
2024-06-27 04:00:00+00:00,35.59,35.65,35.51,49,35.58,6480,35.609338
2024-06-28 04:00:00+00:00,35.61,35.965,35.61,30,35.95,2118,35.823127
2024-07-01 04:00:00+00:00,35.79,35.79,35.515,66,35.515,5202,35.725861
2024-07-02 04:00:00+00:00,36.085,36.085,35.76,121,35.78,8408,35.907357
2024-07-03 04:00:00+00:00,36.45,36.52,36.3,116,36.3,11217,36.431052
2024-07-05 04:00:00+00:00,36.815,36.815,36.56,173,36.56,20261,36.761866
2024-07-08 04:00:00+00:00,36.77,36.775,36.69,31,36.725,1686,36.739543
2024-07-09 04:00:00+00:00,36.72,36.895,36.68,90,36.895,9137,36.736977
