timestamp,close,high,low,n,open,volume,vw
2024-01-02 05:00:00+00:00,10.875,12.58,10.78,1495,12.565,183606,11.258539
2024-01-03 05:00:00+00:00,10.57,11.015,9.61,2226,9.74,290632,10.588541
2024-01-04 05:00:00+00:00,10.77,11.45,10.55,2136,10.82,377923,10.845502
2024-01-05 05:00:00+00:00,10.21,10.55,9.79,1535,10.53,206347,10.18817
2024-01-08 05:00:00+00:00,10.725,10.92,9.12,2748,10.18,365024,10.396932
2024-01-09 05:00:00+00:00,10.54,11.06,10.365,1786,10.605,299246,10.708498
2024-01-10 05:00:00+00:00,9.985,10.955,9.77,3031,10.14,620598,10.23603
2024-01-11 05:00:00+00:00,9.255,11.335,8.9,3542,10.685,519852,9.557547
2024-01-12 05:00:00+00:00,8.13,9.085,8.085,2583,9.0,419108,8.354875
2024-01-16 05:00:00+00:00,7.625,8.255,7.36,2709,7.865,368369,7.784188
2024-01-17 05:00:00+00:00,7.365,7.585,7.24,2298,7.485,270482,7.358826
2024-01-18 05:00:00+00:00,6.875,7.63,6.77,2472,7.425,246785,7.044631
2024-01-19 05:00:00+00:00,6.87,6.945,6.415,2161,6.88,287191,6.695175
2024-01-22 05:00:00+00:00,7.095,7.335,6.6,2210,6.65,251599,7.045695
2024-01-23 05:00:00+00:00,7.095,7.37,6.72,2129,6.86,264269,7.102017
2024-01-24 05:00:00+00:00,6.98,7.7,6.98,2185,7.44,301073,7.212886
2024-01-25 05:00:00+00:00,7.3,7.37,7.0,1131,7.0,111104,7.23237
2024-01-26 05:00:00+00:00,8.03,8.255,7.62,1968,7.71,227214,8.001766
2024-01-29 05:00:00+00:00,8.535,9.235,7.975,2176,8.14,290115,8.645
2024-01-30 05:00:00+00:00,8.415,9.0,8.22,1944,8.65,249951,8.590807
2024-01-31 05:00:00+00:00,8.07,8.98,8.05,1902,8.14,212081,8.457992
2024-02-01 05:00:00+00:00,8.37,8.5,7.69,2092,8.115,214876,8.140486
2024-02-02 05:00:00+00:00,8.27,8.6,8.03,1467,8.16,167618,8.300235
2024-02-05 05:00:00+00:00,7.75,8.31,7.7,1409,8.22,116799,7.858096
2024-02-06 05:00:00+00:00,8.705,8.71,7.65,1430,7.71,149335,8.345512
2024-02-07 05:00:00+00:00,9.32,9.335,8.47,1523,8.77,172668,8.918846
2024-02-08 05:00:00+00:00,10.54,10.54,9.565,2374,9.93,240621,10.165255
2024-02-09 05:00:00+00:00,13.945,14.58,11.97,5443,13.02,795516,13.622513
2024-02-12 05:00:00+00:00,16.005,16.425,14.1,4662,14.21,732754,15.794527
2024-02-13 05:00:00+00:00,15.895,16.385,13.76,2828,14.27,312738,15.591497
2024-02-14 05:00:00+00:00,17.855,18.86,16.905,2837,18.14,368071,18.051703
2024-02-15 05:00:00+00:00,17.24,19.2,16.5,4310,18.23,480127,17.863052
2024-02-16 05:00:00+00:00,17.87,17.985,16.51,2155,17.45,247299,17.516099
2024-02-20 05:00:00+00:00,16.555,18.46,15.46,2945,18.37,298875,16.742186
2024-02-21 05:00:00+00:00,15.47,16.545,15.0,2121,15.19,195781,15.822098
2024-02-22 05:00:00+00:00,17.09,17.655,15.29,3136,15.68,267781,16.938512
2024-02-23 05:00:00+00:00,16.43,17.0,15.89,1926,16.71,150470,16.469631
2024-02-26 05:00:00+00:00,20.345,20.95,16.59,3854,16.59,393445,20.03278
2024-02-27 05:00:00+00:00,20.915,23.44,20.33,3546,23.07,391266,21.478403
2024-02-28 05:00:00+00:00,18.075,22.36,17.8,4573,21.91,410494,19.498852
2024-02-29 05:00:00+00:00,16.715,19.43,15.82,3771,19.39,385351,16.607432
2024-03-01 05:00:00+00:00,17.87,17.87,15.56,2117,16.71,202205,16.964417
2024-03-04 05:00:00+00:00,16.465,19.15,15.92,3550,18.84,393980,17.70142
2024-03-05 05:00:00+00:00,15.285,17.17,14.79,2818,16.04,361472,15.814357
2024-03-06 05:00:00+00:00,16.555,17.34,15.08,3055,16.13,309327,16.541482
2024-03-07 05:00:00+00:00,17.8,17.98,15.91,2340,16.43,191543,17.138002
2024-03-08 05:00:00+00:00,20.24,20.49,18.04,3503,18.25,310465,19.511607
2024-03-11 04:00:00+00:00,16.9,21.31,16.875,3196,21.07,448280,19.031481
2024-03-12 04:00:00+00:00,16.51,17.25,15.585,3049,17.11,271852,16.3084
2024-03-13 04:00:00+00:00,17.1,17.86,16.3,2368,16.3,225015,17.196362
2024-03-14 04:00:00+00:00,15.835,16.51,15.0,2272,16.24,208034,15.567059
2024-03-15 04:00:00+00:00,17.395,17.715,15.355,2316,15.65,232877,16.961728
2024-03-18 04:00:00+00:00,17.47,18.23,16.26,2102,16.95,201438,17.236635
2024-03-19 04:00:00+00:00,16.49,17.045,15.075,2183,16.41,201360,15.917598
2024-03-20 04:00:00+00:00,20.23,20.245,16.135,2378,16.53,242583,18.828823
2024-03-21 04:00:00+00:00,20.73,21.0,19.29,2893,19.63,279445,20.293453
2024-03-22 04:00:00+00:00,19.515,19.86,18.63,2062,19.78,187726,19.246411
2024-03-25 04:00:00+00:00,23.4,24.05,20.13,3067,20.23,340777,22.815637
2024-03-26 04:00:00+00:00,23.18,24.11,22.37,2305,23.11,222098,23.291113
2024-03-27 04:00:00+00:00,23.12,24.65,22.48,2236,24.1,229376,23.487034
2024-03-28 04:00:00+00:00,21.19,24.09,21.16,2559,23.19,251188,22.170561
2024-04-01 04:00:00+00:00,18.57,20.48,18.545,2143,19.33,208061,19.142099
2024-04-02 04:00:00+00:00,16.815,17.92,16.525,3182,17.92,373337,16.910668
2024-04-03 04:00:00+00:00,16.19,17.06,16.18,1519,16.84,143635,16.546852
2024-04-04 04:00:00+00:00,15.89,17.72,15.86,2896,16.82,246344,16.461608
2024-04-05 04:00:00+00:00,15.59,16.51,15.585,2001,15.74,171652,16.018325
2024-04-08 04:00:00+00:00,15.37,17.305,15.225,2902,16.86,304426,15.739192
2024-04-09 04:00:00+00:00,15.33,15.73,14.85,1930,15.11,181781,15.319635
2024-04-10 04:00:00+00:00,15.05,15.675,14.6,2387,14.76,243219,15.15421
2024-04-11 04:00:00+00:00,15.87,15.965,14.68,2299,14.94,223413,15.375989
2024-04-12 04:00:00+00:00,14.85,15.84,14.62,2766,15.54,223891,15.096127
2024-04-15 04:00:00+00:00,14.68,15.845,14.55,2787,14.85,285300,15.08531
2024-04-16 04:00:00+00:00,14.48,14.78,13.72,2797,14.31,309204,14.322903
2024-04-17 04:00:00+00:00,14.92,15.45,14.19,2169,14.57,271559,14.767301
2024-04-18 04:00:00+00:00,16.23,17.15,14.82,2310,14.945,266659,16.285701
2024-04-19 04:00:00+00:00,17.2,17.9,16.41,2603,16.71,292742,17.22722
2024-04-22 04:00:00+00:00,19.11,19.16,17.09,2916,17.83,351271,18.183952
2024-04-23 04:00:00+00:00,20.71,21.0,18.67,2245,18.715,238299,20.260937
2024-04-24 04:00:00+00:00,19.77,21.37,19.23,1682,20.37,156466,20.071341
2024-04-25 04:00:00+00:00,19.5,19.76,18.13,1368,18.51,153347,19.099841
2024-04-26 04:00:00+00:00,19.23,19.6,18.54,1202,18.95,102432,19.045984
2024-04-29 04:00:00+00:00,18.07,18.705,17.28,2007,18.435,207000,17.946749
2024-04-30 04:00:00+00:00,16.39,17.65,16.34,1525,17.32,151044,16.838964
2024-05-01 04:00:00+00:00,15.63,16.85,15.38,2376,15.87,255274,15.977082
2024-05-02 04:00:00+00:00,15.925,16.28,15.32,2243,16.05,182990,15.797925
2024-05-03 04:00:00+00:00,16.145,17.34,15.93,1282,16.595,114672,16.567548
2024-05-06 04:00:00+00:00,17.41,18.3,16.49,1681,16.57,162594,17.478298
2024-05-07 04:00:00+00:00,16.53,17.475,16.235,1875,17.21,176386,16.902544
2024-05-08 04:00:00+00:00,16.37,16.68,15.35,1103,16.2,105529,16.255735
2024-05-09 04:00:00+00:00,16.565,17.39,16.195,2065,16.86,225880,16.788897
2024-05-10 04:00:00+00:00,15.59,18.07,15.57,2684,17.425,299160,16.7473
2024-05-13 04:00:00+00:00,15.56,17.09,15.42,1617,15.88,201321,16.040343
2024-05-14 04:00:00+00:00,15.37,16.04,15.085,1646,15.165,164221,15.468672
2024-05-15 04:00:00+00:00,17.12,17.17,15.21,1960,16.33,247041,16.280266
2024-05-16 04:00:00+00:00,16.46,17.38,16.42,1776,16.82,148412,16.777132
2024-05-17 04:00:00+00:00,16.03,17.5,15.955,1842,16.82,185863,16.662966
2024-05-20 04:00:00+00:00,18.305,18.52,15.71,2274,16.275,218990,17.409444
2024-05-21 04:00:00+00:00,18.4,19.01,17.96,2154,18.46,213366,18.399902
2024-05-22 04:00:00+00:00,18.44,20.14,18.19,2323,18.41,206365,19.074505
2024-05-23 04:00:00+00:00,17.1,18.545,16.79,1858,18.54,161861,17.327083
2024-05-24 04:00:00+00:00,17.64,18.15,16.85,2039,17.25,171075,17.607902
2024-05-28 04:00:00+00:00,17.71,18.92,17.18,2558,17.98,268449,18.097942
2024-05-29 04:00:00+00:00,17.06,17.76,16.85,1807,17.18,138686,17.249954
2024-05-30 04:00:00+00:00,16.39,17.88,16.26,1718,17.505,145146,16.85639
2024-05-31 04:00:00+00:00,16.09,16.8,15.55,1597,16.62,141433,16.025874
2024-06-03 04:00:00+00:00,15.66,17.13,15.43,1128,16.585,98765,16.137032
2024-06-04 04:00:00+00:00,16.08,16.69,15.35,1840,15.83,155543,16.086828
2024-06-05 04:00:00+00:00,16.34,16.66,15.57,1699,16.51,132732,16.243789
2024-06-06 04:00:00+00:00,16.325,17.11,16.06,1587,16.28,142337,16.487967
2024-06-07 04:00:00+00:00,15.585,17.93,15.575,1790,16.385,164710,16.635459
2024-06-10 04:00:00+00:00,15.7,16.11,15.27,1777,15.65,146820,15.76963
2024-06-11 04:00:00+00:00,15.94,15.96,14.23,2350,15.29,247107,14.92413
2024-06-12 04:00:00+00:00,17.23,18.07,16.16,2507,16.4,312441,17.288642
2024-06-13 04:00:00+00:00,17.96,18.34,16.9,1648,17.4,178568,17.668328
2024-06-14 04:00:00+00:00,17.72,18.8,17.28,2392,17.9,217371,17.995643
2024-06-17 04:00:00+00:00,19.235,19.435,16.895,1475,17.375,157776,18.235876
2024-06-18 04:00:00+00:00,19.49,19.6,18.39,1953,18.64,178475,19.231373
2024-06-20 04:00:00+00:00,19.15,20.61,18.88,1817,19.95,182382,19.641329
2024-06-21 04:00:00+00:00,17.29,18.73,17.24,2230,18.4,219857,17.722696
2024-06-24 04:00:00+00:00,16.495,16.87,16.13,2155,16.42,189411,16.521122
2024-06-25 04:00:00+00:00,16.625,17.175,16.29,1812,16.55,164275,16.606646
2024-06-26 04:00:00+00:00,16.07,17.21,15.93,1459,16.35,135268,16.502552
2024-06-27 04:00:00+00:00,16.04,16.89,16.02,1634,16.55,167556,16.377126
2024-06-28 04:00:00+00:00,15.98,16.44,15.735,1462,16.08,142511,15.966599
2024-07-01 04:00:00+00:00,17.91,18.42,16.285,2282,16.375,301419,17.700639
2024-07-02 04:00:00+00:00,16.93,18.11,16.915,1615,17.94,171709,17.370873
2024-07-03 04:00:00+00:00,16.13,16.78,15.92,1171,16.57,122358,16.239946
2024-07-05 04:00:00+00:00,16.03,16.125,15.17,2134,15.41,260645,15.698856
2024-07-08 04:00:00+00:00,15.41,16.53,15.17,2209,16.39,209214,15.545794
2024-07-09 04:00:00+00:00,15.235,15.695,15.08,1506,15.695,158029,15.325485
2024-07-10 04:00:00+00:00,15.18,15.425,15.02,1201,15.37,92966,15.174836
2024-07-11 04:00:00+00:00,14.94,15.9,14.845,3272,15.745,368036,15.357957
2024-07-12 04:00:00+00:00,15.86,16.145,15.05,1569,15.06,173278,15.749077
2024-07-15 04:00:00+00:00,18.3,18.765,16.73,3606,16.95,595589,18.05028
2024-07-16 04:00:00+00:00,19.76,20.15,18.285,3882,18.32,471879,19.493071
2024-07-17 04:00:00+00:00,19.06,20.45,18.09,2372,19.16,258341,18.965568
2024-07-18 04:00:00+00:00,17.075,19.48,16.68,3319,19.46,311649,17.482329
2024-07-19 04:00:00+00:00,17.835,18.42,17.0,2268,17.2,290845,17.668439
2024-07-22 04:00:00+00:00,18.13,18.6,17.06,2223,18.02,157128,17.758058
2024-07-23 04:00:00+00:00,17.46,19.035,17.37,2504,17.965,264834,18.033179
2024-07-24 04:00:00+00:00,16.57,17.93,16.5,2738,17.715,315026,17.121908
2024-07-25 04:00:00+00:00,16.185,16.72,15.55,1666,16.25,150101,16.238185
2024-07-26 04:00:00+00:00,17.13,17.66,16.68,3104,17.02,197410,17.186307
2024-07-29 04:00:00+00:00,16.29,18.05,16.2,2196,17.86,223534,16.673815
2024-07-30 04:00:00+00:00,15.69,16.48,15.69,1800,16.23,172764,15.950049
2024-07-31 04:00:00+00:00,16.02,16.765,15.97,1432,16.27,162058,16.289913
2024-08-01 04:00:00+00:00,15.09,16.25,14.92,2603,15.92,253948,15.337133
2024-08-02 04:00:00+00:00,13.48,15.24,13.245,3209,14.81,378838,14.016663
2024-08-05 04:00:00+00:00,12.18,12.2,9.375,4786,9.905,408378,11.5141
2024-08-06 04:00:00+00:00,12.24,12.69,11.845,2075,12.64,236078,12.289259
2024-08-07 04:00:00+00:00,11.05,12.615,11.01,2356,12.615,250377,11.717971
2024-08-08 04:00:00+00:00,12.23,12.43,11.275,2562,11.56,273641,12.051171
2024-08-09 04:00:00+00:00,11.45,12.17,11.34,2764,12.075,503861,11.594084
2024-08-12 04:00:00+00:00,11.13,11.41,10.26,2803,11.05,372783,10.890541
2024-08-13 04:00:00+00:00,11.08,11.42,10.84,2380,11.02,242612,11.104844
2024-08-14 04:00:00+00:00,10.99,11.44,10.885,1883,11.29,210554,11.105902
2024-08-15 04:00:00+00:00,11.325,11.89,11.16,1742,11.24,193042,11.474032
2024-08-16 04:00:00+00:00,11.86,12.02,11.18,2106,11.41,244558,11.692855
