timestamp,close,high,low,n,open,volume,vw
2024-01-02 13:00:00+00:00,1.1,1.1,1.1,2,1.1,200,1.1
2024-01-02 14:25:00+00:00,1.11,1.11,1.11,2,1.11,200,1.11
2024-01-02 14:30:00+00:00,1.12,1.12,1.1,15,1.11,1726,1.111333
2024-01-02 14:35:00+00:00,1.08,1.09,1.08,5,1.09,441,1.085
2024-01-02 14:40:00+00:00,1.08,1.08,1.08,4,1.08,400,1.08
2024-01-02 14:50:00+00:00,1.1,1.11,1.085,8,1.085,1209,1.09914
2024-01-02 14:55:00+00:00,1.1,1.1,1.09,5,1.09,1219,1.094407
2024-01-02 15:00:00+00:00,1.1,1.105,1.1,7,1.1,2200,1.100454
2024-01-02 15:05:00+00:00,1.1,1.1,1.095,4,1.095,1400,1.095714
2024-01-02 15:10:00+00:00,1.09,1.1,1.09,6,1.1,600,1.095
2024-01-02 15:15:00+00:00,1.1,1.1,1.085,6,1.085,1796,1.094706
2024-01-02 15:20:00+00:00,1.125,1.125,1.09,12,1.1,5872,1.100342
2024-01-02 15:25:00+00:00,1.11,1.12,1.11,9,1.12,1208,1.110833
2024-01-02 15:30:00+00:00,1.115,1.115,1.11,15,1.11,4300,1.111628
2024-01-02 15:35:00+00:00,1.115,1.12,1.11,8,1.11,1373,1.114188
2024-01-02 15:40:00+00:00,1.12,1.125,1.115,11,1.12,2400,1.117861
2024-01-02 15:45:00+00:00,1.12,1.12,1.12,4,1.12,300,1.12
2024-01-02 15:50:00+00:00,1.11,1.11,1.11,2,1.11,200,1.11
2024-01-02 15:55:00+00:00,1.105,1.105,1.105,1,1.105,900,1.105
2024-01-02 16:05:00+00:00,1.1,1.1,1.1,4,1.1,900,1.1
2024-01-02 16:10:00+00:00,1.1,1.1,1.1,3,1.1,300,1.1
2024-01-02 16:15:00+00:00,1.11,1.11,1.11,1,1.11,100,1.11
2024-01-02 16:30:00+00:00,1.11,1.11,1.11,1,1.11,100,1.11
2024-01-02 16:35:00+00:00,1.11,1.11,1.11,1,1.11,100,1.11
2024-01-02 16:40:00+00:00,1.11,1.11,1.11,2,1.11,210,1.11
2024-01-02 17:15:00+00:00,1.12,1.12,1.12,1,1.12,100,1.12
2024-01-02 17:30:00+00:00,1.13,1.13,1.13,4,1.13,500,1.13
2024-01-02 17:40:00+00:00,1.125,1.125,1.125,3,1.125,36536,1.125
2024-01-02 18:05:00+00:00,1.12,1.12,1.12,1,1.12,100,1.12
2024-01-02 18:10:00+00:00,1.11,1.11,1.11,7,1.11,1352,1.11
2024-01-02 18:20:00+00:00,1.11,1.11,1.11,4,1.11,400,1.11
2024-01-02 18:25:00+00:00,1.11,1.11,1.11,1,1.11,100,1.11
2024-01-02 18:35:00+00:00,1.11,1.11,1.11,1,1.11,100,1.11
2024-01-02 18:40:00+00:00,1.105,1.105,1.105,2,1.105,1358,1.105
2024-01-02 18:50:00+00:00,1.105,1.105,1.105,1,1.105,200,1.105
2024-01-02 18:55:00+00:00,1.09,1.09,1.09,9,1.09,1210,1.09
2024-01-02 19:20:00+00:00,1.085,1.085,1.085,1,1.085,200,1.085
2024-01-02 19:55:00+00:00,1.07,1.07,1.07,3,1.07,1085,1.07
2024-01-02 20:00:00+00:00,1.06,1.07,1.06,19,1.07,2626,1.066923
2024-01-02 20:05:00+00:00,1.065,1.065,1.06,15,1.06,2455,1.06315
2024-01-02 20:15:00+00:00,1.065,1.065,1.065,3,1.065,1114,1.065
2024-01-02 20:25:00+00:00,1.065,1.065,1.065,1,1.065,100,1.065
2024-01-02 20:35:00+00:00,1.06,1.06,1.06,4,1.06,452,1.06
2024-01-02 20:40:00+00:00,1.05,1.06,1.05,12,1.06,3341,1.051354
2024-01-02 20:45:00+00:00,1.05,1.05,1.05,7,1.05,1400,1.05
2024-01-02 20:50:00+00:00,1.055,1.055,1.055,1,1.055,300,1.055
2024-01-02 20:55:00+00:00,1.05,1.06,1.04,22,1.06,8411,1.052232
2024-01-03 14:30:00+00:00,1.03,1.05,1.03,4,1.05,1647,1.04875
2024-01-03 14:35:00+00:00,1.025,1.025,1.025,1,1.025,100,1.025
2024-01-03 14:40:00+00:00,1.03,1.03,1.03,4,1.03,1094,1.03
2024-01-03 14:50:00+00:00,1.02,1.02,1.02,3,1.02,1290,1.02
2024-01-03 14:55:00+00:00,1.01,1.01,1.01,2,1.01,450,1.01
2024-01-03 15:00:00+00:00,1.03,1.03,1.015,6,1.015,1689,1.019078
2024-01-03 15:05:00+00:00,1.02,1.02,1.02,2,1.02,400,1.02
2024-01-03 15:10:00+00:00,1.01,1.02,1.01,24,1.02,1008,1.01158
2024-01-03 15:15:00+00:00,1.0,1.0,1.0,7,1.0,2521,1.0
2024-01-03 15:25:00+00:00,1.0,1.0,1.0,2,1.0,1939,1.0
2024-01-03 15:30:00+00:00,0.9977,1.0,0.9965,25,1.0,11692,0.998173
2024-01-03 15:35:00+00:00,0.9811,0.9926,0.9802,13,0.9924,5720,0.9872
2024-01-03 15:40:00+00:00,0.9872,0.9882,0.9614,18,0.9617,3237,0.970996
2024-01-03 15:45:00+00:00,0.9723,0.9799,0.9723,12,0.9779,3681,0.976016
2024-01-03 15:50:00+00:00,0.9715,0.9741,0.9709,8,0.9709,5463,0.972958
2024-01-03 15:55:00+00:00,0.9693,0.975,0.9693,6,0.9694,2485,0.970172
2024-01-03 16:05:00+00:00,0.9837,0.9837,0.9786,5,0.9786,1495,0.978964
2024-01-03 16:10:00+00:00,0.9784,0.9784,0.9783,4,0.9783,487,0.978324
2024-01-03 16:15:00+00:00,0.9751,0.9751,0.9703,5,0.9703,1551,0.974365
2024-01-03 16:20:00+00:00,0.9538,0.9539,0.9538,6,0.9539,550,0.953879
2024-01-03 16:25:00+00:00,0.9575,0.959,0.95,24,0.95,2420,0.956996
2024-01-03 16:35:00+00:00,0.9629,0.9629,0.9563,4,0.9563,1846,0.956672
2024-01-03 16:40:00+00:00,0.9573,0.9586,0.9567,6,0.9575,2364,0.957432
2024-01-03 16:45:00+00:00,0.9615,0.965,0.9601,11,0.9645,3520,0.964155
2024-01-03 16:50:00+00:00,0.9689,0.9689,0.9614,10,0.9615,962,0.962829
2024-01-03 16:55:00+00:00,0.9678,0.9678,0.965,10,0.9654,5389,0.965413
2024-01-03 17:00:00+00:00,0.9768,0.9768,0.9678,7,0.9678,2731,0.974531
2024-01-03 17:05:00+00:00,0.977,0.977,0.9743,11,0.9743,3599,0.975089
