timestamp,close,high,low,n,open,volume,vw
2024-01-02 05:00:00+00:00,8.41,8.91,8.38,5578,8.905,1270603,8.520258
2024-01-03 05:00:00+00:00,8.5,8.555,8.1,3642,8.13,787373,8.321175
2024-01-04 05:00:00+00:00,8.265,8.45,8.25,1842,8.305,441640,8.335548
2024-01-05 05:00:00+00:00,8.055,8.25,8.03,2653,8.155,648825,8.124979
2024-01-08 05:00:00+00:00,7.92,8.05,7.735,2978,7.855,777851,7.901734
2024-01-09 05:00:00+00:00,7.565,7.82,7.52,5399,7.81,1419090,7.648662
2024-01-10 05:00:00+00:00,7.41,7.54,7.315,3293,7.53,739919,7.405827
2024-01-11 05:00:00+00:00,7.405,7.66,7.325,2549,7.605,628385,7.476363
2024-01-12 05:00:00+00:00,7.17,7.53,7.16,2958,7.28,672884,7.263518
2024-01-16 05:00:00+00:00,6.545,7.05,6.45,8811,7.05,2130074,6.673738
2024-01-17 05:00:00+00:00,6.3,6.42,6.12,5201,6.205,1294068,6.313336
2024-01-18 05:00:00+00:00,6.28,6.52,6.1,4320,6.51,984874,6.277584
2024-01-19 05:00:00+00:00,6.055,6.145,5.865,4498,6.135,1018578,5.998063
2024-01-22 05:00:00+00:00,5.975,6.17,5.81,4735,5.81,1354730,5.974192
2024-01-23 05:00:00+00:00,6.215,6.875,6.17,7038,6.4,2347879,6.539584
2024-01-24 05:00:00+00:00,6.07,6.585,6.01,4608,6.495,1209938,6.23919
2024-01-25 05:00:00+00:00,6.04,6.075,5.83,3364,5.88,862980,5.98094
2024-01-26 05:00:00+00:00,6.14,6.145,5.97,3180,6.025,625262,6.086077
2024-01-29 05:00:00+00:00,6.145,6.155,5.95,2303,6.075,450467,6.081559
2024-01-30 05:00:00+00:00,5.79,6.035,5.79,3930,6.01,1514794,5.892611
2024-01-31 05:00:00+00:00,5.62,5.86,5.44,4862,5.68,994088,5.675294
2024-02-01 05:00:00+00:00,5.71,5.91,5.545,3354,5.75,916428,5.705794
2024-02-02 05:00:00+00:00,5.54,5.585,5.43,3054,5.57,723323,5.509679
2024-02-05 05:00:00+00:00,5.375,5.46,5.3,2434,5.45,556127,5.38551
2024-02-06 05:00:00+00:00,6.03,6.045,5.6,3981,5.71,1115877,5.846285
2024-02-07 05:00:00+00:00,5.86,5.99,5.74,3222,5.8,741590,5.890745
2024-02-08 05:00:00+00:00,5.82,5.88,5.72,2438,5.82,517156,5.811193
2024-02-09 05:00:00+00:00,5.93,5.93,5.75,2096,5.81,361565,5.847467
2024-02-12 05:00:00+00:00,6.085,6.275,5.96,2276,5.96,417476,6.145711
2024-02-13 05:00:00+00:00,5.7,5.87,5.65,4301,5.84,789984,5.742731
2024-02-14 05:00:00+00:00,5.995,6.01,5.84,2982,5.88,572727,5.935192
2024-02-15 05:00:00+00:00,6.08,6.29,6.05,3993,6.055,1103287,6.153589
2024-02-16 05:00:00+00:00,6.14,6.33,6.09,3557,6.23,842670,6.17054
2024-02-20 05:00:00+00:00,5.95,6.03,5.79,4326,5.94,1710594,5.886943
2024-02-21 05:00:00+00:00,5.97,6.17,5.96,2542,6.04,494996,6.039202
2024-02-22 05:00:00+00:00,5.845,5.935,5.71,2881,5.93,703836,5.780516
2024-02-23 05:00:00+00:00,5.405,5.68,5.37,3850,5.665,967445,5.460766
2024-02-26 05:00:00+00:00,5.655,5.77,5.52,4051,5.525,935361,5.642067
2024-02-27 05:00:00+00:00,5.775,5.93,5.72,3484,5.81,702257,5.798606
2024-02-28 05:00:00+00:00,5.435,5.545,5.39,4046,5.54,1403340,5.443056
2024-02-29 05:00:00+00:00,5.74,5.785,5.55,2664,5.55,704840,5.685011
2024-03-01 05:00:00+00:00,5.775,5.84,5.68,2940,5.735,612902,5.780427
2024-03-04 05:00:00+00:00,5.35,5.61,5.25,4285,5.58,1747855,5.383496
2024-03-05 05:00:00+00:00,5.48,5.61,4.79,5560,5.1,2336266,5.299847
2024-03-06 05:00:00+00:00,5.77,5.88,5.385,5948,5.385,1918739,5.750563
2024-03-07 05:00:00+00:00,5.79,5.79,5.47,3134,5.66,681809,5.63982
2024-03-08 05:00:00+00:00,5.81,5.91,5.66,2477,5.78,573325,5.781591
2024-03-11 04:00:00+00:00,6.1,6.23,5.92,4099,5.92,1046932,6.131092
2024-03-12 04:00:00+00:00,6.195,6.295,6.09,2932,6.175,685183,6.218927
2024-03-13 04:00:00+00:00,5.915,6.265,5.915,1836,6.09,724986,6.075289
2024-03-14 04:00:00+00:00,5.57,5.81,5.54,2769,5.775,499451,5.6459
