timestamp,close,high,low,n,open,volume,vw
2024-01-02 14:30:00+00:00,133.96,133.96,133.82,6,133.82,270,133.89
2024-01-02 14:35:00+00:00,134.185,134.22,133.97,28,133.99,1439,134.147917
2024-01-02 14:40:00+00:00,133.61,133.9,133.61,70,133.9,831,133.695
2024-01-02 14:45:00+00:00,133.49,133.67,133.49,13,133.635,805,133.594286
2024-01-02 14:50:00+00:00,133.765,133.765,133.765,3,133.765,120,133.765
2024-01-02 14:55:00+00:00,134.11,134.11,133.96,6,133.96,274,134.035
2024-01-02 15:00:00+00:00,134.11,134.11,134.11,5,134.11,146,134.11
2024-01-02 15:05:00+00:00,134.4,134.43,134.21,11,134.21,714,134.365833
2024-01-02 15:10:00+00:00,134.03,134.04,134.03,11,134.04,538,134.035
2024-01-02 15:15:00+00:00,133.82,134.08,133.785,17,134.08,882,133.9425
2024-01-02 15:20:00+00:00,133.86,134.165,133.86,15,134.165,742,133.995833
2024-01-02 15:25:00+00:00,133.95,133.95,133.78,21,133.82,812,133.84
2024-01-02 15:30:00+00:00,134.03,134.14,133.99,19,134.14,662,134.06
2024-01-02 15:35:00+00:00,134.23,134.23,134.095,10,134.095,446,134.15875
2024-01-02 15:40:00+00:00,134.23,134.445,134.23,31,134.37,1413,134.343125
2024-01-02 15:45:00+00:00,134.55,134.55,134.22,47,134.25,2416,134.293824
2024-01-02 15:50:00+00:00,134.55,134.635,134.55,9,134.63,503,134.5975
2024-01-02 15:55:00+00:00,134.44,134.46,134.44,7,134.46,408,134.446667
2024-01-02 16:00:00+00:00,134.5,134.5,134.36,4,134.36,213,134.43
2024-01-02 16:05:00+00:00,134.65,134.65,134.4,7,134.4,414,134.5275
2024-01-02 16:10:00+00:00,134.39,134.39,134.36,4,134.36,210,134.375
2024-01-02 16:15:00+00:00,134.38,134.44,134.34,8,134.44,422,134.38625
2024-01-02 16:20:00+00:00,134.34,134.34,134.25,8,134.25,408,134.28
2024-01-02 16:25:00+00:00,134.34,134.34,134.34,3,134.34,132,134.34
2024-01-02 16:30:00+00:00,134.39,134.4,134.34,17,134.37,1293,134.383333
2024-01-02 16:35:00+00:00,134.38,134.38,134.38,2,134.38,102,134.38
2024-01-02 16:40:00+00:00,134.42,134.42,134.32,6,134.35,404,134.3525
2024-01-02 16:45:00+00:00,134.65,134.76,134.63,13,134.76,620,134.6925
2024-01-02 16:50:00+00:00,134.63,134.67,134.63,4,134.66,304,134.653333
2024-01-02 16:55:00+00:00,134.58,134.61,134.58,10,134.61,304,134.595
2024-01-02 17:00:00+00:00,134.61,134.71,134.61,11,134.71,407,134.643333
2024-01-02 17:05:00+00:00,134.73,134.73,134.64,12,134.64,531,134.665
2024-01-02 17:10:00+00:00,134.75,134.88,134.75,22,134.81,653,134.816667
2024-01-02 17:15:00+00:00,134.7,134.7,134.7,1,134.7,100,134.7
2024-01-02 17:20:00+00:00,134.7,134.7,134.685,6,134.685,349,134.6925
2024-01-02 17:25:00+00:00,134.755,134.79,134.755,5,134.79,283,134.7725
2024-01-02 17:30:00+00:00,134.69,134.79,134.67,9,134.79,688,134.728333
2024-01-02 17:35:00+00:00,134.79,134.79,134.69,12,134.69,548,134.7375
2024-01-02 17:40:00+00:00,134.915,134.95,134.915,11,134.95,300,134.9325
2024-01-02 17:45:00+00:00,134.835,134.835,134.835,2,134.835,199,134.835
2024-01-02 17:50:00+00:00,134.72,134.72,134.62,16,134.655,968,134.655568
2024-01-02 17:55:00+00:00,134.72,134.8,134.72,24,134.76,1064,134.755
2024-01-02 18:00:00+00:00,135.08,135.12,134.76,23,134.76,1414,134.995769
2024-01-02 18:05:00+00:00,134.97,135.105,134.92,29,135.105,2166,135.001947
2024-01-02 18:10:00+00:00,135.07,135.16,135.07,12,135.16,711,135.112
2024-01-02 18:15:00+00:00,135.18,135.22,135.12,25,135.16,1326,135.173125
2024-01-02 18:20:00+00:00,134.975,134.975,134.93,5,134.935,320,134.946667
2024-01-02 18:25:00+00:00,135.07,135.07,134.81,15,134.81,679,134.928
2024-01-02 18:30:00+00:00,135.045,135.16,135.045,19,135.07,1262,135.101149
2024-01-02 18:35:00+00:00,135.0,135.14,135.0,9,135.09,597,135.046
2024-01-02 18:40:00+00:00,135.04,135.04,134.93,16,134.95,1029,134.985555
2024-01-02 18:45:00+00:00,134.92,134.99,134.92,11,134.99,666,134.954
2024-01-02 18:50:00+00:00,134.89,134.89,134.855,3,134.855,203,134.8725
2024-01-02 18:55:00+00:00,134.97,134.97,134.97,7,134.97,215,134.97
2024-01-02 19:00:00+00:00,134.88,134.88,134.87,13,134.88,701,134.878092
2024-01-02 19:05:00+00:00,134.86,134.93,134.83,23,134.86,986,134.87
2024-01-02 19:30:00+00:00,134.895,134.895,134.895,1,134.895,100,134.895
2024-01-02 19:40:00+00:00,134.55,134.55,134.55,3,134.55,119,134.55
2024-01-02 19:45:00+00:00,134.64,134.64,134.64,1,134.64,100,134.64
2024-01-02 19:50:00+00:00,134.68,134.68,134.68,7,134.68,260,134.68
2024-01-02 20:00:00+00:00,134.59,134.59,134.55,11,134.55,556,134.57
2024-01-02 20:05:00+00:00,134.45,134.595,134.44,24,134.58,1539,134.529615
2024-01-02 20:10:00+00:00,134.33,134.42,134.28,23,134.42,1673,134.332143
2024-01-02 20:15:00+00:00,134.35,134.35,134.29,4,134.335,306,134.325
2024-01-02 20:20:00+00:00,134.2,134.35,134.2,10,134.34,487,134.296667
2024-01-02 20:25:00+00:00,134.265,134.35,134.265,3,134.35,300,134.321667
2024-01-02 20:30:00+00:00,134.13,134.15,134.1,14,134.15,654,134.13
