timestamp,close,high,low,n,open,volume,vw
2024-01-02 05:00:00+00:00,0.8931,0.938,0.886,64,0.938,7267,0.905769
2024-01-03 05:00:00+00:00,0.86,0.914,0.86,58,0.914,7932,0.884227
2024-01-04 05:00:00+00:00,0.8408,0.88,0.8363,75,0.88,7194,0.852371
2024-01-05 05:00:00+00:00,0.8198,0.8644,0.8198,24,0.8644,3015,0.832648
2024-01-08 05:00:00+00:00,0.8686,0.8797,0.849,22,0.849,2799,0.862625
2024-01-09 05:00:00+00:00,0.85,0.885,0.8495,25,0.885,3284,0.857887
2024-01-10 05:00:00+00:00,0.8332,0.8397,0.8209,17,0.8379,2111,0.830131
2024-01-11 05:00:00+00:00,0.797,0.797,0.784,22,0.7962,5513,0.791034
2024-01-12 05:00:00+00:00,0.795,0.819,0.7858,32,0.812,13600,0.791396
2024-01-16 05:00:00+00:00,0.7638,0.8035,0.76,38,0.8035,13099,0.761207
2024-01-17 05:00:00+00:00,0.8025,0.8049,0.7601,31,0.771,4129,0.78697
2024-01-18 05:00:00+00:00,0.8268,0.8299,0.812,62,0.8199,8176,0.823139
2024-01-19 05:00:00+00:00,0.8186,0.8478,0.8135,21,0.8478,2848,0.824968
2024-01-22 05:00:00+00:00,0.916,0.9178,0.86,44,0.9062,7002,0.897295
2024-01-23 05:00:00+00:00,0.9303,0.9303,0.911,10,0.911,1130,0.922036
2024-01-24 05:00:00+00:00,0.924,0.9291,0.9209,37,0.9209,6289,0.925215
2024-01-25 05:00:00+00:00,0.8799,0.931,0.8799,45,0.931,6917,0.898799
2024-01-26 05:00:00+00:00,0.8753,0.908,0.8616,38,0.908,8830,0.881029
2024-01-29 05:00:00+00:00,0.8999,0.9054,0.88,49,0.8831,7867,0.898414
2024-01-30 05:00:00+00:00,0.8749,0.9069,0.8749,47,0.9069,6251,0.889285
2024-01-31 05:00:00+00:00,0.8,0.854,0.8,53,0.854,11704,0.825888
2024-02-01 05:00:00+00:00,0.7522,0.782,0.751,50,0.782,6418,0.758174
2024-02-02 05:00:00+00:00,0.781,0.7978,0.762,33,0.776,7331,0.779061
2024-02-05 05:00:00+00:00,0.75,0.8,0.75,116,0.8,19182,0.758635
2024-02-06 05:00:00+00:00,0.7304,0.7611,0.7186,51,0.76,10592,0.72833
2024-02-07 05:00:00+00:00,0.7245,0.7399,0.72,37,0.7325,5651,0.726077
2024-02-08 05:00:00+00:00,0.7307,0.749,0.7258,36,0.749,4588,0.737339
2024-02-09 05:00:00+00:00,0.7449,0.7449,0.7121,26,0.726,4541,0.721678
2024-02-12 05:00:00+00:00,0.8415,0.9017,0.8,155,0.8112,40946,0.86327
2024-02-13 05:00:00+00:00,0.775,0.8156,0.7705,53,0.81,10622,0.790996
2024-02-14 05:00:00+00:00,0.861,0.9032,0.8073,131,0.8073,30939,0.86544
2024-02-15 05:00:00+00:00,0.8648,0.871,0.8255,68,0.8558,14100,0.842388
2024-02-16 05:00:00+00:00,0.8995,0.9379,0.852,84,0.857,19007,0.896362
2024-02-20 05:00:00+00:00,0.855,0.955,0.8307,113,0.952,23372,0.887786
2024-02-21 05:00:00+00:00,0.781,0.842,0.781,73,0.842,12441,0.792558
2024-02-22 05:00:00+00:00,0.7975,0.827,0.791,113,0.811,11150,0.806601
2024-02-23 05:00:00+00:00,0.795,0.8068,0.75,212,0.8068,16840,0.776955
2024-02-26 05:00:00+00:00,0.8631,0.89,0.8041,85,0.838,13765,0.848344
2024-02-27 05:00:00+00:00,0.839,0.8755,0.798,107,0.8755,23650,0.831539
2024-02-28 05:00:00+00:00,0.8407,0.8763,0.8021,112,0.8021,21279,0.845477
2024-02-29 05:00:00+00:00,0.83,0.8902,0.8219,58,0.8506,10401,0.834763
2024-03-01 05:00:00+00:00,0.8461,0.8461,0.815,9,0.84,1602,0.825113
2024-03-04 05:00:00+00:00,0.83,0.8703,0.81,45,0.8703,10972,0.832976
2024-03-05 05:00:00+00:00,0.8304,0.8325,0.7933,53,0.802,11367,0.809468
2024-03-06 05:00:00+00:00,0.8372,0.8771,0.811,96,0.8401,15620,0.839326
2024-03-07 05:00:00+00:00,0.8848,0.8975,0.8407,60,0.8407,43206,0.876259
2024-03-08 05:00:00+00:00,0.865,0.921,0.8416,96,0.8901,30655,0.881653
2024-03-11 04:00:00+00:00,0.9415,0.9899,0.8751,63,0.8751,23106,0.922651
2024-03-12 04:00:00+00:00,1.23,1.23,0.9501,380,0.97,117479,1.132351
2024-03-13 04:00:00+00:00,1.16,1.23,1.09,819,1.225,235716,1.170209
2024-03-14 04:00:00+00:00,1.135,1.16,1.1,167,1.16,38335,1.127336
2024-03-15 04:00:00+00:00,1.11,1.11,1.04,202,1.09,31960,1.069656
2024-03-18 04:00:00+00:00,1.24,1.32,1.16,199,1.16,45161,1.256023
2024-03-19 04:00:00+00:00,1.155,1.17,1.1,143,1.17,34150,1.138834
2024-03-20 04:00:00+00:00,1.235,1.25,1.15,126,1.18,19286,1.215722
2024-03-21 04:00:00+00:00,1.15,1.28,1.14,154,1.28,42932,1.158397
2024-03-22 04:00:00+00:00,1.07,1.12,1.07,83,1.12,34103,1.098418
2024-03-25 04:00:00+00:00,1.14,1.16,1.11,111,1.12,26559,1.137002
2024-03-26 04:00:00+00:00,1.11,1.18,1.095,90,1.17,41635,1.121644
2024-03-27 04:00:00+00:00,1.01,1.09,0.97,104,1.09,18944,1.022952
