timestamp,close,high,low,n,open,volume,vw
2024-01-02 14:30:00+00:00,217.91,217.91,217.91,26,217.91,717,217.91
2024-01-02 14:40:00+00:00,216.41,217.435,215.14,57,217.435,3220,216.34725
2024-01-02 14:45:00+00:00,215.02,215.61,214.92,13,215.61,711,215.104
2024-01-02 14:50:00+00:00,215.235,215.235,215.13,4,215.13,212,215.1825
2024-01-02 14:55:00+00:00,214.85,214.85,213.81,16,214.22,773,214.0775
2024-01-02 15:00:00+00:00,216.0,216.005,216.0,10,216.005,452,216.0025
2024-01-02 15:05:00+00:00,214.37,214.85,214.34,7,214.85,500,214.4825
2024-01-02 15:10:00+00:00,213.87,214.73,213.87,21,214.73,994,214.297857
2024-01-02 15:15:00+00:00,212.905,213.15,212.905,11,213.09,808,213.07125
2024-01-02 15:20:00+00:00,213.56,213.56,212.78,58,212.78,3436,213.243846
2024-01-02 15:25:00+00:00,212.72,213.105,212.67,35,213.105,1612,212.869091
2024-01-02 15:30:00+00:00,212.69,212.69,212.41,13,212.41,554,212.55
2024-01-02 15:35:00+00:00,212.57,212.65,212.57,5,212.65,310,212.615
2024-01-02 15:40:00+00:00,213.715,213.715,212.6,18,212.6,2101,212.912294
2024-01-02 15:45:00+00:00,212.18,213.51,212.18,25,213.51,793,212.906
2024-01-02 15:50:00+00:00,212.67,212.72,212.285,18,212.4,1095,212.485
2024-01-02 15:55:00+00:00,212.87,212.87,212.39,19,212.39,988,212.630143
2024-01-02 16:00:00+00:00,213.49,213.645,212.985,21,212.985,995,213.343125
2024-01-02 16:05:00+00:00,213.57,213.57,213.25,12,213.25,423,213.472736
2024-01-02 16:10:00+00:00,214.05,214.05,213.9,16,213.99,1252,213.989743
2024-01-02 16:15:00+00:00,214.61,214.61,214.05,17,214.235,578,214.28625
2024-01-02 16:20:00+00:00,214.43,214.805,214.43,6,214.805,213,214.6175
2024-01-02 16:25:00+00:00,215.13,215.13,215.13,7,215.13,176,215.13
2024-01-02 16:35:00+00:00,214.37,214.5,214.37,6,214.5,303,214.42
2024-01-02 16:40:00+00:00,214.25,214.25,214.25,21,214.25,649,214.25
2024-01-02 16:45:00+00:00,214.215,214.265,214.14,47,214.255,2440,214.230096
2024-01-02 16:50:00+00:00,214.195,214.195,213.95,18,213.97,757,214.094167
2024-01-02 16:55:00+00:00,214.2,214.2,214.1,18,214.11,1226,214.171395
2024-01-02 17:00:00+00:00,214.175,214.175,213.98,20,214.01,935,214.055
2024-01-02 17:05:00+00:00,214.235,214.275,214.16,21,214.21,1185,214.221429
2024-01-02 17:10:00+00:00,214.08,214.08,214.02,6,214.02,283,214.05
2024-01-02 17:15:00+00:00,214.105,214.24,214.105,4,214.17,341,214.171667
2024-01-02 17:20:00+00:00,214.3,214.3,214.26,6,214.26,255,214.28
2024-01-02 17:25:00+00:00,214.15,214.15,214.02,5,214.02,480,214.1175
2024-01-02 17:30:00+00:00,214.185,214.185,214.07,4,214.07,216,214.1275
2024-01-02 17:35:00+00:00,214.05,214.05,214.05,4,214.05,177,214.05
2024-01-02 17:40:00+00:00,214.02,214.165,214.02,20,214.07,875,214.125
2024-01-02 17:45:00+00:00,213.91,213.91,213.91,3,213.91,152,213.91
2024-01-02 17:50:00+00:00,213.17,213.17,213.12,6,213.12,260,213.145
2024-01-02 17:55:00+00:00,212.83,212.83,212.83,8,212.83,213,212.83
2024-01-02 18:00:00+00:00,213.16,213.16,212.94,15,212.94,614,213.039
2024-01-02 18:05:00+00:00,212.83,213.16,212.83,4,213.16,329,213.05
