ticker,status,rows
AA,ok,40.0
AAL,ok,42.0
AAPL,ok,30.0
ABBV,ok,46.0
ABNB,ok,32.0
ACHR,ok,42.0
AEO,ok,44.0
AFRM,ok,41.0
AI,ok,46.0
AIQ,ok,29.0
AIS,skipped_missing_data_files,
ALAB,skipped_missing_data_files,
AMD,ok,39.0
AMZN,ok,35.0
ANF,ok,43.0
APLD,ok,43.0
APP,ok,37.0
ARKK,ok,45.0
ARKQ,ok,11.0
ARKX,ok,17.0
ARM,ok,46.0
ASML,ok,39.0
ASTS,ok,56.0
AVGO,ok,42.0
BA,ok,45.0
BABA,ok,22.0
BAC,ok,33.0
BE,ok,40.0
BIDU,ok,25.0
BLSH,skipped_missing_data_files,
BROS,ok,44.0
BRZU,ok,2.0
BULL,skipped_missing_data_files,
CASY,ok,51.0
CAT,ok,42.0
CCL,ok,38.0
CDE,ok,40.0
CELH,ok,35.0
CIFR,ok,51.0
CL,ok,42.0
CLF,ok,43.0
CLOU,ok,27.0
CLSK,ok,42.0
COIN,ok,43.0
COP,ok,41.0
COST,ok,52.0
CPNG,ok,39.0
CRCL,skipped_missing_data_files,
CRDO,ok,43.0
CRWD,ok,50.0
CRWV,skipped_missing_data_files,
CSCO,ok,49.0
CVNA,ok,41.0
CVS,ok,36.0
CVX,ok,41.0
DAL,ok,43.0
DASH,ok,45.0
DELL,ok,41.0
DHI,ok,48.0
DIA,ok,40.0
DIS,ok,39.0
DJT,ok,52.0
DKNG,ok,35.0
DLTR,ok,47.0
DOCU,ok,53.0
DTCR,ok,10.0
DVN,ok,47.0
EBAY,ok,42.0
EDC,ok,1.0
ENPH,ok,43.0
EOG,ok,42.0
EOSE,ok,47.0
ETHU,skipped_missing_data_files,
ETOR,skipped_missing_data_files,
ETSY,ok,45.0
EURL,ok,0.0
EZJ,skipped_missing_data_files,
EZU,ok,25.0
FAZ,ok,39.0
FCG,ok,29.0
FIG,skipped_missing_data_files,
FSLY,ok,41.0
FTXH,ok,0.0
FUBO,ok,37.0
GE,ok,43.0
GEMI,skipped_missing_data_files,
GILD,ok,32.0
GLD,ok,22.0
GM,ok,39.0
GME,ok,44.0
GOLD,ok,40.0
GOOGL,ok,42.0
GS,ok,37.0
HAL,ok,38.0
HD,ok,44.0
HIMS,ok,50.0
HON,ok,44.0
HOOD,ok,48.0
IBB,ok,52.0
IBKR,ok,35.0
IBOT,skipped_missing_data_files,
ICLN,ok,37.0
IGV,ok,41.0
IHE,ok,0.0
INDL,ok,1.0
INTC,ok,42.0
IONQ,ok,48.0
IPO,ok,1.0
IREN,ok,53.0
ITA,ok,44.0
ITB,ok,50.0
IWC,ok,0.0
IWM,ok,36.0
JD,ok,29.0
JETS,ok,41.0
JNJ,ok,54.0
JPM,ok,47.0
KORU,ok,5.0
KRE,ok,42.0
KTOS,ok,52.0
KWEB,ok,27.0
LEN,ok,52.0
LI,ok,16.0
LLY,ok,39.0
LULU,ok,41.0
LUNR,ok,50.0
LYFT,ok,43.0
M,ok,42.0
MAGS,ok,32.0
MARA,ok,40.0
MEME,skipped_missing_data_files,
META,ok,36.0
MEXX,ok,4.0
MMM,ok,43.0
MP,ok,47.0
MRK,ok,52.0
MRNA,ok,42.0
MRVL,ok,37.0
MS,ok,35.0
MSFT,ok,41.0
MU,ok,37.0
NCLH,ok,45.0
NET,ok,32.0
NFLX,ok,47.0
NIO,ok,37.0
NKE,ok,36.0
NLR,ok,26.0
NNE,skipped_missing_data_files,
NRG,ok,55.0
NVDA,ok,42.0
NVO,ok,24.0
OIH,ok,45.0
OKLO,ok,53.0
OPEN,ok,41.0
ORCL,ok,43.0
OSCR,ok,43.0
OXY,ok,46.0
PALL,ok,13.0
PANW,ok,41.0
PATH,ok,41.0
PBW,ok,32.0
PDD,ok,33.0
PENN,ok,39.0
PEP,ok,57.0
PG,ok,34.0
PL,ok,58.0
PLTR,ok,42.0
PLUG,ok,37.0
PPH,ok,24.0
PSX,ok,58.0
QBTS,ok,47.0
QCOM,ok,46.0
QQQ,ok,35.0
QTUM,ok,26.0
QUBT,ok,38.0
RBLX,ok,50.0
RCAT,ok,44.0
RDDT,skipped_missing_data_files,
RGTI,ok,49.0
RILY,ok,56.0
RIOT,ok,39.0
RIVN,ok,42.0
RKLB,ok,51.0
RKT,ok,45.0
ROKU,ok,36.0
RR,ok,37.0
RTX,ok,49.0
RUM,ok,46.0
RUN,ok,39.0
SCHW,ok,42.0
SERV,skipped_missing_data_files,
SHOP,ok,43.0
SLB,ok,43.0
SLV,ok,17.0
SMCI,ok,36.0
SMH,ok,39.0
SMR,ok,55.0
SNAP,ok,36.0
SNDK,skipped_missing_data_files,
SNOW,ok,44.0
SOFI,ok,40.0
SOUN,ok,43.0
SOXS,ok,38.0
SOXX,ok,43.0
SPX,skipped_missing_data_files,
SPY,ok,30.0
SQQQ,ok,37.0
TAN,ok,32.0
TEM,skipped_missing_data_files,
TGT,ok,55.0
TIGR,ok,52.0
TSLA,ok,31.0
TSM,ok,43.0
U,ok,41.0
UAL,ok,50.0
UBER,ok,42.0
UFO,ok,8.0
UNH,ok,30.0
UPST,ok,52.0
VLO,ok,47.0
VRT,ok,46.0
VST,ok,52.0
WMT,ok,47.0
XBI,ok,37.0
XHB,ok,49.0
XLE,ok,37.0
XLF,ok,41.0
XLI,ok,38.0
XLK,ok,44.0
XLP,ok,43.0
XLV,ok,48.0
XOM,ok,37.0
XOP,ok,48.0
XPEV,ok,21.0
YANG,ok,15.0
Z,ok,43.0
ZETA,ok,43.0
ZM,ok,48.0
ZS,ok,42.0
